,United States,Japan,United Kingdom,Canada,France,Switzerland,Germany,Australia,Netherlands,Denmark,Sweden,Spain,Italy,Finland,Belgium,Norway,Israel,Ireland,New Zealand,Austria,Portugal,Eurozone,China,India,Korea,Brazil,Saudi Arabia,South Africa,Mexico,Indonesia,Turkiye,Poland,Chile,Greece,Hungary,Czechia,Colombia,Argentina,Russia
1999-01,4409.5,9415503.975,817074.0,597.64,,477485.0,,386.059,,538381.0,1029091.705,,,,,635.505,215627.9726,,73.3,,,4447.197,10550.0,9402.34,812208.5,382.744959,,434.0004597,1237434.211,596.541,23200.2083017277,226342.7,31230.58,,4523.17986596811,1229.7,,,644.0
1999-02,4418.7,9364157.063,824741.0,595.777,,483479.0,,387.433,,525330.0,1010626.255,,,,,633.519,215065.2818,,74.8,,,4436.979,10777.8,9511.97,823065.8,390.762149,,427.5585444,1266714.891,602.666,24208.9298923569,233423.8,31216.27,,4592.52458646937,1247.4,,,665.8
1999-03,4455.6,9431087.562,832631.0,598.793,,481796.0,,388.709,,518872.0,1013138.246,,,,,633.347,219412.8447,,73.9,,,4453.5,10843.8,9809.6,820772.1,395.691366,,441.2891692,1300166.961,603.325,25970.3957710261,236748.5,31144.82,,4581.52758705896,1247.9,,,683.7
1999-04,4501.4,9481738.087,835921.0,606.502,,484440.0,,392.783,,550505.0,1027389.053,,,,,626.774,223782.8764,,73.2,,,4488.386,10921.8,9941.6,829267.7,398.999161,,439.665405,1300443.944,613.14,27352.9129179402,236784.4,31502.13,,4570.78723979509,1261.5,,,726.8
1999-05,4464.1,9506467.552,844372.0,608.041,,484532.0,,397.895,,547787.0,1061766.831,,,,,626.282,224458.5031,,72.8,,,4505.279,11006.1,10043.58,834531.7,402.944352,,439.7308314,1334676.322,628.26,29096.6004499991,240024.5,32249.66,,4663.61475666158,1271.9,,,765.6
1999-06,4494.7,9514886.093,842781.0,614.094,,478502.0,,402.854,,527258.0,1069704.642,,,,,657.436,226947.7682,,73.5,,,4537.054,11136.3,10106.82,832839.5,409.710296,,451.139367,1345874.785,615.411,30625.8873866677,242631.2,32911.19,,4626.81951831079,1272.4,,,796.7
1999-07,4519.6,9560894.041,840654.0,615.278,,478331.0,,406.275,,559172.0,1063959.067,,,,,662.444,231142.3765,,75.3,,,4565.97,11141.4,10233.54,847681.2,416.482115,,447.9988915,1377416.778,627.207,32116.9431559743,244209.9,32883.24,,4692.00661099783,1269.1,,,803.3
1999-08,4539.4,9541611.867,843164.0,617.854,,476969.0,,408.057,,556320.0,1088695.574,,,,,660.399,234553.5248,,75.9,,,4572.05,11282.7,10317.74,843949.9,420.137706,,449.0369485,1392216.223,636.529,34126.1986831717,247529.7,32839.79,,4794.71405197701,1283.6,,,824.5
1999-09,4553.1,9478859.689,839107.0,620.074,,475852.0,,412.491,,541427.0,1092019.669,,,,,658.428,238389.9906,,75.7,,,4594.744,11507.9,10504.31,843085.4,430.713745,,464.7711911,1421581.261,652.289,36130.3630296225,252147.9,33239.69,,4821.65696303404,1288.5,,,835.3
1999-10,4574.8,9487897.24,838444.0,629.33,,476089.0,,415.621,,554353.0,1117442.561,,,,,677.589,242167.5116,,75.5,,,4616.547,11538.9,10623.14,846435.7,438.220864,,464.4649762,1435336.592,628.896,38795.4694419189,256956.1,33445.23,,4850.46760662907,1298.8,,,878.9
1999-11,4610.2,9502304.707,854290.0,634.869,,480298.0,,418.741,,550681.0,1119119.155,,,,,662.615,242196.6034,,74.7,,,4646.11,11655.9,10701.16,856009.5,446.06392,,478.3446092,1467361.66,639.347,41461.1620850255,261500.8,33951.37,,4943.55861041975,1304.1,,,923.1
1999-12,4664.5,9673708.684,842065.0,641.056,,479794.0,,420.189,,534988.0,1104883.101,,,,,683.852,254766.3951,,76.6,,,4667.221,11989.79,10954.61,850827.8,468.728479,,485.4193081,1503664.517,646.205,45075.5469363765,268867.8,34514.31,,5192.4063940381,1337.5,,,993.2
2000-01,4672.6,9659750.0,838569.0,637.494,,479941.0,,419.937,,550689.0,1147735.881,,,,,690.065,255226.2166,,75.2,,,4713.205,12122.04,10943.68,853025.5,475.779608,,476.7703721,1516535.117,650.597,46889.5169080512,261040.5,34620.55,,5087.92972721702,1322.3,,,1010.3
2000-02,4674.4,9602660.0,855994.0,641.446,,477898.0,,420.916,,545173.0,1162713.935,,,,,697.557,254513.1242,,75.8,,,4735.956,12158.34,11111.08,862312.8,485.838071,,483.4615185,1533603.002,653.334,47958.8595500091,264628.1,34676.19,,5181.78172701018,1341.1,,,1075.9
2000-03,4736.0,9633190.0,885160.0,648.285,,475411.0,,420.022,,544848.0,1171980.931,,,,,698.573,262796.4008,,75.2,,,4766.006,12260.682,11241.74,865141.6,488.779471,,481.4778422,1559075.146,656.451,49059.9347895873,269788.1,34805.43,,5300.24516983207,1340.4,,,1101.0
2000-04,4806.1,9714980.0,891669.0,654.787,,476026.0,,423.053,,551259.0,1177312.617,,,,,697.715,263194.1633,,75.7,,,4802.801,12412.187,11540.93,877062.7,492.621171,,483.000744,1574038.41,665.651,50497.6674829571,273158.8,35218.02,,5373.55919137399,1341.7,,,1134.7
2000-05,4732.3,9691700.0,915537.0,650.842,,477820.0,,427.938,,568079.0,1157499.671,,,,,704.196,265722.5595,,76.8,,,4795.425,12405.325,11613.94,876562.6,500.273945,,480.3670935,1601326.36,683.477,51815.2554890451,276886.4,35470.73,,5449.29117879297,1354.3,,,1181.8
