,United States,Japan,United Kingdom,Canada,France,Switzerland,Germany,Australia,Netherlands,Denmark,Sweden,Spain,Italy,Finland,Belgium,Norway,Israel,Ireland,New Zealand,Austria,Portugal,Eurozone,China,India,Korea,Brazil,Saudi Arabia,South Africa,Mexico,Indonesia,Turkiye,Poland,Chile,Greece,Hungary,Czechia,Colombia,Argentina,Russia
1999-01,99.2362,96.9315,96.7107,100.0096,99.9062,99.056,99.0714,99.8866,100.2446,96.2412,98.2562,100.9103,99.6405,98.0931,98.4801,98.7792,97.6339,98.6204,101.4722,98.5823,101.0627,99.0,,,103.2385,96.6273,,97.3707,97.2384,,109.5673,97.553,,101.1007,98.8284,94.7566,90.5754,,99.7165
1999-02,99.5429,97.0515,97.0072,100.1415,99.8676,99.2692,98.8934,99.7992,100.2559,96.5072,97.8988,100.9262,99.6223,98.2478,98.7467,98.9144,97.8383,99.69,101.9845,98.5079,100.4807,98.9177,,,102.7916,96.7995,,97.2964,98.3737,,107.8086,97.4872,,100.942,98.6929,94.935,90.3876,,100.1547
1999-03,99.7711,97.1945,97.5476,100.2698,99.7866,99.3266,98.7918,99.9393,100.2438,96.7579,97.7871,101.0939,99.7001,98.5079,99.0529,99.0211,98.1122,100.0287,102.41,98.3783,100.1563,98.904,,,101.9271,97.0041,,97.2511,99.4046,,105.4042,97.5241,,100.9923,98.4499,95.0126,90.544,,100.6824
1999-04,99.9549,97.3522,98.3638,100.4307,99.8711,99.4161,98.7625,100.185,100.243,96.9267,97.9221,101.1251,99.852,98.947,99.5332,99.007,98.4162,100.2416,102.6773,98.2131,100.1903,98.9683,,,100.8806,97.3387,,97.2808,100.2014,,103.562,97.679,,101.2363,97.8457,95.7322,91.2461,,101.1785
1999-05,100.1645,97.5198,99.1322,100.6524,100.0901,99.4923,98.8079,100.3774,100.2582,97.1716,98.351,101.1345,100.2014,99.1748,99.8892,98.9353,98.7024,100.786,102.8183,98.1624,100.3591,99.1365,,,99.9787,97.9286,,97.3773,100.673,,102.6633,97.7229,,101.2704,97.4446,96.7618,92.167,,101.7199
1999-06,100.2995,97.7001,99.2821,100.903,100.5014,99.5742,98.943,100.4056,100.3415,97.5459,98.876,101.1184,100.623,99.427,100.0846,98.9058,98.9408,101.4781,102.836,98.5359,100.7189,99.4243,,,99.468,98.609,,97.5462,101.0082,,102.7301,97.886,,101.1777,97.7116,97.8253,93.3325,,102.0727
1999-07,100.325,97.8976,99.3866,101.1413,101.1352,99.7185,99.1144,100.3447,100.4392,98.1094,99.3511,101.1617,100.9228,99.8829,100.2876,98.9945,99.1612,102.2557,102.6992,99.41,100.981,99.7641,,,99.1997,99.2185,,97.8058,101.1922,,102.9937,98.2989,,101.1703,98.3317,98.5552,94.8303,,102.2269
1999-08,100.4696,98.1002,99.9398,101.3398,101.7895,99.895,99.313,100.3035,100.5543,98.7139,99.7124,101.3354,101.1248,100.3989,100.6012,99.1504,99.4099,103.0471,102.4589,99.964,101.0029,100.1166,,,98.9966,99.5941,,98.1153,101.3676,,103.0014,98.7314,,101.5047,98.9754,99.1112,96.3932,,102.2779
1999-09,100.7106,98.2923,100.502,101.5186,102.3057,100.1367,99.5092,100.3616,100.7727,99.1336,100.0009,101.6934,101.3382,100.7478,101.1212,99.3045,99.7229,103.8334,102.1437,100.3015,101.0736,100.4917,,,98.7665,99.8274,,98.4372,101.3976,,102.6004,98.94,,102.1066,99.562,100.5217,97.5086,,102.2882
1999-10,100.8969,98.4622,100.733,101.7111,102.5845,100.3623,99.7134,100.4869,101.0246,99.2431,100.2578,102.0004,101.5852,101.1316,101.6228,99.4124,100.0709,104.9155,101.7576,100.4526,101.3446,100.8438,,,98.5614,99.9755,,98.7489,101.2062,,102.1779,99.0459,,102.7668,100.0338,101.4586,97.6804,,102.3198
