,United States,Japan,United Kingdom,Canada,France,Switzerland,Germany,Australia,Netherlands,Denmark,Sweden,Spain,Italy,Finland,Belgium,Norway,Israel,Ireland,New Zealand,Austria,Portugal,Eurozone,China,India,Korea,Brazil,Saudi Arabia,South Africa,Mexico,Indonesia,Turkiye,Poland,Chile,Greece,Hungary,Czechia,Colombia,Argentina,Russia
1999-01,100.226,98.0803,99.9252,99.0457,99.8745,,99.3218,100.3396,,,,103.4935,99.539,,,,,,,,,,99.4008,99.6015,100.9733,97.4135,,97.0758,99.5054,93.4468,93.9219,,,,,,,,
1999-02,100.4387,98.4818,100.4162,99.3214,99.8342,,99.2939,100.4401,,,,103.4234,99.5435,,,,,,,,,,99.5422,100.0257,101.8958,97.7088,,97.2439,99.6956,94.2855,94.9235,,,,,,,,
1999-03,100.6299,98.8796,100.9141,99.5545,99.8684,,99.3233,100.5245,,,,103.3196,99.563,,,,,,,,,,99.7579,100.4954,102.815,98.1002,,97.494,99.8661,95.1963,95.965,,,,,,,,
1999-04,100.7973,99.2579,101.3405,99.7301,100.0055,,99.411,100.6016,,,,103.2075,99.6122,,,,,,,,,,100.016,101.0019,103.6655,98.5551,,97.8178,100.0385,96.2081,96.8542,,,,,,,,
1999-05,100.9408,99.5968,101.6688,99.8542,100.234,,99.5658,100.6689,,,,103.114,99.7355,,,,,,,,,,100.2652,101.4034,104.4048,99.0265,,98.1967,100.2147,97.2764,97.4923,,,,,,,,
1999-06,101.0497,99.9039,101.89,99.9427,100.5419,,99.7746,100.7287,,,,103.0551,99.9206,,,,,,,,,,100.4275,101.8205,105.0063,99.4539,,98.6067,100.4234,98.2676,97.969,,,,,,,,
1999-07,101.1277,100.1775,101.9803,100.0154,100.903,,100.0075,100.7706,,,,103.0399,100.1347,,,,,,,,,,100.4284,102.244,105.4386,99.8022,,99.0298,100.6755,99.0707,98.4528,,,,,,,,
1999-08,101.1846,100.4185,101.9208,100.1011,101.256,,100.2636,100.7878,,,,103.0792,100.3708,,,,,,,,,,100.3073,102.6626,105.6632,100.0587,,99.4313,100.961,99.6709,99.0871,,,,,,,,
1999-09,101.2347,100.6272,101.7424,100.2118,101.5682,,100.5299,100.786,,,,103.1748,100.6296,,,,,,,,,,100.1373,103.0637,105.6818,100.2441,,99.7842,101.2801,100.1685,99.9947,,,,,,,,
1999-10,101.2864,100.8166,101.4917,100.3546,101.8408,,100.7924,100.7758,,,,103.3119,100.8811,,,,,,,,,,99.9765,103.4297,105.5228,100.3767,,100.0813,101.6652,100.6651,101.1485,,,,,,,,
1999-11,101.3406,100.9956,101.2468,100.5285,102.0783,,101.0283,100.7557,,,,103.456,101.0995,,,,,,,,,,99.8625,103.7393,105.2406,100.4756,,100.3169,102.0678,101.1702,102.4676,,,,,,,,
1999-12,101.3789,101.16,101.0452,100.7106,102.2835,,101.2294,100.6977,,,,103.5804,101.2761,,,,,,,,,,99.7969,103.9716,104.8495,100.5669,,100.4922,102.4043,101.6265,103.8382,,,,,,,,
2000-01,101.3746,101.3107,100.8882,100.8719,102.4741,,101.4042,100.5899,,,,103.6704,101.4194,,,,,,,,,,99.7754,104.1093,104.3856,100.6671,,100.605,102.66,101.9783,105.0913,,,,,,,,
2000-02,101.3109,101.4162,100.7709,101.006,102.6573,,101.5798,100.4328,,,,103.7007,101.5352,,,,,,,,,,99.7668,104.1454,103.898,100.7881,,100.6648,102.7957,102.1847,106.0785,,,,,,,,
2000-03,101.2154,101.4695,100.6906,101.1045,102.8206,,101.7568,100.2252,,,,103.6471,101.6283,,,,,,,,,,99.7289,104.0815,103.4559,100.9206,,100.677,102.8264,102.1997,106.6365,,,,,,,,
2000-04,101.0973,101.4728,100.6154,101.1551,102.9458,,101.9387,99.9946,,,,103.5023,101.6935,,,,,,,,,,99.6039,103.9266,103.0831,101.0529,,100.6583,102.8262,102.0341,106.7281,,,,,,,,
2000-05,100.9511,101.4303,100.5524,101.165,103.0285,,102.1086,99.7715,,,,103.2818,101.7243,,,,,,,,,,99.3994,103.6947,102.742,101.1817,,100.6266,102.8157,101.7307,106.4722,,,,,,,,
2000-06,100.7858,101.3621,100.4945,101.1314,103.0734,,102.242,99.5805,,,,103.0116,101.7403,,,,,,,,,,99.1357,103.4027,102.3859,101.2887,,100.5859,102.7551,101.3501,105.9943,,,,,,,,
2000-07,100.6021,101.2669,100.4519,101.0347,103.0745,,102.3386,99.4207,,,,102.7154,101.7555,,,,,,,,,,98.8,103.0682,101.9489,101.3426,,100.5325,102.6061,100.9466,105.3585,,,,,,,,
2000-08,100.3853,101.1589,100.4386,100.8507,103.0386,,102.3702,99.2733,,,,102.4171,101.7544,,,,,,,,,,98.4116,102.7092,101.3872,101.32,,100.4646,102.4178,100.5549,104.5337,,,,,,,,
2000-09,100.1324,101.0422,100.4626,100.5675,102.9765,,102.3193,99.1289,,,,102.1394,101.7063,,,,,,,,,,98.0095,102.3402,100.6821,101.2328,,100.3745,102.1707,100.1858,103.416,,,,,,,,
2000-10,99.8263,100.9114,100.5327,100.2026,102.8825,,102.1735,99.0008,,,,101.8967,101.6293,,,,,,,,,,97.664,101.9762,99.8691,101.1044,,100.2648,101.8615,99.8255,101.8915,,,,,,,,
2000-11,99.4772,100.7603,100.6191,99.7963,102.7478,,101.928,98.9201,,,,101.6866,101.5065,,,,,,,,,,97.4033,101.6239,99.0277,100.9597,,100.1578,101.4983,99.4704,99.9139,,,,,,,,
2000-12,99.1006,100.5849,100.6807,99.4007,102.5683,,101.5809,98.9103,,,,101.4937,101.3454,,,,,,,,,,97.1971,101.2869,98.2521,100.8152,,100.0777,101.0746,99.1218,97.6167,,,,,,,,
2001-01,98.7563,100.3721,100.6916,99.0504,102.3438,,101.1653,98.9866,,,,101.3054,101.1253,,,,,,,,,,97.0371,100.9696,97.6172,100.6626,,100.0228,100.6628,98.7874,95.293,,,,,,,,
2001-02,98.4918,100.1536,100.6606,98.7705,102.0692,,100.7149,99.1532,,,,101.104,100.8825,,,,,,,,,,96.944,100.6748,97.2114,100.4709,,99.9695,100.2803,98.4825,93.2407,,,,,,,,
2001-03,98.3201,99.9383,100.6002,98.5753,101.7464,,100.2614,99.3903,,,,100.8749,100.6451,,,,,,,,,,96.9069,100.4024,97.0463,100.2098,,99.8874,99.9463,98.249,91.8518,,,,,,,,
2001-04,98.233,99.7183,100.5282,98.4504,101.3887,,99.8225,99.6637,,,,100.6088,100.4267,,,,,,,,,,96.8723,100.1555,97.0494,99.8615,,99.7805,99.6201,98.1445,91.4108,,,,,,,,
2001-05,98.2049,99.4981,100.4533,98.3679,100.9964,,99.4074,99.9302,,,,100.3135,100.241,,,,,,,,,,96.8079,99.9254,97.1518,99.4241,,99.6654,99.3863,98.2994,91.7465,,,,,,,,
2001-06,98.1805,99.2695,100.3596,98.3088,100.5709,,99.0126,100.1453,,,,99.9975,100.0593,,,,,,,,,,96.7201,99.6872,97.3253,98.9366,,99.5572,99.2132,98.5581,92.4368,,,,,,,,
2001-07,98.1345,99.0496,100.2395,98.2864,100.1282,,98.6547,100.3061,,,,99.6833,99.8628,,,,,,,,,,96.6217,99.4551,97.5791,98.4767,,99.47,99.142,98.8768,93.2192,,,,,,,,
2001-08,98.0698,98.8445,100.1193,98.3266,99.71,,98.3468,100.4293,,,,99.3939,99.654,,,,,,,,,,96.5573,99.2291,97.9108,98.1397,,99.4467,99.1018,99.1923,94.0098,,,,,,,,
2001-09,98.0277,98.67,100.0164,98.4484,99.3637,,98.1018,100.5379,,,,99.1321,99.4598,,,,,,,,,,96.5619,99.0113,98.326,97.9842,,99.5291,99.0309,99.4375,94.7963,,,,,,,,
2001-10,98.079,98.5509,99.948,98.681,99.1407,,97.9636,100.6453,,,,98.8937,99.3447,,,,,,,,,,96.6565,98.8064,98.8516,98.0265,,99.7298,98.9787,99.5954,95.678,,,,,,,,
2001-11,98.25,98.4989,99.9392,99.0446,99.0546,,97.9659,100.7523,,,,98.6593,99.3426,,,,,,,,,,96.8389,98.6172,99.4829,98.2349,,100.0194,98.97,99.6912,96.7052,,,,,,,,
