,United States,Japan,United Kingdom,Canada,France,Switzerland,Germany,Australia,Netherlands,Denmark,Sweden,Spain,Italy,Finland,Belgium,Norway,Israel,Ireland,New Zealand,Austria,Portugal,Eurozone,China,India,Korea,Brazil,Saudi Arabia,South Africa,Mexico,Indonesia,Turkiye,Poland,Chile,Greece,Hungary,Czechia,Colombia,Argentina,Russia
1999-01,102.1616,99.1387,101.773,,101.2572,101.1827,100.6068,101.2532,100.971,99.3067,100.0378,103.7713,102.6273,100.8644,100.9971,,,103.3713,100.1939,100.1975,102.4072,101.9149,98.4753,,99.284,98.0412,,99.0346,,,,,,102.4175,100.584,96.814,,,90.73
1999-02,102.3725,99.2262,102.1197,,101.2168,101.0141,100.4978,101.5505,100.8927,99.3947,100.0261,103.6323,102.3689,100.8278,101.0241,,,103.2701,100.5006,100.2217,102.4567,101.7785,98.5742,,99.6483,97.5537,,99.1831,,,,,,102.4525,100.5667,96.4586,,,91.17
1999-03,102.4083,99.2546,102.4171,,101.0978,100.8968,100.2831,101.5727,100.8703,99.568,100.0939,103.4695,101.961,100.9655,100.964,,,103.3308,100.6942,100.2847,102.4003,101.5356,98.5992,,100.003,97.0688,,99.333,,,,,,102.5293,100.3548,96.2531,,,91.5
1999-04,102.4034,99.2785,102.5353,,101.0083,100.835,100.058,101.5487,100.9669,99.7162,100.2554,103.3241,101.6371,101.2361,100.8265,,,103.4062,100.7168,100.4371,102.3561,101.3132,98.6628,,100.4075,96.9351,,99.4573,,,,,,102.7561,100.0128,96.3127,,,91.72
1999-05,102.4475,99.3336,102.5404,,101.0487,100.8528,99.9122,101.4571,101.0927,99.8776,100.5285,103.3058,101.5681,101.5361,100.5495,,,103.509,100.6463,100.5626,102.3506,101.2184,98.7996,,100.8523,97.2085,,99.55,,,,,,102.9214,99.8066,96.3974,,,91.87
1999-06,102.4588,99.4132,102.5503,,101.243,100.9845,99.8647,101.2683,101.2402,100.1919,100.828,103.4265,101.7572,101.697,100.2144,,,103.6205,100.5692,100.6029,102.4021,101.2783,98.9394,,101.197,97.7961,,99.6054,,,,,,102.9841,99.6929,96.6331,,,91.97
1999-07,102.4026,99.5041,102.5761,,101.524,101.1858,99.9132,101.1468,101.4165,100.597,101.0454,103.5615,101.8682,101.6447,100.2451,,,103.7363,100.5454,100.7232,102.4866,101.4222,99.0309,,101.4577,98.2944,,99.6297,,,,,,102.9347,99.6496,96.6013,,,92.12
1999-08,102.3402,99.5976,102.6404,,101.7782,101.4187,99.9661,101.0914,101.6695,100.9396,101.348,103.6693,101.9472,101.5453,100.5299,,,103.8042,100.5803,100.8785,102.5261,101.5905,99.1998,,101.6419,98.4992,,99.689,,,,,,102.9401,99.8634,96.4418,,,92.45
1999-09,102.3298,99.6906,102.6491,,101.9873,101.6669,100.0444,101.1663,101.9543,100.7714,101.5809,103.7707,102.0697,101.5505,100.9389,,,103.8715,100.685,100.9667,102.5225,101.7889,99.3222,,101.7713,98.4949,,99.8859,,,,,,103.1859,100.2665,96.5715,,,93.12
1999-10,102.3089,99.7825,102.7615,,102.1069,101.9198,100.1712,101.228,102.1842,100.4615,101.6441,103.897,102.289,101.668,101.352,,,104.0008,100.8777,100.982,102.5183,102.0334,99.414,,101.8322,98.3773,,100.2991,,,,,,103.5267,100.5211,97.1314,,,93.97
