,United States,Japan,United Kingdom,Canada,France,Switzerland,Germany,Australia,Netherlands,Denmark,Sweden,Spain,Italy,Finland,Belgium,Norway,Israel,Ireland,New Zealand,Austria,Portugal,Eurozone,China,India,Korea,Brazil,Saudi Arabia,South Africa,Mexico,Indonesia,Turkiye,Poland,Chile,Greece,Hungary,Czechia,Colombia,Argentina,Russia
1999-Q1,-2.58563772129148,2.32867739037785,-2.76756149594967,-0.14683565071162,3.7574851216087,2.04883147156615,-1.9899321169216,-5.62952372442141,,,3.00376059253246,-2.30901707994704,0.901909668791592,1.95824087737843,,0.790757833607769,-2.04192049929663,,-3.3237526715307,-2.16472124283619,-7.62113254242476,,0.86766568064161,-0.301556890199646,5.99269358835638,-5.04028097708159,,1.63615833227446,,,3.25672996876802,,,,-7.83017733189034,-2.90880234648291,,,
1999-Q2,-2.85347478168128,2.46081564596402,-2.20346729464258,-0.252270230905719,3.54950008572629,10.1592408221727,-0.791376329986512,-5.93559771741959,,,3.90915419169164,-3.2456056504995,1.2326032844071,6.39267871011834,,4.00987802603745,-1.28294764924754,,-3.91291769130624,-2.46273067725382,-8.38100163290075,,1.11070078068629,-0.96340833148405,4.35392706687973,-4.34357893519773,,-1.01318744796908,,,-1.22659363549245,,,,-9.33288220213703,-1.88391989380404,,,
1999-Q3,-3.14367458803509,2.57597287097272,-2.20776690870616,0.724169398457664,2.2617729167947,11.7423185533968,-1.35919077289044,-5.65663866802921,,,3.98741791017476,-3.78851171611261,0.680738504067926,5.30718041178702,,6.69567523470051,-0.707053985234503,,-4.70990003913059,-2.97920888482381,-9.50899812717621,,3.44578801211129,-0.696876600179158,3.78933976459288,-4.09397128613357,,-0.243527103800445,,,-0.891262625545536,,,,-8.37617085282743,-0.58935418553216,,,
1999-Q4,-3.3003477011352,2.52383823614279,-1.30413349068583,0.360042574938424,3.72012346491596,10.0676498747199,-1.73655866867581,-4.70519077331929,,,4.30647655620406,-3.65571430012299,0.263243870616098,5.91334015024534,,9.62675112318366,-1.05290293114848,,-7.52642556651465,-1.84895197851099,-10.1856146871379,,1.59796481103974,-0.858118343764274,3.50531822543493,-3.8353847457887,,-1.83410378377596,,,-1.33614442488181,,,,-8.13714179489522,-3.11512813211675,,,
2000-Q1,-3.79005414720132,2.61959227615524,-1.5878377138074,2.08636239613974,1.05623765641949,8.59398873620119,-1.18925027142985,-4.84089450794933,,,3.15445666888181,-4.06508179116981,0.583550008216061,6.54723197751229,,11.4117649418035,-1.75343006715266,,-4.59304520957056,-0.701332966957647,-11.7340498922707,,1.95798475248054,-1.90196061588575,1.58781386122845,-3.28533462316989,,-0.32773721142252,,,-2.77497806386491,,,,-8.10871240389526,-3.74786756066754,,,
2000-Q2,-3.76247594586893,2.84662214343014,-1.70047308313789,2.24512664537113,1.56078930126801,10.7648283400394,-1.24842161305916,-4.89515826054288,,,3.32266206126113,-4.32809440525215,-0.643102078549095,7.06230541067402,,12.0451529787276,-0.854333358220454,,-3.19229186668495,-0.476233549409184,-11.0838943423133,,1.95534912412439,-1.39731072011687,1.25333941971033,-4.15254242919674,,0.340521604309353,,,-4.13976669783642,,,,-6.72683447883485,-3.71673206925564,,,
2000-Q3,-4.05009999355506,2.76162026166087,-2.04510061100091,2.75279736986614,0.103345160168936,9.76623367487989,-2.30569082146219,-3.28495165650919,,,3.54071030688889,-4.64226444282471,-0.554277480989484,9.11207794569032,,16.4369778993625,0.461582666772871,,-3.20062187373259,-0.947026294000831,-10.0830024448981,,2.03285224853399,-1.13371680153225,2.62971243289059,-3.80289448107211,,-1.23408047279993,,,-3.89341158826846,,,,-9.17707003355889,-4.8198366255252,,,
2000-Q4,-4.0736530141023,2.29140875971309,-2.12530862864506,3.08417484640915,1.6948297187761,12.6854323917694,-2.63351474953622,-3.38482272444537,,,5.544830876187,-4.29674041363252,-0.522761904401119,6.14260039288656,,18.6717615800154,-3.687986118041,,-2.04383399599119,-0.219391011305163,-10.3980172723546,,1.22142336596402,0.615280465704868,1.56202597188533,-5.09867464170073,,0.910795818624204,,,-3.45525836636393,,,,-11.0686429381976,-5.6778378247889,,,
2001-Q1,-4.09297559910569,2.12149277772232,-1.06887477731775,3.71502812359773,1.76086996238651,5.83965855124622,-1.24418727735242,-2.3765934933405,,,3.64058157698252,-4.27154360224686,0.495886029719334,8.27956128104505,,15.4172088531132,-2.82737475065769,,-1.0204415372036,-2.05728849787398,-10.1467939801461,,2.66400968300268,-0.526683610985621,1.77283368064187,-4.79010294335861,,0.211184894988669,,,0.270279616824655,,,,-7.95375342363643,-6.40927665328307,,,
2001-Q2,-3.59471648268705,1.65477112937897,-2.2354600815688,2.54393421577642,0.841662967071247,6.19401898301914,-0.824448598647236,-2.09277178584301,,,3.67358323894038,-4.84137248253509,-0.28577620054102,7.93267229603601,,15.5357017078122,-2.17065299412686,,0.139055685481322,-1.3213128777687,-11.4857939383822,,0.619160867850805,1.68231091107395,1.20378625737346,-4.70438010475867,,1.28541481534357,,,3.66590521994013,,,,-7.53524305172392,-5.33564992800049,,,
