,United States,Japan,United Kingdom,Canada,France,Switzerland,Germany,Australia,Netherlands,Denmark,Sweden,Spain,Italy,Finland,Belgium,Norway,Israel,Ireland,New Zealand,Austria,Portugal,Eurozone,China,India,Korea,Brazil,Saudi Arabia,South Africa,Mexico,Indonesia,Turkiye,Poland,Chile,Greece,Hungary,Czechia,Colombia,Argentina,Russia
1999-Q1,1.78198949,-3.18440303,-0.617972612,11.156666188,2.64635539,-0.971245768,-0.427907904,3.412682088,8.100655035,10.067144048,6.238039791,8.154805964,-5.675668972,2.148121517,0.477132806,-5.617561513,9.334789152,14.634901719,8.953424658,3.341176317,3.119818356,,,17.53617,4.318796036,0.723697999,,1.168667244,6.444936384,-43.735574919,-6.354878766,-6.384093481,6.630603817,27.603200163,7.720735514,-4.684829975,,,
1999-Q2,4.17548613,-0.334058009,0.502660824,10.093073964,2.347464692,-0.323806148,3.043550225,1.203423877,8.500124705,14.364929965,7.537257712,4.953762171,-5.092321917,9.047928062,2.780681125,0.46549917,5.571724288,16.587161246,7.952508961,2.986049383,2.021050923,,,42.72092,11.126631444,0.40366158,,-5.711838709,4.00698181,-37.454740322,-13.314257268,-5.721029645,7.064711567,34.606750201,7.845972207,5.518123631,,,
1999-Q3,7.807311057,3.557829029,5.643853034,11.674287468,5.263249805,6.463969282,6.527554516,5.613550952,8.203445004,6.928989766,7.982096596,8.483543525,-0.146293264,14.193250116,5.608805221,7.97075885,18.292786253,14.800977095,7.307853843,6.741306136,2.043991421,,,3.23238,15.343073343,2.945448334,,2.621707543,9.135341498,-38.628370307,-12.615322688,1.427943795,6.754553685,11.704600218,12.210164582,8.312234107,,,
1999-Q4,6.180181388,7.8804957,7.765526652,10.402491381,8.439192799,7.602411757,10.619864344,8.558975271,9.982347743,14.006413441,5.747319088,10.71509136,6.170481724,20.365142104,10.501355014,9.781703861,21.894571352,22.491523641,9.186949767,11.396920718,6.950187343,,,13.28824,18.156276121,18.696880114,,7.164886277,7.913758701,12.31863523,-9.235007149,0.564570775,7.502318736,26.449448096,19.100028462,10.84361216,,,
2000-Q1,8.030437544,13.420954332,10.048094384,10.125817094,12.360890752,12.257600001,15.194692572,12.10082818,11.01078314,7.523480131,9.918101011,8.855908175,12.205400586,19.14650242,15.30078561,7.466154074,25.850637341,22.95219021,8.811104406,13.22215207,9.772006058,,,19.37017,19.290127733,13.857174258,,5.751824005,11.78948829,14.72853687,7.905877436,20.557282628,8.342680813,29.163627039,23.714139978,16.355738294,,,
2000-Q2,9.977585024,16.008725261,11.924151653,11.610496853,14.902250354,15.183344762,13.478459603,13.260854016,11.19222441,12.328936731,12.480150946,12.634398168,12.684376347,16.220351951,13.929789623,3.071068348,25.740828689,25.5835887,12.253579581,14.708614673,7.282430842,,,16.1979,17.651873191,13.50287851,,12.918310708,18.007115866,32.944614064,22.814613451,24.481219767,2.196951409,25.141461869,26.092303982,12.145352671,,,
2000-Q3,9.336057677,13.072227441,7.335470684,8.673534953,13.326430655,10.470933054,12.87740532,14.926168497,13.281951797,16.179183628,13.158322497,9.844618351,14.81603215,16.542510121,11.411148049,3.389031351,36.713983892,23.912767064,4.422700587,14.491495766,7.711777673,,,21.00098,21.408303102,24.142560967,,4.574521389,15.627753808,26.704722803,26.813304027,13.843588801,8.91085166,19.794622271,24.527061946,12.977657629,,,
2000-Q4,5.987356206,10.069634207,7.86047604,5.904616403,13.502197478,12.128473112,16.412656449,6.415824061,15.104521283,14.191955807,13.640618318,10.424538786,12.331732032,12.885066458,9.232412334,1.796870904,10.162750452,23.472126673,5.473344716,14.433999775,9.334887399,,,22.72588,10.251481723,4.89102307,,10.381090824,14.398932216,31.214918431,18.519296163,35.659838094,4.99205326,14.436904959,25.596579239,20.085862136,,,
2001-Q1,3.159261764,0.681945022,9.875691298,0.568637484,10.260354705,8.412373879,10.859829107,7.249088621,7.404366803,12.944309775,7.359002075,9.112627986,6.408339085,6.114762573,4.689783446,4.54307628,1.591563985,28.304212461,2.995008319,10.438150377,3.37794933,,,13.18764,7.633033703,13.019191774,,2.584483585,12.859391482,18.976656595,11.113608316,5.697440352,7.49844836,6.626580362,17.297612014,15.820860661,,,
2001-Q2,-2.82756503,-6.074294886,2.715173888,-2.266165356,4.058776056,-1.558745027,7.366255428,6.378275971,3.43336592,5.987535816,0.755694699,4.088841409,7.336830998,2.443127789,0.803332342,2.053444468,-8.456145791,14.842746287,3.854330345,7.562898613,5.056794792,,,13.5152,-1.235927896,14.962815808,,10.392114784,2.779641053,3.458131358,5.782864341,-0.338989103,12.520845617,-0.724560734,12.243692307,11.010796044,,,
2001-Q3,-9.971435271,-9.635161629,-0.18366183,-5.018611031,2.037575714,-2.800715687,5.337640717,-0.530991983,0.843441782,-1.492928322,-2.255261079,3.655136809,-0.413869133,-3.182102411,-1.184417677,5.925016202,-23.689698889,12.491467468,6.727886057,4.557888656,0.744162956,,,4.23695,-6.976124967,2.983771447,,1.015936386,-0.679972741,-5.558740467,3.283275593,13.820034364,4.376018004,-4.582564551,7.889251264,8.059918926,,,
2001-Q4,-12.232541883,-10.981013315,-1.885810037,-4.801062502,-4.053493417,-3.003409539,1.267289351,-0.502032771,-5.207888884,-2.718916482,-2.18392438,-0.751476114,-3.723877522,2.188668791,-2.538521429,5.743583242,-12.150552126,9.550573868,-0.179872291,0.835137137,0.197333926,,,-1.86026,-5.759342036,3.5947092,,-3.946010978,-5.730867349,-10.900338704,-0.029983863,-5.437228704,6.285064333,-1.339116992,-0.448465732,3.572385283,,,
2002-Q1,-9.171391191,-3.430897271,-4.109476827,-1.392278359,-2.106553547,-6.611609967,1.082388489,-0.24365299,-1.242396928,2.27914146,1.18532278,-0.921916929,-3.527733566,-1.092629967,0.261058738,-0.725891555,-11.215903345,8.843183727,3.293843116,4.627517459,2.587737934,,,2.34923,1.207399774,0.618402994,,-1.617266796,-6.50989565,-5.169948232,2.852702416,-2.836892521,1.071361856,-12.936725647,5.795641393,2.68212319,,,
2002-Q2,-3.640467174,7.655045857,2.131744455,-0.194695212,2.783740644,-0.621664666,3.818487341,-0.682695162,0.346552395,3.795571157,4.038056304,-0.385704117,-5.099603403,6.511960014,3.645218418,3.613475747,-1.922865257,7.776075094,6.639373443,3.906724586,3.60767271,,,16.11393,11.013502278,-10.646698435,,-2.507366132,2.643824351,-6.005753212,1.960956645,8.850350252,3.999118242,-6.094376116,7.682585786,2.00952782,,,
2002-Q3,1.883900461,10.842446191,4.002479155,4.227639785,2.439693353,2.499950211,5.705424749,0.207515676,0.989858935,5.588247889,0.356245731,1.391240827,-2.250521653,6.329386437,4.809277682,-2.267877712,-0.772808259,6.119569772,6.01404741,4.15666733,4.161692746,,,26.21255,17.901674552,17.442417259,,2.394060244,6.17508946,2.369543843,9.995814518,2.569904089,0.861610369,4.767176809,5.686904623,-1.0996812,,,
2002-Q4,3.99776925,16.913950993,-0.184293557,2.394393615,5.614670296,-2.19843924,6.299903624,4.087602538,2.444726021,5.796116116,1.313138107,5.709167117,1.014917782,4.310695405,5.153547476,-2.671592689,6.134714349,1.502376259,11.820884764,3.314312284,2.898010308,,,23.44967,21.768931931,19.523846973,,6.031076306,9.13240543,4.6174103,18.275875432,10.540210199,6.947937836,-13.191719251,3.886159003,-0.271731321,,,
2003-Q1,1.461724364,13.308763724,3.045950281,-0.951298043,0.586021952,-1.600538791,3.541419081,1.598166631,3.257853671,0.090658338,2.193352365,3.647209345,-0.395028063,0.330706445,1.687038912,-0.661244876,9.105737913,-5.661241117,5.786775567,-0.678358328,6.808142337,,,18.9155,13.72442407,14.23135074,,0.510910627,4.130472628,6.569445987,7.643679533,11.514915159,8.40756034,-2.218387141,0.953779042,2.261719604,,,
2003-Q2,-1.296532452,5.817533104,-1.406624749,-2.78780612,-2.745621147,-2.484765325,0.110676252,-3.746264196,1.527130246,-2.180648971,1.99057264,4.77765222,-3.528097577,-0.382114366,0.895272675,1.893512221,3.213464122,-1.83169962,0.47571357,-1.43283288,7.125465557,,,1.70163,9.350512966,27.746824773,,-2.378493993,-5.945489249,9.730561468,3.381873372,10.579027931,3.327361715,-3.117375577,0.483012695,5.084499774,,,
2003-Q3,1.080513267,8.838818888,-0.608041418,-3.78160835,-1.714458011,-2.362892683,1.507095876,-2.156394904,0.991678791,-1.165116309,7.135418927,3.510610427,-0.967527653,-0.303705203,0.910296067,-2.754849679,10.389553001,0.966360928,2.50931677,0.887263774,3.457216868,,,5.96707,10.410951079,1.702100033,,5.17179756,-2.941550675,2.488271695,13.246213222,15.3767249,11.174104952,-4.655922595,7.912038306,11.52407544,,,
2003-Q4,7.210511749,10.582377216,5.366947645,0.709572803,0.129318141,1.926268626,2.08697649,-0.040148102,2.493162955,-1.574869817,6.755163495,2.38384549,-1.451206371,-3.521767381,2.964611933,0.200575934,9.245168354,10.788642223,0.813794215,3.15051303,2.461735652,,,12.001,20.515378664,4.934444808,,-2.619438405,-1.57116179,4.863160327,6.36068026,18.316178946,5.467618063,7.899447456,15.865379542,16.62397623,,,
2004-Q1,9.971322343,14.498528559,1.102595752,2.2336262,3.184028861,9.63746095,9.727389342,0.216662215,2.532294034,1.048203233,8.746781496,4.575331046,1.960575963,10.253173434,5.218983943,4.02023691,13.766624773,7.981330511,6.603696099,5.773246963,0.461616165,,,18.36327,27.646307013,12.921360309,,-2.207027762,1.391760795,3.318677521,11.45904709,10.630197523,12.585360235,16.126598324,18.541640848,15.304077391,,,8.219809209
2004-Q2,12.075664517,17.986830802,4.885883347,9.245479625,5.83220451,11.457733922,14.862130468,7.527983482,8.139795246,6.199470661,13.06162502,4.861144153,8.306236335,2.092866756,6.160142537,0.246838452,20.865116765,10.410527897,10.598886951,10.600872269,4.530599766,,,19.37755,28.831923565,13.466020673,,2.460806099,9.505416804,5.784396862,18.89798188,9.24596766,13.673306347,16.874355532,22.010965496,37.332310289,,,11.024305755
2004-Q3,9.454436488,14.902785058,5.956474082,7.571497874,4.832269107,8.896633028,9.57019327,4.854145578,9.702772472,2.791362649,10.29478768,4.321690711,7.253430435,8.888437585,6.946925906,3.365772439,17.343670206,6.867117989,0.500888673,9.336470136,2.849762938,,,13.2268,19.775434623,14.162238341,,1.456792138,5.989936205,22.365519063,5.9022644,3.463450605,17.286852521,22.024076787,16.851578525,35.76430714,,,10.801891438
2004-Q4,7.230074976,10.752559411,7.422018349,3.217866218,4.848873479,7.509260876,7.548032306,2.491669642,10.055894101,2.136559652,9.455879609,3.476115371,4.563522969,13.786368534,6.432848882,-2.875826536,19.141291341,0.848980151,2.789322251,7.007639522,6.372678961,,,20.54638,9.982728349,13.747636529,,9.574846987,5.427544947,23.004792175,13.272029731,-1.809133985,16.390869579,18.347383862,14.603947019,28.373878165,,,11.00406745
