,United States,Japan,United Kingdom,Canada,France,Switzerland,Germany,Australia,Netherlands,Denmark,Sweden,Spain,Italy,Finland,Belgium,Norway,Israel,Ireland,New Zealand,Austria,Portugal,Eurozone,China,India,Korea,Brazil,Saudi Arabia,South Africa,Mexico,Indonesia,Turkiye,Poland,Chile,Greece,Hungary,Czechia,Colombia,Argentina,Russia
1999-Q1,46594.9,,35205.0,36810.5,35777.0,54309.0,38826.6,36641.5,42787.7,43465.4,36923.5,30476.4,,35364.6,38097.8,52777.7,26873.3,42801.5,27977.6,41557.3,27861.6,,,,19701.0,,,,,,,14511.0,13691.5,27526.6,17633.9,22153.5,,,
1999-Q2,46855.7,,35315.9,37051.6,35950.6,54600.7,38821.3,36678.9,43203.6,43657.0,37152.7,30812.9,,35533.2,38592.6,52718.8,27599.9,43037.1,28197.7,42081.8,27972.3,,,,20526.1,,,,,,,14816.1,13674.3,27765.8,17843.0,22260.6,,,
1999-Q3,47326.4,,35878.3,37524.2,36423.2,54835.0,39240.6,36994.9,43715.6,43885.6,37402.3,31181.6,,35692.3,39126.3,53663.1,27505.8,44576.8,28566.1,42762.4,28207.6,,,,21053.2,,,,,,,15114.2,13912.6,27853.9,18191.4,22464.0,,,
1999-Q4,47958.7,,36367.4,37938.7,36856.9,56050.4,39562.9,37520.2,44246.8,44466.0,38101.3,31488.2,,35974.4,39566.4,54481.0,27810.7,45412.9,28821.1,42862.6,28325.1,,,,21617.2,,,,,,,15339.2,14231.1,28281.0,18415.4,22719.8,,,
2000-Q1,48010.8,,36757.8,38503.0,37098.4,56347.6,40121.7,37536.9,44452.2,44865.9,38360.6,31968.4,,37038.7,39824.4,55230.7,27986.1,45787.0,29485.8,43229.6,28896.8,,,,21984.1,,,,,,,15442.2,14318.1,28359.0,18597.5,23037.6,,,
2000-Q2,48764.3,,36967.2,38873.8,37412.3,56539.3,40445.4,37798.3,44872.3,45334.2,39322.3,32332.4,,37303.9,40091.4,54344.2,28850.4,46901.8,29209.0,43544.1,28689.1,,,,22228.4,,,,,,,15613.7,14298.6,28581.2,18784.8,23262.6,,,
2000-Q3,48681.6,,37119.8,39151.8,37653.8,57039.9,40423.8,37789.6,45149.0,45416.8,39583.3,32638.9,,37861.8,40253.8,54776.7,29567.3,47731.9,29283.8,43755.6,29054.6,,,,22785.6,,,,,,,15665.9,14467.4,29074.3,18963.6,23565.3,,,
2000-Q4,48842.8,,37243.0,39093.7,37809.8,57712.0,40303.0,37541.3,45635.6,45818.0,39438.6,32927.9,,38255.4,40611.7,54737.5,29425.2,47773.8,29453.6,44284.7,29197.2,,,,22662.3,,,,,,,15957.7,14593.1,29445.6,19332.6,23683.8,,,
2001-Q1,48571.2,,37526.3,39249.1,37915.8,57530.7,41106.3,37763.9,45605.2,45278.2,39546.8,33245.7,,38421.8,40599.0,55336.3,28960.8,48413.3,29159.1,44140.2,29047.1,,,,22900.4,,,,,,,15898.7,14646.3,29771.1,19470.1,24053.3,8781.2,,
2001-Q2,48759.7,,37627.4,39244.7,37911.0,57735.7,41076.9,37974.2,45764.3,45465.3,39549.2,33455.3,,38441.0,40574.7,55188.6,28556.4,49143.8,30086.0,44052.4,29283.4,,,,23158.0,,,,,,,15848.7,14738.4,29657.4,19639.5,24119.1,8775.6,,
2001-Q3,48437.5,,37760.3,39079.6,38080.6,57635.9,40978.4,38311.9,45752.5,45839.2,39655.8,33721.5,,38654.2,40446.2,55796.9,28093.4,48753.1,29958.1,44023.9,29281.1,,,,23428.8,,,,,,,15927.9,14654.8,30101.8,19827.0,24238.1,8815.3,,
2001-Q4,48447.3,,37781.4,39180.9,37850.5,57307.3,40927.2,38663.4,45803.0,45706.2,39960.2,33852.5,,38518.8,40358.8,56209.4,27817.8,49475.7,30217.0,44129.6,29647.6,,,,23806.0,,,,,,,15934.6,14699.5,30145.3,19990.2,24435.1,8841.6,,
2002-Q1,48746.2,,37871.7,39711.0,37999.9,57228.7,40711.4,38820.6,45458.6,45639.8,39885.2,33810.9,,38755.9,40654.4,55642.8,27912.8,49980.2,30423.4,44507.2,29658.5,,,,24377.2,,,,,,,16040.7,14772.5,30363.7,20460.9,24412.0,8736.5,,
2002-Q2,48935.9,,38030.4,39837.7,38089.5,57271.3,40882.8,39406.8,45566.0,45601.3,40461.4,33924.7,,39115.1,40958.7,56714.5,27805.3,50437.6,30539.1,44695.8,29482.9,,,,24787.5,,,,,,,16157.0,14852.1,31024.1,20590.2,24539.3,9010.0,,
2002-Q3,49010.6,,38263.3,40045.8,38207.5,57144.6,41081.5,39416.4,45569.0,45722.3,40655.1,33971.6,,38996.6,41138.2,55759.8,27675.8,51137.0,31006.0,44742.2,29314.0,,,,25255.5,,,,,,,16313.4,14961.1,31183.2,20796.7,24694.5,8946.8,,
2002-Q4,48951.7,,38539.9,40148.1,38138.5,56787.2,41023.3,39623.4,45566.7,45546.0,40692.1,34045.2,,39416.2,41252.1,56304.5,27525.1,51775.7,31514.1,44529.9,29064.9,,,,25500.2,,,,,,,16396.3,15133.7,31403.9,21065.2,24854.2,8942.7,,
2003-Q1,49107.2,,38739.7,40333.2,38105.8,56422.7,40416.8,39554.4,45526.8,45764.6,41152.5,34212.3,,39128.6,41095.7,56226.6,27790.2,51209.3,31422.1,44799.1,29063.0,,,,25297.9,,,,,,,16468.2,15282.7,32038.4,21242.4,25129.1,8988.1,,15936.1
2003-Q2,49432.2,,39026.9,40184.2,37940.6,56202.9,40469.1,39633.8,45330.4,45313.7,40876.8,34236.9,,39661.0,41143.9,55872.5,27536.6,51479.3,31404.5,44843.2,28783.3,,,,25224.3,,,,,,,16754.0,15401.2,32587.7,21485.8,25390.8,9112.3,,16131.3
2003-Q3,50129.8,,39360.1,40215.5,38245.9,56706.9,40789.1,40216.7,45320.3,45435.6,41402.7,34322.1,,40101.5,41264.4,56571.9,27610.2,51459.9,31659.1,44888.8,29025.6,,,,25680.9,,,,,,,16966.4,15460.4,32773.6,21756.3,25644.6,9193.8,,16421.5
2003-Q4,50590.8,,39613.6,40373.2,38339.0,57276.6,40915.1,40772.5,45509.7,46247.8,41628.2,34469.1,,40144.2,41511.4,56515.8,27653.6,54213.7,32016.2,44875.6,29117.4,,,,26331.0,,,,,,,17093.6,15489.7,33455.2,21987.5,25842.8,9281.9,,16739.2
2004-Q1,50778.6,,39737.9,40613.1,38645.1,57458.1,40852.6,40946.4,45882.1,46444.7,42361.0,34572.3,,40638.0,42089.0,58452.3,27942.5,53581.9,32674.8,45257.5,29360.3,,,,26630.8,,,,,,,17489.8,15767.7,34045.7,22365.2,26127.3,9429.6,,17072.4
2004-Q2,51060.6,,39896.2,41006.5,38793.4,57850.8,41076.6,41142.7,46081.0,46695.3,42489.1,34788.3,,40959.2,42444.7,58496.1,28207.2,54915.4,32587.9,45545.1,29512.5,,,,26811.8,,,,,,,17638.9,15999.9,34016.8,22616.2,26452.0,9400.1,,17417.4
2004-Q3,51417.2,,39914.2,41368.5,38867.0,57715.7,41005.3,41339.9,46113.0,46770.7,42775.8,34968.8,,41359.3,42765.6,57719.1,28443.7,54055.2,32524.7,45978.9,29506.7,,,,26900.2,,,,,,,17624.9,16367.4,34447.3,22900.0,26826.5,9484.1,,17697.5
2004-Q4,51812.8,,39963.2,41536.5,39041.3,57758.6,40986.5,41532.0,46165.4,47250.0,43070.0,35006.1,,41946.5,42868.8,58173.0,28614.2,55384.4,32499.5,46025.9,29402.6,,,,27093.7,,,,,,,17808.6,16586.0,34292.8,23000.3,27308.4,9758.0,,17912.2
2005-Q1,52276.9,,40185.6,41632.5,39068.9,58161.7,40998.5,41679.5,46297.4,47035.0,43267.0,35178.9,,42332.4,43032.5,58994.6,28829.3,55765.2,32455.7,45878.6,29619.4,,,,27320.0,,,,17745.3,,,17942.8,16560.7,34066.0,23223.1,27764.6,9693.0,,18242.1
2005-Q2,52422.3,,40488.8,41849.5,39082.0,58695.4,41232.5,41762.9,46611.7,47925.6,43488.8,35323.4,,41790.9,43224.2,59214.7,28987.8,56889.0,33190.3,46402.7,29717.2,,,,27824.2,,,,17690.3,,,18024.7,16770.7,34120.3,23704.8,28170.5,9881.2,,18537.9
2005-Q3,52699.1,,40765.9,42222.7,39273.4,59260.9,41595.8,42091.8,47208.7,47952.4,43963.8,35529.2,,42347.6,43328.9,59577.9,29186.7,55782.6,33172.4,46636.0,29560.1,,,,28218.0,,,,17825.0,,,18366.5,17137.1,34567.3,23890.4,28562.4,9830.1,,18883.1
2005-Q4,52858.8,,41121.5,42494.9,39452.1,59829.2,41817.2,42277.0,47474.4,48063.8,44200.5,35734.3,,42437.0,43586.4,59596.3,29591.2,57526.3,33098.0,46951.3,29586.4,,,,28464.9,,,,18103.0,,,18689.5,17316.5,34713.0,24168.3,29059.0,10001.7,,19291.6
2006-Q1,53453.0,,41192.6,42784.8,39680.8,60434.0,42246.1,42140.2,47756.0,48631.9,44811.5,36027.6,,43469.1,43779.4,59901.2,29976.5,57776.6,33278.4,47441.9,29812.4,,,,28885.8,,,,18401.9,,,18979.2,17458.4,35816.9,24362.3,29581.2,10196.9,,19683.6
2006-Q2,53470.6,,41219.8,42708.1,40022.1,60856.8,42989.1,42127.7,48467.9,50027.1,45475.8,36240.6,,43506.0,43863.9,59847.3,30329.3,57940.0,33049.2,47492.8,30088.2,,,,29053.4,,,,18510.8,,,19426.7,17762.1,35901.8,24720.6,30134.0,10283.0,,20075.7
2006-Q3,53412.6,,41195.3,42694.7,40019.3,61149.6,43347.8,42564.8,48736.9,49656.9,45922.6,36418.6,,43879.5,44178.9,60319.7,30013.8,57927.9,33588.8,48081.9,30045.8,,,,29480.6,,,,18500.0,,,19743.4,17951.2,36047.4,24864.4,30470.3,10458.6,,20550.0
2006-Q4,53734.1,,41291.8,42721.2,40200.4,61809.1,44031.0,42932.6,49105.7,49476.9,46144.1,36573.7,,44183.7,44600.2,61280.7,30300.4,57942.6,33743.0,48445.8,30244.7,,,,29679.2,,,,18507.5,,,19457.6,18288.5,36937.9,25107.9,30844.5,10623.1,,20953.9
2007-Q1,53776.9,,41637.7,42945.9,40456.0,61985.9,44087.5,43284.6,49650.1,49586.1,46507.6,36724.9,,44996.6,45147.0,61180.0,30784.7,60331.6,33912.3,48962.3,30546.6,,,,30148.0,,,,18576.1,,,20331.5,18429.3,36624.3,24795.2,31338.0,10766.4,,21347.8
2007-Q2,53984.6,,41828.1,43271.6,40666.7,62850.2,44479.8,43395.4,49876.7,49300.7,46696.0,36877.4,,45756.9,45263.5,61022.7,31115.2,59282.8,34309.7,49425.0,30662.3,,,,30632.0,,,,18642.7,,,20605.5,18570.8,37669.8,24786.3,31547.2,10858.3,,21891.0
2007-Q3,54155.8,39688.7,42059.9,43317.2,40788.2,63189.6,44730.3,43681.0,50391.0,49700.2,46962.2,36975.3,,46114.3,45522.9,61610.4,31611.4,57515.2,34605.7,49540.2,30710.1,,,,30939.6,,,,18647.8,,,20961.0,18575.4,37413.7,24922.8,31920.0,11056.7,,22378.3
2007-Q4,54358.0,39876.1,42251.1,43217.8,40811.9,63548.9,45040.7,43668.5,51023.0,50135.9,47389.9,37008.0,,46663.0,45630.4,62071.3,31970.8,59328.2,34683.4,49912.2,31043.2,,,,31542.8,,,,18628.9,,,21236.6,18877.8,37207.3,25014.1,32259.6,11196.9,,23097.6
2008-Q1,54007.4,40035.6,42368.5,43187.5,40954.0,63909.6,45373.9,43830.7,51149.6,50041.9,46933.3,36955.9,,46560.0,45745.9,61232.3,31918.2,57266.1,34410.5,50294.5,31034.1,,,,31597.7,,,13513.8,18574.0,,,21545.3,19227.8,37409.8,25292.4,32300.0,11190.4,,23715.2
2008-Q2,54210.0,39793.3,42080.7,43243.0,40655.7,64434.6,45296.1,43767.4,51354.6,49498.9,46807.9,36869.4,,46137.4,45676.6,61057.0,31853.4,55847.6,33849.9,50657.7,30871.2,,,,31701.2,,,13633.7,18629.3,,,21668.5,19199.2,37142.5,25425.3,32451.3,11239.6,,23863.1
2008-Q3,53794.0,39296.7,41371.0,43440.8,40555.7,64573.7,45034.8,43822.8,51217.1,49129.1,46474.7,36682.4,,46230.6,45303.8,60728.6,31804.9,55547.7,33840.4,50281.2,30837.6,,,,31905.2,,,13620.7,18586.6,,,21660.5,18995.9,37077.8,25371.3,32461.8,11299.1,,23507.9
2008-Q4,52493.5,38349.9,40375.1,42775.9,39890.7,62420.0,44363.9,43419.4,50801.9,47881.9,44732.0,35975.4,,45191.0,44222.2,60728.1,31412.6,52769.8,33744.1,49095.4,30434.6,,,,30817.2,,,13498.5,18223.7,,,21684.2,18797.1,36532.0,24485.8,31762.2,11107.7,,22743.7
2009-Q1,51792.6,36526.3,39522.0,41741.0,39149.6,61107.2,42328.8,43564.4,48925.8,47140.4,44003.3,34989.3,,42216.1,43730.8,59670.4,31355.7,52519.9,33368.3,48208.0,29661.7,,,,30804.1,,,13244.7,17036.6,,,21997.2,18659.9,34774.5,23502.1,30659.6,11091.9,,21942.0
2009-Q2,51594.1,37242.3,39339.0,41181.7,39113.8,61283.7,42436.4,43697.9,48873.7,46184.7,43945.8,34939.6,,41984.4,43654.3,58983.0,31546.1,52207.9,33697.0,47813.8,29680.4,,,,31184.5,,,13155.6,16705.6,,,22038.3,18505.7,35720.7,23522.4,30507.5,11164.4,,21618.2
2009-Q3,51656.2,37233.4,39312.7,41222.3,39093.8,62002.0,42699.6,43651.2,48992.4,46285.7,43785.2,34966.0,,42309.2,44116.0,58838.0,31666.3,51976.8,33793.4,47968.2,29934.9,,,,32082.9,,,13142.0,17248.6,,,22183.5,18686.7,35441.8,23517.5,30620.8,11249.3,,21703.3
2009-Q4,52094.0,37714.2,39367.9,41544.7,39381.2,62244.1,43039.5,43829.5,49207.2,46277.5,43874.6,34902.4,,41932.4,44367.3,58675.4,31855.7,50717.3,34110.4,48251.1,29940.8,,,,32292.8,,,13185.8,17563.7,,,22493.0,18865.3,35467.7,23507.8,30616.1,11334.6,,21934.4
2010-Q1,52242.0,38119.3,39662.5,41983.1,39438.3,62714.9,43430.9,43821.3,49063.9,46626.6,44977.2,34872.8,,42317.7,44498.6,59838.9,32240.4,52040.7,34384.7,48001.2,30183.6,,,,32882.9,,42233.0,13295.5,17578.1,,,22224.6,18921.6,33437.3,23556.0,30821.1,11385.7,,22399.7
