,United States,Japan,United Kingdom,Canada,France,Switzerland,Germany,Australia,Netherlands,Denmark,Sweden,Spain,Italy,Finland,Belgium,Norway,Israel,Ireland,New Zealand,Austria,Portugal,Eurozone,China,India,Korea,Brazil,Saudi Arabia,South Africa,Mexico,Indonesia,Turkiye,Poland,Chile,Greece,Hungary,Czechia,Colombia,Argentina,Russia
1999-Q1,10.0517,-3.659,7.5248,4.1953,5.163,-1.6938,7.0441,4.1251,6.8348,2.15,3.9685,14.4648,,1.0372,1.9578,-3.8466,8.2973,9.7487,6.3122,0.7838,9.4688,,,-5.8369,22.3918,-18.7613,,-8.6639,4.081,-52.5869,-16.1275,6.2487,-14.2995,11.2439,11.6826,-0.5276,,,
1999-Q2,10.6759,2.6584,5.7963,5.5722,4.6778,2.9475,7.6493,5.847,9.2038,1.3258,3.5443,14.9384,,1.934,1.928,-1.6676,12.8432,16.4798,9.4967,2.0971,6.5618,,,-13.5044,23.268,-15.0602,,-9.0035,10.5144,-44.7959,-0.2327,3.8637,-14.6244,22.1164,11.7946,5.9148,,,
1999-Q3,13.1501,5.0853,8.1944,10.6278,6.258,8.002,9.5921,11.0909,9.8638,1.4103,5.9458,14.2537,,4.3579,2.9489,0.3275,18.7791,15.0867,12.622,5.4485,10.1344,,,0.7227,28.5393,-18.6261,,-9.8377,15.853,-43.1295,-3.6417,-1.3991,-10.8983,14.4151,12.0973,3.7894,,,
1999-Q4,12.4061,10.8835,9.976,11.7996,9.4004,7.5378,10.069,12.3678,12.0777,5.274,6.6833,11.3627,,9.8472,6.5835,-2.1125,19.0503,13.5654,20.4094,7.5492,9.8969,,,13.2704,24.2602,-7.8161,,-5.9355,16.3156,-9.0146,7.5883,-3.5673,1.4276,11.4847,17.2582,10.8066,,,
2000-Q1,13.4442,7.6032,7.6426,12.0462,13.373,11.6007,9.2564,13.0296,11.3313,10.0383,10.5018,14.0086,,11.2925,13.5471,7.0265,17.7923,23.3388,3.9583,8.8025,8.5451,,,31.4446,32.7246,2.7986,,7.1376,21.9003,7.3423,27.1881,13.5823,9.2879,21.7409,22.518,13.6092,,,
2000-Q2,13.7901,9.8633,9.3183,10.621,16.6547,6.0604,9.448,11.6815,11.9493,16.4795,13.7932,10.3871,,18.1516,14.3266,4.2462,10.8373,25.2115,2.5985,11.3291,7.381,,,10.5876,23.8255,6.9253,,4.2355,19.2421,8.1309,20.2588,11.5849,13.6774,33.6116,18.4811,11.7963,,,
2000-Q3,13.7715,9.9945,8.1514,9.0006,18.2608,7.9525,10.3234,6.3092,10.35,14.7164,14.8243,8.9788,,13.2238,14.0127,-0.0372,8.4871,23.2895,0.3826,9.9012,3.7796,,,8.8284,23.4521,18.3021,,5.3769,22.1543,28.689,22.2178,9.4375,9.7531,26.7929,23.0217,16.4572,,,
2000-Q4,11.0962,10.6792,9.366,2.7731,16.655,6.5637,15.9496,1.6081,12.2825,13.6527,10.6403,5.4386,,16.7288,11.6852,-0.4168,10.2592,28.054,-8.9717,12.9106,2.7298,,,5.9274,10.474,14.0793,,4.6224,19.2079,57.9375,17.9182,26.9972,9.6565,9.2694,28.1803,17.2516,,,
2001-Q1,5.6736,10.8468,10.8395,-2.1177,10.3036,7.8725,7.856,-4.619,8.4673,7.0995,7.4542,6.3083,,10.9549,5.2609,0.0709,3.8474,29.6011,2.8044,11.6012,-1.2091,,,-5.0761,-1.5716,22.6534,,-0.1939,9.801,39.2695,-10.7677,-3.5726,11.8847,1.434,16.1487,19.3448,,,
2001-Q2,-0.8667,4.2613,8.544,-3.3065,4.587,8.4422,4.7956,-6.6744,3.5151,4.4975,-1.0686,4.8267,,1.4734,0.1338,1.8181,-1.7352,11.1006,0.1801,7.5693,3.5046,,,11.5622,-5.9018,12.5932,,4.9106,3.8941,31.8831,-30.8169,-4.8808,4.3118,1.2573,13.0646,11.4961,,,
2001-Q3,-6.4803,-1.4357,5.1269,-6.3581,-0.6848,-2.2699,-0.6308,-6.5788,2.6829,-0.1974,-6.363,3.1615,,-0.9671,-3.9061,2.6261,-8.0134,10.8979,2.1298,3.2197,2.5321,,,5.0625,-5.1877,-4.8196,,-1.6896,-5.9766,-5.5575,-25.3621,2.7812,4.287,-4.0599,0.4324,8.6951,,,
2001-Q4,-7.5841,-7.71,1.7062,-7.8131,-4.5773,-7.6762,-6.4612,-2.255,-4.3641,-1.4039,-4.7652,0.4533,,-4.9614,-5.3832,3.4606,-12.0698,5.2566,3.9491,-1.5081,-0.7402,,,-3.8318,-1.1294,-11.7508,,-1.8798,-5.4277,-28.6626,-28.2335,-14.0335,-0.1605,-2.7637,-3.7324,6.5799,,,
2002-Q1,-3.7161,-7.0953,2.9967,-4.689,-0.5749,-5.2582,-6.2112,4.91,-1.8576,6.7542,-3.9263,1.9114,,-0.1267,-3.2757,-0.1375,-8.6139,6.1191,11.3107,-0.4345,2.6385,,,-0.6641,4.6727,-19.4645,,3.047,-0.9712,-14.0633,3.8606,-4.1884,-4.9058,-4.3029,6.89,2.8313,,,
2002-Q2,2.8008,-2.1906,6.2735,0.5543,1.303,-4.1948,-4.1445,9.9778,-0.0377,4.5275,-0.4418,0.27,,5.4246,0.3237,1.8957,-1.3689,11.359,6.3483,-0.8793,-1.3617,,,0.9581,15.7052,-16.7489,,2.9484,2.6739,-15.6462,20.6484,4.9161,2.7025,-8.089,7.0682,5.4631,,,
2002-Q3,6.5241,4.123,6.494,4.8013,2.9487,0.8252,-1.5519,11.3917,0.4296,7.1106,-0.684,3.6139,,7.2085,2.874,0.1035,0.3423,6.6557,9.5708,0.0601,-0.7253,,,6.9113,18.9492,-8.2465,,7.4419,7.3195,2.9878,26.0554,0.7837,5.4641,-2.4546,9.7577,5.9641,,,
2002-Q4,9.5716,8.8815,6.8114,7.1334,4.789,1.1445,1.7446,17.8412,2.4478,7.1243,0.8474,9.0147,,4.8435,4.5358,0.4617,4.2922,-1.7604,11.9061,1.0092,-1.5808,,,16.4987,20.2338,-8.3946,,8.0423,5.1021,14.2596,36.6877,9.0137,4.4442,1.339,11.0123,5.3817,,,
2003-Q1,6.0806,8.7456,4.5474,7.4457,1.7665,-1.1853,7.8816,13.2289,3.0397,-0.4963,1.9084,3.0201,,6.4928,2.7754,0.2884,-2.041,-8.8517,1.3449,1.6339,-3.4266,,,25.1678,17.635,-5.4939,,4.2943,2.6837,4.9699,17.0589,10.4812,6.6365,9.9749,4.1381,4.6367,,,
2003-Q2,4.1372,2.0744,0.1142,2.7092,0.0639,-3.1586,4.3823,10.5266,1.943,-2.9196,1.9571,7.4345,,1.8493,0.9717,-1.7466,-3.9403,-6.7433,12.393,1.6194,-1.4031,,,17.799,7.4147,-4.0343,,5.9659,1.423,-0.195,21.9469,3.2092,7.7125,6.6736,7.936,7.622,,,
2003-Q3,4.4403,1.2134,1.5057,0.9736,0.374,2.4922,4.6438,12.3484,0.784,-1.868,4.6242,7.3358,,2.4317,0.3488,2.782,2.3258,-0.6685,9.426,5.474,0.0755,,,12.6808,6.1435,-3.6974,,10.7159,3.4106,0.1449,27.1534,10.2261,4.9203,6.2175,14.3922,10.308,,,
2003-Q4,5.8568,2.0128,4.3145,5.984,1.5023,5.6123,5.569,9.5278,3.0863,1.1303,4.7689,6.3178,,5.7375,1.7842,2.0199,-2.0,11.2952,10.8618,5.3951,3.9471,,,12.3052,11.3502,11.236,,11.2249,4.652,1.4373,26.1807,13.5201,12.233,6.941,11.2407,15.15,,,
