,United States,Japan,United Kingdom,Canada,France,Switzerland,Germany,Australia,Netherlands,Denmark,Sweden,Spain,Italy,Finland,Belgium,Norway,Israel,Ireland,New Zealand,Austria,Portugal,Eurozone,China,India,Korea,Brazil,Saudi Arabia,South Africa,Mexico,Indonesia,Turkiye,Poland,Chile,Greece,Hungary,Czechia,Colombia,Argentina,Russia
1999-01,71.766,23.8301,24.4352,15.3647,25.1441,5.4742,36.7854,4.5921,16.4811,3.6192,5.1631,9.9581,16.225,2.4504,12.8004,2.58,2.0652,3.7311,0.9601,5.4847,3.0422,,9.893,3.445,8.6287,3.7462,,2.1966,9.2113,1.7722,2.2265,3.1176,1.3849,2.3524,1.8153,1.9064,0.7795,1.906,2.525
1999-02,73.849,22.8159,24.6219,16.7195,24.7966,6.1556,37.8291,4.547,16.0449,3.5668,5.4486,10.4123,17.5538,2.5819,13.1107,2.692,2.5581,3.5625,0.9692,5.6552,3.1059,,8.713,3.282,7.6338,3.2359,,1.8811,9.9364,1.8087,2.7881,3.211,1.1564,2.4532,2.1136,1.9455,0.8332,1.856,2.773
1999-03,84.072,25.074,28.0723,19.0737,28.7465,7.4262,41.4894,5.4848,18.7744,4.2634,6.2728,12.0091,20.686,2.9587,15.167,3.2294,2.5844,4.0482,1.1149,6.6218,3.642,,14.368,3.693,9.3042,4.1345,,2.2107,11.9992,1.9764,3.0451,4.0443,1.2895,3.2292,2.4267,2.5655,0.8935,2.078,3.259
1999-04,79.98,24.9423,25.4327,17.9992,25.2631,5.9515,38.7014,4.9582,15.9826,3.4149,5.5386,10.7919,17.8508,2.6853,13.0914,2.7454,2.2656,4.0001,1.0924,5.8479,3.3407,,13.824,3.328,9.1009,3.7574,,2.0296,10.9462,2.1219,3.3341,3.6286,1.1815,2.4002,2.2147,2.2376,0.8782,1.873,3.092
1999-05,80.965,22.4442,24.1781,17.9516,24.898,5.7549,38.9792,5.1194,16.0367,3.4648,5.3925,11.3536,17.6496,2.611,12.7783,2.545,2.5557,3.769,1.0457,5.3905,3.2881,,13.651,3.657,9.4561,4.172,,1.9487,11.3203,1.9592,3.4093,3.6985,1.3376,2.4968,2.1426,2.2381,0.7856,1.931,2.723
1999-06,87.88,24.201,26.927,18.7903,27.6632,6.4688,39.4218,5.3393,17.0309,3.8339,5.6326,11.6958,18.7088,2.4698,14.0544,2.8136,2.5713,3.7292,1.087,5.8492,3.2929,,14.517,3.673,10.2032,4.5459,,2.2302,12.3511,1.8962,3.5865,3.6707,1.3622,2.6153,2.3461,2.3964,0.8932,2.212,3.776
1999-07,86.775,24.8334,26.8497,15.5148,24.5216,6.1814,38.6675,5.3745,16.0997,3.2062,4.4662,11.2116,17.6272,2.3466,12.1567,2.5185,2.513,3.7007,1.138,5.7389,3.3625,,13.913,4.207,9.777,4.1149,,2.22,11.2809,2.007,3.6181,3.7657,1.2617,2.2873,2.272,2.1876,0.9116,2.278,3.044
1999-08,89.749,26.8016,25.0723,17.9439,21.5792,5.6645,37.8644,5.7341,15.5651,3.5156,5.471,8.5233,11.7259,2.5263,12.3599,2.6459,2.8972,3.4697,1.2133,5.509,2.6364,,13.443,4.175,9.855,4.5486,,2.3077,12.7182,2.0439,3.1783,3.6447,1.4491,2.275,2.0378,2.1408,0.7881,2.331,2.926
1999-09,90.244,26.9383,27.7656,18.8449,27.4564,6.6087,39.3365,5.8144,18.4114,3.9199,6.3187,12.3071,20.4901,2.8113,14.6409,3.178,2.314,3.9298,1.3404,6.4114,3.3891,,15.26,4.629,10.1266,4.3199,,2.2723,12.2559,2.1549,3.6437,4.0941,1.4379,2.6331,2.516,2.3601,0.8942,2.234,2.949
1999-10,94.46,27.9553,28.6902,19.3062,28.7313,6.6406,41.7996,6.6569,18.4317,3.9627,6.5333,12.0913,20.2997,2.9325,15.0376,2.9385,2.5527,4.4155,1.2764,6.4401,3.5947,,13.788,4.147,11.3577,4.5398,,2.592,12.926,2.0481,3.559,4.3117,1.439,2.9054,2.6936,2.5149,0.9245,2.213,3.179
