,United States,Japan,United Kingdom,Canada,France,Switzerland,Germany,Australia,Netherlands,Denmark,Sweden,Spain,Italy,Finland,Belgium,Norway,Israel,Ireland,New Zealand,Austria,Portugal,Eurozone,China,India,Korea,Brazil,Saudi Arabia,South Africa,Mexico,Indonesia,Turkiye,Poland,Chile,Greece,Hungary,Czechia,Colombia,Argentina,Russia
1999-01,4.72,1.91,4.2868,4.9465,3.77,2.555,3.702,5.127894737,3.801,4.035,4.02,3.88010526315789,3.92233,3.91,3.9,5.01,5.29,3.89,5.53,3.8426,3.9,3.822,,,,12.84,,15.89,,,,,,6.3,,,,,96.34
1999-02,5.0,2.117,4.4319,5.124,3.929,2.55,3.849,5.3,3.932,4.188,4.18,4.02225,4.05379,4.04,4.04,4.75,5.29,4.02,5.62,3.984,4.02,3.9742,,,,12.84,,14.88,,,,,,6.0,9.27,,,,99.47
1999-03,5.23,1.816,4.6554,5.2204347826087,4.1335,2.604,4.037826087,5.526521739,4.139,4.432,4.44,4.25439130434783,4.27124,4.26,4.26,4.92,5.05,4.19,5.84,4.1648,4.24,4.181,,,,12.84,,14.54,,,,,,6.0,9.72,,,,98.67
1999-04,5.18,1.563,4.592,5.02952380952381,3.9762,2.534,3.85,5.3575,3.995,4.217,4.24,4.08635,4.11022,4.07,4.11,4.69,5.08,3.95,5.7,4.0321,4.13,4.0407,,,,13.48,,14.58,,,,,,5.9,9.73,,,,110.55
1999-05,5.54,1.334,4.9068,5.3595,4.16,2.72,4.012105263,5.875714286,4.193,4.461,4.5,4.2742380952381,4.27919,4.24,4.29,4.98,5.05,4.18,6.12,4.2107,4.32,4.2049,,,,13.48,,15.14,,,,,,5.8,9.72,,,,96.75
1999-06,5.9,1.632,5.1716,5.58090909090909,4.4745,2.937,4.36047619,6.206666667,4.513,4.812,4.87,4.60009090909091,4.61521,4.58,4.64,5.45,5.15,4.59,6.51,4.5399,4.66,4.5267,,,,13.48,,14.93,,,,,,6.0,10.01,,,,64.73
1999-07,5.79,1.703,5.3721,5.49095238095238,4.8132,3.044,4.676363636,6.135909091,4.821,5.115,5.26,4.91127272727273,4.9377,4.91,4.94,5.81,5.21,4.94,6.54,4.8678,4.99,4.8562,,,,14.05,,14.97,,,,,,6.4,10.09,,,,68.36
1999-08,5.94,1.878,5.4312,5.75571428571429,5.0105,3.169,4.879090909,6.34,5.03,5.384,5.49,5.17340909090909,5.13436,5.15,5.18,5.97,5.19,5.16,6.88,5.1012,5.22,5.0606,,,,14.05,,15.28,,,,,,6.7,10.34,,,,75.88
1999-09,5.92,1.759,5.6909,5.72142857142857,5.19,3.427,5.040454545,6.341363636,5.215,5.555,5.69,5.31486363636364,5.28188,5.32,5.34,6.03,5.25,5.34,6.91,5.2748,5.41,5.2353,,,,14.05,,15.35,,,,,,6.6,10.83,,,,83.74
1999-10,6.11,1.692,5.8801,6.0895,5.4333,3.625,5.292380952,6.606666667,5.449,5.76,5.92,5.564,5.52122,5.56,5.58,6.27,5.33,5.57,7.11,5.5291,5.62,5.4716,,,,12.5,,15.0,,,,,,7.0,10.45,,,,86.87
1999-11,6.03,1.817,5.3145,6.0347619047619,5.1457,3.69,5.04,6.556363636,5.178,5.449,5.56,5.27990909090909,5.24581,5.27,5.3,6.02,5.31,5.31,7.02,5.271,5.36,5.1842,,,,12.5,,14.3,,,,,,6.6,9.68,,,,89.06
1999-12,6.28,1.767,5.389,6.14,5.2695,3.617,5.147619048,6.737142857,5.276,5.5,5.59,5.36685714285714,5.36007,5.36,5.41,6.07,5.19,5.39,7.17,5.3528,5.46,5.3044,,,,12.5,,13.96,,,,,,6.4,9.17,,,,78.09
2000-01,6.66,1.691,5.8227,6.4915,5.6624,3.784,5.53952381,7.177894737,5.666,5.869,5.95,5.75747619047619,5.74797,5.74,5.79,6.36,5.33,5.8,7.48,5.7533,5.81,5.6985,,,,12.0,,13.49,,,,,,6.6,8.97,,,,58.57
2000-02,6.52,1.796,5.6347,6.33857142857143,5.6157,3.868,5.508571429,6.957619048,5.655,5.847,5.9,5.73147619047619,5.7264,5.72,5.79,6.33,5.33,5.76,7.31,5.7722,5.78,5.6636,,,,12.0,,13.5,,,,,,6.5,8.53,,,,51.06
2000-03,6.26,1.819,5.3707,6.02826086956522,5.4348,4.155,5.333043478,6.570434783,5.479,5.65,5.51,5.55013043478261,5.57685,5.5,5.62,6.14,5.2,5.58,7.06,5.5851,5.61,5.4906,,,,12.0,,13.92,,,,,,6.2,8.05,,,,40.95
2000-04,5.99,1.74,5.3213,5.92421052631579,5.3328,4.076,5.225555556,6.264705882,5.381,5.574,5.42,5.45211111111111,5.46569,5.46,5.52,6.09,5.16,5.46,6.84,5.4877,5.52,5.4138,,,,11.0,,14.27,,,,,,6.1,8.38,6.34,,,41.12
2000-05,6.44,1.705,5.4033,6.215,5.5032,4.19,5.378181818,6.465652174,5.501,5.768,5.34,5.62659090909091,5.66472,5.59,5.69,6.25,5.19,5.61,7.1,5.6624,5.68,5.5155,,,,11.0,,14.79,,,,,,6.2,8.73,6.33,,,41.05
2000-06,6.1,1.664,5.2097,5.89545454545455,5.3232,4.008,5.191363636,6.172380952,5.309,5.67,5.13,5.45495454545455,5.50964,5.39,5.53,6.09,5.34,5.43,6.85,5.515,5.54,5.3454,,,,11.0,,14.33,,,,,,6.1,8.57,6.55,,,37.82
2000-07,6.05,1.689,5.2388,5.8635,5.399,3.976,5.266190476,6.161904762,5.401,5.756,5.31,5.53414285714286,5.59131,5.48,5.6,6.22,5.51,5.52,6.73,5.597,5.61,5.4537,,,,10.25,,13.9,,,,,,6.1,8.29,6.87,,,29.44
2000-08,5.83,1.75,5.3312,5.76636363636364,5.3604,3.84,5.210434783,6.227391304,5.361,5.642,5.31,5.50059090909091,5.56267,5.43,5.56,6.18,5.71,5.47,6.68,5.5428,5.57,5.3982,,,,10.25,,13.52,,,,,,6.0,8.13,6.99,,,25.68
2000-09,5.8,1.876,5.3873,5.7295,5.419,3.954,5.263333333,6.136190476,5.414,5.663,5.26,5.55914285714286,5.6323,5.49,5.63,6.34,5.81,5.52,6.74,5.5665,5.63,5.4672,,,,10.25,,13.72,,,,,,6.1,8.22,7.0,,,23.59
