,United States,Japan,United Kingdom,Canada,France,Switzerland,Germany,Australia,Netherlands,Denmark,Sweden,Spain,Italy,Finland,Belgium,Norway,Israel,Ireland,New Zealand,Austria,Portugal,Eurozone,China,India,Korea,Brazil,Saudi Arabia,South Africa,Mexico,Indonesia,Turkiye,Poland,Chile,Greece,Hungary,Czechia,Colombia,Argentina,Russia
1999-01,4.3,4.5,6.2,7.9,12.0,,8.9,7.1188,4.6,5.0,7.3,14.8,11.1,10.7,8.9,2.7,,6.5,,4.3,5.8,,,,7.6,,,,2.6,,,11.5,8.3736,11.4,7.2,7.8,,,
1999-02,4.4,4.6,6.2,7.9,12.0,,8.8,7.1152,4.5,5.0,7.0,14.3,11.1,10.6,9.0,2.7,,6.3,,4.2,5.8,,,,7.4,,,,3.1,,,12.0,8.8101,11.4,7.2,8.1,,,
1999-03,4.2,4.7,6.2,7.9,11.8,,8.8,7.0127,4.4,5.0,7.0,13.9,11.1,10.5,9.0,2.9,,6.3,,4.2,5.9,,,,7.2,,,,2.7,,,12.3,9.3116,11.4,7.1,8.6,,,
1999-04,4.3,4.7,6.1,8.2,11.7,,8.7,6.9795,4.4,5.0,6.9,13.6,11.1,10.4,9.0,2.9,,6.3,,4.2,6.0,,,,7.0,,,,2.8,,,12.7,10.0386,12.1,7.0,8.6,,,
1999-05,4.2,4.7,6.0,7.9,11.5,,8.6,7.0251,4.3,5.0,6.7,13.5,11.1,10.3,9.0,2.9,,6.3,,4.2,6.1,,,,6.8,,,,2.6,,,12.9,10.6496,12.0,6.9,8.7,,,
1999-06,4.3,4.8,6.0,7.6,11.4,,8.6,6.6536,4.3,4.9,6.7,13.5,11.0,10.3,8.7,2.8,,6.0,,4.2,5.9,,,,7.3,,,,2.7,,,13.2,10.7446,12.0,6.9,8.5,,,
1999-07,4.3,4.8,5.9,7.6,11.3,,8.5,6.6753,4.2,5.0,6.6,13.5,11.0,10.2,8.3,2.9,,5.7,,4.1,5.8,,,,6.9,,,,2.3,,,13.5,10.9453,12.0,6.8,8.7,,,
1999-08,4.2,4.7,5.9,7.4,11.1,,8.5,6.9059,4.2,5.3,6.7,13.5,10.9,10.1,8.2,3.1,,5.5,,4.0,5.6,,,,6.3,,,,2.5,,,13.8,10.9678,12.1,6.7,8.9,,,
1999-09,4.2,4.6,5.8,7.5,11.0,,8.4,7.0412,4.1,5.2,6.6,13.4,10.9,10.0,7.9,3.4,,5.5,,4.0,5.5,,,,5.7,,,,2.3,,,14.2,10.9768,12.0,6.7,9.2,,,
1999-10,4.1,4.6,5.8,7.2,10.8,,8.4,6.7765,4.1,5.3,6.4,13.2,10.7,10.1,7.8,3.4,,5.6,,4.0,5.3,,,,5.4,,,,2.4,,,14.5,10.6069,12.3,6.7,9.2,,,
1999-11,4.1,4.6,5.8,6.9,10.7,,8.3,6.44,4.0,5.3,6.3,13.1,10.7,10.1,7.7,3.4,,5.5,,4.1,5.4,,,,5.2,,,,2.3,,,14.8,10.1537,12.4,6.7,8.9,,,
1999-12,4.0,4.7,5.9,6.8,10.5,,8.2,6.6846,4.0,5.3,6.3,12.9,10.6,10.1,7.6,3.4,,5.4,,4.2,5.5,,,,5.1,,,,2.4,,,15.1,9.6006,12.3,6.6,9.1,,,
2000-01,4.0,4.7,5.8,6.8,10.4,,8.2,6.7673,3.9,5.0,6.2,12.8,10.6,10.1,7.3,3.4,,4.9,,4.3,5.6,,,,5.0,,,,2.3,,,15.5,9.1691,11.5,6.6,9.3,,,
2000-02,4.1,4.9,5.8,6.9,10.2,,8.1,6.6192,3.9,4.6,6.1,12.4,10.6,10.2,7.1,3.4,,4.8,,4.3,5.5,,,,4.9,,,,2.1,,,15.8,9.0089,11.6,6.6,9.2,,,
2000-03,4.0,4.9,5.7,6.9,10.1,,8.1,6.5651,3.8,4.4,5.9,12.2,10.5,10.2,6.9,3.3,,4.7,,4.1,5.3,,,,4.6,,,,2.2,,,16.1,9.2396,11.6,6.5,9.3,,,
2000-04,3.8,4.8,5.6,6.7,9.9,,8.0,6.3763,3.8,4.4,5.9,12.0,10.3,10.0,6.9,3.2,,4.7,,3.8,5.2,,,,4.5,,,,2.7921,,,16.2,9.2365,11.5,6.5,9.1,,,
2000-05,4.0,4.6,5.5,6.6,9.7,,8.0,6.4145,3.7,4.5,5.6,11.9,10.3,9.8,6.8,3.0,,4.6,,3.7,5.3,,,,4.3,,,,2.7226,,,16.3,9.403,11.5,6.4,8.9,,,
2000-06,4.0,4.7,5.3,6.7,9.5,,8.0,6.1154,3.7,4.4,5.8,11.9,10.2,9.6,6.7,3.0,,4.5,,3.6,5.2,,,,4.2,,,,2.7231,,,16.1,9.9784,11.4,6.3,8.7,,,
2000-07,4.0,4.7,5.3,6.8,9.4,,7.9,5.9541,3.6,4.2,5.6,11.9,10.0,9.6,6.8,3.1,,4.4,,3.8,5.3,,,,4.1,,,,2.4575,,,16.0,10.255,11.3,6.2,8.6,,,
2000-08,4.1,4.6,5.3,7.0,9.3,,7.9,6.0514,3.6,4.1,5.5,11.8,10.0,9.6,7.0,3.3,,4.3,,3.8,5.4,,,,4.2,,,,2.7292,,,15.9,10.5324,11.2,6.1,8.5,,,
2000-09,3.9,4.7,5.4,6.9,9.1,,7.9,5.963,3.5,4.0,5.2,11.7,9.9,9.6,6.9,3.3,,4.1,,3.9,5.3,,,,4.4,,,,2.6193,,,16.0,10.1418,11.2,6.0,8.4,,,
2000-10,3.9,4.7,5.3,7.0,9.0,,7.8,6.0099,3.4,4.0,5.2,11.7,9.6,9.5,6.8,3.2,,3.9,,3.8,5.2,,,,4.1,,,,2.4877,,,16.2,10.191,10.6,6.0,8.4,,,
