,United States,Japan,United Kingdom,Canada,France,Switzerland,Germany,Australia,Netherlands,Denmark,Sweden,Spain,Italy,Finland,Belgium,Norway,Israel,Ireland,New Zealand,Austria,Portugal,Eurozone,China,India,Korea,Brazil,Saudi Arabia,South Africa,Mexico,Indonesia,Turkiye,Poland,Chile,Greece,Hungary,Czechia,Colombia,Argentina,Russia
1999-01,1103.9,2503206.82827537,359951.0,203.111,,201287.0,,115.004,,381467.0,679154.0,,,,,284816.0,20449.1057513048,,15.15855107,,,1807.005,3901.1,2877.19,123547.6,49.957188,,220.5935447,368162.6479,101.953,3511.54705309336,88635.8,2920.07,,1822.58398757829,475.189017032532,,,177.9
1999-02,1085.2,2462410.05580485,362493.0,200.414,,206120.0,,114.476,,375890.0,675257.0,,,,,283587.0,19978.99234995,,15.39726841,,,1785.973,3874.9,2902.45,131562.6,47.817257,,216.2396294,365963.4105,103.458,3516.05685506384,91943.2,2945.45,,1845.46738427029,481.867884008002,,,180.6
1999-03,1097.5,2577053.44341464,374161.0,199.059,,203007.0,,113.96,,373044.0,673473.0,,,,,298518.0,20802.3780320016,,16.2327791,,,1806.407,3805.4,3090.68,128774.0,45.497048,,227.8666472,366822.8339,105.705,4545.32801240704,95283.3,2903.54,,1884.60052267335,482.115249451538,,,174.0
1999-04,1113.6,2632566.89951821,369023.0,203.614,,209720.0,,115.529,,397591.0,671683.0,,,,,300557.0,20749.8356512233,,15.51662708,,,1823.152,3805.3,3107.82,136761.3,44.075657,,224.359163,365394.8242,100.708,3944.11316984624,93989.0,2882.3,,1881.24290076996,488.794116427008,,,195.1
1999-05,1096.4,2670633.62413071,372564.0,207.212,,210485.0,,115.803,,404926.0,686539.0,,,,,302210.0,20778.5239341596,,16.47149644,,,1836.913,3800.4,3137.3,140238.4,44.052226,,225.1753674,383274.7418,103.301,3923.98500862182,97092.0,2932.15,,1989.08894737498,499.307147777286,,,205.1
1999-06,1098.2,2656973.45287928,388420.0,209.033,,209425.0,,116.33,,389349.0,698006.0,,,,,332225.0,20999.01954034,,16.47149644,,,1858.495,3882.2,3138.52,144925.9,45.939541,,232.687258,384528.5008,105.964,4254.51768369099,99567.9,2989.85,,1989.06073516406,514.396439832978,,,216.2
1999-07,1097.2,2701587.82296847,382941.0,210.833,,210173.0,,117.076,,402320.0,689486.0,,,,,330983.0,21992.9206811361,,16.82957245,,,1882.493,3899.1,3089.96,150648.4,48.011511,,227.9160635,390444.0281,106.075,4405.53975260825,100034.6,2909.66,,2033.35412197862,512.788564449994,,,218.0
1999-08,1092.8,2677578.54805877,386005.0,212.373,,209690.0,,117.356,,402724.0,698217.0,,,,,320808.0,22142.241479599,,16.71021378,,,1879.218,4009.5,3078.54,151787.3,47.508989,,237.6556965,394396.5847,109.564,4990.37736580776,101550.2,2847.6,,2122.70843362116,527.754173783918,,,216.0
1999-09,1086.2,2665830.27935458,390568.0,212.263,,208585.0,,118.737,,387180.0,713410.0,,,,,319863.0,22468.166057445,,17.30700713,,,1886.642,4191.4,3122.85,158928.0,46.988943,,241.1764541,399384.0653,118.124,4943.487553107,103055.2,3045.56,,2117.17044509364,538.019839690659,,,212.6
1999-10,1095.1,2681111.84328567,391250.0,213.511,,210974.0,,119.914,,396717.0,733974.0,,,,,338523.0,21978.3552483941,,17.66508314,,,1900.478,4226.5,3175.27,162098.7,48.58064,,247.8018462,412583.6041,116.315,4945.73870095265,106451.2,3016.88,,2132.81394618784,547.048678379721,,,221.8
1999-11,1113.0,2685900.29011988,400650.0,215.279,,214715.0,,121.667,,392789.0,737779.0,,,,,327515.0,21987.1057330333,,17.06828979,,,1912.382,4337.0,3211.81,165225.4,51.580026,,267.1259202,426189.8482,117.292,4994.70907762504,105637.0,3083.94,,2199.38941896372,561.272191383037,,,218.9
1999-12,1148.2,2851697.00282943,390731.0,219.84,,206942.0,,125.832,,377952.0,751952.0,,,,,342361.0,23542.8965837683,,17.78444181,,,1925.201,4583.73,3315.73,170659.4,62.744441,,269.3155051,490058.5239,124.633,6889.85323520215,111383.9,3426.41,,2362.08225391521,553.851228076959,,,266.1
2000-01,1126.9,2819466.54696663,402359.0,217.231,,212697.0,,125.021,,392962.0,757199.0,,,,,342624.0,23298.8890775441,,17.4263658,,,1986.266,4657.01,3307.25,168969.0,56.633254,,257.3379381,451669.5145,122.417,6734.73671176262,101145.4,3436.09,,2154.49254593288,560.159046887126,,,232.5
2000-02,1097.4,2761995.25299489,404313.0,217.651,,209974.0,,123.552,,388079.0,746441.0,,,,,346795.0,22628.3369480475,,17.18764846,,,1987.628,4467.92,3372.56,171222.0,54.038049,,266.7060585,446352.0001,122.16,6982.5999377151,100853.2,3356.79,,2181.71215925477,564.982673036076,,,241.6
2000-03,1108.9,2843433.61104087,418147.0,218.714,,206603.0,,123.202,,389206.0,760166.0,,,,,343742.0,22849.5239877974,,18.14251781,,,2003.675,4515.845,3417.96,173730.3,53.255346,,262.6816602,455126.7696,124.663,7224.4699148755,100392.9,3209.11,,2211.40464343521,560.035364165358,,,251.1
2000-04,1125.7,2944013.34147206,418631.0,226.269,,206650.0,,125.571,,396669.0,779149.0,,,,,350748.0,23512.5068964116,,18.14251781,,,2022.293,4631.903,3509.26,182617.1,53.668551,,264.698132,457997.8739,127.367,7422.98597837692,101326.8,3172.38,,2245.38257159064,569.311568297955,,,278.7
