,United States,Japan,United Kingdom,Canada,France,Switzerland,Germany,Australia,Netherlands,Denmark,Sweden,Spain,Italy,Finland,Belgium,Norway,Israel,Ireland,New Zealand,Austria,Portugal,Eurozone,China,India,Korea,Brazil,Saudi Arabia,South Africa,Mexico,Indonesia,Turkiye,Poland,Chile,Greece,Hungary,Czechia,Colombia,Argentina,Russia
1999-01,62.8054,,,71.6858,80.0,,77.2316,,68.7234,84.2988,,,,77.4,,59.6604,,65.4206,,,,,,,,,,,,,,,,67.1366,46.6373,79.8796,,,
1999-02,62.4085,,,71.6858,80.0,,76.9288,,68.4531,83.4963,,,,77.1,,59.8396,,66.0617,,,,,,,,,,,,,,,,67.4128,46.7439,79.6299,,,
1999-03,62.3093,,,71.3696,79.9,,76.8512,,68.5252,83.1428,,,,77.4,,59.4215,,66.5129,,,,,,,,,,,,,,,,67.7643,46.8505,79.3892,,,
1999-04,61.6644,,,71.475,79.7,,76.6959,,67.5882,83.5823,,,,77.3,,59.3618,,67.3519,,,,,,,,,,,,,,,,68.2498,46.6906,78.8898,,,
1999-05,62.1605,,,71.6858,79.8,,76.5406,,67.5882,83.6682,,,,77.1,,59.4813,,67.5498,,,,,,,,,,,,,,,,68.2498,46.4241,78.7293,,,
1999-06,62.5078,,,71.5804,80.0,,76.6959,,68.0567,84.5663,,,,77.3,,59.3021,,68.191,,,,,,,,,,,,,,,,68.2498,46.6906,78.4796,,,
1999-07,62.4581,,,71.5804,80.6,,76.6959,,67.7864,85.1012,,,,77.3,,59.1229,,68.5155,,,,,,,,,,,,,,,,68.8692,47.2769,78.7293,,,
1999-08,62.9046,,,72.5292,80.5,,76.6182,,67.8495,84.8337,,,,77.2,,59.1229,,68.2543,,,,,,,,,,,,,,,,68.8022,47.3302,78.6491,,,
1999-09,63.2519,,,72.0021,80.5,,76.6182,,68.1918,85.5407,,,,77.5,,58.9438,,68.6421,,,,,,,,,,,,,,,,68.593,47.8099,78.1586,,,
1999-10,63.2519,,,72.0021,80.3,,76.6182,,67.8495,85.3592,,,,77.2,,59.0035,,68.1276,,,,,,,,,,,,,,,,68.4507,48.5561,78.3994,,,
1999-11,63.0535,,,71.5804,80.5,,76.4629,,67.9215,85.2732,,,,77.9,,58.8841,,69.03,,,,,,,,,,,,,,,,68.3167,49.0358,78.6491,,,
1999-12,62.855,,,71.7913,80.7,,76.3853,,68.3179,85.9897,,,,78.1,,58.8841,,70.4469,,,,,,,,,,,,,,,,68.3167,49.0891,79.2198,,,
2000-01,62.855,,,72.3184,80.9,,76.0903,,70.3,77.0,,,73.2,77.9,,58.7049,,70.344,,81.7805,,74.3,,,,,,,,,,75.8,,68.3,49.8352,80.7,,,
2000-02,63.1031,,,72.3184,81.0,,76.4008,,70.8,77.1,,,73.2,78.0,,58.7049,,70.5656,,81.6871,,74.5,,,,,,,,,,76.2,,68.8,50.0359,80.8,,,
2000-03,63.2023,,,72.9509,81.4,,76.5561,,71.0,77.4,,,73.5,78.3,,58.8049,,71.0722,,81.5938,,74.8,,,,,,,,,,76.4,,68.8,50.5042,81.0,,,
2000-04,63.5495,,,73.3726,82.0,,76.7114,,71.2,78.2,,,73.8,78.5,,58.9049,,71.8795,,81.2203,,75.0,,,,,,,,,,76.9,,69.2,50.9055,81.2,,,
2000-05,64.1449,,,73.7943,82.5,,77.1773,,71.7,78.8,,,74.0,78.8,,59.405,,72.8294,,81.6871,,75.4,,,,,,,,,,77.5,,69.3,51.3738,81.6,,,
2000-06,64.1945,,,73.8997,82.9,,77.4102,,71.8,79.0,,,73.7,78.8,,60.005,,72.9719,,81.8738,,75.4,,,,,,,,,,78.6,,68.9,51.7751,81.7,,,
2000-07,64.1945,,,73.6888,83.4,,77.7208,,72.0,79.7,,,73.7,79.0,,60.305,,73.4864,,81.0336,,75.7,,,,,,,,,,80.1,,69.0,53.3137,82.3,,,
2000-08,63.8472,,,73.8997,83.5,,78.109,,72.5,79.4,,,73.8,79.1,,60.205,,74.2937,,81.8738,,75.9,,,,,,,,,,80.7,,69.1,54.986,84.0,,,
2000-09,63.748,,,73.1617,83.7,,78.3419,,73.1,79.7,,,73.9,79.0,,60.305,,74.9507,,81.6871,,76.2,,,,,,,,,,80.8,,69.4,56.3908,84.7,,,
2000-10,63.8472,,,73.1617,84.2,,78.6525,,74.1,79.5,,,73.9,79.2,,60.505,,75.8293,,81.8738,,76.5,,,,,,,,,,80.7,,69.8,57.461,85.5,,,
2000-11,63.8968,,,73.1617,84.9,,79.0407,,74.6,79.3,,,74.1,79.5,,60.7051,,74.7291,,81.5938,,76.8,,,,,,,,,,80.4,,70.2,58.0631,86.1,,,
2000-12,64.2937,,,73.3726,85.1,,79.4289,,74.7,79.8,,,74.5,79.6,,60.8051,,74.4362,,81.9672,,77.1,,,,,,,,,,80.4,,71.1,58.3307,86.4,,,
2001-01,64.641,,,73.8997,85.5,,79.7395,,74.7,80.2,,,75.5,79.5,79.7,60.7051,,73.4864,,82.714,,77.6,,,,,,,,,,81.2,,70.4,59.4678,86.7,,,
2001-02,64.889,,,74.5322,85.9,,80.0501,,75.0,81.2,,,75.8,79.3,79.7,61.1051,,73.8505,,82.8074,,77.9,,,,,,,,,,80.9,,70.8,60.8057,87.4,,,
2001-03,65.3851,,,75.0593,86.7,,81.1371,,75.3,83.3,,,76.0,79.4,79.7,61.7051,,74.0721,,82.714,,78.5,,,,,,,,,,81.0,,71.1,61.6084,87.2,,,
2001-04,65.7324,,,75.6918,87.5,,81.2147,,75.4,83.3,,,76.6,79.5,79.8,62.4052,,74.8003,,82.5273,,78.8,,,,,,,,,,81.5,,71.7,62.0767,87.7,,,
2001-05,66.1788,,,75.3756,87.6,,81.6806,,75.0,83.5,,,76.5,79.5,79.6,62.5052,,75.1723,,82.714,,78.9,,,,,,,,,,81.5,,71.8,62.3442,88.2,,,
2001-06,66.3277,,,75.5864,87.7,,81.6806,,75.2,84.4,,,76.5,79.4,80.1,62.8052,,76.043,,83.4609,,79.0,,,,,,,,,,81.4,,71.9,62.4111,88.6,,,
2001-07,66.4765,,,76.4298,87.5,,81.8358,,75.6,83.5,,,76.6,79.4,79.7,63.0053,,76.1934,,83.3675,,79.1,,,,,,,,,,81.3,,72.1,62.4111,88.6,,,
2001-08,66.7742,,,76.4298,87.5,,81.8358,,75.5,83.4,,,76.9,79.3,79.7,63.0053,,74.4362,,83.1808,,79.1,,,,,,,,,,81.6,,72.4,62.1436,88.5,,,
2001-09,66.7245,,,75.9027,87.2,,81.6806,,75.5,82.7,,,76.9,79.2,79.8,63.0053,,74.2937,,83.2742,,79.0,,,,,,,,,,81.6,,72.9,62.2104,88.4,,,
2001-10,66.5261,,,75.5864,86.9,,81.37,,76.0,83.0,,,76.7,79.0,78.9,63.5053,,74.2937,,83.4609,,78.9,,,,,,,,,,81.6,,73.0,62.4111,88.4,,,
2001-11,65.6827,,,75.0593,87.0,,81.2147,,76.0,83.6,,,76.7,79.0,78.2,63.6053,,74.8795,,83.6476,,78.9,,,,,,,,,,81.5,,73.3,62.0767,88.2,,,
2001-12,65.3355,,,75.0593,87.4,,81.1371,,75.3,83.9,,,76.8,78.8,78.2,63.1053,,74.8795,,83.6476,,79.0,,,,,,,,,,81.5,,73.6,61.4746,87.8,,,
2002-01,65.2363,,,75.5864,87.2,,81.2147,,75.4,82.8,,,76.9,78.8,78.7,63.6053,,76.2647,,83.9277,,79.2,,,,,,,,,,81.5,,74.3,61.9429,87.5,,,
2002-02,65.4843,,,76.1135,87.0,,80.9818,,75.2,82.7,,,76.6,79.2,78.9,63.5053,,76.7079,,83.0875,,79.1,,,,,,,,,,81.3,,74.4,62.1436,87.4,,,
2002-03,65.4843,,,76.4298,87.2,,80.9041,,75.3,83.5,,,76.7,79.3,79.9,63.3053,,76.9216,,83.0875,,79.3,,,,,,,,,,81.4,,75.4,61.6753,87.1,,,
2002-04,65.2363,,,75.9027,87.4,,81.0594,,75.3,83.4,,,76.8,79.5,79.5,63.6053,,77.4361,,83.0875,,79.4,,,,,,,,,,81.0,,75.5,61.4077,87.0,,,
2002-05,64.9386,,,75.5864,87.4,,80.9818,,74.8,82.9,,,76.8,79.5,79.6,63.5053,,76.9216,,83.5543,,79.3,,,,,,,,,,80.5,,75.5,61.0733,86.7,,,
2002-06,65.137,,,75.6918,87.2,92.8011,80.7488,,74.3,83.4,,,76.6,79.5,80.2,63.5053,,76.3359,,82.9008,,79.1,,,,,,,,,,80.3,,75.0,60.7388,85.8,,,
2002-07,65.2363,,,76.746,87.5,92.8948,80.9041,,74.4,82.5,,,77.0,79.3,80.1,63.1053,,75.4573,,82.8074,,79.3,,,,,,,,,,80.1,,75.0,61.0733,85.4,,,
2002-08,65.137,,,76.746,87.4,92.8948,80.9041,,75.3,83.1,,,77.3,79.3,80.2,62.9052,,75.3148,,82.9941,,79.4,,,,,,,,,,80.3,,75.0,61.6084,85.1,,,
2002-09,67.5183,,,76.6406,87.5,92.8011,80.9041,,76.0,83.0,,,77.5,79.2,80.8,62.7052,,75.9005,,82.9008,,79.6,,,,,,,,,,80.5,,75.1,61.7422,84.9,,,
2002-10,65.2859,,,77.2731,87.5,92.6136,80.9818,,76.2,83.4,,,77.7,79.4,80.8,62.6052,,75.5364,,82.8074,,79.6,,,,,,,,,,79.9,,75.1,62.2104,84.9,,,
2002-11,65.2859,,,77.0623,87.6,92.6136,81.1371,,75.8,83.4,,,78.0,79.2,80.2,62.8052,,75.0932,,82.714,,79.6,,,,,,,,,,79.4,,75.2,61.8091,85.0,,,
2002-12,65.782,,,77.8002,87.7,92.7073,81.0594,,76.3,82.9,,,78.2,79.1,79.9,62.7052,,75.6789,,82.714,,79.7,,,,,,,,,,79.0,,75.0,61.4077,84.2,,,
2003-01,66.4269,,,78.1165,87.7,92.9885,80.9818,,75.9,82.7,,,78.5,78.6,78.5,62.2052,,75.3148,,82.6207,,79.8,,,,,,,,,,78.9,,75.3,62.0767,83.9,,,
2003-02,66.7245,,,78.4328,87.9,92.8948,81.0594,,75.8,82.6,,,78.1,78.4,78.3,62.2052,,74.8795,,82.714,,79.8,,,,,,,,,,78.9,,75.5,62.0767,84.4,,,
2003-03,66.8734,,,78.6436,88.1,93.0823,80.7488,,74.9,82.2,,,78.2,78.3,78.5,62.1052,,74.7291,,82.0605,,79.7,,,,,,,,,,78.6,,75.7,61.8091,84.3,,,
2003-04,67.0222,,,78.3273,88.2,93.4572,80.6712,,75.0,80.7,,,78.5,78.6,78.5,62.1052,,74.6578,,82.1539,,79.8,,,,,,,,,,78.6,,75.9,61.1402,84.2,,,
2003-05,67.3199,,,78.4328,88.0,93.7384,80.6712,,74.5,81.2,,,78.5,78.5,79.0,62.1052,,73.4864,,81.5004,,79.7,,,,,,,,,,78.8,,76.0,61.0064,84.1,,,
2003-06,68.0144,,,78.0111,87.8,94.0678,80.7488,,74.4,80.2,,,78.5,78.7,79.4,62.4052,,73.051,,82.0605,,79.7,,,,,,,,,,79.0,,75.9,61.8091,84.1,,,
2003-07,67.9648,,,77.0623,88.0,94.07,80.7488,,74.4,81.0,,,78.9,78.5,79.9,62.9052,,73.9217,,82.0605,,80.0,,,,,,,,,,79.9,,76.3,62.3442,84.2,,,
2003-08,68.3617,,,76.3243,87.9,94.152,80.9041,,74.7,81.3,,,79.5,78.5,80.2,62.6052,,74.2146,,82.5273,,80.1,,,,,,,,,,80.0,,76.9,63.0132,84.6,,,
2003-09,68.957,,,77.0623,88.4,93.9002,81.4476,,75.9,81.1,,,80.1,78.4,80.7,62.9052,,74.1433,,82.8074,,80.7,,,,,,,,,,80.8,,77.7,63.9497,85.3,,,
2003-10,70.346,,,77.1677,88.2,93.8483,81.37,,76.0,82.5,,,80.2,78.3,80.7,63.1053,,73.7792,,82.9008,,80.6,,,,,,,,,,80.8,,78.4,64.7524,85.8,,,
2003-11,70.1972,,,77.5894,88.6,94.5269,81.5253,,76.9,82.5,,,80.4,78.3,80.4,63.4053,,73.708,,82.714,,80.8,,,,,,,,,,80.7,,79.0,65.4213,86.1,,,
2003-12,69.9988,,,77.8002,88.6,94.6643,81.2147,,75.7,81.5,,,80.2,78.6,80.4,63.4053,,73.4151,,82.8074,,80.6,,,,,,,,,,80.8,,79.0,65.622,86.7,,,
2004-01,69.1058,,,77.484,88.8,94.5867,81.2923,,75.6,81.4,,,80.3,78.7,80.7,63.0053,,73.2647,,82.9941,,80.7,,,,,,,,,,80.7,,82.2,66.224,87.3,,,
2004-02,69.6515,,,78.6436,89.0,94.8371,81.5253,,76.5,81.4,,,79.9,79.2,80.6,63.4053,,73.4151,,83.0875,,81.0,,,,,,,,,,81.4,,82.3,66.2909,87.6,,,
2004-03,70.6437,,,79.3815,89.4,94.8085,81.9135,,77.0,82.2,,,80.1,79.1,80.8,63.3053,,74.365,,82.9941,,81.7,,,,,,,,,,82.0,,82.7,65.8227,87.9,,,
2004-04,72.4792,,,80.3303,89.5,95.1471,81.9911,,77.2,82.1,,,80.2,79.1,81.1,63.4053,,75.6789,,82.9941,,81.9,,,,,,,,,,83.9,,83.3,65.9565,87.7,,,
2004-05,73.9675,,,80.9628,89.6,95.3303,81.8358,,76.5,81.6,,,80.3,79.1,81.2,63.6053,,75.8293,,82.9008,,81.9,,,,,,,,,,85.5,,83.2,66.3578,88.2,,,
2004-06,73.7195,,,80.4357,89.8,95.5715,81.9911,,76.5,83.1,,,80.3,79.0,81.7,63.7053,,75.9718,,83.3675,,82.1,,,,,,,,,,87.6,,82.9,66.4247,88.4,,,
2004-07,72.6777,,,80.6466,89.7,95.692,82.0688,,76.0,83.3,,,80.1,79.1,81.9,63.8053,,75.6077,,83.5543,,82.1,,,,,,,,,,87.7,,82.8,67.2274,89.3,,,
2004-08,71.7351,,,79.5924,89.3,95.308,81.8358,,76.4,84.0,,,80.1,78.9,82.2,64.0053,,78.4572,,83.5543,,82.0,,,,,,,,,,87.1,,82.6,67.1605,89.2,,,
2004-09,71.3382,,,77.6948,89.0,95.3303,81.9911,,76.7,84.2,,,79.8,79.1,82.6,64.4054,,78.0219,,83.741,,81.9,,,,,,,,,,86.9,,82.4,66.9598,88.9,,,
2004-10,71.1894,,,77.2731,88.4,94.9882,81.6806,,76.0,83.5,,,79.5,78.6,81.9,64.4054,,77.4361,,83.6476,,81.5,,,,,,,,,,86.8,,82.1,67.0267,89.0,,,
