,United States,Japan,United Kingdom,Canada,France,Switzerland,Germany,Australia,Netherlands,Denmark,Sweden,Spain,Italy,Finland,Belgium,Norway,Israel,Ireland,New Zealand,Austria,Portugal,Eurozone,China,India,Korea,Brazil,Saudi Arabia,South Africa,Mexico,Indonesia,Turkiye,Poland,Chile,Greece,Hungary,Czechia,Colombia,Argentina,Russia
1999-Q1,0.943826615,-1.382290219,0.71753313,1.813816174,0.663421624,0.103069649,1.157632967,0.730018704,1.666753831,0.906036323,1.110565827,1.003493424,0.689512123,1.649363081,1.04496599,0.856045865,0.063160327,6.287434313,1.161601818,0.639978196,1.32919639,,,1.62415,3.03463255,0.161153242,,0.961068944,0.863742958,5.647681199,-1.685820218,0.804491994,0.019194374,0.762331324,-0.01903409,0.026330684,,-1.245853391,
1999-Q2,0.83500003,0.374807253,0.404129602,0.836544698,0.626080663,0.673753252,0.0,0.324949768,1.112901909,0.516383093,0.655014086,1.192424139,0.346684793,0.531208499,1.368173585,0.045643771,3.297104797,0.770835124,0.794519779,1.316375318,0.52210511,,,2.58223,4.383164849,0.408469189,,0.795890222,0.748115318,-0.054982737,-0.563715666,2.094611466,0.272836528,0.93320509,1.107577444,0.453881193,,-1.129907359,
1999-Q3,1.323027026,0.544252691,1.680630967,1.56467609,1.469640176,0.566114508,1.107426722,1.158502476,1.37722889,0.618053367,0.739914317,1.330389822,0.882519021,0.533205236,1.452361037,2.065328178,0.368499536,3.928181686,2.785360147,1.671785719,0.980398873,,,1.24533,2.781170984,0.10843973,,1.091897244,0.954842405,0.273416965,-1.686618055,2.000763315,2.109523192,0.382797756,1.892281644,0.923652141,,-0.288150498,
1999-Q4,1.642779005,0.038457298,1.44958507,1.40669634,1.359066228,2.355895191,0.827551167,1.696859223,1.406875109,1.398796059,1.880340529,1.121813248,1.462181135,0.852903935,1.18423025,1.728707385,1.943077217,2.264044596,1.2194461,0.28796536,0.57433716,,,1.65076,2.886255375,1.374515001,,1.099982162,0.993639693,0.107211652,2.987420294,1.480659278,2.634063267,1.598924514,1.152698231,1.118769741,,1.672821014,
2000-Q1,0.364447361,1.691195138,1.161303589,1.59973568,0.83530988,0.667169425,1.427354526,0.401444664,0.62271011,0.975099668,0.669176123,1.604993102,1.112893605,2.982422893,0.711111111,1.512039914,1.254912341,1.081429859,1.451060184,0.910031889,2.225468585,,,2.09953,1.895051738,1.085380885,,1.168839972,2.083065089,3.147464302,1.574851379,0.661094166,0.944780385,0.37966256,0.906698179,1.329946699,,-0.340002407,
2000-Q2,1.820583008,0.46855948,0.654921704,1.188584709,1.027512067,0.476722856,0.809232285,0.91969778,1.116802889,1.138417342,2.564909763,1.258317872,0.816881619,0.770593242,0.719574385,-1.451450991,3.699134491,2.753633421,0.042223043,0.792131473,-0.528487831,,,0.13491,1.332510215,1.331479712,,0.919990786,1.251156336,-0.574923718,3.893370357,1.102590764,0.221694277,0.921994078,0.949800157,0.957199043,,-1.60889246,
2000-Q3,0.099774128,0.038539554,0.510036966,1.016981788,0.827612426,0.993998106,-0.04721868,0.277602022,0.825163363,0.276238214,0.777317733,1.080112971,0.614603727,1.565924032,0.463712377,0.975499587,3.162166256,2.154780523,0.382484832,0.560824708,1.464864525,,,1.32769,2.754591172,1.368742638,,0.990394283,1.10683088,2.436406825,1.489316422,0.326862597,1.55589961,1.868409667,0.897569558,1.301082294,,-0.255185082,
2000-Q4,0.594361755,0.963843381,0.429040478,0.1712074,0.596680064,1.287234543,-0.295266703,-0.370983354,1.299729489,0.977800167,-0.298177814,1.018595501,1.501155012,1.063064683,0.977660399,0.039488318,0.230674798,0.589400921,0.183944291,1.295619478,0.669401591,,,0.04189,-0.324457972,1.136341751,,0.850954686,-1.135866312,2.875613082,1.436633405,1.859534914,1.173626284,1.418925598,1.897622114,0.473465134,,0.306858135,
2001-Q1,-0.324221003,0.735332171,0.856367003,0.529651011,0.463428574,-0.206996838,2.010776181,1.035525522,0.108520675,-1.085721803,0.308255282,1.066791396,0.595756384,0.489247671,0.056388046,1.183873539,-1.004679562,1.634699071,0.327868852,-0.230664729,-0.312683656,,,0.54066,1.225554801,0.239516124,,0.614511833,0.624084905,-0.712595937,-5.125129608,-0.372304468,0.696726562,1.237878102,0.673730096,1.184250335,,0.163646159,
2001-Q2,0.621389215,-0.741258713,0.366006178,0.269490025,0.170304517,0.46420795,-0.034834056,0.815860378,0.505669035,0.488181251,0.08475993,0.745368702,-0.350156186,0.119503397,0.017986043,-0.178444349,-0.903628035,1.910164202,1.409150327,-0.092923349,0.967446145,,,2.08137,1.298881026,-0.37180788,,0.499704416,-0.731879244,1.022894734,-4.844038717,-0.316909202,0.968738716,-0.263573867,0.81756567,0.234429768,,-0.829817774,
2001-Q3,-0.400349016,-1.084269051,0.460117524,-0.066614244,0.631490338,0.009680245,-0.209084841,1.173847231,0.173787806,0.897826274,0.382266983,0.931995265,-0.31675082,0.632169934,-0.190617769,1.236688161,-1.071124796,-0.367474068,0.750212689,0.051711121,0.146341395,,,1.23686,1.350193624,-0.437091292,,0.265747943,-0.197557237,0.020738765,1.251785772,0.492107405,-0.23509538,1.621616296,0.892300679,0.434297604,,-4.645878876,
2001-Q4,0.277314358,-0.356165538,0.162426854,0.608829247,-0.421803267,-0.388414649,-0.093124034,1.217177551,0.322515301,-0.197216541,0.835495468,0.680507295,-0.199735202,-0.281151844,-0.09969491,0.873096416,-0.373898382,1.928934854,1.481576254,0.366955505,1.399039679,,,2.29588,1.762585517,-0.474451539,,0.769322925,-0.871135264,1.416301355,-1.682896271,0.029050801,0.624600337,0.264898641,0.750149613,0.734177373,,-5.694872931,
2002-Q1,0.828227216,0.173040881,0.347322027,1.484226046,0.579224282,0.044904613,-0.512639575,0.753058007,-0.610179976,-0.033566445,-0.131701344,0.430755321,0.165912888,0.654199432,0.859674646,-0.898576419,0.846868205,1.472953614,0.882523513,1.000997118,0.177808538,,,0.8071,2.544481592,2.533692842,,1.08600902,-0.610045671,1.219098583,3.777582554,0.655182351,0.837434434,0.817047668,2.274390071,-0.192396319,,-4.931018536,
2002-Q2,0.615502456,0.819505031,0.525863509,0.589373312,0.417690119,0.256463017,0.433302142,1.728331961,0.348263578,-0.009920153,1.53587569,0.821027301,0.362171875,0.989145658,0.855923515,2.083760725,0.0366923,1.400350939,1.312204754,0.527228162,-0.463985813,,,0.62376,1.812135416,0.375294398,,1.268859181,1.032924177,1.285428675,4.316415446,0.711801489,0.813458395,2.238306787,0.547665346,0.501591912,,0.423986148,
2002-Q3,0.403528704,0.309394386,0.725898944,0.86544944,0.489064596,-0.036593334,0.489740913,0.299909128,0.155263883,0.340052292,0.613743671,0.616873221,0.204819055,-0.234029644,0.535435677,-1.48828962,0.020395044,1.779068959,1.194059308,0.228933894,-0.453600128,,,0.59356,2.021812956,1.242491247,,1.131829481,0.972083154,1.283531345,1.366468032,0.965385587,1.089337165,0.577044906,0.918933256,0.632351706,,0.074497309,
2002-Q4,0.130655767,0.26863805,0.838067847,0.548620905,-0.004127853,-0.442066785,-0.139242287,0.81540393,0.149651197,-0.330022229,0.169369993,0.748338211,0.424185025,1.138140747,0.373866936,1.132480748,-0.017844674,1.663897314,1.372568141,-0.351684305,-0.746441208,,,0.07824,1.097353992,0.977561947,,0.831988659,0.209324976,1.081071923,2.13363529,0.489394989,1.453285153,0.771020466,1.214354455,0.666424479,,1.019056942,
