,United States,Japan,United Kingdom,Canada,France,Switzerland,Germany,Australia,Netherlands,Denmark,Sweden,Spain,Italy,Finland,Belgium,Norway,Israel,Ireland,New Zealand,Austria,Portugal,Eurozone,China,India,Korea,Brazil,Saudi Arabia,South Africa,Mexico,Indonesia,Turkiye,Poland,Chile,Greece,Hungary,Czechia,Colombia,Argentina,Russia
1999-Q1,4.8163,-0.8405,2.3399,4.1941,2.7842,1.0304,0.7938,5.1738,4.2134,2.3111,4.2326,4.2353,0.8562,5.9343,1.9048,0.6808,1.0472,9.6272,2.8143,2.8207,4.8093,,8.9,6.1985,6.5834,0.6803,,0.9795,2.2873,-6.4079,-4.09,2.1001,-2.2375,2.3617,2.5265,0.3953,,-2.1765,
1999-Q2,4.7219,-0.0338,2.1742,5.0097,2.6179,0.5713,1.2206,4.5412,4.6244,3.6219,3.5085,4.2954,0.6437,4.3902,2.9567,-0.4076,4.9185,8.2899,3.0926,3.0405,3.7631,,7.9,7.5314,12.1613,-0.5196,,1.6395,2.3022,1.497,-3.8649,4.2241,-3.606,2.862,2.0658,0.5752,,-5.1406,
1999-Q3,4.7911,0.331,3.4709,5.6907,3.5293,1.1757,1.8595,3.777,5.1676,2.3813,3.7892,4.6928,1.4185,3.6449,4.1476,3.5155,4.1768,8.5721,5.8516,3.9725,3.6316,,7.6,6.93,13.3012,-0.332,,2.9748,2.7637,2.9213,-4.1375,5.2988,-0.9069,2.8964,3.0412,1.4733,,-5.1249,
1999-Q4,4.8236,-0.4356,4.2619,5.7387,4.1792,3.7357,3.1243,3.9628,5.6801,3.4815,4.4537,4.7295,3.3328,3.6104,5.1456,4.7664,5.759,13.8343,6.0807,3.9597,3.4476,,6.7,7.2889,13.7325,2.0632,,4.0074,3.608,5.9918,-1.0176,6.5294,5.1053,3.7243,4.1765,2.5429,,-1.0144,
2000-Q1,4.2247,2.6673,4.8207,5.5164,4.3571,4.3203,3.3992,3.6236,4.5949,3.5523,3.9977,5.3532,3.947,4.9692,4.7982,5.4478,7.0186,8.2586,6.387,4.3277,4.3626,,8.7,7.7908,12.4746,3.005,,4.2214,4.8605,3.4834,2.2652,6.3778,6.0779,3.3304,5.1371,3.8794,,-0.1064,
2000-Q2,5.2445,2.7632,5.0938,5.8848,4.7734,4.1161,4.236,4.2379,4.5989,4.1931,5.9711,5.4218,4.2528,5.2192,4.1277,3.8699,7.4352,10.3888,5.593,3.7358,3.2719,,9.1,5.2192,9.1875,3.9518,,4.3497,5.384,2.9451,6.8491,5.3442,6.0238,3.3189,4.9939,4.3998,,-0.5904,
2000-Q3,3.9732,2.2464,4.1041,5.3138,4.1105,4.5591,3.0456,3.3302,4.0293,3.8392,6.0104,5.1614,4.05,6.3,3.113,2.7608,10.4255,8.5051,3.1245,2.6152,3.7673,,8.8,5.3048,9.1592,5.2605,,4.245,5.5427,5.1657,10.3008,3.6154,5.449,4.848,3.9684,4.7903,,-0.5575,
2000-Q4,2.9056,3.1922,3.2935,4.0307,3.3274,3.4674,1.8981,1.2292,3.9194,3.4081,3.7436,5.0541,4.2216,6.5215,2.9025,1.0544,8.5706,6.7283,2.0722,3.6798,3.8654,,7.5,3.6381,5.7528,5.0132,,3.9882,3.3173,8.074,8.6399,4.0023,3.9485,4.6623,4.7481,4.1215,,-1.8935,
2001-Q1,2.1975,2.2222,2.9439,2.935,2.9463,2.5689,2.4842,1.8685,3.3883,1.2976,3.3716,4.4976,3.4929,3.9427,2.2335,0.7277,6.1478,7.3124,0.9395,2.4661,1.2866,,9.5,2.0557,5.0579,4.1345,,3.4184,1.8407,4.0296,1.4739,2.9346,3.693,5.5571,4.4915,3.9718,,-1.3977,
2001-Q2,0.9963,0.9913,2.6428,2.0,2.0728,2.5562,1.6261,1.7637,2.7635,0.6463,0.872,3.9682,2.5104,3.2711,1.5214,2.0289,1.4363,6.4316,2.316,1.4324,2.8098,,8.6,4.0395,5.0231,2.3841,,2.9877,-0.1539,5.7014,-7.0601,1.4894,4.4659,4.3171,4.3494,3.2275,,-0.617,
2001-Q3,0.4892,-0.1422,2.5295,0.9059,1.8743,1.5566,1.4616,2.6732,2.0996,1.2702,0.4766,3.8159,1.3821,2.3217,0.8601,2.2928,-2.7261,3.8037,2.6908,0.9306,1.4738,,8.0,3.9462,3.5877,0.5602,,2.2488,-1.442,3.2087,-7.2776,1.6565,2.6236,4.0643,4.3519,2.3442,,-4.9917,
2001-Q4,0.1673,-1.4478,2.2066,1.3467,0.8429,-0.1235,1.6673,4.3099,1.1147,0.0918,1.619,3.4684,-0.3514,0.9607,-0.216,3.1452,-3.3129,5.186,4.0236,0.0312,2.2093,,7.5,6.2882,5.7566,-1.0414,,2.166,-1.1781,1.7447,-10.1291,-0.1703,2.0667,2.8802,3.1699,2.6098,,-10.6764,
2002-Q1,1.3373,-1.9979,1.5688,2.309,0.9591,0.1286,-0.8477,4.0183,0.3887,1.1565,1.1733,2.8173,-0.6461,1.1264,0.5851,1.0224,-1.5045,5.0186,4.5961,1.3026,2.7122,,8.9,6.5699,7.1346,1.2234,,2.6448,-2.3902,3.7242,-1.696,0.8593,2.2094,2.4526,4.8138,1.2137,,-15.2197,
2002-Q2,1.3254,-0.4569,1.6171,2.6354,1.2084,-0.0784,-0.3833,4.9597,0.2315,0.6551,2.6402,2.8945,-0.017,2.0048,1.4278,3.3118,-0.5699,4.4933,4.4988,2.0157,1.256,,8.8,5.0482,7.6774,1.9825,,3.4303,-0.6548,3.9938,7.7675,1.9001,2.0522,5.0226,4.5294,1.4835,,-14.1479,
2002-Q3,2.1465,0.9456,1.7598,3.5927,1.0652,-0.1247,0.3143,4.0531,0.213,0.0986,2.8769,2.5732,0.5767,1.1268,2.1657,0.5309,0.5272,6.7446,4.9592,2.2695,0.6494,,9.6,4.3806,8.3909,3.7029,,4.3237,0.5094,5.3067,7.8896,2.38,3.407,3.943,4.5534,1.6836,,-9.8979,
2002-Q4,1.9925,1.5786,2.2177,3.5307,1.4891,-0.1785,0.268,3.64,0.0403,-0.0346,2.1973,2.6423,1.092,2.5661,2.65,0.7894,0.8864,6.467,4.8463,1.366,-1.4802,,9.1,2.1178,7.6824,5.2158,,4.3886,1.605,4.9586,12.0777,2.8512,4.2586,4.4677,5.0421,1.6152,,-3.4832,
2003-Q1,1.6793,1.4775,2.693,2.581,0.9935,-0.681,-0.7115,3.0594,0.6719,0.5349,3.5248,3.1595,0.5637,1.1795,1.5068,1.6742,1.4562,4.2248,4.5666,1.0507,-1.5518,,11.1,3.5806,4.3182,2.2872,,3.9226,2.1647,5.0478,8.0883,2.5818,4.862,5.7784,3.4767,2.8869,,5.2742,
2003-Q2,1.9551,1.3445,3.1429,1.8296,0.3144,-1.1395,-1.0349,1.7393,-0.0239,-0.3902,1.3664,2.8586,0.1035,1.6295,0.8605,-0.8762,0.8881,3.7145,3.7229,0.7105,-1.9719,,9.1,5.5461,2.3035,1.0624,,3.1217,1.295,4.8906,3.9643,3.5921,5.1171,5.2951,4.0157,3.4497,,8.1469,
2003-Q3,3.2311,1.3226,3.3657,1.3331,0.8098,-0.0462,-0.7629,3.2019,-0.0903,-0.3868,2.1923,2.9025,-0.1437,3.0864,0.7336,2.0371,1.6192,2.2842,4.6981,0.7165,-0.6514,,10.0,7.685,2.2142,0.6398,,2.521,0.3551,4.6463,5.4871,3.9075,4.6698,5.3478,4.3025,3.8985,,10.7072,
2003-Q4,4.3004,2.1571,3.3776,1.4756,1.243,1.5789,-0.3457,4.0643,0.2945,1.8049,2.6782,3.0088,0.452,2.1132,1.0565,0.9268,2.3054,6.4296,4.6536,1.3137,0.4739,,10.0,11.1336,3.7733,0.7064,,2.2616,1.0567,4.5474,6.4057,4.1683,3.7303,6.776,4.0913,4.0592,,11.6468,
2004-Q1,4.342,2.8359,3.0223,1.644,2.1494,2.5445,0.979,4.6634,1.1848,1.7499,3.3509,2.6738,0.9915,4.1527,2.842,4.529,2.3523,6.3245,5.799,1.5666,1.2747,,10.6,9.0831,5.7727,2.5444,,3.1549,2.4656,4.4131,9.2451,6.1395,4.4311,6.5109,5.0392,4.0639,,11.1229,6.6647
2004-Q2,4.2275,2.1447,2.669,3.0033,2.9977,3.6344,1.3904,4.9232,2.0196,3.3166,4.3622,3.1397,1.4328,3.5586,3.6094,5.2464,4.2558,8.4638,6.1914,2.3376,2.7675,,11.6,8.9182,6.7448,6.1916,,4.0881,3.6572,4.4772,11.4139,5.2375,5.3236,4.6378,5.0415,4.2509,,6.5976,7.5209
2004-Q3,3.4949,2.4726,2.1565,3.8312,2.3789,2.4501,0.4093,3.9173,2.0814,3.2056,3.7198,3.428,1.4506,3.4449,4.0873,2.5861,4.9188,6.9295,4.2753,3.1041,1.9037,,9.8,8.6694,5.1456,6.5949,,5.219,3.5369,4.6522,9.5469,3.8379,7.3734,5.3731,5.0461,4.6499,,9.1714,7.3374
2004-Q4,3.3511,1.1754,1.8753,3.8605,2.5971,1.4835,0.0466,2.9869,1.7592,2.4132,3.8785,3.2428,0.8464,4.8099,3.7368,3.5622,5.4309,4.1534,3.2976,3.224,1.2199,,8.8,7.2525,3.2181,6.3778,,5.7327,3.7007,6.547,8.0577,4.1391,8.5264,2.7748,4.3916,5.7332,,8.8183,6.5935
2005-Q1,3.9088,0.9428,2.2375,3.4747,1.8647,1.846,0.2132,2.98,1.1719,1.5523,2.5256,3.6257,0.3403,4.5125,2.7429,1.5889,5.0855,6.26,2.7428,2.0559,1.0856,,11.1,8.7342,2.8064,5.6901,,5.2148,2.5842,6.1637,10.0092,2.5419,6.4079,0.3357,3.652,6.423,,8.3616,6.4569
2005-Q2,3.6177,1.7198,2.4895,3.0019,1.511,2.0597,0.2353,2.7502,1.4001,2.9389,2.7172,3.5289,0.853,2.3822,2.3741,1.9127,4.696,5.8977,3.5032,2.5611,0.8811,,11.1,9.5719,3.9527,4.0779,,5.6269,1.198,6.1106,7.9599,2.1338,6.1347,0.593,4.5997,6.7264,,11.9568,6.034
2005-Q3,3.4486,2.1306,2.8926,3.0334,1.8098,3.2793,1.2956,3.1177,2.6086,2.8113,3.1543,3.5557,1.6231,2.7497,1.8905,3.9619,4.4661,5.6217,3.7092,2.1129,0.3655,,10.8,8.4952,5.0913,2.1542,,5.3447,2.3434,5.9901,8.2634,4.1584,5.9415,0.649,4.1114,6.773,,7.3469,6.2927
2005-Q4,2.9727,2.4983,3.327,3.3099,1.8052,4.1872,1.8677,3.1421,3.031,2.0422,3.0123,3.8947,1.3299,1.517,2.3072,3.1811,5.2293,6.4029,2.9032,2.727,0.7971,,12.4,9.1245,5.3568,2.7413,,4.9293,3.1361,4.5541,10.0578,4.9,5.5037,1.5405,4.8725,6.7542,,7.8837,7.2857
2006-Q1,3.2131,2.1403,3.0975,3.7886,2.305,4.5059,2.8645,2.4694,3.3402,3.7009,4.0751,4.0686,1.7601,3.0301,2.3974,2.3076,5.8617,6.2142,3.3293,4.0429,0.8455,,12.5,9.9338,6.1803,3.3497,,5.6985,4.8928,5.0833,6.4125,5.7318,6.3375,5.4691,4.6962,6.8765,6.4359,7.6017,7.4782
2006-Q2,2.9729,1.5062,2.644,3.0942,3.1312,4.275,4.0666,2.2446,4.1545,4.7316,5.2183,4.1583,1.6615,4.5328,2.1489,1.9002,6.5403,4.3028,2.1057,2.9839,1.4448,,13.7,8.0898,4.9751,2.6153,,5.3099,5.8573,5.22,9.193,7.7185,6.7717,5.542,4.1187,7.3254,5.2938,6.6165,7.9046
2006-Q3,2.3253,0.2884,2.1215,2.1448,2.6016,3.8475,3.9864,2.6104,3.389,3.9176,5.1608,4.1196,1.4421,4.0201,2.6423,2.0986,4.7179,6.7046,2.2372,3.5734,1.8109,,12.2,10.1276,5.0874,4.9815,,5.3281,5.0161,5.7508,6.8614,7.4064,5.6564,4.5912,3.9244,7.0236,7.6777,8.8533,8.4707
2006-Q4,2.6346,1.4623,1.7018,1.5479,2.5782,4.041,5.0542,3.1307,3.5883,3.3005,5.1475,4.0653,2.7333,4.5364,3.0175,3.7358,4.2793,3.6235,3.4914,3.6725,2.3996,,12.5,9.2505,4.8449,4.8363,,6.0746,3.4685,5.9314,5.7772,4.0197,6.6299,6.7162,3.7542,6.4964,7.443,9.0751,8.2969
2007-Q1,1.5767,1.9778,2.1338,1.3753,2.6135,3.364,4.1133,4.4514,4.1254,2.3564,4.507,3.8285,2.2875,3.9631,3.8392,3.0363,4.5953,7.5889,3.2199,3.5343,2.6381,,13.8,9.5572,4.8809,5.1616,,5.9354,2.1898,6.2504,6.4862,7.0381,6.7585,2.5373,1.6554,6.3625,6.7821,8.8471,8.1726
2007-Q2,1.9344,1.8541,2.4825,2.3047,2.2482,4.1473,3.2308,4.9061,3.1145,-1.053,3.3621,3.7532,1.771,5.5733,3.9446,2.9059,4.4647,5.7129,3.7281,4.3074,2.1075,,15.0,10.7278,5.9218,6.5438,,5.308,1.9794,6.6595,3.37,6.0011,5.6508,5.1999,0.1238,5.1796,6.7584,9.7459,8.808
2007-Q3,2.368,1.4972,2.8935,2.4481,2.5428,4.3022,2.963,4.53,3.6469,0.5471,2.9499,3.5863,1.4377,5.5399,3.833,3.1687,7.2576,2.2583,3.8795,3.433,2.4333,,14.3,9.1108,5.463,5.8923,,5.0907,2.095,6.6224,4.7655,6.1339,4.5184,4.0476,0.0816,5.3798,6.8706,8.2573,8.7112
2007-Q4,2.1334,0.5933,2.9662,2.1573,2.1234,3.869,2.0802,3.6303,4.1902,1.8346,3.4554,3.2594,-0.1986,6.0999,3.0839,2.4163,7.4459,5.3311,3.1961,3.3443,2.8465,,13.9,10.8976,6.9046,6.1165,,5.1262,1.9771,5.858,5.9682,9.1143,4.2574,0.9642,-0.5536,5.3304,6.5469,9.1894,10.0923
2008-Q1,1.3925,0.2909,2.503,1.5858,1.8169,4.2536,2.6665,3.2442,3.3474,1.4561,1.6844,2.544,1.2567,3.9605,2.0822,1.3458,5.585,-2.5155,1.3958,3.0584,1.7834,,11.5,8.5376,5.5676,5.6794,,3.881,1.3291,6.4276,6.2631,5.9475,5.3732,2.3857,1.7927,4.0509,5.0325,7.7303,11.0001
2008-Q2,1.376,-0.3359,1.2615,0.9749,0.5377,3.7565,1.5649,2.8988,3.3278,0.9723,1.0111,1.7443,0.0087,1.3047,1.6826,1.3979,4.2681,-3.5283,0.1962,2.8439,0.8351,,10.9,6.9747,4.3152,5.9987,,4.2945,1.2932,6.2719,2.461,5.1506,4.4156,-1.1476,2.3827,3.9532,4.5822,5.9898,8.9406
2008-Q3,0.266,-1.0489,-0.9642,1.3773,-0.0218,3.4281,0.3973,2.4429,2.0611,-0.5519,-0.2338,0.785,-1.3949,0.7295,0.3139,-0.0718,2.4564,-1.4761,-0.9955,1.7289,0.5448,,9.5,6.0034,3.9462,6.5061,,3.3327,1.054,6.0665,0.0129,3.351,3.2808,-0.6247,1.6331,2.7605,3.3209,5.4136,5.0013
2008-Q4,-2.5412,-3.893,-3.6353,0.0881,-1.7304,-0.5808,-1.8351,1.6034,0.034,-3.8674,-4.8453,-1.4759,-3.7167,-2.716,-2.2584,-0.8398,0.0474,-9.6339,-1.838,-1.3767,-1.8515,,7.1,2.6664,-1.59,1.0452,,1.3089,-0.803,5.3119,-5.7622,2.1508,0.5611,-1.5247,-2.2525,-0.5534,0.3257,-2.5482,-1.5576
