,United States,Japan,United Kingdom,Canada,France,Switzerland,Germany,Australia,Netherlands,Denmark,Sweden,Spain,Italy,Finland,Belgium,Norway,Israel,Ireland,New Zealand,Austria,Portugal,Eurozone,China,India,Korea,Brazil,Saudi Arabia,South Africa,Mexico,Indonesia,Turkiye,Poland,Chile,Greece,Hungary,Czechia,Colombia,Argentina,Russia
1999-Q1,4.3,4.6,6.2,7.9,11.9333,,8.8333,7.0822,4.5,5.0,7.1,14.3333,11.1,10.6,8.9667,2.7667,8.6463,6.3667,7.5,4.2333,5.8333,,,,7.4,,,,2.8,,,11.9333,8.8101,11.4,7.1667,8.1667,,,
1999-Q2,4.2667,4.7333,6.0,7.9,11.5333,3.0992,8.6333,6.8861,4.3333,4.9667,6.7667,13.5333,11.0667,10.3333,8.9,2.8667,8.9787,6.2,7.3,4.2,6.0,,,,7.0333,,,,2.7,,,12.9333,10.6496,12.0333,6.9333,8.6,,,
1999-Q3,4.2333,4.7,5.9,7.5,11.1333,,8.4667,6.8741,4.1667,5.1667,6.6333,13.4667,10.9333,10.1,8.1333,3.1333,8.8501,5.5667,7.0,4.0333,5.6333,,,,6.3,,,,2.3667,,,13.8333,10.9678,12.0333,6.7333,8.9333,,,
1999-Q4,4.0667,4.6333,5.8,6.9667,10.6667,,8.3,6.6337,4.0333,5.3,6.3333,13.0667,10.6667,10.1,7.7,3.4,8.7318,5.5,6.4,4.1,5.4,,,,5.2333,,,,2.3667,,,14.8,10.1537,12.3333,6.6667,9.0667,,,
2000-Q1,4.0333,4.8333,5.8,6.8667,10.2333,,8.1333,6.6505,3.8667,4.6667,6.0667,12.4667,10.5667,10.1667,7.1,3.3667,8.583,4.8,6.5,4.2333,5.4667,,,,4.8333,,,,2.2,,,15.8,9.0089,11.5667,6.5667,9.2667,,,
2000-Q2,3.9333,4.7,5.5,6.6667,9.7,2.665,8.0,6.302,3.7333,4.4333,5.7667,11.9333,10.2667,9.8,6.8,3.0667,8.7309,4.6,6.3,3.7,5.2333,,,,4.3333,,,,2.7459,,,16.2,9.403,11.4667,6.4,8.9,,,
2000-Q3,4.0,4.6667,5.3,6.9,9.2667,,7.9,5.9895,3.5667,4.1,5.4333,11.8,9.9667,9.6,6.9,3.2333,8.8869,4.2667,6.0,3.8333,5.3333,,,,4.2333,,,,2.602,,,15.9667,10.5324,11.2333,6.1,8.5,,,
2000-Q4,3.9,4.7333,5.2,6.9,8.9,,7.7667,6.1719,3.3667,4.0667,5.1,11.4667,9.6,9.4,6.6333,3.3,8.8402,3.9,5.8,3.7667,5.0667,,,,4.2,,,,2.4647,,,16.5,9.7185,10.6333,5.9,8.3667,,,
2001-Q1,4.2333,4.7667,5.1,7.0,8.7,,7.6667,6.3664,3.2,4.3667,5.9,10.6667,9.3667,9.2667,6.0667,3.3333,8.6101,3.9667,5.5,3.6333,5.2667,,,,4.6,,,,2.806,,,17.4,9.9349,10.5,5.6667,8.2333,,,
2001-Q2,4.4,4.9,5.0,7.1,8.7333,2.4916,7.6667,6.8695,3.1,4.3333,5.7,10.5,9.1333,9.1,6.5,3.2667,8.8816,4.0,5.4,4.0,5.4,,,,3.9333,,,,2.7404,,,18.3333,9.8946,10.7,5.6,8.1,,,
2001-Q3,4.8333,5.1333,5.1,7.1667,8.8,,7.8333,6.8676,3.1,4.6333,5.8333,10.5333,9.0333,9.0667,6.3,3.4667,9.5155,4.3667,5.4,4.1,5.4333,,,,3.7333,,,,2.5437,,,18.4667,10.1166,10.6333,5.5333,8.2,,,
2001-Q4,5.5,5.3667,5.2,7.6333,8.8,,8.0333,6.9795,3.1333,4.7,5.9667,10.6,8.8667,9.1,7.4,3.6333,10.1992,4.3667,5.6,4.3,5.4,,,,3.6667,,,,2.982,,,19.0333,9.4568,10.8667,5.5,7.9333,,,
2002-Q1,5.7,5.2667,5.2,7.9333,8.7667,,8.1667,6.6271,3.3,4.4333,5.8,11.2667,8.5333,9.1,7.3333,3.7,10.3653,4.5333,5.3,4.5,5.6333,,,,3.5,,,,3.1392,,,19.4667,10.0036,10.7,5.5,7.5,,,
2002-Q2,5.8333,5.4,5.2,7.7,8.6333,2.9235,8.4,6.4047,3.5,4.4,5.8,11.2667,8.8333,9.1333,7.3,3.6667,10.3372,4.6333,5.3,4.2333,6.1333,,,,3.2667,,,,3.0736,,,19.9667,9.796,10.3,5.5333,7.1667,,,
2002-Q3,5.7333,5.4333,5.3,7.5333,8.6,,8.7333,6.2804,3.8,4.9333,6.0667,11.7333,8.6,9.1,7.5,3.5667,10.28,4.5,5.5,4.4,6.6333,,,,3.1333,,,,2.8571,,,20.4667,9.8876,10.2333,5.6333,7.1667,,,
2002-Q4,5.8667,5.3333,5.1,7.5667,8.5667,,9.1,6.1577,4.1,4.8,6.1667,11.6,8.4667,9.0,7.9667,3.8,10.1456,5.2333,5.1,4.4333,7.4667,,,,3.1,,,,2.8416,,,20.2667,9.5205,10.0,5.7,7.3333,,,
2003-Q1,5.8667,5.3333,5.2,7.4667,8.3,,9.5,6.056,5.4333,5.0,6.2333,11.6667,8.7333,8.9667,8.1,3.9667,10.653,4.8333,5.0,4.5333,7.6667,,,,3.3333,,,,2.9981,,,19.7667,9.5626,9.7333,5.7,7.4,,,
2003-Q2,6.1333,5.4333,4.9,7.6667,8.5,4.1158,9.7333,6.0512,5.8,5.5333,6.3333,11.4,8.4667,9.3,8.1,4.2333,10.3252,4.8,4.8,4.8,7.9,,,,3.5333,,,,3.1836,,,19.5667,9.5924,9.7,5.8,7.6667,,,
2003-Q3,6.1333,5.1667,5.0,7.8,8.4667,,9.8,5.9072,6.1,5.4333,6.6333,11.5333,8.4,8.9,8.1333,4.3667,10.8204,5.0,4.5,4.8,7.8,,,,3.6333,,,,3.6858,,,19.9333,9.7321,9.7,5.7,7.9333,,,
2003-Q4,5.8333,5.0333,4.9,7.4333,8.8333,,9.8,5.7088,6.3667,5.7667,7.0667,11.3667,8.2,8.9667,8.3667,4.3333,10.8832,4.7667,4.7,5.0333,7.8667,,,,3.7667,,,,3.7359,,,19.7667,9.2684,9.9,5.7,8.1667,,,
2004-Q1,5.7,4.9,4.8,7.3,8.9,,10.0667,5.5372,6.6,5.6667,7.3333,11.2,8.2667,8.8667,8.5333,4.1667,10.9159,5.1333,4.3,6.0,7.5667,,,,3.5667,,,,3.9145,,,19.9,9.5129,10.8333,5.7667,8.4333,,,
2004-Q2,5.6,4.7333,4.8,7.1667,8.8,4.3164,10.3,5.4358,6.9333,5.4667,7.3667,11.2,8.0333,9.2,7.7667,4.2333,10.4407,4.6667,4.2,5.8,8.0667,,,,3.6,,,,3.9433,,,19.3333,10.3953,10.6,5.9,8.3667,,,
2004-Q3,5.4333,4.7667,4.7,7.0,8.8667,,10.3667,5.4796,6.7333,5.6,7.4333,10.9667,7.8667,8.6333,8.8667,4.3667,10.1203,4.5,3.9,5.8333,8.4,,,,3.7,,,,3.8789,,,18.8667,10.4109,10.5667,6.1667,8.1667,,,
2004-Q4,5.4333,4.5333,4.7,7.1333,8.9333,,10.6,5.1177,6.8667,5.3333,7.3667,10.5333,7.9667,8.5667,8.3667,4.4,9.7467,4.7,3.7,5.9333,8.5667,,,,3.7667,,,,3.9344,,,18.4333,9.7287,10.3333,6.4333,8.2667,,,
2005-Q1,5.3,4.5333,4.7,6.9333,8.6333,,10.8333,5.1069,7.1,5.2333,7.3667,9.9,7.9,8.7,8.4667,4.5,9.3999,4.4333,3.9,5.8,8.8333,,,,3.7333,,,,3.8004,,9.2333,18.2,9.3512,10.0,6.7667,8.1,,,
2005-Q2,5.1,4.4333,4.8,6.8333,8.8,4.4364,11.2,5.0571,7.1,5.0667,8.1,9.4,7.8333,8.4333,8.5,4.6,9.0283,4.8667,3.8,6.1,9.1333,,,,3.7333,,,,3.7641,,9.6,18.4,9.6138,10.0667,7.1667,7.9667,,,
2005-Q3,4.9667,4.3,4.7,6.7,8.9667,,11.1667,4.9587,6.9333,4.7333,7.9667,8.6333,7.6333,8.1333,8.5,4.6,8.808,4.7,3.8,6.1,9.4667,,,,3.8,,,,3.5494,,9.5,18.0,9.2652,10.2667,7.3667,7.7667,,,
2005-Q4,4.9667,4.4333,5.1,6.5333,9.1,,10.8667,5.0079,6.8333,4.1667,7.8333,8.7,7.6667,8.2333,8.4333,4.4,8.9522,4.5333,3.7,6.1333,9.4333,,,,3.6667,,,,3.2658,,9.7,17.0667,8.7087,9.8,7.4,7.9,,,
2006-Q1,4.7333,4.2,5.2,6.6,9.1667,,10.5333,5.0444,6.4333,4.1667,7.6667,8.7333,7.3333,8.0,8.5667,4.1667,8.6932,4.7,4.1,6.1,9.1333,,,,3.4667,,,,3.5139,,9.5,15.5,8.5769,9.2667,7.3667,7.7,,,
2006-Q2,4.6333,4.1333,5.5,6.3333,8.9333,4.0001,10.2,4.8573,6.1333,4.1,7.5333,8.5,6.9667,7.7667,8.6667,3.9333,8.641,4.7333,3.7,5.6667,9.1,,,,3.4333,,,,3.3638,,9.0333,14.3667,8.5227,9.1,7.3333,7.2333,,,
2006-Q3,4.6333,4.1,5.5,6.5,8.9333,,9.9,4.6785,5.9333,3.7,7.1,8.2667,6.6667,7.6333,7.9,3.4667,8.3341,5.0,3.9,5.4,9.3333,,,,3.5,,,,3.7029,,8.9333,13.5,7.5007,8.8333,7.5667,7.0,,,
2006-Q4,4.4333,4.0333,5.5,6.3667,8.3667,,9.5667,4.5156,5.8667,3.6333,6.7333,8.2667,6.5,7.3667,7.9333,2.8333,7.8228,4.6667,3.8,5.3333,9.7,,,,3.5,,,,3.8103,,8.7667,12.4,6.5905,8.7667,7.5667,6.6333,,,
2007-Q1,4.5,4.0,5.5,6.3333,8.4667,,9.0667,4.5495,5.6333,3.9,6.6,8.2,6.1667,7.1667,7.8333,2.9333,7.6631,4.9,3.9,5.2,9.7333,,,,3.2333,,,,3.9437,,8.9,10.7667,6.8711,8.7,7.1333,5.8667,11.7982,,
2007-Q2,4.5,3.7667,5.4,6.2,8.1,3.6513,8.6667,4.3248,5.2667,3.6,6.2667,7.9667,6.0333,6.6667,8.0,2.7,7.5522,5.0,3.6,5.4333,9.7667,,,,3.3,,,,3.5646,,9.2,9.7333,6.5298,8.4667,7.1333,5.4333,11.2707,,
2007-Q3,4.6667,3.7333,5.3,6.0,8.0,,8.4333,4.2555,5.2333,4.0333,6.1667,8.2333,6.2,6.9,7.0667,2.7,7.1817,4.9,3.6,5.3333,9.5333,,,,3.2667,,,,3.6333,,9.2,9.3,7.2979,8.4333,7.3667,5.1,11.1058,,
2007-Q4,4.8,3.8333,5.2,6.1,7.5,,8.2,4.354,5.0667,3.5667,6.2333,8.6,6.4,6.6333,7.0667,2.5333,6.713,5.2,3.4,4.8,9.3,,,,3.2667,,,,3.7408,,9.4,8.6333,7.854,8.0333,7.8333,4.9,10.9604,,
2008-Q1,5.0,3.9,5.2,6.1333,7.1333,,7.9,4.086,4.8,3.4333,6.0667,9.3,6.6,6.3333,6.9,2.7,6.1977,5.3667,3.8,4.5333,8.9667,,,,2.9667,,,,3.8713,,9.4,7.5333,7.6592,7.8333,7.6333,4.5667,11.0765,,
2008-Q2,5.3333,3.9667,5.4,6.1667,7.3,3.3506,7.5667,4.2583,4.8,3.4667,6.2,10.4,6.8333,6.1667,6.6333,2.8333,5.9951,5.9333,3.8,4.0333,9.1333,,,,3.1333,,,,3.6446,,9.3333,7.1333,7.9902,7.6,7.6333,4.3333,11.1112,,
2008-Q3,6.0,4.0,5.9,6.2333,7.5333,,7.1333,4.1853,4.7333,3.7667,6.3667,11.5333,6.7333,6.4,7.5,3.0,5.9655,7.3667,4.1,4.4333,9.3333,,,,3.2,,,,3.8882,,9.9667,6.8,7.3975,7.7333,7.7667,4.2333,11.6138,,
