,United States,Japan,United Kingdom,Canada,France,Switzerland,Germany,Australia,Netherlands,Denmark,Sweden,Spain,Italy,Finland,Belgium,Norway,Israel,Ireland,New Zealand,Austria,Portugal,Eurozone,China,India,Korea,Brazil,Saudi Arabia,South Africa,Mexico,Indonesia,Turkiye,Poland,Chile,Greece,Hungary,Czechia,Colombia,Argentina,Russia
1999-01,56.8032,95.8237,60.8788,50.6461,57.4952,82.4162,85.2,,88.9096,77.1447,54.4499,73.5657,83.1925,57.2048,62.3,53.6193,45.2919,,,70.3848,92.7852,73.1289,,,,,,22.8482,,,,30.4901,,76.2449,37.1102,59.7235,25.4986,,
1999-02,57.3661,96.8673,60.646,51.133,58.7951,83.7517,85.2,,88.5949,78.2957,54.4499,73.5657,82.6891,56.9047,62.7,54.8742,45.072,,,68.903,93.3647,73.353,,,,,,23.0191,,,,31.7056,,76.7515,36.7904,57.1919,26.4986,,
1999-03,57.6621,96.8673,60.9952,51.4001,58.8951,84.4238,86.4,,90.1078,83.1331,55.3507,74.4622,83.559,57.4048,66.1,57.5452,47.79,,,71.8904,94.2169,74.2581,,,,,,23.1485,,,,34.4857,,76.1097,38.7518,58.8435,25.9268,,
1999-04,58.0604,97.9109,60.8788,51.3693,58.3951,80.1357,84.2,,90.1281,71.6368,54.4499,74.014,82.9897,58.0048,66.0,50.6561,45.2961,,,71.542,93.4102,73.5322,,,,,,22.8271,,,,33.8164,,77.9683,38.9224,58.2806,25.7022,,
1999-05,58.6335,96.4878,61.5773,51.1656,59.2951,84.9144,84.2,,90.5648,78.4956,55.2506,74.8784,83.7626,57.0048,63.1,52.3057,45.535,,,71.2111,93.6602,73.8638,,,,,,23.2292,,,,35.8033,,77.612,38.1051,58.7767,26.0471,,
1999-06,58.8079,96.3929,61.6937,51.5098,58.8951,82.5613,84.9,,91.8848,78.5951,55.4508,75.7643,83.2933,58.9049,65.0,55.2113,45.9852,,,73.7265,93.6488,74.3836,,,,,,22.1563,,,,35.9053,,77.1143,38.6879,57.1956,25.8383,,
1999-07,59.3168,95.9185,61.8101,51.8853,59.495,82.7915,84.8,,92.1793,77.9566,56.0514,76.9382,81.6201,59.0049,64.5,55.962,46.4373,,,74.6226,93.5011,74.7779,,,,,,23.2204,,,,37.3619,,78.2823,40.1447,56.2282,27.3214,,
1999-08,59.9903,96.2032,61.9265,52.3259,57.9952,83.5813,86.1,,91.2654,77.9398,56.5518,76.7568,82.9246,59.1049,65.2,55.9147,48.8875,,,75.127,93.717,75.0199,,,,,,23.5932,,,,37.5946,,74.5108,40.2229,55.8753,27.023,,
1999-09,60.2253,95.9185,61.6937,52.3511,59.3951,82.7649,82.9,,90.6054,77.3695,55.8512,77.3865,84.0689,59.405,65.1,55.8324,47.6209,,,74.0843,96.0008,73.8996,,,,,,23.1502,,,,37.9004,,73.8698,41.3173,57.2,27.4755,,
1999-10,60.2365,96.6775,61.9265,52.6962,60.8949,84.6673,85.8,,92.0473,78.8837,57.2525,78.4004,85.2738,59.405,65.8,55.8721,49.2352,,,75.734,95.8417,75.7816,,,,,,23.6098,,,,39.1033,,80.5552,40.8411,57.6762,28.7638,,
1999-11,60.9723,95.1595,62.2757,52.8544,59.695,86.9534,86.2,,92.3925,79.6725,57.7529,78.87,87.5255,59.605,66.8,56.0614,47.7445,,,75.452,104.5226,75.925,,,,,,23.5394,,,,39.6662,,80.3213,42.3406,59.5092,27.0171,,
1999-12,62.2493,95.9185,62.6249,53.6589,59.495,82.2117,86.5,,93.9664,79.9459,58.8539,79.9692,85.7042,60.005,68.3,58.2384,49.3036,,,79.0,97.7165,76.409,,,,,,23.4906,,,,42.3604,,79.2579,42.2553,59.5644,29.0161,,
2000-01,61.7383,96.6775,63.6725,53.7674,61.0949,82.751,86.5,,86.5133,83.707,58.5537,78.6869,84.293,60.305,67.3,56.9237,47.8491,69.9254,,72.815,97.2166,76.2,,,,,,24.7571,,,,34.0588,,81.0,39.7391,60.005,28.6156,,
2000-02,62.6654,95.7288,62.5085,53.6386,61.4949,82.0009,87.5,,87.2241,80.9067,59.4545,78.6869,84.293,60.405,71.1,56.9237,47.9963,69.9254,,73.9138,98.3187,76.9,,,,,,24.0392,,,,35.1868,,80.8,40.6422,60.7051,29.4914,,
