,United States,Japan,United Kingdom,Canada,France,Switzerland,Germany,Australia,Netherlands,Denmark,Sweden,Spain,Italy,Finland,Belgium,Norway,Israel,Ireland,New Zealand,Austria,Portugal,Eurozone,China,India,Korea,Brazil,Saudi Arabia,South Africa,Mexico,Indonesia,Turkiye,Poland,Chile,Greece,Hungary,Czechia,Colombia,Argentina,Russia
1999-01,4.89,,5.9217,5.0045,3.1321,,3.1321,4.79,3.1321,3.8875,3.27,3.1321,3.1321,3.1321,3.1321,7.72,13.3624,3.1321,4.47,3.1321,3.1321,3.1321,4.5161,,7.0,,,16.4048,35.45,45.5,,12.6,12.75,11.69,15.8,8.49,33.23,,43.9
1999-02,4.9,,5.532,5.0335,3.0934,,3.0934,4.77,3.0934,3.615,3.14,3.0934,3.0934,3.0934,3.0934,7.27,13.3485,3.0934,4.3,3.0934,3.0934,3.0934,6.2767,,6.7,,,15.5425,31.35,38.2,,12.68,10.04,10.6642,15.3,8.18,30.25,,23.3
1999-03,4.91,,5.4229,5.0574,3.0467,,3.0467,4.81,3.0467,3.459,3.13,3.0467,3.0467,3.0467,3.0467,6.88,12.8111,3.0467,4.59,3.0467,3.0467,3.0467,4.3972,,6.56,,,14.6238,26.37,34.85,,12.84,11.09,10.0505,15.3,7.58,25.32,,21.6
1999-04,4.88,,5.3177,4.7167,2.6965,,2.6965,4.76,2.6965,3.1598,2.87,2.6965,2.6965,2.6965,2.6965,6.55,12.3088,2.6965,4.64,2.6965,2.6965,2.6965,4.3383,,6.16,,,13.753,22.99,34.09,,12.95,13.59,10.0845,15.4,7.09,22.08,,20.6
1999-05,4.92,,5.3488,4.6155,2.579,,2.579,4.86,2.579,3.1085,2.92,2.579,2.579,2.579,2.579,6.66,12.021,2.579,4.67,2.579,2.579,2.579,4.2458,,6.17,,,13.5168,23.26,31.2,,13.04,11.71,9.945,14.9,6.96,19.01,,21.0
1999-06,5.13,,5.2211,4.8155,2.6267,,2.6267,4.93,2.6267,3.1267,2.97,2.6267,2.6267,2.6267,2.6267,6.48,11.9673,2.6267,4.74,2.6267,2.6267,2.6267,3.4632,,6.28,,,13.2573,23.77,27.39,,13.11,9.28,10.0732,14.7,6.95,17.86,,20.4
1999-07,5.24,,5.1669,4.7929,2.6765,0.91,2.6765,4.89,2.6765,3.1731,3.01,2.6765,2.6765,2.6765,2.6765,6.35,11.6605,2.6765,4.72,2.6765,2.6765,2.6765,2.8688,,6.75,,,12.1006,22.98,23.45,75.06,13.46,9.76,10.0582,14.6,6.61,19.15,,16.9
1999-08,5.41,,5.2541,4.9248,2.695,0.91,2.695,4.92,2.695,3.2073,3.0,2.695,2.695,2.695,2.695,6.09,11.2983,2.695,4.77,2.695,2.695,2.695,2.8003,,7.19,,,11.6812,24.36,19.06,75.56,13.63,9.93,10.1045,14.4,6.45,18.86,,19.5
1999-09,5.5,,5.4107,4.8305,2.7267,0.87,2.7267,5.01,2.7267,3.1752,3.05,2.7267,2.7267,2.7267,2.7267,5.97,11.7647,2.7267,4.94,2.7267,2.7267,2.7267,2.7752,,7.54,,,11.1737,23.43,15.88,,16.32,9.91,10.0095,14.0,6.29,18.05,,17.7
1999-10,6.13,,6.0256,5.014,3.3757,1.79,3.3757,5.31,3.3757,3.6907,3.23,3.3757,3.3757,3.3757,3.3757,6.37,11.6822,3.3757,5.1,3.3757,3.3757,3.3757,2.7973,,7.29,,,10.7607,22.41,13.37,73.08,17.42,10.68,10.298,14.0,6.18,18.15,,19.9
1999-11,6.0,,5.8725,5.041,3.4677,1.5264,3.4677,5.44,3.4677,3.8526,3.38,3.4677,3.4677,3.4677,3.4677,6.15,11.4145,3.4677,5.35,3.4677,3.4677,3.4677,2.7629,,6.91,,,10.7105,20.09,12.91,71.66,18.59,11.63,10.9641,14.0,5.88,17.89,,22.2
1999-12,6.05,,6.0553,5.1352,3.446,1.5973,3.446,5.65,3.446,3.7985,3.41,3.446,3.446,3.446,3.446,5.97,10.8059,3.446,5.67,3.446,3.446,3.446,2.6592,,7.16,,,10.7021,19.06,12.95,,19.5,11.09,9.8164,13.41,5.58,16.09,,28.6
2000-01,5.95,,6.1363,5.2605,3.3431,1.9847,3.3431,5.66,3.3431,3.7164,3.57,3.3431,3.3431,3.3431,3.3431,5.88,9.9958,3.3431,5.68,3.3431,3.3431,3.3431,2.7155,,7.28,,,10.1566,18.69,12.85,34.07,17.34,10.05,9.128,12.88,5.42,12.59,,27.4
2000-02,6.01,,6.2378,5.3124,3.5368,2.3483,3.5368,5.8,3.5368,3.9332,3.9,3.5368,3.5368,3.5368,3.5368,5.89,9.7081,3.5368,5.93,3.5368,3.5368,3.5368,2.7268,,7.13,,,9.7834,18.12,12.64,36.36,18.59,12.17,8.7176,11.78,5.39,10.21,,17.8
2000-03,6.14,,6.2284,5.4057,3.747,2.7356,3.747,5.89,3.747,4.1848,4.06,3.747,3.747,3.747,3.747,6.0,8.9995,3.747,6.26,3.747,3.747,3.747,2.6435,,7.0,,,9.8454,15.86,12.4,,18.3,13.43,8.8977,10.97,5.35,10.9,,14.7
2000-04,6.28,,6.2965,5.5163,3.9253,3.1303,3.9253,6.04,3.9253,4.3245,3.99,3.9253,3.9253,3.9253,3.9253,6.23,9.1059,3.9253,6.49,3.9253,3.9253,3.9253,2.6423,,7.06,,,9.8823,15.1,12.16,33.3,18.52,11.76,8.6853,11.07,5.33,11.41,,13.5
2000-05,6.71,,6.3036,5.8618,4.362,3.0315,4.362,6.31,4.362,4.7013,3.96,4.362,4.362,4.362,4.362,6.5,9.2943,4.362,6.77,4.362,4.362,4.362,2.5682,,7.14,,,10.2231,16.77,11.81,35.02,18.42,10.67,8.4991,10.96,5.32,11.72,,10.9
2000-06,6.73,,6.2268,5.9173,4.5017,3.282,4.5017,6.23,4.5017,5.1411,3.94,4.5017,4.5017,4.5017,4.5017,6.72,9.1453,4.5017,6.88,4.5017,4.5017,4.5017,2.4485,,7.17,,,10.2832,17.73,11.69,,18.6,9.72,8.4129,11.07,5.33,12.0,,12.2
2000-07,6.67,,6.1925,5.8785,4.5829,3.2867,4.5829,6.2,4.5829,5.7755,4.03,4.5829,4.5829,4.5829,4.5829,6.91,9.0491,4.5829,6.83,4.5829,4.5829,4.5829,2.5058,,7.15,,,10.2338,15.4,11.79,28.72,18.54,9.9,8.1638,10.78,5.35,12.2,,9.1
2000-08,6.61,,6.2175,5.8927,4.7771,3.3441,4.7771,6.49,4.7771,5.6575,4.0,4.7771,4.7771,4.7771,4.7771,7.12,9.0982,4.7771,6.74,4.7771,4.7771,4.7771,2.4385,,7.04,,,10.1492,16.84,12.36,28.24,19.63,9.37,8.0609,10.78,5.34,12.48,,9.6
2000-09,6.6,,6.2057,5.8515,4.8528,3.3675,4.8528,6.57,4.8528,6.0979,3.94,4.8528,4.8528,4.8528,4.8528,7.33,8.9376,4.8528,6.66,4.8528,4.8528,4.8528,2.4197,,7.05,,,10.1608,17.13,12.84,,19.51,10.32,7.5652,10.92,5.34,12.94,,11.4
2000-10,6.67,,6.1627,5.8448,5.0413,3.355,5.0413,6.41,5.0413,5.553,3.99,5.0413,5.0413,5.0413,5.0413,7.52,8.7105,5.0413,6.65,5.0413,5.0413,5.0413,2.4964,,7.04,,,10.1885,17.99,13.09,35.77,19.82,11.5,7.025,11.48,5.39,12.95,,9.3
2000-11,6.65,,6.0863,5.8767,5.092,3.2923,5.092,6.33,5.092,5.4961,4.0,5.092,5.092,5.092,5.092,7.43,8.4236,5.092,6.64,5.092,5.092,5.092,2.3392,,6.99,,,10.2177,18.76,13.17,35.2,19.78,10.9,6.2464,12.05,5.41,13.08,,8.9
2000-12,6.45,,5.9554,5.7637,4.9392,3.2506,4.9392,6.2,4.9392,5.3851,4.07,4.9392,4.9392,4.9392,4.9392,7.42,8.0762,4.9392,6.71,4.9392,4.9392,4.9392,3.2674,,6.89,,,10.2023,18.39,13.24,,19.45,9.3,5.2139,11.92,5.42,13.28,,9.1
2001-01,5.62,,5.8458,5.4564,4.7707,3.2683,4.7707,5.91,4.7707,5.3435,4.07,4.7707,4.7707,4.7707,4.7707,7.41,7.7239,4.7707,6.53,4.7707,4.7707,4.7707,2.8258,,6.43,,,10.1488,18.86,13.83,47.99,18.86,8.3,4.7707,11.45,5.34,13.5,,8.1
2001-02,5.26,,5.7566,5.2075,4.7558,3.3356,4.7558,5.59,4.7558,5.272,4.1,4.7558,4.7558,4.7558,4.7558,7.32,7.23,4.7558,6.48,4.7558,4.7558,4.7558,2.8275,,5.73,,,10.1196,18.36,14.35,57.03,18.29,8.06,4.7558,10.93,5.27,13.34,,12.1
