,United States,Japan,United Kingdom,Canada,France,Switzerland,Germany,Australia,Netherlands,Denmark,Sweden,Spain,Italy,Finland,Belgium,Norway,Israel,Ireland,New Zealand,Austria,Portugal,Eurozone,China,India,Korea,Brazil,Saudi Arabia,South Africa,Mexico,Indonesia,Turkiye,Poland,Chile,Greece,Hungary,Czechia,Colombia,Argentina,Russia
1999-01,66.0514,,,55.0933,102.44,,105.6695,,,,56.1,129.749,121.1,58.7049,,,,,,72.594,,118.7099,13.9135,,,93.0737,,50.1885,81.0198,,,75.8437,48.6335,,74.316,71.1823,,,
1999-02,67.6812,,,55.2141,92.21,,93.7364,,,,56.1,127.3542,121.3,58.4049,,,,,,69.6942,,109.5091,14.0048,,,92.1317,,53.6676,79.5927,,,74.8522,49.4655,,73.8276,69.7826,,,
1999-03,68.6986,,,54.4736,98.38,,105.0934,,,,57.2,129.6368,124.5,60.8051,,,,,,76.2936,,118.6099,14.0354,,,92.0816,,52.7381,80.0584,,,74.9142,51.1016,,76.0584,69.8038,,,
1999-04,67.9123,,,55.5228,99.7,,102.6245,,,,58.5,132.069,123.0,60.6051,,,,,,77.6935,,117.4098,15.0027,,,91.7473,,48.495,78.3445,,,77.021,41.1484,,77.3916,73.4276,,,
1999-05,67.7791,,,56.0506,99.37,,102.7068,,,,57.5,135.7734,125.1,61.6051,,,,,,77.8935,,117.8098,13.7681,,,94.2601,,45.8112,78.7263,,,77.5167,43.5075,,78.2232,70.8491,,,
1999-06,68.8795,,,56.1537,100.35,,102.2953,,,,58.5,136.1102,123.7,60.505,,,,,,76.9936,,117.6098,14.2126,,,94.1944,,47.9062,79.6715,,,76.7731,58.6651,,74.316,69.8551,,,
1999-07,69.499,,,56.8242,102.9,,103.3652,,,,59.7,138.3366,124.8,61.2051,,,,,,77.6935,,119.1099,14.5625,,,93.9129,,57.2106,78.3695,,,77.1449,40.393,,77.4708,69.8738,,,
1999-08,69.0991,,,56.6356,101.83,,101.9661,,,,55.6,137.1579,122.2,61.1051,,,,,,78.5935,,117.6098,14.3297,,,93.3321,,54.2582,77.5782,,,78.1983,67.6667,,74.8176,68.393,,,
1999-09,70.0196,,,57.1195,102.13,,102.0484,,,,60.0,139.9456,127.0,61.9052,,,,,,78.2935,,118.9099,15.0558,,,93.7557,,51.5768,78.9528,,,78.8179,63.1241,,77.7216,69.4289,,,
1999-10,70.8121,,,57.6911,102.61,,103.1183,,,,57.7,144.2487,128.4,61.8052,,,,,,76.3936,,119.61,16.4709,,,95.5175,,48.4584,77.7587,,,77.4547,58.002,,76.23,65.5067,,,
1999-11,72.7962,,,58.7813,103.34,,101.3901,,,,58.9,143.3507,129.2,62.2052,,,,,,79.6934,,119.61,15.2821,,,92.7856,,57.6633,79.6279,,,77.5786,79.6829,,79.3056,66.9,,,
1999-12,73.5634,,,59.5923,102.73,,101.3901,,,,60.6,140.9559,124.0,62.4052,,,,,,77.5935,,118.3099,16.5147,,,94.5357,,46.4345,80.7029,,,81.6682,62.8847,,79.7148,62.4767,,,
2000-01,73.1449,,,59.4532,104.86,,101.5547,,110.1092,,61.4,146.2319,127.5,63.3053,95.592,,,,,73.8938,312.2,119.41,16.7131,,70.5395,93.8223,,47.9712,81.5244,,,88.8074,48.5856,,79.2,70.8882,,,
2000-02,73.9646,,,59.3627,101.3,,107.6446,,109.8092,,62.1,146.5314,134.3,64.1053,98.5918,,,,,75.4937,310.0,122.7102,17.1345,,69.5927,95.2389,,48.275,82.3618,,,84.507,44.3403,,85.5,68.3886,,,
2000-03,75.4297,,,59.061,106.12,,101.3901,,107.509,,63.1,147.0304,131.4,63.7053,97.2919,,,,,75.8937,307.4,120.8101,15.7777,,77.5224,91.0004,,50.0584,80.3401,,,81.6068,48.2003,,82.9,69.6884,,,
2000-04,74.9923,,,59.1056,104.06,,100.5671,,111.8093,,60.5,147.5295,129.7,64.3054,99.0917,,,,,76.1937,307.1,119.51,15.5585,,83.3218,94.759,,50.7828,80.769,,,82.2069,34.3492,,80.4,70.3883,,,
2000-05,75.0146,,,58.6244,109.62,,100.7317,,114.1095,,61.5,148.0286,135.5,64.6054,99.4917,,,,,76.0937,305.3,123.0103,18.2124,,85.6889,94.0538,,66.6106,81.6636,,,79.0066,51.6107,,78.4,70.6882,,,
2000-06,74.1206,,,58.3531,106.76,,96.4522,,111.9093,,59.2,148.3281,132.5,65.1054,96.6919,,,,,74.6938,306.3,119.1099,19.0854,,84.5054,96.0539,,41.6888,80.8041,,,76.7064,66.6035,,82.8,71.5881,,,
2000-07,73.0382,,,58.729,106.82,,97.4398,,103.7086,,59.8,149.7255,134.4,64.8054,97.3919,,,,,76.6936,304.7,119.2099,17.0457,,86.5174,96.8357,,62.9641,79.4769,,,76.1063,49.6935,,83.0,70.5882,,,
2000-08,75.0459,,,58.8773,110.65,,97.5221,,108.309,,59.7,150.025,137.0,65.1054,99.4917,,,,,75.3937,302.3,121.8102,17.91,,83.3218,97.6527,,53.4318,79.622,,,76.6064,55.4294,,80.3,73.8877,,,
2000-09,75.8836,,,59.2038,107.86,,95.3824,,108.409,,59.9,150.4242,133.6,64.6054,98.5918,,,,,75.9937,305.8,119.1099,19.0803,,81.6649,95.1359,,54.5672,78.2151,,,73.4061,63.2798,,83.0,75.0875,,,
2000-10,76.0485,,,59.5245,110.09,,92.8312,,110.3092,,62.1,150.3244,128.5,66.2055,97.8918,,,,,76.4936,305.0,118.1098,17.6344,,80.8364,95.9181,,47.3623,78.2013,,,74.2062,49.4055,,86.2,75.4874,,,
2000-11,76.417,,,59.4878,109.31,,96.7814,,110.6092,,63.2,150.8235,129.0,65.2054,97.9918,,,,,77.8935,306.6,119.71,19.8688,,76.2205,96.5678,,50.746,76.908,,,71.606,61.6723,,88.9,77.6871,,,
2000-12,75.6213,,,59.6446,116.1,,96.2876,,119.91,,62.7,150.8235,139.4,68.5057,101.6915,,,,,82.2931,305.5,124.8104,19.1385,,71.4863,97.5034,,54.9594,75.9304,,,72.306,78.9573,,83.2,80.0867,,,
2001-01,75.8975,,,60.8393,111.15,,93.3249,,109.4091,,65.8,151.8217,138.2,67.5056,97.2919,,,,,78.4935,306.9,120.51,19.4906,,76.3389,98.0631,,73.8123,75.0663,,,78.7066,47.371,,86.4,78.6869,,,
2001-02,75.8199,,,61.2498,111.26,,95.7939,,111.4093,,63.3,152.4206,137.3,65.8055,98.6918,,,,,76.2936,310.0,121.6101,19.7328,,76.1022,96.9264,,54.941,73.6237,,,77.1064,39.8059,,95.0,78.5869,,,
2001-03,77.1627,,,62.4777,110.21,,87.811,,111.1093,,63.2,152.9196,137.2,66.3055,96.092,,,,,74.9938,314.3,117.9098,20.7928,,79.5345,97.2649,,48.9979,73.2058,,,76.2064,51.6174,,87.9,82.7862,,,
2001-04,78.4985,,,62.1909,110.58,,86.9881,,110.3092,,63.3,152.5204,140.1,65.7055,97.2919,,,,,73.4939,315.4,117.6098,21.5854,,86.7541,97.3847,,43.2849,70.0413,,,70.9059,46.6991,,87.6,80.8865,,,
2001-05,79.0347,,,62.1464,112.32,,91.5144,,111.1093,,64.6,152.72,141.7,66.2055,98.7918,,,,,75.1937,320.7,121.0101,20.023,,86.3991,97.1536,,56.0075,71.6857,,,69.0058,69.6113,,89.9,81.4864,,,
2001-06,79.7414,,,62.3704,111.59,,91.0206,,114.6096,,66.2,153.1193,143.2,65.4055,99.2917,,,,,75.6937,324.4,120.9101,20.3335,,81.0731,92.6019,,65.1371,72.691,,,69.8058,66.1871,,88.3,82.1863,,,
2001-07,79.2514,,,63.0239,112.29,,89.9508,,109.3091,,66.2,152.72,139.5,65.1054,96.9919,,,,,76.5936,319.3,119.41,20.5477,,80.5997,91.9464,,39.1831,75.3131,,,65.8055,61.587,,89.7,84.3859,,,
2001-08,78.9713,,,63.4775,112.29,,92.2551,,112.9094,,63.9,153.3189,141.3,66.1055,99.6917,,,,,76.5936,325.2,121.0101,22.2358,,91.1332,92.3962,,40.2045,75.5475,,,65.0054,88.0097,,94.9,82.3863,,,
2001-09,78.0345,,,63.9918,112.08,,91.679,,111.1093,,63.9,153.1193,138.0,65.0054,96.492,,,,,76.3936,326.5,119.91,21.6408,,97.6428,90.2395,,108.8662,74.817,,,66.1055,38.4843,,87.6,80.6866,,,
2001-10,78.8293,,,64.3882,112.67,,92.0082,,112.6094,,63.9,154.916,143.8,64.6054,98.5918,,,,,78.0935,325.2,121.7101,21.6959,,89.8313,87.919,,58.1406,72.3155,,,64.8054,63.172,,93.5,80.9865,,,
2001-11,78.6401,,,64.7774,112.92,,90.3622,,112.8094,,65.3,154.916,141.5,65.1054,96.6919,,,,,75.2937,329.2,120.41,22.4207,,89.0029,88.5055,,52.3134,73.3141,,,63.9053,51.5881,,93.4,79.8867,,,
2001-12,79.1785,,,64.9477,112.51,,91.5967,,120.51,,68.3,155.9142,145.2,64.8054,98.3918,,,,,75.5937,331.6,122.4102,24.3473,,86.1623,87.8675,,45.2982,74.4947,,,64.7054,68.0868,,90.6,80.1866,,,
