,United States,Japan,United Kingdom,Canada,France,Switzerland,Germany,Australia,Netherlands,Denmark,Sweden,Spain,Hong Kong,Italy,Singapore,Finland,Belgium,Norway,Israel,Ireland,New Zealand,Austria,Portugal,Eurozone,China,Taiwan,India,Korea,Brazil,Saudi Arabia,South Africa,Mexico,Thailand,Indonesia,Malaysia,United Arab Emirates,Qatar,Kuwait,Turkiye,Philippines,Poland,Chile,Greece,Peru,Hungary,Czechia,Egypt,Colombia,Argentina,Russia
1999-01-01,-286622000000,114126431432.297,-35706203345.0974,845351118.081352,50692422641.2379,28283270188.0401,-31384625220.8797,-21795709492.9592,15681703602.7107,3047192196.55612,10777831815.5822,-20659548705.1285,10665499440.448,9984223099.04778,14844686294.8315,8044740599.56056,,8858629384.12741,-1901100000,,,,-11285823410.6961,-25866972479.8144,21115000000,,-3228022816.39829,21784600000,-26783642462.7954,410986666.666667,-675246561.695196,-13999734930,12427871816.9766,5782898397.49641,12603657894.7368,,,5009614079.0413,-925000000,-2875000000,-12487000000,99338040.6829709,-7294252083.21298,-1379913047.79369,-4108992898.71996,-1465751162.91064,-1634800000,670982414.631348,-11942825328.0158,22855420000
2000-01-01,-401928000000,130690474028.488,-30774085340.9977,18494424438.8816,16125180558.2182,29288780969.439,-33903966248.29,-15487273891.4343,7257328230.22331,2261835981.64661,11688841495.047,-25928189733.2715,7544767609.42816,-3106733996.05027,10637117185.4003,10527099590.0979,,25078840854.4451,-2056400000,,-1738067390.40673,,-12837031422.133,-83833383658.8249,20518382000,,-4601248652.10514,10180800000,-26530848798.8242,14316800000,-190556634.77189,-18752421871,9313150884.73666,7992074100.4978,8487894736.84211,,,14672132906.6761,-9920000000,-2228000000,-10343000000,-897526442.929414,-9817441650.67537,-1545828520.42069,-4173563161.65006,-2689755313.83905,-971000000,845404083.052557,-8980617892.62762,45382380000
2001-01-01,-394079000000,86219920754.3291,-29769769802.1206,15757824510.9175,20965385279.5954,19103243195.9331,-7099486034.16705,-7986938465.21441,9813967287.13199,4848072420.25253,14965935660.7796,-27555477891.834,10391654657.5882,1814148807.61766,12959875203.889,12082014153.4112,,27545727413.3309,-2031500000,,-418287193.422601,,-12688673086.4864,-24223902231.2351,17401000000,,1410181566.42623,2165200000,-24890077179.8191,9353446133.33333,342639131.12158,-17752510948,5100898193.97192,6900901091.30435,7286842368.42105,,,8323614605.80731,3760000000,-1750000000,-5946000000,-1100127918.63704,-9403099987.55552,-1202811329.86012,-3289609794.38738,-3272573493.81492,-388400000,-1040314751.93966,-3780423241.19359,32053820000
2002-01-01,-456109000000,108861295892.018,-36365488652.6254,12512912205.0114,17651008712.0079,21256501853.0357,39720517927.6966,-16002234756.2014,11032388748.3938,3460409556.63061,12452537009.6809,-26251685129.0349,13128959284.7968,-6277210864.05778,13766983477.4976,12091805084.2626,11622181453.1175,24269038602.5692,-1290600000,,-1395997085.63105,,-11211700615.8869,44579556206.1357,35421997979.6472,,7059496037.43388,4066100000,-9407043257.05195,11873093333.3333,1009383967.41918,-12401854406,4654204782.89078,7823542185.48575,7189736842.10526,,,4264689769.86825,-626000000,-282000000,-5544000000,-580075884.957633,-9595594260.97012,-1110307794.82469,-4361443385.9147,-4264835726.29032,622400000,-1289193776.36478,8766610000,27472950000
2003-01-01,-522297000000,139380520054.084,-38749056160.2345,10432942306.8006,15984849589.3335,39074498538.4175,35985324846.9412,-29307731701.3676,29892053162.2424,6963066045.36346,19571954143.0124,-35103881711.6867,17408758879.328,-12128604342.2726,23730108771.5606,8539305696.64518,10806024030.8729,27697714177.5359,634800000,,-2123309062.29946,,-11015502324.3104,24891688306.4588,43051582861.334,,8772510263.57572,11308300000,2193173018.42129,28047946666.6667,-1541574878.82416,-4036465031.99998,4771810540.67726,8106793838.4709,13381157894.7368,,,9424132294.58555,-7554000000,285000000,-5473000000,-222193545.398375,-12812812179.9253,-948531329.398338,-7039900025.20667,-5785485093.44665,3743300000,-911997622.355946,8139930000,33128110000
2004-01-01,-635887000000,181993749574.64,-57233152147.3247,23235547976.4209,9166417134.83922,50439617363.6772,127505924403.463,-41286950910.194,44314391423.3045,5940838083.38819,22902294715.1108,-58677027283.2251,16822246081.6072,-8978989362.55395,22214276769.3123,12556749492.8933,11434413829.7617,32999994939.3527,2352700000,,-4683953458.77796,,-15119121007.1068,81294164424.2132,68940960688.562,,780195721.51843,29289900000,8959313364.24297,51925973333.3333,-6413747384.1101,-3814022843.00001,2759369127.41909,1563009904.01622,15079434210.5263,,,15507974211.0621,-14198000000,1625000000,-15297000000,2821176352.4679,-13492562448.2979,19286880.1631118,-9445878133.34234,-4457211225.0831,3921700000,-774546542.895837,3211790000,58559840000
2005-01-01,-749230000000,170122750083.948,-51768993007.7851,21933097496.4069,-142691013.40639,47532417798.3125,133087243134.907,-43342943309.5636,41570269413.2386,11007384393.5368,23583338994.913,-83915470590.1019,21574646019.8116,-16714795194.9127,29728715646.3525,7782802138.88319,7700999844.6651,49967488000.0407,4540100000,-7144573582.78559,-8025095173.24745,6232945526.75516,-18936787439.7128,19188044538.2892,132378493766.399,,-10283543307.9807,12208600000,11679374942.1176,89990240000,-8015417922.76414,-5726026074.99998,-7641770000.00001,277544828.92532,19979946359.5987,,,30070547945.2055,-20980000000,1990392913.487,-10146000000,1824625140.66785,-18218753983.7318,1147610228.96893,-11181808084.8179,-2809704225.91577,2102800000,-1947743523.40683,5273750000,84388750000
2006-01-01,-816642000000,174672769353.091,-85755360799.5345,17990236971.1871,514325562.52478,55133415011.774,173486477217.385,-45318593059.6826,57194899544.2721,9461656812.10659,34468824245.4933,-111532335014.355,24555234186.2004,-28321585638.5408,39970902911.8067,7997111885.27903,7553988245.75266,55913071665.1842,6966700000,-7862125526.7903,-7880410400.33402,10993883346.6651,-21356231609.2248,-356367033.277699,231843041064.414,,-9299060317.4628,2094800000,10773999924.4617,98934039963.566,-12154724637.7929,-3236624927.00001,2314729999.99999,10859493593.9516,26199509355.3881,,,45311775628.758,-31161000000,6962857691.36552,-16081000000,7004224398.15737,-29576385911.1083,2872489024.18697,-8422271299.47517,-3996084353.2344,2635400000,-2991011803.11064,6498802520.20453,92315570000
2007-01-01,-736554000000,211735646402.301,-117102419592.911,11050809835.8733,-8718514442.63438,40831622534.0376,235777197044.801,-64163007801.9241,50053545967.9083,4841519012.77284,39927516579.5256,-139287625661.584,27554630254.0676,-30129935944.5308,49113607686.2764,9578241229.02905,7043546782.48594,49732367558.4286,5485900000,-13848550480.331,-9324756786.32143,14749054068.6708,-23226935476.2676,24870211054.7058,353182677237.316,,-8075694483.59495,10472500000,-2753670195.51863,93329453235.6769,-16193848408.8251,-9954729881.00002,15583700000,10491041826.7602,29770093207.5135,,,41330130542.7909,-36946000000,8071944587.37218,-28722000000,7423002524.34518,-44579249236.0973,1460344785.97979,-10209896208.3164,-8945618935.57797,411600000,-6149613557.24906,6048537892.88669,72193020000
2008-01-01,-696526000000,142115935666.067,-116909573725.291,3177944944.24201,-28163013357.7814,7524476800.82068,213250033110.591,-52121667002.2045,38962664854.2205,10413116838.3802,40802935942.2616,-145715515235.169,32872053517.7079,-66400853362.7434,29204144341.6403,5710039150.76066,-4300219760.99211,72915061387.0417,2690200000,-15302982165.9321,-10263738398.2606,19299052401.6223,-31230591785.5069,-262088219860.55,420568516143.545,,-30971987180.9349,1753000000,-35601727612.8429,132322211945.139,-16395139537.1097,-17388605598,930870000.000026,125992416.495584,38914368952.0453,,,60239349741.2413,-39425000000,144020966.589955,-36135000000,-6698524204.55871,-51297053502.0193,-5317632556.54802,-11125011068.8044,-4407952631.4357,-1414600000,-6497270736.68045,5421206328.61008,103935400000
2009-01-01,-379736000000,145677709652.338,-75394474674.3693,-40775263975.9539,-22099585073.5785,32421182040.3127,201134895341.823,-48898407698.7643,50062869721.6381,11323461379.1277,25918197361.0024,-60418930687.3375,21155607433.43,-40410770648.6168,31827178901.8586,4407663177.32744,8777353551.11954,45169002358.6256,7489399999.99999,-5007385900.33066,-3010196174.38937,10303724796.1584,-25121217594.479,-33693355266.7607,243256567919.618,,-26186435956.9107,33087600000,-29328433093.6155,20954610933.3333,-7863255557.70191,-7909214003.00001,22189105411.706,10628489686.0766,31800960631.1884,,,28972202231.9967,-11360000000,8448167039.24684,-17394000000,3220017296.13571,-35945594305.5768,-722870310.65399,-892033654.183192,-4869768332.55461,-3349300000,-4433005419.50091,7254115683.93703,50383640000
2010-01-01,-432002000000,220887986144.054,-72121003370.3932,-58162670440.4459,-22031068187.7642,78049933455.317,196171903151.514,-44714246092.1586,61803347055.1224,21051011384.4253,29195824932.3735,-52249545356.1324,16012190299.7133,-70819281579.9418,54995996846.3707,2792225335.64215,7337927601.44306,50258127255.8711,8246599999.99999,2319661324.96397,-3429382027.22571,11472431144.4443,-24406544935.3534,-40630560628.5707,237810389607.955,,-54515877624.3661,27950500000,-86717778084.25,66750991974.9333,-5421631418.05703,-4450519690.99998,11486104954.6268,5144284990.19703,25643752186.1494,,,36989237365.998,-44620000000,7179160967.11621,-24627000000,3068788709.44462,-30262611051.7219,-3564433461.29145,341646259.646128,-7351204483.70952,-4503800000,-8583011647.50193,-1622995871.25068,67452200000
2011-01-01,-455297000000,129596684408.633,-48099309847.8557,-49746988786.878,-29508603051.6754,44465235711.7694,231971688209.184,-44431156054.1156,81373336077.9216,22681953273.8671,31438301866.0035,-39975229877.5026,13808455084.0429,-64808125978.6455,62068689196.2247,-4797433834.8079,-10168977415.4153,66453557988.1617,4548000000.00001,2829018505.41797,-4822842307.09516,6798975982.37963,-14719312839.82,-48978477505.2284,136096761577.55,,-62517637221.5214,16638200000,-83576205984.365,158545217066.667,-9254146535.69638,-11304566385,9426846325.12522,1685068008.42166,32491635332.4264,,52123601586.2257,66145829373.5658,-74402000000,5642727681.99825,-26868000000,-6833478451.22991,-28599315728.5507,-3373782035.11819,886554259.949579,-5020059122.20126,-5483900000,-9734499319.54437,-5340181192.3952,97273940000
2012-01-01,-418112000000,60116999697.1116,-89045744216.166,-64582432568.5319,-32875102689.5346,60935775785.3669,251550848619.465,-64482910032.1769,89514058235.6882,20460990722.6196,30417334377.5637,735150583.045569,4147336654.68085,-5129312522.54377,52064046516.3459,-5899068430.12717,-413616611.594466,63595359982.8121,982699999.999987,-7708573878.64762,-6887303081.33397,6141933076.675,-3561728369.91938,123011730208.336,215391747469.442,,-91471245845.7231,48790600000,-92678171336.37,164763650842.157,-20346176599.8459,-18554750665,-4899255872.44313,-24417850938.214,16315757809.838,,62000183150.1832,79122068567.8395,-47278000000,6949480669.31383,-20344000000,-14228392009.9749,-6172097058.7513,-5373336018.29962,1989672606.8815,-3158497435.6835,-6972000000,-11639998929.7531,-2138040360.43296,71282190000
2013-01-01,-339455000000,46378535980.1121,-133261121257.885,-58110120944.9089,-24382747331.6785,67846358374.1688,245384297278.942,-51314570187.1267,85496733373.188,26685645940.0187,30703928592.6803,27588004255.4169,4190681086.76459,24764660543.8822,48311595940.2222,-4856099894.06214,5078944279.87186,53449786436.0721,8720899999.99999,3711544924.24212,-5836899943.13668,8379185904.99957,3720882132.09957,277335477987.877,148203949879.877,,-49122670387.7036,77258900000,-88384030093.09,135442398956.863,-21400789698.6023,-32696556286,-8833457142.24529,-29109199017.0582,11205218342.858,,60460989010.989,69492793731.2435,-55092000000,11383508584.5927,-10095000000,-13248567562.3379,-4949141208.60399,-9603977067.00422,4665997538.15975,-1105890387.14822,-3533700000,-12365127742.0201,-13124373785.8633,33428200000
2014-01-01,-369978000000,36351469239.9693,-157494608967.724,-41873919951.8706,-37354496128.6694,49891177141.2646,279426382103.965,-45400874920.3632,75952978907.9212,31353332575.5896,24497351413.4753,22662337678.7703,4057155167.75086,40309629203.7178,56518685134.7618,-3790146118.70019,4041465918.74956,54964662112.8759,13119800000,2786017662.90408,-6223946463.57655,10589968447.784,340855577.589995,311546004817.219,236046577873.629,,-27314281992.5894,83029600000,-110493241349.855,73758204316.5835,-18344938660.4379,-25907185014,11642907013.7683,-27509865798.2326,14846482442.7808,,49409890109.8901,53965916437.5612,-38020000000,10755931842.7773,-15923000000,-8981588318.72441,-3734712056.87199,-8584869570.49331,1604607987.09942,457719869.135026,-5954500000,-19818544018.1905,-9179026266.87552,57512760000
2015-01-01,-408447000000,136471801667.015,-148708003840.721,-54695520049.8056,-9130436716.70018,61630612275.2152,288065447525.277,-56958711794.5014,40162125287.2938,24953251921.341,16158646541.6316,24107676878.1211,10264062287.5864,26369229238.497,57574236721.0372,-2209431644.07304,6363243452.05937,31105578188.4766,16137700000,12912448253.7928,-4662724381.9611,6634070794.96652,470642359.964579,313001171739.199,293022317035.547,,-22456838009.6209,105118600000,-63408884124.215,-56723789493.776,-14944186632.1317,-32321752283,27752906126.7839,-17518744569.4758,9067534382.29972,,13750824175.8242,8584241437.15996,-26625000000,7265677953.83482,-6170000000,-6631182622.09829,-1611391808.26586,-8775936446.22815,2925516290.04182,845256960.753614,-17243300000,-18702227284.958,-17621985168.21,67777180000
2016-01-01,-396219000000,197049392532.181,-149573816812.644,-47262580270.0756,-12205179244.4933,50054111398.8543,298958460661.494,-41185888415.5533,55493170252.3588,24312984240.6132,11336981683.3006,39298651172.1784,12688130481.0545,49686018257.515,56699436270.6876,-4841647992.55956,2646800222.52573,14765907707.4731,12739700000,-12520887870.0592,-4016161125.37236,10771582681.0117,2413090982.18617,363672024361.053,191337035941.994,,-12113787707.3688,97923700000,-30529374570.13,-23842752835.3447,-8521994957.00948,-26050524851,43438000973.7382,-16952255385.0263,7132796676.88571,,-8269505494.50549,641706076.70465,-26668000000,-1198874442.01674,-4808000000,-6534477430.03373,-3261057769.57991,-4213179448.11544,5854912155.02455,3462558729.3382,-20493900000,-12586559420.1664,-15104786524.5601,24468810000
