,United States,Japan,United Kingdom,Canada,France,Switzerland,Germany,Australia,Netherlands,Denmark,Sweden,Spain,Hong Kong,Italy,Singapore,Finland,Belgium,Norway,Israel,Ireland,New Zealand,Austria,Portugal,Eurozone,China,Taiwan,India,Korea,Brazil,Saudi Arabia,South Africa,Mexico,Thailand,Indonesia,Malaysia,United Arab Emirates,Qatar,Kuwait,Turkiye,Philippines,Poland,Chile,Greece,Peru,Hungary,Czechia,Egypt,Colombia,Argentina,Russia
1999-01-01,9631174489000,4635982020564.97,1689407711357.04,678409995711.893,1493151737698.46,297882566712.49,2194945278872.59,389389647825.542,447049523049.808,177964167947.204,274071242574.57,634907542858.302,165768095391.557,1252446659833.79,86286866724.2229,135264083658.688,258245733221.468,162384295939.12,120922450570.289,98893958262.6438,58762260625.8758,217259147049.954,127470385557.184,7116212677298.5,1094010482677.39,,458820417337.807,497512659612.052,599642075039.049,161717040000,151516952945.154,600233031001.064,126669212337.245,140001351215.462,79148421052.6316,84445473110.9598,12393131868.1319,30122398833.1705,256395983758.49,85640170314.8245,170030647848.034,75596598517.3586,142588875293.749,50187324567.883,49073373275.9379,65173036730.6204,90710704806.8416,86278947620.5906,283523000000,195907128350.934
2000-01-01,10250947997000,4968359152795.66,1666048767079.76,744773415931.587,1365639660792.16,279209007352.669,1947981991011.77,415844972940.496,417479337444.707,164157842126.821,262834187366.578,598363313494.903,171668898538.944,1146676894209.73,96076521349.0621,126019543413.334,236792460312.471,171456390281.958,136034659581.426,100207610429.909,52622954598.9299,197289625479.906,118605192877.388,6495755148668.91,1211331627479,,468394937262.37,576178114168.494,655448188246.11,189514910222.667,151752749926.331,707909864021.779,126392223203.461,165021012077.81,93789736842.1053,104337372362.151,17759890109.8901,37718794714.1811,274294842523.054,83669788254.7279,172220451786.957,78249883995.6255,130457756628.436,51744749133.213,47218411470.2538,61823494487.0363,99838543960.0763,99875074935.083,284203750000,259710142196.943
2001-01-01,10581929774000,4374709984220.01,1648765214387,738962729044.525,1377657339291.34,286580125206.282,1945790973803.15,379357823192.53,431586852369.686,164791096044.098,242395011586.562,627830029412.205,169404327616.605,1168023426056.38,89793815727.6029,129533107311.811,236746141604.37,174240242224.618,134637422752.725,109346669229.695,53872463497.1703,197508773215.323,121604107164.997,6596586819720.33,1339400843164.88,,485441014538.638,547658231279.87,559983704075.658,184137517724.863,135429908544.338,756702925694.04,120296476180.402,160446947784.909,92783947368.4211,103311640571.818,17538461538.4615,34889597791.4123,201753110088.579,78921234457.5487,190905493539.168,71517267767.736,136309295225.34,52030158775.4055,53749989092.0197,67808695573.681,96684636118.5984,98200641189.1568,268696750000,306602070620.5
2002-01-01,10929112955000,4182845406488.62,1785781372553.92,760649334098.005,1501409382971.38,309299934075.77,2078484517474.51,395573025330.447,473861980070.981,178634843165.633,266848422377.999,708756677088.629,166348873240.942,1276769338449.3,92538355642.8848,140404460203.138,258383599375.177,195915371987.697,125059962957.686,128596035288.401,66627729311.4495,214394866675.24,134795565549.419,7200156656955.42,1470557565965.51,,514937948870.08,627246081417.004,509795270707.268,189605920240.516,129087560694.625,772109710670.873,134300903357.962,195660611165.183,100845526315.789,109816201497.617,19363736263.7363,38135756834.1741,240249005455.218,84307346432.1264,199070432431.108,70295232513.0515,154564203586.954,54777553515.0809,67608919144.3684,82196206089.7585,85146067415.7303,97945812789.8533,97724004251.8602,345470494417.863
2003-01-01,11456442041000,4519563042183.73,2056704586736.55,895540646634.787,1844544792036.86,362088305988.747,2501640388482.35,467497961560.862,580070360701.96,218096916361.973,334337040046.622,907491523174.116,161385558801.811,1577621707050.51,97646382412.8729,171652458349.411,318082528506.588,229384929368.922,131298954868.837,164670771259.602,88250885550.2626,262273631180.054,165226175536.793,8862330817568.42,1660280610709.71,,607699285433.872,702717332012.991,558233724160.742,215807655244.424,197018960967.972,729335024013.225,152280616469.478,234772463823.808,110202368421.053,124346358066.712,23533791208.7912,47874659167.9939,314595528425.307,87039092438.9644,217828661056.935,76507853875.6649,202370140236.265,58731030121.8671,85285075491.886,100090467581.268,80288461538.4615,94644969146.1352,127586973492.177,430347420194.66
2004-01-01,12217193198000,4893116005656.56,2423047347028.45,1026690238278.25,2119633181634.37,403914244451.966,2814353869359.08,614326362213.686,658380081545.175,251374821136.171,385118743610.143,1069055675273.75,169099768875.193,1806542968545.56,115033570415.043,197479443979.151,369214712443.206,265267350723.204,139973668874.271,194372115041.065,103905628688.949,301457562038.541,189382122532.169,10160398631608.8,1955346808095.44,,709148514804.659,793175007858.066,669289321953.683,258742263029.008,255806928394.811,782242912348.371,172895685509.275,256836875295.452,124749473684.211,147824370319.946,31734065934.0659,59439090600.6108,408865358516.587,95002000250.4167,255107275407.423,99079365628.3333,240963562236.127,66768703497.5687,104120803140.221,119814667457.855,78782467532.4675,117092416651.395,164657930452.787,591016690742.798
2005-01-01,13039199193000,4831466523975.98,2544813166100.5,1173108598778.68,2196945232435.8,418292704114.275,2846864211175.1,695305000206.729,685348181515.953,264466895451.157,392218701192.925,1153715822717.51,181569303960.226,1858217147203.73,127807810333.769,204885494686.381,385714762230.039,309978579743.888,147083996033.603,211876989655.907,114720129550.095,316092273276.015,197253876704.921,10523525439926.8,2285961242869.55,,820381595512.902,934901101762.491,891633826582.606,328459700124.064,288867202055.144,877476892365.264,189318407487.959,285868619205.904,143534418452.154,180617467964.602,44530494505.4945,80798630136.9863,506314676837.415,107419977968.185,306145913284.466,122314960843.922,247875422204.414,76060606060.6061,113211158292.936,137143375920.47,89600665557.4043,145600527535.771,198737095012.282,764015982495.676
2006-01-01,13815586948000,4601662661030.07,2709978165671.04,1319264809590.97,2320536221304.7,441619409123.416,2994703642023.53,747907432136.598,733955269898.823,282885978374.285,423090618042.966,1260398977831.76,193535434591.37,1949551719389.64,148627255181.674,217089269791.764,408259840868.823,346913357588.358,158670160184.179,232180617162.279,111538810712.665,336280064332.411,208756449275.848,11184044960382.4,2752118542130.4,,940259888792.141,1053216892422.02,1107626711436.44,376900135720.729,303858667884.835,975383402912.585,221758294724.764,364570515631.625,162692260155.07,222116541865.214,60882142857.1429,101557251976.794,557075996577.466,127652927611.904,344626630395.377,153840051814.059,273546728473.073,88643193061.748,115715618613.052,156264210926.177,107426086956.522,161792959247.85,232557260817.308,989932059220.667
2007-01-01,14474226905000,4579749785984.82,3092996468387.23,1468820407783.26,2660591246211.77,490754683815.144,3425578382921.58,854427259166.209,848558887541.179,319423375611.047,491254769728.812,1474002579820,211596953544.762,2213102482751.46,180941741377.766,256378067752.158,470922156309.453,402645550184.816,184052885585.912,270079279419.5,137188946865.584,389185571506.052,240496147317.381,12879111960143.5,3550327569655.47,,1216736448906.29,1172614134912.05,1397114247287.58,415964583059.205,333077117253.684,1052697085016.35,262942624565.273,432216737774.861,193549547954.753,257916133424.098,79712087912.0879,114634060167.406,681321173796.053,155980408072.596,429020755432.721,172565861848.899,318902829550.733,102170981144.136,140186691233.532,190184113270.15,130437828371.278,206229536757.674,287530508430.568,1299703459799.96
2008-01-01,14769857911000,5106679413137.57,2931683721186.75,1552989690721.65,2930303780828.12,567273005013.434,3745264093617.19,1055686110665.53,951869997864.062,353358901702.046,517706214656.407,1631863493552.34,219278739753.002,2408655348718.59,193617346346.785,285716311136.719,517328087920.078,464917553191.489,220529762562.362,275447471451.063,133131369930.414,432051935642.945,263416394624.084,14158257793140.4,4594336785737.67,,1198895147694.77,1047339041903.85,1695855391816.48,519796738631.128,316131245860.682,1109987401386.38,291382985568.988,510228634992.258,230811591306.52,315474615738.598,115270054945.055,147379536212.138,770449308781.338,181624627927.891,533599853342.51,179663390874.653,355908689477.445,120550599815.441,158325583917.574,236816948159.718,162818181818.182,242504150472.931,361558037110.419,1660848058303.11
