,United States,Japan,United Kingdom,Canada,France,Switzerland,Germany,Australia,Netherlands,Denmark,Sweden,Spain,Hong Kong,Italy,Singapore,Finland,Belgium,Norway,Israel,Ireland,New Zealand,Austria,Portugal,Eurozone,China,India,Korea,Brazil,Saudi Arabia,South Africa,Mexico,Thailand,Indonesia,Malaysia,United Arab Emirates,Qatar,Kuwait,Turkiye,Philippines,Poland,Chile,Greece,Peru,Hungary,Czechia,Egypt,Colombia,Argentina,Russia
1999-01-01,34515.3902272076,36610.1667092968,28788.9692869593,22315.1742893999,24678.3910613218,41696.9403674346,26734.9425369252,20698.7127028167,28272.6432492539,33440.6030643404,30940.9732600136,15720.6405016061,25091.6665997966,22005.0545405773,21796.6416756673,26186.1900105755,25252.8019066564,36393.4249590075,19742.4409094349,26338.1077543817,15322.2238340267,27183.4759263956,12475.2917701476,22219.2675461211,873.297610969115,440.961454614021,10672.4179334373,3456.42359489537,7697.27068405676,3267.9390794289,6230.69720074254,2028.56877965103,663.523229868446,3538.36299288587,27261.9065733158,20207.2255889136,16044.5113621837,4057.82208115709,1123.16356191368,4398.07180472258,4981.19110628657,13249.6633239242,1911.73501688306,4793.47784826397,6337.40995410482,1297.57469006096,2236.07292549395,7735.32208018486,1330.75720214844
2000-01-01,36329.9560727102,39169.3601759313,28289.65268964,24271.0020563821,22416.425417915,38864.0438950021,23694.7604830673,21853.4499933573,26214.498549887,30743.3796974953,29624.7698677482,14749.6874248766,25756.7739743351,20137.5912217673,23852.8343394594,24345.9148217032,23098.8865077401,38178.0561473638,21630.5707714145,26334.5672050501,13641.0178601057,24625.6007227434,11526.3720667968,20215.5536922064,959.360412054851,442.034778917695,12256.9935679503,3726.81142041068,8795.26059641872,3241.66124034865,7232.91068093609,2004.10704225596,770.865351580294,4087.56259349384,31855.5006047175,27494.7713320186,19493.9145280203,4278.26653426387,1073.26443619332,4501.47996121234,5097.11493718915,12072.9293569196,1941.318259717,4624.28220296128,6028.5826120265,1398.85983078672,2546.85021319149,7666.51783423783,1771.59411621094
2001-01-01,37133.623113437,34406.1690160364,27888.6051075925,23821.4455867378,22449.3396931175,39638.4387853866,23628.3272122367,19681.6450326534,26896.5481111196,30751.5896881994,27247.7632078564,15369.0011599444,25230.3780910304,20500.9543995672,21699.7475424438,24967.7925153182,23015.0712632462,38602.0944054332,20909.6789490178,28282.409882073,13882.8665113182,24558.7636778868,11734.7649743954,20450.576713307,1053.11227201705,449.911124933268,11561.2483689073,3142.23552848117,8337.32272366096,2867.47255222291,7613.14297753247,1889.97141079834,739.003946535355,3941.12266621369,29909.0094348435,25836.2707926738,17517.725185654,3100.45878842391,991.147982051369,4991.24435799511,4606.89056424429,12549.036894906,1925.97942030475,5276.03318905496,6637.1065117699,1327.09651832991,2465.00701127148,7168.97587232911,2100.3525390625
2002-01-01,37997.7596573051,32820.788626377,30078.6081337481,24255.3385818322,24288.2700193508,42458.5341569947,25197.2656001848,20290.7804189053,29343.2449960602,33228.6339176661,29899.1236012538,17106.686576658,24665.8372860636,22376.2978989329,22159.8332458207,26997.7529897788,25006.191397109,43170.6716286708,19035.0019722506,32705.4345565698,16874.1874918196,26527.5930910347,12936.6928204482,22213.0024200121,1148.51418772689,468.84442830518,13165.0657360554,2824.71539582671,8380.95929551377,2708.42341883274,7650.93186425866,2091.17888689558,888.901389665655,4177.10494176499,30221.9669995136,27151.032498866,18626.7594986402,3640.76182988006,1037.17479446569,5207.12887879142,4479.17504395379,14177.5721592705,2003.97108061855,6655.33300865319,8060.88881086776,1144.53239841974,2421.16210341989,2579.48876933284,2377.52954101563
2003-01-01,39490.2749557007,35387.0483579741,34480.941057112,28300.4630963791,29627.92426353,49337.5468934732,30310.3575963774,23705.9072163917,35750.9746630269,40458.9411743486,37321.7786737336,21510.8362454011,23977.1734120477,27526.3224609957,23730.3794651032,32927.6802919408,30655.2092679024,50250.2115333175,19627.0318353345,41203.5295847568,21913.7081719961,32294.0488606559,15797.7821340276,27193.0019619636,1288.63754323945,543.843798893951,14672.8574703505,3056.64968001868,9321.80387371676,4095.68360999415,7120.37212084792,2350.84551471481,1052.41319921916,4454.52676383656,32607.3729348287,31440.2207124561,22781.1194295871,4704.7720095841,1049.38648817817,5701.63886301914,4824.22054120463,18518.3788387396,2126.13782387391,8419.43212215959,9818.56849307488,1056.93720896595,2305.17050671011,3333.15290388997,2975.123046875
2004-01-01,41724.6316287624,38298.9801712303,40392.2648578651,32143.6814078562,33797.1624418436,54659.6403000107,34106.6581224001,30819.9934867745,40436.6182310407,46511.9347509801,42821.750835144,24907.0008505856,24928.1003722551,31317.2007943296,27608.074568778,37772.1781110398,35429.4077933344,57768.412430384,20557.1550703878,47754.2023194244,25420.3372939324,36889.2335135194,18064.1580932987,31004.9761022314,1508.66794598726,624.105094371897,16496.1200942502,3623.22390486815,10935.0165899837,5268.27898399793,7525.4874609367,2647.2607380685,1136.75521127965,4924.33811126582,37017.736365469,40792.2764702117,27601.4000590722,6031.79030954214,1122.85552849997,6681.31035976437,6185.51479184893,21995.477943746,2393.66589710452,10301.7017009768,11749.8755242156,1016.25388395628,2811.45945015998,4258.16026060875,4102.36474609375
2005-01-01,44123.4070679055,37812.8910174761,42131.8270714745,36382.5079164537,34768.1759037525,56243.947298687,34520.2396492496,34460.5429970479,41994.7135305232,48799.7442261767,43437.1309285673,26429.1509449319,26649.6365819624,32055.0920757503,29961.3082806236,39054.8504423825,36809.7013403619,67047.1704558264,21223.9355901939,50933.0216095589,27751.0654708859,38417.4577857677,18780.12751241,31947.6679669722,1753.41426293188,710.509344850714,19402.5032574748,4773.26848028038,13462.7630489265,5893.18676697246,8321.85985639121,2876.24575803293,1249.3976936371,5536.83797041246,42190.5543794633,52468.4456475056,36144.9949458716,7369.43129503434,1245.28659123518,8021.54706395971,7561.8305480446,22560.1472939077,2702.23770075461,11223.3993032598,13430.6605521291,1133.10546057176,3448.53827356214,5086.62776073134,5323.455078125
2006-01-01,46302.0008800056,35991.5423923387,44537.7123351892,40504.0607253203,36470.2128399313,59008.993014024,36353.8803343631,36570.7630699009,44900.9381441374,52027.1890709689,46593.2916773864,28389.0785799873,28224.093945162,33529.7266014361,33768.4457393726,41222.6020004611,38705.1067959147,74434.1128098681,22494.6000232756,54329.1618599624,26654.5932018985,40669.3269586152,19839.4540499032,33794.8222587519,2099.21934229104,802.01374204738,21743.4770908524,5866.02431314405,14848.6020580308,6139.58146655445,9125.3877388645,3343.78593219363,1572.79793977879,6137.15060967476,45339.5851165809,59978.86120736,42970.6631297395,8003.81217666429,1452.22141963138,9035.53178753546,9418.0627175215,24821.9367451879,3123.32015935927,11489.5608654088,15261.8088483267,1332.33941000282,3782.60350413031,5890.97800169795,6920.19970703125
2007-01-01,48050.2237771135,35779.0156794464,50438.229599278,44659.8951408034,41557.6235648179,64991.005147337,41640.0808695147,41023.7548562293,51799.2085521047,58487.0460144465,53700.2436933091,32591.3503065871,30593.952481061,37870.7475070969,39432.8947414593,48476.3927287052,44319.165448813,85502.7539315067,25633.7496115531,61396.417461176,32479.9817381467,46915.3374004507,22811.0564844365,38715.4438625534,2693.95855454419,1022.73247550475,24086.4114327703,7323.19034003928,15756.193622653,6662.06278541847,9719.9278639964,3934.69095574016,1840.32992667702,7143.99944555912,43918.3801694265,64706.9899026035,45729.8060441175,9668.39944310804,1741.60350474062,11254.3140875349,10461.3660887507,28863.9732885018,3572.36358879114,13940.9067455267,18466.5782621236,1586.47292057972,4762.08297292255,7210.59554755899,9101.2392578125
2008-01-01,48570.0459804586,39876.3062956324,47432.8790970463,46710.5055759013,45515.9617533473,74175.8776377701,45612.7106221441,49681.2190739771,57879.9437553916,64321.6744842874,56152.5594398572,35510.7222312701,31515.5278612495,40944.9124194678,40008.5767618076,53772.7942390019,48303.397956286,97503.5407803783,30173.1833628451,61353.1065629523,31252.9625640673,51919.9835754226,24949.0413566739,42353.1861913285,3468.32706307504,993.503412459599,21350.4286256041,8801.75947547502,18944.8573494363,6251.87717465472,10119.8210567984,4327.79751701197,2144.38954419985,8343.30254803955,45140.7690772438,79811.5977371757,55595.4084838672,10802.6004780341,1990.35614640542,13995.7830962135,10783.1708210632,32127.9831943287,4184.88598248749,15772.3270292979,22804.6222045964,1941.89997269337,5534.68944688199,8977.50685093365,11635.2841796875
