,United States,Japan,United Kingdom,Canada,France,Switzerland,Germany,Australia,Netherlands,Denmark,Sweden,Spain,Hong Kong,Italy,Singapore,Finland,Belgium,Norway,Israel,Ireland,New Zealand,Austria,Portugal,Eurozone,China,Taiwan,India,Korea,Brazil,Saudi Arabia,South Africa,Mexico,Thailand,Indonesia,Malaysia,United Arab Emirates,Qatar,Kuwait,Turkiye,Philippines,Poland,Chile,Greece,Peru,Hungary,Czechia,Egypt,Colombia,Argentina,Russia
1999-01-01,7229,1889,2292,1538,1144,239,617,1217,387,233,277,1394,688,270,274,147,159,195,653,84,113,97,81,5026,947,,5789,712,478,,652,186,392,276,749,,,76,286,226,221,282,262,229,64,74,1032,85,125,
2000-01-01,6917,2055,2428,1507,1185,252,744,1333,392,225,292,1720,779,297,328,158,161,191,664,76,131,97,111,5699,1086,,5853,1242,457,,604,175,381,286,787,,,77,315,228,225,260,309,209,58,57,1075,73,122,21
2001-01-01,6177,2103,2438,1278,936,263,749,1334,329,208,285,2959,857,294,318,152,159,188,648,68,145,99,99,6623,1154,,5795,1390,426,,510,167,382,315,804,,,78,310,230,230,249,313,204,55,47,1109,120,116,21
2002-01-01,5685,2119,2405,1252,874,258,715,1355,294,193,278,2986,968,295,321,147,148,180,622,62,149,109,60,6461,1223,,5650,1512,396,68,429,163,398,330,857,,,87,288,233,202,245,313,198,48,44,1150,110,110,57
2003-01-01,5295,2174,2311,3578,817,289,684,1405,268,188,,3191,1027,271,475,142,145,160,573,55,166,104,57,6522,1285,,5644,1558,367,70,390,158,419,333,897,28,,98,244,234,188,239,339,195,50,37,977,110,106,266
2004-01-01,5226,2276,2486,3597,787,282,660,1514,256,178,,,1086,269,536,134,141,166,573,53,158,100,55,3101,1373,,4725,1570,357,73,369,151,463,331,955,32,,108,253,233,211,239,319,192,47,33,795,106,103,412
2005-01-01,5145,2323,2757,3719,749,284,648,1643,237,,,,1126,275,564,,138,191,579,53,153,92,51,2840,1377,,4763,1616,342,77,348,150,504,336,1015,55,,147,257,235,234,245,302,193,44,23,744,98,100,414
2006-01-01,5133,2391,2913,3790,730,256,656,1751,224,,,3339,1165,284,461,,137,195,601,57,151,96,51,6341,1421,,4796,1689,347,86,359,132,518,344,1021,55,,164,259,238,253,244,288,189,41,15,595,94,101,539
2007-01-01,5109,2389,2588,3881,707,257,761,1913,221,,,3498,1232,301,472,,135,208,643,60,152,102,52,6547,1530,,4887,1755,395,111,374,125,523,383,983,60,,,259,242,352,238,289,188,39,13,435,90,106,592
2008-01-01,4666,2374,2415,3755,673,253,742,1924,211,,,3538,1251,294,455,,131,209,630,58,147,101,55,6472,1604,,4921,1789,383,127,367,125,525,396,972,103,43,,250,244,432,235,289,201,40,19,373,89,107,561
