,United States,Japan,United Kingdom,Canada,France,Switzerland,Germany,Australia,Netherlands,Denmark,Sweden,Spain,Hong Kong,Italy,Singapore,Finland,Belgium,Norway,Israel,Ireland,New Zealand,Austria,Portugal,Eurozone,China,India,Korea,Brazil,Saudi Arabia,South Africa,Mexico,Thailand,Indonesia,Malaysia,United Arab Emirates,Qatar,Kuwait,Turkiye,Philippines,Poland,Chile,Greece,Peru,Hungary,Czechia,Egypt,Colombia,Argentina,Russia
1999-01-01,279040000,126631000,58682466,30401286,60504420,7143991,82100243,18812264,15812088,5321799,8857874,40386875,6606500,56916317,3958723,5165474,10226419,4461913,6125000,3754786,3835100,7992324,10217828,320272154,1252735000,1040500054,46616677,173486281,21009660,46364681,96334810,62442651,210996910,22368655,3097563,613302,1877427,63185615,76249064,38660271,15176410,10761698,26252239,10237530,10283860,69907887,38585033,36653031,147214776
2000-01-01,282162411,126843000,58892514,30685730,60921384,7184250,82211508,19028802,15925513,5339616,8872109,40567864,6665000,56942108,4027887,5176209,10251250,4490967,6289000,3805174,3857700,8011566,10289898,321324622,1262645000,1059633675,47008111,175873720,21547390,46813266,97873442,63066603,214072421,22945150,3275333,645937,1934901,64113547,77958223,38258629,15351799,10805808,26654439,10210971,10255063,71371371,39215135,37070774,146596869
2001-01-01,284968955,127149000,59119673,31020902,61367388,7229854,82349925,19274701,16046180,5358783,8895960,40850412,6714300,56974100,4138012,5188008,10286570,4513751,6439000,3866243,3880500,8042293,10362722,322562386,1271850000,1078970907,47370164,178211881,22085929,47229714,99394288,63649892,217112437,23542517,3454198,678831,1991674,65072018,79626086,38248076,15523978,10862132,27014909,10187576,10216605,72854261,39837875,37480493,145976482
2002-01-01,287625193,127445000,59370479,31360079,61816234,7284753,82488495,19495210,16148929,5375931,8924958,41431558,6744100,57059007,4175950,5200598,10332785,4538159,6570000,3931947,3948500,8081957,10419631,324141533,1280400000,1098313039,47644736,180476685,22623415,47661514,100917081,64222580,220115092,24142445,3633655,713186,2047364,65988663,81285572,38230364,15693790,10902022,27334503,10158608,10196916,74393759,40454050,37885028,145306497
2003-01-01,290107933,127718000,59647577,31644028,62256970,7339001,82534176,19720737,16225302,5390574,8958229,42187645,6730800,57313203,4114826,5213014,10376133,4564855,6689700,3996521,4027200,8121423,10458821,325904835,1288400000,1117415123,47892330,182629278,23150847,48104048,102429341,64776956,223080121,24739411,3813443,748525,2101506,66867327,82942837,38204570,15859112,10928070,27623341,10129552,10193998,75963322,41057687,38278164,144648618
2004-01-01,292805298,127761000,59987905,31940655,62716306,7389625,82516260,19932722,16281779,5404523,8993531,42921895,6783500,57685327,4166664,5228172,10421137,4591910,6809000,4070262,4087500,8171966,10483861,327702192,1296075000,1136264583,48082519,184722043,23661808,48556071,103945813,65311166,225938595,25333247,3993339,777943,2153481,67785075,84607501,38182222,16017966,10955141,27893911,10107146,10197101,77522427,41648268,38668796,144067316
2005-01-01,295516599,127773000,60401206,32243753,63188395,7437115,82469422,20176844,16319868,5419432,9029572,43653155,6813200,57969484,4265762,5246096,10478617,4623291,6930100,4159914,4133900,8227829,10503330,329398861,1303720000,1154638713,48184561,186797334,24397644,49017147,105442402,65821360,228805144,25923536,4280993,848710,2235403,68704715,86261250,38165445,16175311,10987314,28147267,10087065,10211216,79075310,42220940,39070501,143518814
2006-01-01,298379912,127854000,60846820,32571174,63628261,7483934,82376451,20450966,16346101,5437272,9080505,44397319,6857100,58143979,4401365,5266268,10547958,4660677,7053700,4273591,4184600,8268641,10522288,330939600,1311020000,1172373788,48438292,188820682,25382870,49491756,106886790,66319525,231797427,26509413,4898954,1015060,2363409,69601333,87901835,38141267,16334575,11020362,28381078,10071370,10238905,80629670,42772910,39476851,143049637
2007-01-01,301231207,128001000,61322463,32889025,64021737,7551117,82266372,20827622,16381696,5461438,9148092,45226803,6916300,58438310,4588599,5288720,10625700,4709153,7180100,4398942,4223800,8295487,10542964,332660837,1317885000,1189691809,48683638,190779453,26400068,49996094,108302973,66826754,234858289,27092604,5872624,1231893,2506769,70468869,89561377,38120560,16495538,11048473,28600387,10055780,10298828,82218755,43306582,39876111,142805114
2008-01-01,304093966,128063000,61806995,33247118,64379696,7647675,82110097,21249199,16445593,5493621,9219637,45954106,6957800,58826731,4839396,5313399,10709973,4768212,7308800,4489544,4259800,8321496,10558177,334290264,1324655000,1206734806,49054708,192672317,27437353,50565812,109684489,67328239,237936543,27664296,6988685,1444277,2650930,71320726,91252326,38125759,16661462,11077841,28806185,10038188,10384603,83844783,43815313,40273769,142742366
2009-01-01,306771529,128047000,62276270,33628895,64710879,7743831,81902307,21691653,16530388,5523095,9298515,46362946,6972800,59095365,4987573,5338871,10796493,4828726,7485600,4535375,4302600,8343323,10568247,335377620,1331260000,1223640160,49307835,194517549,28483797,51170779,111049428,67813654,240981299,28217204,7992644,1610274,2795550,72225639,92946951,38151603,16833447,11107017,29009326,10022650,10443936,85501064,44313917,40684338,142785349
2010-01-01,309327143,128070000,62766365,34004889,65030575,7824909,81776930,22031750,16615394,5547683,9378126,46576897,7024200,59277417,5076732,5363352,10895586,4889252,7623600,4560155,4350700,8363404,10573100,336171621,1337705000,1240613620,49554112,196353492,29411929,51784921,112532401,68270489,244016173,28717731,8481771,1713504,2943356,73195345,94636700,38042794,17004162,11121341,29229572,10000023,10474410,87252413,44816108,40788453,142849468
2011-01-01,311583481,127833000,63258810,34339328,65345233,7912398,80274983,22340024,16693074,5570572,9449213,46742697,7071600,59379449,5183688,5388272,11038264,4953088,7765800,4580084,4384000,8391643,10557560,335442349,1345035000,1257621191,49936638,198185302,30150945,52443325,114150481,68712846,247099697,29184133,8575205,1804171,3143825,74173854,96337913,38063255,17173573,11104899,29477721,9971727,10496088,89200054,45308899,41261490,142960908
2012-01-01,313877662,127629000,63700215,34714222,65662240,7996861,80425823,22733465,16754962,5591572,9519374,46773055,7150100,59539717,5312437,5413971,11106932,5018573,7910500,4599533,4408100,8429991,10514844,336183135,1354190000,1274487215,50199853,199977707,30821543,53145033,115755909,69157023,250222695,29660212,8664969,1905660,3394663,75277439,98032317,38063164,17341771,11045011,29749589,9920362,10510785,91240376,45782417,41733271,143201721
2013-01-01,316059947,127445000,64128273,35082954,66002289,8089346,80645605,23128129,16804432,5614932,9600379,46620045,7178900,60233948,5399162,5438972,11159407,5079623,8059500,4623816,4442100,8479823,10457295,337328817,1363240000,1291132063,50428893,201721767,31482498,53873616,117290686,69578602,253275918,30134807,8751847,2035501,3646518,76576117,99700107,38040196,17509925,10965211,30038809,9893082,10514272,93377890,46237930,42202935,143506995
2014-01-01,318386329,127276000,64602298,35437435,66312067,8188649,80982500,23475686,16865008,5643475,9696110,46480882,7229500,60789140,5469724,5461512,11209057,5137232,8215700,4657740,4516500,8546356,10401062,338486932,1371860000,1307246509,50746659,203459650,32125564,54729551,118755887,69960943,256229761,30606459,8835951,2214465,3761584,78112073,101325201,38011735,17687108,10892413,30353951,9866468,10525347,95592324,46677947,42669500,143819667
2015-01-01,320738994,127141000,65116219,35702908,66548272,8282396,81686611,23815995,16939923,5683483,9799186,46444832,7291300,60730582,5535002,5479531,11274196,5188607,8380100,4701957,4609400,8642699,10358076,339514675,1379860000,1322866505,51014947,205188205,32749848,55876504,120149897,70294397,259091970,31068833,8916899,2414573,3908743,79646178,103031365,37986412,17870124,10820883,30711863,9843028,10546059,97723799,47119728,43131966,144096870
2016-01-01,323071755,127076000,65611593,36109487,66724104,8373338,82348669,24190907,17030314,5728010,9923085,46484062,7336600,60627498,5607283,5495303,11331422,5234519,8546000,4755335,4714100,8736668,10325452,340509447,1387790000,1338636340,51217803,206859578,33416270,56422274,121519221,70607037,261850182,31526418,8994263,2595166,4048085,81019394,104875266,37970087,18083879,10775971,31132779,9814023,10566332,99784030,47625955,43590368,144342397
