,United States,Japan,United Kingdom,Canada,France,Switzerland,Germany,Australia,Netherlands,Denmark,Sweden,Spain,Hong Kong,Italy,Singapore,Finland,Belgium,Norway,Israel,Ireland,New Zealand,Austria,Portugal,Eurozone,China,India,Korea,Brazil,Saudi Arabia,South Africa,Mexico,Thailand,Indonesia,Malaysia,United Arab Emirates,Qatar,Kuwait,Turkiye,Philippines,Poland,Chile,Greece,Peru,Hungary,Czechia,Egypt,Colombia,Argentina,Russia
1999-01-01,14777387400000,4455348090000,2954815470000,1448278090000,1502951790000,678232020000,1432166980000,427835360000,694055330000,97452590000,373277650000,430900070000,608159390000,728240350000,192983190000,40804170000,184135510000,63699920000,65261070000,68773180000,28351500000,33022950000,68147740000,5222450700000,,,306127530000,,,259739340000,154043880000,57176550000,64044670000,139907890000,,,20019720000,112715840000,42177840000,29576810000,68227520000,,12091970000,,10582930000,,,55847580000,
2000-01-01,15107751000000,3157221780000,2576991340000,770841540000,1446634120000,792315950000,1270243170000,372794350000,640456300000,111818640000,328339040000,504219320000,623397740000,768363350000,152826410000,33146100000,182480520000,65774110000,66742920000,81882450000,18613210000,29935220000,60680690000,5057617920000,,225648371926.192,171262310000,226152310000,,204300790000,125203830000,29217400000,26812500000,113155790000,,,19459900000,69710920000,25980660000,31279370000,60400770000,,9749910000,,9746160000,,,45839340000,
2001-01-01,13983666000000,2264527900000,2149500800000,615265930000,1174663000000,527355900000,1071748730000,375130790000,503022880000,85145500000,236514390000,468203190000,506072920000,527467280000,115688600000,20391530000,165843000000,69465400000,57655940000,75297840000,17821780000,25204350000,46337810000,4191003660000,,148771635310.213,233920540000,186237610000,,147471530000,126258380000,35943180000,22997860000,118980790000,,,22633510000,48387990000,21245370000,26016650000,56309720000,84752030000,9790330000,,8150100000,,,33384000000,
2002-01-01,11054430000000,2069299120000,1856194400000,888677700000,967015060000,612667140000,686013540000,380087000000,401267710000,76749870000,179117370000,461559380000,463054920000,477075420000,101485500000,15277460000,127556560000,64169760000,42131470000,59937500000,21761620000,33578130000,42845350000,3371616960000,,172185662293.275,250706770000,126761530000,,181998390000,103941150000,45504360000,30066960000,125778160000,,,31460220000,36043970000,18507430000,28380430000,49827000000,67061460000,11441440000,12988880000,10256370000,,,16571000000,
2003-01-01,14266265650000,2953098300000,2425822000000,910230610000,1355925340000,727102780000,1079026240000,585529690000,488647360000,121640960000,289877140000,726243370000,714597300000,614841570000,148502640000,18763320000,173552620000,95919910000,70169060000,85070380000,33049760000,56522450000,58284740000,4811133620000,512978770000,308994959404.34,329457320000,234560040000,,260748270000,122532960000,119017200000,54659060000,160814200000,,,60951560000,68379000000,23175720000,37020270000,86525910000,106643670000,14125030000,16662910000,15507730000,,,34994620000,
2004-01-01,16323726330000,3557674430000,2815928030000,1177517940000,1559109680000,829098070000,1194516790000,776402760000,538663690000,151349870000,,940672880000,861462920000,789562620000,217495360000,20344330000,273247420000,141429860000,91856250000,114085430000,43731330000,87776270000,70240380000,5778530360000,447720260000,415544312810.501,428325580000,330346580000,,442519700000,171401990000,115390380000,73250640000,181623790000,,,72903660000,98298000000,28601910000,70530890000,116924270000,125241630000,18073730000,28597850000,26891360000,,,40593870000,
2005-01-01,17000864470000,4572901030000,3058182420000,1482184560000,1758513210000,938697660000,1202136280000,804014820000,592835610000,,,959910390000,1054999320000,798072870000,257339760000,,288481060000,191078560000,122577930000,114086160000,40592460000,126251470000,66973400000,6118058930000,401852250000,624739583185.705,718010710000,474646880000,,549310310000,239127950000,123884960000,81428120000,180517540000,,,103720260000,159997200000,39798720000,94028510000,136493350000,145120740000,24139720000,32575670000,34886410000,,50500810000,47590300000,
2006-01-01,19568972500000,4614068830000,3781358500000,1700708090000,2428251770000,1212534300000,1637609770000,1095857960000,779542640000,,,1322915300000,1714953250000,1026504210000,384286350000,,396167930000,280851340000,161731740000,163269490000,44816540000,192770310000,104187320000,8373103130000,1145454870000,895269881903.849,834404280000,710247450000,,711232320000,348345130000,140161280000,138886360000,235580900000,,,107063210000,160875110000,67851740000,148848930000,174418780000,200696040000,40021560000,41934490000,44372130000,93496400000,56204320000,51240130000,
2007-01-01,19922279820000,4330921860000,3846461880000,2186550150000,2740341210000,1274656700000,2105197820000,1298315040000,956157630000,,,1799833980000,2654416060000,1072534680000,539176630000,,385552940000,354919790000,235056380000,143905260000,47485600000,236448390000,132238540000,10061904610000,4478866530000,1961859187266.62,1122606330000,1369711270000,,828185320000,397724640000,197129360000,211692970000,325290260000,126205030000,95506240000,,284530840000,102852740000,211620200000,212910230000,264960820000,69386470000,46195630000,68913190000,139273790000,101955950000,57070160000,
2008-01-01,11590277780000,3115803730000,1868152970000,1033651810000,1472406870000,880334430000,1110579630000,683871560000,388720840000,,,948352290000,1328768470000,522087790000,264974400000,,167218340000,145906340000,107706440000,49489910000,24209610000,76288700000,68876020000,4989579790000,1778784040000,791308008892.428,470797680000,591965550000,,482699980000,234054920000,103128240000,98760600000,189239210000,107354250000,76530570000,,117584350000,52030600000,90815490000,131807960000,90200000000,37876760000,18465410000,40912350000,85978070000,87716200000,39850360000,
