,United States,Japan,United Kingdom,Canada,France,Switzerland,Germany,Australia,Netherlands,Denmark,Sweden,Spain,Hong Kong,Italy,Singapore,Finland,Belgium,Norway,Israel,Ireland,New Zealand,Austria,Portugal,Eurozone,China,India,Korea,Brazil,Saudi Arabia,South Africa,Mexico,Thailand,Indonesia,Malaysia,United Arab Emirates,Qatar,Kuwait,Turkiye,Philippines,Poland,Chile,Greece,Peru,Hungary,Czechia,Egypt,Colombia,Argentina,Russia
1999-01-01,18815724700000,2028693270000,1423785660000,392672780000,723606290000,465251450000,1308493540000,198808400000,419908790000,55562340000,214818920000,1025852420000,227669000000,535981000000,107406500000,105065650000,50562290000,49890630000,20933460000,45080690000,12045890000,11813170000,38162770000,4457483970000,,,764683790000,158849900000,,72818840000,34930700000,37307120000,21161630000,42056320000,,,,67989190000,19378710000,10745410000,6521940000,183894700000,2455010000,,3933790000,,1382000000,11862190000,
2000-01-01,29782045700000,2481024210000,1833383630000,628487350000,1080301380000,634098120000,1827236880000,213223310000,650382120000,89909810000,379060460000,1583553500000,372996060000,989553600000,95153100000,210660030000,38584170000,60355500000,28704830000,14714110000,9975220000,9665760000,55584450000,6564583090000,752583100000,512843277404.089,495365930000,94051280000,,70501850000,44700320000,19331120000,12901770000,52511580000,,,,165968040000,7374260000,20459530000,5763660000,91619800000,2190650000,,6650030000,,1179000000,9145630000,
2001-01-01,20883579600000,1701945370000,1893938290000,445950640000,980888380000,586594590000,1301049770000,240570260000,455908330000,66026060000,299878360000,1490411300000,238191310000,599668800000,71093600000,179015230000,37775700000,52842920000,14989800000,22484200000,8509680000,7313690000,27286080000,5144901630000,462779500000,248143458382.804,374013950000,64476950000,22291000000,35362320000,53088620000,31050830000,9638140000,21032890000,,,1165490000,65679790000,3013660000,10176860000,4071120000,37130260000,736170000,,3448100000,,784000000,6662000000,28201700000
2002-01-01,17052861300000,1732589850000,1047574930000,448461700000,1032545060000,490762350000,871757290000,290946000000,528096140000,32507890000,185567120000,453547920000,178937670000,576460100000,63047800000,143783330000,38167730000,36490730000,11370200000,3139580000,2586820000,6507290000,22559990000,3700270050000,338208200000,196912922278.522,580979270000,39374690000,35678100000,47686360000,25436580000,41280400000,12387720000,25728420000,,,2230000000,67971290000,2142550000,3242530000,2661800000,20448960000,959820000,6642220000,5922260000,,1031000000,1168610000,47667400000
2003-01-01,16045083400000,2327856190000,1245706210000,506548290000,1103021950000,448671720000,1017280520000,421669680000,538915870000,43877390000,198436600000,618319840000,272849940000,732470860000,94336510000,142323710000,41355490000,48890150000,17805460000,6103660000,3861970000,12035820000,23901400000,4272475020000,388001840000,282783840505.306,457213710000,70478750000,159056600000,49058710000,23082300000,104549680000,12760430000,45712010000,,,5610000000,98127800000,2444850000,7764010000,7562670000,33877540000,969200000,8862590000,8768390000,,805800000,2929510000,79722900000
2004-01-01,19103123800000,3457685670000,1621275060000,706494160000,1323735230000,43853810000,1181299170000,544922320000,628501280000,68190070000,309800400000,860943370000,403727910000,900204160000,110812120000,188759280000,75105190000,91525110000,30280790000,5977030000,5090390000,25927690000,37116910000,5271296570000,511495930000,377037338892.264,525823420000,113682350000,472940800000,83768360000,44231400000,116936880000,21878750000,54191340000,,,48454400000,146561700000,3233590000,17805410000,13081570000,39892350000,1057210000,14269590000,18009920000,,2079600000,4551450000,118693700000
2005-01-01,25792191700000,4337679650000,1729902330000,932109740000,1271455120000,56648390000,1288068410000,612669600000,594702360000,,,981438310000,421194600000,1054772710000,116623470000,,106522720000,141729430000,42441080000,7806200000,5456180000,43328140000,35726030000,5434363140000,392366700000,473719089409.915,1199717440000,170920010000,1103534500000,111313230000,54486860000,89820010000,27858890000,44644510000,,,92368280000,199727190000,5352940000,26241350000,20450590000,49161710000,1715940000,22164080000,34340240000,,9548720000,5257770000,147885600000
2006-01-01,30581777000000,5498545140000,2763295580000,1237142820000,2015577290000,81267490000,1950838200000,858943720000,900783940000,,,1498503960000,755545250000,1208950290000,185884510000,,135253470000,282837140000,63163660000,12079770000,5406900000,82970200000,66037100000,7962352840000,1158991130000,637009616429.835,1339271820000,279476770000,1403048100000,173739710000,81840850000,97009620000,40323050000,69145410000,20187670000,20754100000,57196160000,226470170000,9158600000,53233690000,27812170000,86545360000,4132310000,30986590000,28778550000,48363770000,15617180000,3387990000,582649200000
2007-01-01,42852575300000,6585830110000,3947700220000,1744996560000,2895762310000,1259262900000,3254836700000,1373259640000,1541464470000,,,2278395800000,2015819340000,2213561990000,381288700000,,231569720000,407836500000,99551830000,24661110000,5950220000,129135230000,137401780000,12836083960000,6305448050000,1090413525348.74,1917885830000,645438740000,681947600000,257724510000,117920480000,112751130000,94914290000,154640500000,47604080000,29940120000,,324801670000,24234700000,90168840000,45162640000,121523700000,8060850000,47286400000,37788550000,61517870000,17247590000,4845000000,1277021300000
2008-01-01,47245495800000,6208708320000,2735562940000,1502829750000,2405976410000,1412767510000,4189639200000,839733940000,970763610000,,,1727120120000,1568212800000,1384425960000,253028450000,,190715380000,271720100000,95990440000,17562380000,3297690000,98137240000,75908300000,11147076570000,3905057640000,1037255713974.31,1187222280000,569862390000,523326600000,202637450000,84860570000,106057510000,75849340000,82321320000,71135377000,48186490000,,221235580000,12368670000,51688940000,28872350000,81801420000,3681120000,27563770000,32280700000,95826680000,18034040000,3337600000,1155013100000
2009-01-01,34306380734455,3868144490000,2807470000000,1332847390000,1284109570000,770619190000,1787794400000,841481100000,542076600000,,,1278007430000,1413270670000,926817220000,253832050000,,123238720000,207692070000,79544090000,9880900000,3296850000,51509760000,44769670000,6110803570000,7830776640000,1050732771502.82,1685458380000,707866810000,335109900000,217513740000,77556620000,126621460000,86073390000,80838640000,65802580000,25319200000,,312719790000,14319410000,56628310000,37034010000,59313130000,2958750000,27205900000,26637000000,74374270000,19849620000,1510580000,510389990000
2010-01-01,36025378147933.8,4270296890000,3213161000000,1404844510000,1350174790000,875368250000,1494656830000,1131337350000,557392430000,,,1374271440000,1487593610000,665858470000,305796890000,,107418060000,212021310000,108232110000,8869570000,1916000000,48838610000,53651340000,5703536360000,8257742340000,1060888757347.98,1629753530000,908131940000,201210910000,277223790000,111120160000,222431070000,104452210000,114789300000,27717670000,18401500000,,403248210000,22249330000,69439410000,57925320000,40642980000,3993420000,26466460000,22077000000,37215400000,22697170000,2544790000,506852040000
2011-01-01,41045547210000,4310282370000,3034966000000,1473875430000,1329956610000,827906500000,1573604310000,1128482900000,517450890000,,,1127592290000,1436954110000,846602000000,274686370000,,103250420000,184790590000,76610440000,8171340000,,38787870000,35645570000,5605625870000,6673984990000,740661117594.71,1934405350000,824916470000,291435880000,225830990000,99789260000,215271140000,105475470000,130317510000,15004370000,22908600000,21400000000,361075930000,27366630000,73064170000,51266630000,22978960000,5176170000,15651910000,20608000000,15897550000,25946340000,2454310000,554231500000
2012-01-01,32349465130000,3346412600000,2470374000000,1347972580000,1074477150000,591987480000,1249945420000,905665740000,417462270000,,,864383240000,1076727570000,782606000000,260747370000,,100925430000,119607130000,50802180000,9374110000,5347360000,23639550000,26436150000,4565257300000,5027199160000,637439438294.273,1584674350000,831638950000,511178270000,226864050000,119686590000,238851460000,91929370000,123657190000,17951830000,19410000000,21764200000,358926430000,35684030000,60228450000,46491890000,15077480000,5278840000,10963360000,17535000000,17093390000,32202940000,1462140000,340315680000
2013-01-01,33247253460000,6083165810000,1675053000000,1323581430000,1105516960000,699584830000,1312611820000,787881310000,476592480000,,,914963460000,1267004630000,769991000000,278735280000,,115306850000,96531630000,55578800000,14901120000,8852080000,26528040000,38972910000,4800090080000,7695981020000,570993690332.57,1329851670000,739678310000,362402350000,232250440000,163691860000,349911670000,98857720000,142164230000,,20564610000,40330800000,374250870000,44588930000,72612730000,41226990000,24010790000,3173100000,10822660000,12269000000,12735110000,20409200000,2237310000,235509960000
2014-01-01,38976646580000,4844710410000,2357017000000,1343788840000,1168618040000,734057670000,1269066800000,703485810000,476177030000,,,991721470000,1450936260000,2055661000000,200606610000,,107247760000,102330310000,47300530000,16573830000,8655490000,28719260000,46804660000,6194614830000,11959329140000,761434863288.323,1283699570000,644171360000,567392070000,245696620000,128035390000,310639820000,90721490000,142651430000,144064467737.544,54729710000,,369745680000,42213210000,57794630000,27130870000,33050380000,3227690000,7113710000,10777000000,26440980000,17216000000,3522520000,159939710000
2015-01-01,41398501970000,5571527250000,,1096074730000,1328364110000,955219290000,1444613090000,750636340000,,,,978396430000,2068670580000,,198030460000,,,95998950000,56371100000,20929460000,9059180000,31732950000,,3822659060000,39326016590000,802189246647.972,1843731080000,419977770000,436941100000,233988400000,103654060000,271316690000,75045300000,111481680000,57598340000,24152160000,26892110000,349684710000,38418040000,52627770000,19674570000,17942840000,1451050000,7440530000,,14760100000,11586530000,2699820000,117316660000
2016-01-01,42071330000000,5230238447398.79,,1153366674108.8,,837238026509.573,1124111807137.43,794977154799.654,,,,646295000000,1351097197683.87,,188052424095.719,,,105332521597.959,51823858462.339,22345510630.2202,10935502052.7451,26552486712.2248,,,18295058830306.6,808345072456.108,1600850346071.08,561080859110.756,306380423760.474,402438614930.951,111895470585.112,324998738315.399,90406630406.6304,98285417642.4668,49467630000,18956146617.5743,,281807764558.547,35851411587.4958,45639568724.1222,23973143323.6123,12224003416.8565,2695263972.7982,7812418043.96444,,10080164453.5071,14167836235.6802,4360745593.33447,139578411733.554
2017-01-01,39785881380000,5778429302687.51,,1280149390000,,948337108766.279,1558599058819.02,842771714903.792,,,,734350000000,1953131618025.77,,219611952181.099,,,117842406717.32,69037746840.0521,28924231097.3097,11867884008.6754,39986893431.8602,,,17223330026369.8,1204808201528.86,2011934132826.63,642502620122.419,218380624729.869,409717338863.46,109070965641.728,339528729671.634,92513090234.7969,137419329555.596,44169460000,18330180816.8357,,377303523945.135,33804496728.0034,68001894912.4385,38092071235.1455,15211933446.4284,6338486327.46256,10382730752.3874,,14428816885.2011,13865382953.3394,6592777693.4465,145514680300.889
2018-01-01,33027245670000,6304085320533.8,,1373654878943.51,,938346173391.605,1616149822593.57,774026908423.875,,,,623690935103.582,2266769163484.99,,219525212734.742,,,119168328550.519,62440266666.6667,32083358132.082,12186935213.1588,39431841593.2242,,,13070642237217.1,1295711222296.8,2455740148431.67,769196108517.936,229577660737.62,295012438897.194,93796621057.5611,386542649968.467,104652371915.392,135334927546.75,25429860000,18980064807.3781,,369810444427.62,29213839415.0566,54748164734.1064,43564837993.389,11885383999.0844,2276122242.70171,9889918211.71502,,14477615046.3766,13662415354.6522,4571173455.16617,147170214413.95
2019-01-01,23192148690000,5097597060000,,1432565050000,,965703570000,1350329600000,834226020000,,,,500184000000,1822240530000,,114204160000,,,101703310000,68468730000,,12471500000,33479930000,,,18247704170000,1285594464766.56,1927828750000,1038725260000,220782730000,284816620000,84702670000,367105830000,117889020000,108620120000,29251300000,13341180000,3692900000,347628910000,29994650000,50394380000,36732170000,15426070000,1593400000,8668020000,,11164640000,13904860000,2983330000,180721350000
2020-01-01,,6337219210000,,1010509350000,,1307702760000,1814088890000,1226164220000,,,,489373000000,3069358660000,,,,,,104642810000,,22199380000,39779610000,,,31580655980000,1945317139001.35,5190693110000,1373595920000,485419160000,293832160000,82700820000,481299000000,131144740000,248607740000,37509250000,23174370000,13167270000,868598900000,32738060000,83438270000,39727610000,16482780000,2112620000,11302390000,4228900000,16081080000,10000100000,2183040000,276593940000
2021-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
