,Total market cap
United States,40.43
Japan,6.07
United Kingdom,2.55
Canada,2.39
France,2.55
Switzerland,1.81
Germany,2.07
Australia,1.56
Netherlands,1.44
Denmark,0.61
Sweden,0.83
Spain,0.82
Hong Kong,5.54
Italy,0.68
Singapore,0.59
Finland,0.02
Belgium,0.29
Norway,0.27
Israel,0.24
Ireland,0.1
New Zealand,0.12
Austria,0.12
Portugal,0.06
China,11.95
Taiwan,1.82
India,3.27
Korea,1.97
Brazil,0.89
Saudi Arabia,2.2
South Africa,0.95
Mexico,0.36
Thailand,0.49
Indonesia,0.45
Malaysia,0.39
United Arab Emirates,0.27
Qatar,0.15
Kuwait,0.1
Turkiye,0.21
Philippines,0.25
Poland,0.16
Chile,0.17
Greece,0.05
Peru,0.08
Hungary,0.03
Czechia,0.02
Egypt,0.04
Colombia,0.1
Argentina,0.04
Russia,0.63
