,0
United States,25462700000000.0
China,17963170521080.0
Japan,4231141201863.0
Germany,4072191736090.0
India,3385089881935.0
United Kingdom,3070667732359.0
France,2782905325625.0
Russia,2240422438363.0
Canada,2139840023674.0
Italy,2010431598465.0
Brazil,1920095560995.0
Australia,1675418665067.0
Korea,1665245538595.0
Mexico,1414187193992.0
Spain,1397509272054.0
Indonesia,1319100220389.0
Saudi Arabia,1108148978218.0
Netherlands,991114635529.0
Turkiye,905987824096.0
Switzerland,807706035352.0
Poland,688176605955.0
Argentina,632770284409.0
Sweden,585939170124.0
Norway,579267365866.0
Belgium,578604103123.0
Ireland,529244870223.0
Israel,522033446212.0
United Arab Emirates,507534921715.0
Thailand,495340592811.0
Egypt,476747720365.0
Austria,471400066091.0
Singapore,466788539652.0
Malaysia,406305924656.0
South Africa,405869718462.0
Philippines,404284327312.0
Denmark,395403906582.0
Hong Kong,359838598806.0
Colombia,343939445259.0
Chile,301025249438.0
Czechia,290923534701.0
Finland,280825957768.0
Portugal,251945377529.0
New Zealand,247234053739.0
Peru,242631549613.0
Qatar,237295575171.0
Greece,219065872466.0
Kuwait,184558274289.0
Hungary,178788572068.0
