"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2008","0.1880","0.1887","0.1898","0.1858","","-0.42%"
"12/30/2008","0.1888","0.1872","0.1909","0.1867","","0.64%"
"12/29/2008","0.1876","0.1887","0.1928","0.1874","","-0.53%"
"12/26/2008","0.1886","0.1878","0.1895","0.1877","","0.27%"
"12/25/2008","0.1881","0.1880","0.1885","0.1875","","0.05%"
"12/24/2008","0.1880","0.1870","0.1883","0.1866","","0.32%"
"12/23/2008","0.1874","0.1869","0.1881","0.1867","","0.16%"
"12/22/2008","0.1871","0.1869","0.1896","0.1864","","0.16%"
"12/19/2008","0.1868","0.1912","0.1920","0.1855","","-2.10%"
"12/18/2008","0.1908","0.1934","0.1976","0.1903","","-1.29%"
"12/17/2008","0.1933","0.1886","0.1938","0.1877","","2.11%"
"12/16/2008","0.1893","0.1838","0.1899","0.1829","","2.88%"
"12/15/2008","0.1840","0.1793","0.1840","0.1793","","2.51%"
"12/12/2008","0.1795","0.1792","0.1800","0.1778","","0.11%"
"12/11/2008","0.1793","0.1747","0.1800","0.1745","","2.57%"
"12/10/2008","0.1748","0.1734","0.1754","0.1732","","0.87%"
"12/09/2008","0.1733","0.1738","0.1745","0.1717","","-0.17%"
"12/08/2008","0.1736","0.1708","0.1740","0.1706","","1.58%"
"12/05/2008","0.1709","0.1717","0.1719","0.1695","","-0.29%"
"12/04/2008","0.1714","0.1705","0.1724","0.1684","","0.47%"
"12/03/2008","0.1706","0.1706","0.1711","0.1691","","0.00%"
"12/02/2008","0.1706","0.1693","0.1714","0.1686","","0.71%"
"12/01/2008","0.1694","0.1706","0.1706","0.1688","","-0.70%"
"11/28/2008","0.1706","0.1731","0.1739","0.1697","","-1.39%"
"11/27/2008","0.1730","0.1729","0.1740","0.1725","","0.00%"
"11/26/2008","0.1730","0.1753","0.1754","0.1720","","-1.31%"
"11/25/2008","0.1753","0.1734","0.1754","0.1717","","1.27%"
"11/24/2008","0.1731","0.1689","0.1734","0.1686","","2.55%"
"11/21/2008","0.1688","0.1671","0.1696","0.1667","","0.90%"
"11/20/2008","0.1673","0.1677","0.1691","0.1671","","-0.42%"
"11/19/2008","0.1680","0.1693","0.1719","0.1679","","-0.88%"
"11/18/2008","0.1695","0.1697","0.1705","0.1686","","-0.24%"
"11/17/2008","0.1699","0.1683","0.1711","0.1680","","-0.12%"
"11/14/2008","0.1701","0.1716","0.1721","0.1693","","-1.28%"
"11/13/2008","0.1723","0.1679","0.1727","0.1663","","2.80%"
"11/12/2008","0.1676","0.1683","0.1697","0.1674","","-0.36%"
"11/11/2008","0.1682","0.1712","0.1719","0.1680","","-1.69%"
"11/10/2008","0.1711","0.1719","0.1736","0.1707","","-0.06%"
"11/07/2008","0.1712","0.1707","0.1727","0.1699","","0.35%"
"11/06/2008","0.1706","0.1741","0.1742","0.1705","","-1.95%"
"11/05/2008","0.1740","0.1744","0.1763","0.1719","","-0.51%"
"11/04/2008","0.1749","0.1696","0.1752","0.1682","","2.94%"
"11/03/2008","0.1699","0.1711","0.1733","0.1691","","-0.59%"
"10/31/2008","0.1709","0.1726","0.1731","0.1701","","-1.38%"
"10/30/2008","0.1733","0.1741","0.1779","0.1719","","-0.40%"
"10/29/2008","0.1740","0.1711","0.1744","0.1693","","1.99%"
"10/28/2008","0.1706","0.1673","0.1709","0.1661","","1.97%"
"10/27/2008","0.1673","0.1682","0.1696","0.1655","","-1.24%"
"10/24/2008","0.1694","0.1739","0.1739","0.1674","","-2.59%"
"10/23/2008","0.1739","0.1721","0.1744","0.1707","","1.05%"
"10/22/2008","0.1721","0.1752","0.1754","0.1713","","-1.77%"
"10/21/2008","0.1752","0.1788","0.1792","0.1750","","-2.12%"
"10/20/2008","0.1790","0.1799","0.1815","0.1782","","-0.50%"
"10/17/2008","0.1799","0.1809","0.1813","0.1796","","-0.55%"
"10/16/2008","0.1809","0.1807","0.1817","0.1791","","0.11%"
"10/15/2008","0.1807","0.1827","0.1837","0.1805","","-1.09%"
"10/14/2008","0.1827","0.1823","0.1847","0.1822","","0.16%"
"10/13/2008","0.1824","0.1822","0.1837","0.1805","","1.50%"
"10/10/2008","0.1797","0.1825","0.1833","0.1778","","-1.53%"
"10/09/2008","0.1825","0.1828","0.1850","0.1822","","-0.38%"
"10/08/2008","0.1832","0.1826","0.1845","0.1814","","0.66%"
"10/07/2008","0.1820","0.1807","0.1842","0.1806","","0.61%"
"10/06/2008","0.1809","0.1846","0.1846","0.1801","","-2.00%"
"10/03/2008","0.1846","0.1852","0.1864","0.1836","","-0.27%"
"10/02/2008","0.1851","0.1880","0.1880","0.1843","","-1.44%"
"10/01/2008","0.1878","0.1892","0.1900","0.1872","","-0.69%"
"09/30/2008","0.1891","0.1932","0.1934","0.1877","","-2.17%"
"09/29/2008","0.1933","0.1949","0.1953","0.1917","","-1.28%"
"09/26/2008","0.1958","0.1959","0.1968","0.1950","","-0.10%"
"09/25/2008","0.1960","0.1958","0.1981","0.1951","","0.00%"
"09/24/2008","0.1960","0.1963","0.1976","0.1958","","-0.15%"
"09/23/2008","0.1963","0.1983","0.1987","0.1959","","-0.96%"
"09/22/2008","0.1982","0.1942","0.1994","0.1935","","2.27%"
"09/19/2008","0.1938","0.1920","0.1943","0.1896","","0.78%"
