"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2008","5.1393","5.1662","5.1970","5.0861","","-0.57%"
"12/30/2008","5.1688","5.1214","5.2237","5.1107","","0.66%"
"12/29/2008","5.1349","5.1637","5.2756","5.1298","","-0.55%"
"12/26/2008","5.1633","5.1460","5.1868","5.1367","","0.30%"
"12/25/2008","5.1476","5.1454","5.1606","5.1310","","0.07%"
"12/24/2008","5.1440","5.1180","5.1498","5.1088","","0.30%"
"12/23/2008","5.1286","5.1174","5.1499","5.1107","","0.14%"
"12/22/2008","5.1216","5.1169","5.1881","5.1045","","0.20%"
"12/19/2008","5.1113","5.2320","5.2569","5.0763","","-2.09%"
"12/18/2008","5.2204","5.2907","5.4068","5.2096","","-1.34%"
"12/17/2008","5.2911","5.1610","5.3033","5.1389","","2.26%"
"12/16/2008","5.1743","5.0304","5.1958","5.0053","","2.73%"
"12/15/2008","5.0366","4.9092","5.0366","4.9081","","2.53%"
"12/12/2008","4.9121","4.9033","4.9280","4.8657","","0.12%"
"12/11/2008","4.9062","4.7794","4.9241","4.7739","","2.61%"
"12/10/2008","4.7813","4.7456","4.8010","4.7372","","0.85%"
"12/09/2008","4.7412","4.7575","4.7758","4.6990","","-0.23%"
"12/08/2008","4.7523","4.6734","4.7625","4.6700","","1.58%"
"12/05/2008","4.6786","4.6953","4.7025","4.6365","","-0.28%"
"12/04/2008","4.6919","4.6653","4.7198","4.6083","","0.49%"
"12/03/2008","4.6691","4.6686","4.6807","4.6277","","-0.01%"
"12/02/2008","4.6695","4.6318","4.6901","4.6132","","0.68%"
"12/01/2008","4.6381","4.6674","4.6694","4.6200","","-0.55%"
"11/28/2008","4.6639","4.7391","4.7609","4.6435","","-1.50%"
"11/27/2008","4.7348","4.7335","4.7633","4.7215","","0.00%"
"11/26/2008","4.7347","4.7974","4.8013","4.7074","","-1.31%"
"11/25/2008","4.7975","4.7474","4.8048","4.7019","","1.15%"
"11/24/2008","4.7430","4.6233","4.7493","4.6146","","2.63%"
"11/21/2008","4.6216","4.5726","4.6433","4.5620","","0.99%"
"11/20/2008","4.5762","4.5924","4.6261","4.5737","","-0.51%"
"11/19/2008","4.5998","4.6320","4.7075","4.5975","","-0.81%"
"11/18/2008","4.6372","4.6446","4.6650","4.6147","","-0.19%"
"11/17/2008","4.6460","4.6033","4.6806","4.5958","","-0.14%"
"11/14/2008","4.6524","4.6943","4.7130","4.6332","","-1.09%"
"11/13/2008","4.7037","4.5920","4.7222","4.5497","","2.63%"
"11/12/2008","4.5833","4.6001","4.6400","4.5766","","-0.37%"
"11/11/2008","4.6002","4.6845","4.7017","4.5923","","-1.66%"
"11/10/2008","4.6779","4.7078","4.7485","4.6706","","-0.07%"
"11/07/2008","4.6812","4.6684","4.7182","4.6453","","0.42%"
"11/06/2008","4.6618","4.7598","4.7626","4.6604","","-2.00%"
"11/05/2008","4.7569","4.7676","4.8189","4.6978","","-0.51%"
"11/04/2008","4.7814","4.6394","4.7865","4.5987","","2.95%"
"11/03/2008","4.6444","4.6817","4.7382","4.6258","","-0.70%"
"10/31/2008","4.6772","4.7197","4.7370","4.6520","","-1.35%"
"10/30/2008","4.7410","4.7606","4.8862","4.7018","","-0.43%"
"10/29/2008","4.7613","4.6837","4.7749","4.6368","","1.92%"
"10/28/2008","4.6716","4.5788","4.6815","4.5281","","2.05%"
"10/27/2008","4.5777","4.6089","4.6606","4.5295","","-1.30%"
"10/24/2008","4.6378","4.7624","4.7659","4.5894","","-2.70%"
"10/23/2008","4.7664","4.7095","4.7767","4.6717","","1.11%"
"10/22/2008","4.7143","4.7936","4.8035","4.6907","","-1.71%"
"10/21/2008","4.7963","4.8963","4.9078","4.7907","","-2.21%"
"10/20/2008","4.9049","4.9223","4.9699","4.8779","","-0.40%"
"10/17/2008","4.9246","4.9509","4.9656","4.9156","","-0.50%"
"10/16/2008","4.9491","4.9458","4.9731","4.9010","","0.07%"
"10/15/2008","4.9458","5.0023","5.0274","4.9440","","-1.18%"
"10/14/2008","5.0049","4.9916","5.0589","4.9894","","0.23%"
"10/13/2008","4.9934","4.9799","5.0264","4.9424","","1.34%"
"10/10/2008","4.9273","4.9903","5.0149","4.8693","","-1.27%"
"10/09/2008","4.9908","5.0052","5.0644","4.9876","","-0.32%"
"10/08/2008","5.0067","5.0090","5.0537","4.9740","","0.11%"
"10/07/2008","5.0013","4.9527","5.0472","4.9508","","0.92%"
"10/06/2008","4.9558","5.0171","5.0231","4.9370","","-2.02%"
"10/03/2008","5.0582","5.0745","5.1087","5.0300","","-0.33%"
"10/02/2008","5.0749","5.1510","5.1528","5.0475","","-1.42%"
"10/01/2008","5.1482","5.1872","5.2076","5.1328","","-0.76%"
"09/30/2008","5.1876","5.2946","5.2994","5.1450","","-2.11%"
"09/29/2008","5.2996","5.3332","5.3505","5.2528","","-1.28%"
"09/26/2008","5.3681","5.3681","5.3918","5.3455","","-0.06%"
"09/25/2008","5.3712","5.3648","5.4242","5.3474","","0.01%"
"09/24/2008","5.3706","5.3779","5.4165","5.3652","","-0.16%"
"09/23/2008","5.3791","5.4330","5.4460","5.3694","","-0.95%"
"09/22/2008","5.4309","5.3222","5.4610","5.3023","","2.20%"
"09/19/2008","5.3140","5.2611","5.3268","5.1968","","0.88%"
"09/18/2008","5.2677","5.2588","5.3420","5.2442","","0.32%"
"09/17/2008","5.2507","5.1808","5.2841","5.1753","","1.14%"
"09/16/2008","5.1916","5.2386","5.2515","5.1705","","-0.84%"
"09/15/2008","5.2357","5.2572","5.3189","5.1729","","0.18%"
"09/12/2008","5.2262","5.1473","5.2277","5.1310","","1.50%"
"09/11/2008","5.1490","5.1304","5.1549","5.0978","","0.34%"
"09/10/2008","5.1318","5.1828","5.2083","5.1286","","-1.12%"
"09/09/2008","5.1900","5.1859","5.2256","5.1586","","0.01%"
"09/08/2008","5.1897","5.2827","5.2998","5.1615","","-0.99%"
"09/05/2008","5.2415","5.2269","5.2705","5.2137","","0.25%"
"09/04/2008","5.2286","5.3224","5.3430","5.2210","","-1.75%"
"09/03/2008","5.3219","5.3310","5.3377","5.2831","","-0.19%"
"09/02/2008","5.3320","5.3640","5.3653","5.3126","","-0.58%"
"09/01/2008","5.3632","5.3995","5.4062","5.3552","","-0.49%"
"08/29/2008","5.3898","5.4004","5.4253","5.3768","","-0.17%"
"08/28/2008","5.3992","5.4037","5.4406","5.3883","","-0.16%"
