"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2008","4.8287","4.8507","4.8825","4.7755","","-0.58%"
"12/30/2008","4.8568","4.8016","4.9010","4.7916","","0.86%"
"12/29/2008","4.8154","4.8373","4.9466","4.8095","","-0.53%"
"12/26/2008","4.8410","4.8111","4.8649","4.8045","","0.53%"
"12/25/2008","4.8157","4.8121","4.8277","4.8001","","0.08%"
"12/24/2008","4.8119","4.7759","4.8196","4.7673","","0.52%"
"12/23/2008","4.7870","4.7640","4.8109","4.7613","","0.37%"
"12/22/2008","4.7692","4.7568","4.8247","4.7496","","0.29%"
"12/19/2008","4.7553","4.8508","4.8884","4.7199","","-2.05%"
"12/18/2008","4.8549","4.8944","5.0038","4.8297","","-0.78%"
"12/17/2008","4.8930","4.7780","4.9075","4.7576","","2.03%"
"12/16/2008","4.7957","4.7015","4.8110","4.6781","","1.88%"
"12/15/2008","4.7073","4.5728","4.7090","4.5718","","2.84%"
"12/12/2008","4.5771","4.5473","4.5831","4.5126","","0.56%"
"12/11/2008","4.5514","4.4443","4.5678","4.4392","","2.40%"
"12/10/2008","4.4449","4.4478","4.4780","4.4089","","0.02%"
"12/09/2008","4.4442","4.5015","4.5080","4.4083","","-1.18%"
"12/08/2008","4.4974","4.4060","4.5065","4.4036","","1.54%"
"12/05/2008","4.4291","4.3980","4.4291","4.3411","","0.76%"
"12/04/2008","4.3955","4.3289","4.4230","4.2757","","1.47%"
"12/03/2008","4.3319","4.3157","4.3349","4.2794","","0.34%"
"12/02/2008","4.3173","4.2629","4.3364","4.2456","","1.12%"
"12/01/2008","4.2694","4.2829","4.2903","4.2426","","-0.23%"
"11/28/2008","4.2791","4.3290","4.3367","4.2480","","-1.08%"
"11/27/2008","4.3260","4.3110","4.3396","4.3044","","0.27%"
"11/26/2008","4.3142","4.3598","4.3639","4.2886","","-1.08%"
"11/25/2008","4.3613","4.3111","4.3676","4.2701","","1.24%"
"11/24/2008","4.3078","4.1947","4.3134","4.1867","","2.76%"
"11/21/2008","4.1921","4.1431","4.2144","4.1334","","1.11%"
"11/20/2008","4.1461","4.1569","4.1917","4.1444","","-0.44%"
"11/19/2008","4.1646","4.1872","4.2646","4.1616","","-0.68%"
"11/18/2008","4.1932","4.1944","4.2181","4.1695","","-0.08%"
"11/17/2008","4.1964","4.1481","4.2269","4.1415","","0.07%"
"11/14/2008","4.1934","4.2302","4.2480","4.1725","","-1.09%"
"11/13/2008","4.2397","4.1288","4.2563","4.0927","","2.91%"
"11/12/2008","4.1198","4.1304","4.1673","4.1143","","-0.24%"
"11/11/2008","4.1296","4.2056","4.2222","4.1232","","-1.69%"
"11/10/2008","4.2006","4.2363","4.2740","4.1931","","-0.25%"
"11/07/2008","4.2112","4.1978","4.2460","4.1780","","0.43%"
"11/06/2008","4.1930","4.2804","4.2841","4.1905","","-1.84%"
"11/05/2008","4.2716","4.3191","4.3384","4.2425","","-1.42%"
"11/04/2008","4.3330","4.2756","4.3854","4.2397","","1.17%"
"11/03/2008","4.2829","4.3152","4.3686","4.2631","","-0.67%"
"10/31/2008","4.3120","4.3193","4.3347","4.2554","","-0.59%"
"10/30/2008","4.3374","4.3670","4.4787","4.3075","","-0.68%"
"10/29/2008","4.3669","4.2953","4.3901","4.2492","","1.95%"
"10/28/2008","4.2834","4.1130","4.2925","4.0467","","4.20%"
"10/27/2008","4.1109","4.1126","4.1594","4.0418","","-0.67%"
"10/24/2008","4.1388","4.2065","4.2100","4.0518","","-1.64%"
"10/23/2008","4.2078","4.1373","4.2182","4.1041","","1.63%"
"10/22/2008","4.1402","4.2021","4.2098","4.1097","","-1.52%"
"10/21/2008","4.2042","4.2932","4.3018","4.1981","","-2.20%"
"10/20/2008","4.2988","4.2963","4.3384","4.2754","","0.00%"
"10/17/2008","4.2989","4.3170","4.3333","4.2885","","-0.44%"
"10/16/2008","4.3177","4.3128","4.3379","4.2741","","0.14%"
"10/15/2008","4.3116","4.3479","4.3709","4.3090","","-0.89%"
"10/14/2008","4.3505","4.3760","4.4356","4.3447","","-0.66%"
"10/13/2008","4.3793","4.3660","4.4073","4.3328","","1.36%"
"10/10/2008","4.3207","4.3889","4.4558","4.2687","","-1.61%"
"10/09/2008","4.3913","4.3964","4.4418","4.3801","","-0.20%"
"10/08/2008","4.3999","4.3809","4.4323","4.3504","","0.72%"
"10/07/2008","4.3684","4.2690","4.4065","4.2675","","2.27%"
"10/06/2008","4.2716","4.3223","4.3284","4.2592","","-1.99%"
"10/03/2008","4.3585","4.3382","4.3964","4.3090","","0.45%"
"10/02/2008","4.3388","4.3930","4.3952","4.3050","","-1.25%"
"10/01/2008","4.3935","4.4247","4.4420","4.3772","","-0.72%"
"09/30/2008","4.4254","4.4939","4.4998","4.3810","","-1.64%"
"09/29/2008","4.4994","4.5217","4.5489","4.4548","","-1.20%"
"09/26/2008","4.5539","4.5453","4.5683","4.5263","","0.12%"
"09/25/2008","4.5486","4.5336","4.5860","4.5278","","0.25%"
"09/24/2008","4.5372","4.5396","4.5733","4.5342","","-0.11%"
"09/23/2008","4.5420","4.5818","4.5941","4.5310","","-0.85%"
"09/22/2008","4.5811","4.5057","4.6065","4.4889","","1.81%"
"09/19/2008","4.4996","4.4655","4.5117","4.4109","","0.79%"
"09/18/2008","4.4644","4.4411","4.5127","4.4290","","0.68%"
"09/17/2008","4.4342","4.3620","4.4637","4.3573","","1.41%"
"09/16/2008","4.3724","4.3998","4.4120","4.3533","","-0.68%"
"09/15/2008","4.4025","4.4105","4.4637","4.3407","","0.37%"
"09/12/2008","4.3864","4.3128","4.3876","4.2993","","1.56%"
"09/11/2008","4.3189","4.2924","4.3262","4.2680","","0.56%"
"09/10/2008","4.2947","4.3109","4.3357","4.2918","","-0.60%"
"09/09/2008","4.3206","4.3028","4.3489","4.2802","","0.37%"
"09/08/2008","4.3045","4.3671","4.3828","4.2791","","-0.69%"
"09/05/2008","4.3345","4.3224","4.3640","4.3110","","0.16%"
"09/04/2008","4.3274","4.3937","4.4118","4.3178","","-1.52%"
"09/03/2008","4.3944","4.4086","4.4164","4.3684","","-0.37%"
"09/02/2008","4.4109","4.4250","4.4276","4.3797","","-0.35%"
"09/01/2008","4.4265","4.4548","4.4618","4.4171","","-0.49%"
"08/29/2008","4.4481","4.4477","4.4696","4.4320","","0.00%"
"08/28/2008","4.4482","4.4501","4.4825","4.4377","","-0.11%"
"08/27/2008","4.4532","4.4298","4.4714","4.4259","","0.46%"
"08/26/2008","4.4328","4.4616","4.4667","4.4051","","-0.71%"
"08/25/2008","4.4646","4.4688","4.4801","4.4416","","-0.18%"
"08/22/2008","4.4727","4.5033","4.5078","4.4600","","-0.82%"
"08/21/2008","4.5097","4.4577","4.5100","4.4543","","1.13%"
"08/20/2008","4.4595","4.4742","4.4821","4.4383","","-0.37%"
"08/19/2008","4.4759","4.4500","4.4831","4.4319","","0.47%"
"08/18/2008","4.4551","4.4447","4.4728","4.4417","","0.15%"
"08/15/2008","4.4484","4.4798","4.4844","4.4374","","-0.81%"
"08/14/2008","4.4846","4.5173","4.5276","4.4697","","-0.77%"
"08/13/2008","4.5193","4.5218","4.5443","4.5036","","-0.15%"
"08/12/2008","4.5260","4.5175","4.5434","4.4920","","0.13%"
"08/11/2008","4.5201","4.5549","4.6026","4.5129","","-1.27%"
"08/08/2008","4.5782","4.6672","4.6731","4.5738","","-1.96%"
"08/07/2008","4.6698","4.6894","4.7188","4.6616","","-0.47%"
"08/06/2008","4.6919","4.6928","4.7144","4.6807","","-0.10%"
"08/05/2008","4.6968","4.7289","4.7323","4.6926","","-0.75%"
"08/04/2008","4.7323","4.7334","4.7472","4.7231","","-0.03%"
"08/01/2008","4.7336","4.7477","4.7502","4.7161","","-0.36%"
"07/31/2008","4.7505","4.7120","4.7520","4.7090","","0.78%"
"07/30/2008","4.7136","4.7100","4.7221","4.6929","","0.01%"
"07/29/2008","4.7132","4.7450","4.7534","4.6991","","-0.75%"
"07/28/2008","4.7487","4.7332","4.7616","4.7281","","0.22%"
"07/25/2008","4.7381","4.7268","4.7522","4.7226","","0.19%"
"07/24/2008","4.7290","4.7363","4.7454","4.7115","","-0.23%"
"07/23/2008","4.7397","4.7720","4.7760","4.7247","","-0.66%"
"07/22/2008","4.7712","4.8130","4.8203","4.7613","","-0.93%"
"07/21/2008","4.8161","4.7904","4.8173","4.7846","","0.43%"
"07/18/2008","4.7956","4.7901","4.8016","4.7741","","0.06%"
"07/17/2008","4.7927","4.7893","4.8119","4.7701","","0.02%"
"07/16/2008","4.7918","4.8103","4.8230","4.7821","","-0.44%"
"07/15/2008","4.8128","4.8048","4.8483","4.7954","","0.11%"
"07/14/2008","4.8076","4.8217","4.8248","4.7818","","-0.18%"
"07/11/2008","4.8161","4.7618","4.8164","4.7549","","1.12%"
"07/10/2008","4.7628","4.7403","4.7666","4.7258","","0.42%"
"07/09/2008","4.7431","4.7202","4.7464","4.7147","","0.44%"
"07/08/2008","4.7223","4.7452","4.7519","4.7064","","-0.52%"
"07/07/2008","4.7468","4.7470","4.7540","4.7175","","-0.13%"
"07/04/2008","4.7530","4.7485","4.7630","4.7349","","0.05%"
"07/03/2008","4.7507","4.7973","4.8067","4.7454","","-0.98%"
"07/02/2008","4.7976","4.7726","4.8001","4.7669","","0.48%"
"07/01/2008","4.7745","4.7619","4.7858","4.7517","","0.24%"
"06/30/2008","4.7632","4.7719","4.7923","4.7541","","-0.35%"
"06/27/2008","4.7799","4.7666","4.7805","4.7568","","0.21%"
"06/26/2008","4.7699","4.7228","4.7736","4.7141","","0.97%"
"06/25/2008","4.7241","4.6922","4.7307","4.6838","","0.62%"
"06/24/2008","4.6952","4.6854","4.7161","4.6772","","0.13%"
"06/23/2008","4.6893","4.7398","4.7420","4.6633","","-0.96%"
"06/20/2008","4.7347","4.7019","4.7480","4.6973","","0.68%"
"06/19/2008","4.7028","4.7092","4.7283","4.6812","","-0.14%"
"06/18/2008","4.7095","4.7058","4.7178","4.6756","","0.01%"
"06/17/2008","4.7088","4.6998","4.7278","4.6944","","0.14%"
"06/16/2008","4.7020","4.6817","4.7144","4.6630","","0.60%"
"06/13/2008","4.6741","4.7123","4.7242","4.6610","","-0.79%"
"06/12/2008","4.7111","4.7597","4.7643","4.6950","","-1.05%"
"06/11/2008","4.7609","4.7351","4.7727","4.7342","","0.47%"
"06/10/2008","4.7386","4.7897","4.7957","4.7279","","-1.13%"
"06/09/2008","4.7927","4.8448","4.8625","4.7791","","-1.00%"
"06/06/2008","4.8413","4.7754","4.8413","4.7675","","1.29%"
"06/05/2008","4.7796","4.7352","4.7829","4.7183","","0.89%"
"06/04/2008","4.7375","4.7333","4.7516","4.7079","","-0.01%"
"06/03/2008","4.7382","4.7950","4.8250","4.7257","","-1.25%"
"06/02/2008","4.7980","4.8191","4.8262","4.7886","","-0.44%"
"05/30/2008","4.8193","4.8236","4.8334","4.7914","","-0.13%"
"05/29/2008","4.8256","4.8737","4.8810","4.8084","","-1.00%"
"05/28/2008","4.8742","4.8987","4.9270","4.8586","","-0.58%"
"05/27/2008","4.9028","4.9543","4.9703","4.9000","","-1.09%"
"05/26/2008","4.9568","4.9399","4.9571","4.9306","","0.33%"
"05/23/2008","4.9407","4.9282","4.9543","4.9188","","0.19%"
"05/22/2008","4.9315","4.9432","4.9544","4.9122","","-0.28%"
"05/21/2008","4.9454","4.9133","4.9597","4.9074","","0.58%"
"05/20/2008","4.9168","4.8846","4.9357","4.8792","","0.63%"
"05/19/2008","4.8862","4.9049","4.9181","4.8659","","-0.29%"
"05/16/2008","4.9005","4.8790","4.9305","4.8775","","0.40%"
"05/15/2008","4.8809","4.8900","4.9181","4.8724","","-0.17%"
"05/14/2008","4.8893","4.8928","4.9016","4.8707","","-0.08%"
"05/13/2008","4.8934","4.9352","4.9456","4.8911","","-0.93%"
"05/12/2008","4.9393","4.9084","4.9475","4.8792","","0.44%"
"05/09/2008","4.9179","4.8932","4.9227","4.8900","","0.47%"
"05/08/2008","4.8951","4.8936","4.9111","4.8595","","0.01%"
"05/07/2008","4.8948","4.9347","4.9375","4.8854","","-0.83%"
"05/06/2008","4.9359","4.9167","4.9554","4.9038","","0.36%"
"05/05/2008","4.9181","4.8921","4.9271","4.8892","","0.52%"
"05/02/2008","4.8927","4.8910","4.9030","4.8568","","0.02%"
"05/01/2008","4.8916","4.9373","4.9490","4.8783","","-0.98%"
"04/30/2008","4.9401","4.9284","4.9487","4.9085","","0.23%"
"04/29/2008","4.9290","4.9596","4.9653","4.9202","","-0.73%"
"04/28/2008","4.9652","4.9534","4.9792","4.9413","","0.14%"
"04/25/2008","4.9581","4.9908","5.0025","4.9432","","-0.71%"
"04/24/2008","4.9935","5.0502","5.0547","4.9751","","-1.17%"
"04/23/2008","5.0524","5.0864","5.0899","5.0444","","-0.68%"
"04/22/2008","5.0871","5.0567","5.1016","5.0333","","0.58%"
"04/21/2008","5.0576","5.0113","5.0662","5.0038","","0.85%"
"04/18/2008","5.0148","5.0417","5.0654","4.9793","","-0.62%"
"04/17/2008","5.0459","5.0450","5.0621","5.0165","","-0.08%"
"04/16/2008","5.0498","4.9817","5.0585","4.9713","","1.34%"
"04/15/2008","4.9830","4.9951","5.0081","4.9710","","-0.31%"
"04/14/2008","4.9983","4.9490","5.0092","4.9389","","0.29%"
"04/11/2008","4.9840","4.9658","5.0045","4.9642","","0.33%"
"04/10/2008","4.9677","4.9983","5.0269","4.9570","","-0.64%"
"04/09/2008","4.9996","4.9581","5.0113","4.9510","","0.81%"
"04/08/2008","4.9596","4.9607","4.9895","4.9495","","0.02%"
"04/07/2008","4.9584","4.9779","4.9822","4.9406","","-0.48%"
"04/04/2008","4.9823","4.9583","4.9920","4.9480","","0.44%"
"04/03/2008","4.9605","4.9645","4.9679","4.9078","","-0.13%"
"04/02/2008","4.9671","4.9414","4.9715","4.9151","","0.52%"
"04/01/2008","4.9412","4.9917","5.0018","4.9246","","-1.13%"
"03/31/2008","4.9975","4.9956","5.0328","4.9795","","0.05%"
"03/28/2008","4.9950","4.9909","5.0137","4.9749","","-0.02%"
"03/27/2008","4.9961","5.0167","5.0213","4.9814","","-0.44%"
"03/26/2008","5.0180","4.9381","5.0252","4.9270","","1.54%"
"03/25/2008","4.9421","4.8747","4.9493","4.8652","","1.41%"
"03/24/2008","4.8732","4.8669","4.8799","4.8413","","0.03%"
"03/21/2008","4.8719","4.8691","4.8851","4.8600","","0.02%"
"03/20/2008","4.8710","4.8691","4.8716","4.8685","","-1.28%"
"03/19/2008","4.9344","4.9134","4.9678","4.9115","","0.36%"
