"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2008","1.9771","2.0330","2.0542","1.9614","","-2.86%"
"12/30/2008","2.0354","2.0309","2.0530","2.0296","","0.16%"
"12/29/2008","2.0322","2.0475","2.0713","2.0288","","-0.80%"
"12/26/2008","2.0485","2.0512","2.0678","2.0449","","-0.21%"
"12/25/2008","2.0528","2.0508","2.0580","2.0412","","0.03%"
"12/24/2008","2.0521","2.0437","2.0677","2.0422","","0.08%"
"12/23/2008","2.0504","2.0345","2.0598","2.0333","","0.70%"
"12/22/2008","2.0362","2.0401","2.0602","2.0248","","-0.35%"
"12/19/2008","2.0433","2.0785","2.0850","2.0244","","-2.02%"
"12/18/2008","2.0854","2.0463","2.1033","2.0253","","1.68%"
"12/17/2008","2.0510","2.0214","2.0695","2.0122","","1.34%"
"12/16/2008","2.0238","2.0478","2.0569","2.0121","","-1.52%"
"12/15/2008","2.0551","2.0131","2.0630","2.0094","","1.72%"
"12/12/2008","2.0203","1.9875","2.0466","1.9817","","1.60%"
"12/11/2008","1.9885","1.9844","1.9944","1.9579","","0.30%"
"12/10/2008","1.9825","1.9608","1.9935","1.9488","","0.75%"
"12/09/2008","1.9677","1.9472","1.9777","1.9410","","1.56%"
"12/08/2008","1.9375","1.9628","1.9711","1.9247","","-1.53%"
"12/05/2008","1.9677","1.9825","2.0122","1.9589","","-0.70%"
"12/04/2008","1.9815","1.9591","1.9941","1.9498","","0.93%"
"12/03/2008","1.9632","1.9748","1.9824","1.9528","","-0.30%"
"12/02/2008","1.9692","1.9711","1.9915","1.9478","","-0.15%"
"12/01/2008","1.9721","1.9460","1.9823","1.9405","","1.72%"
"11/28/2008","1.9388","1.9629","1.9731","1.9321","","-1.20%"
"11/27/2008","1.9623","1.9764","1.9930","1.9487","","-0.45%"
"11/26/2008","1.9712","2.0097","2.0169","1.9682","","-1.88%"
"11/25/2008","2.0090","1.9799","2.0296","1.9741","","1.64%"
"11/24/2008","1.9766","1.9904","2.0211","1.9718","","-1.21%"
"11/21/2008","2.0008","2.0405","2.0474","1.9891","","-2.15%"
"11/20/2008","2.0448","1.9614","2.0575","1.9506","","4.18%"
"11/19/2008","1.9628","1.9335","1.9679","1.9284","","1.35%"
"11/18/2008","1.9366","1.9457","1.9656","1.9275","","-0.54%"
"11/17/2008","1.9471","1.9627","1.9700","1.9297","","-0.16%"
"11/14/2008","1.9503","1.9201","1.9568","1.9095","","1.30%"
"11/13/2008","1.9253","1.9544","1.9674","1.9186","","-1.55%"
"11/12/2008","1.9556","1.9045","1.9698","1.8911","","2.79%"
"11/11/2008","1.9026","1.9042","1.9364","1.8844","","-0.03%"
"11/10/2008","1.9032","1.8691","1.9148","1.8497","","0.97%"
"11/07/2008","1.8850","1.9094","1.9334","1.8771","","-1.33%"
"11/06/2008","1.9105","1.8935","1.9213","1.8581","","1.12%"
"11/05/2008","1.8894","1.8593","1.8939","1.8515","","1.64%"
"11/04/2008","1.8590","1.8666","1.9059","1.8485","","-0.31%"
"11/03/2008","1.8648","1.9061","1.9239","1.8533","","-2.19%"
"10/31/2008","1.9065","1.9063","1.9380","1.8992","","0.42%"
"10/30/2008","1.8985","1.9420","1.9583","1.8887","","-2.06%"
"10/29/2008","1.9385","1.9626","1.9986","1.9042","","-1.46%"
"10/28/2008","1.9673","2.0697","2.0720","1.9587","","-4.99%"
"10/27/2008","2.0706","2.0380","2.0828","2.0168","","2.24%"
"10/24/2008","2.0252","1.9214","2.0733","1.9198","","5.15%"
"10/23/2008","1.9261","1.9099","1.9708","1.9048","","1.20%"
"10/22/2008","1.9033","1.9288","1.9404","1.8970","","-1.88%"
"10/21/2008","1.9397","1.8931","1.9485","1.8926","","2.47%"
"10/20/2008","1.8929","1.9397","1.9482","1.8893","","-2.74%"
"10/17/2008","1.9463","1.9579","1.9970","1.9220","","0.11%"
"10/16/2008","1.9442","2.0557","2.0648","1.9378","","-6.14%"
"10/15/2008","2.0713","1.9456","2.0713","1.9319","","6.06%"
"10/14/2008","1.9529","1.9492","1.9640","1.8980","","0.24%"
"10/13/2008","1.9483","2.0146","2.0610","1.9385","","-6.57%"
"10/10/2008","2.0854","1.9819","2.1023","1.9730","","4.83%"
"10/09/2008","1.9894","2.0315","2.0497","1.9183","","-3.26%"
"10/08/2008","2.0564","1.9065","2.1168","1.9031","","7.34%"
"10/07/2008","1.9157","1.9010","1.9325","1.8496","","1.99%"
"10/06/2008","1.8784","1.7680","1.9308","1.7645","","5.58%"
"10/03/2008","1.7791","1.7849","1.7921","1.7660","","-0.55%"
"10/02/2008","1.7890","1.7732","1.7925","1.7608","","0.57%"
"10/01/2008","1.7789","1.7763","1.7824","1.7611","","0.04%"
"09/30/2008","1.7782","1.8003","1.8121","1.7621","","-1.03%"
"09/29/2008","1.7967","1.7536","1.8072","1.7399","","2.18%"
"09/26/2008","1.7584","1.7513","1.7688","1.7476","","0.37%"
"09/25/2008","1.7520","1.7525","1.7616","1.7455","","-0.11%"
"09/24/2008","1.7540","1.7603","1.7657","1.7459","","-0.70%"
"09/23/2008","1.7664","1.7539","1.7680","1.7441","","0.74%"
"09/22/2008","1.7535","1.7297","1.7547","1.7289","","1.08%"
"09/19/2008","1.7348","1.7796","1.7873","1.7308","","-2.88%"
