"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2008","3.2356","3.2746","3.2995","3.2141","","-1.34%"
"12/30/2008","3.2796","3.3272","3.3968","3.2478","","-1.68%"
"12/29/2008","3.3357","3.3393","3.4510","3.3327","","-0.16%"
"12/26/2008","3.3410","3.3390","3.3566","3.3269","","-0.01%"
"12/25/2008","3.3414","3.3271","3.3497","3.3269","","0.42%"
"12/24/2008","3.3275","3.3084","3.3402","3.3032","","0.34%"
"12/23/2008","3.3163","3.3344","3.3562","3.2983","","-0.66%"
"12/22/2008","3.3382","3.2770","3.3698","3.2721","","1.93%"
"12/19/2008","3.2749","3.4547","3.4711","3.2601","","-5.02%"
"12/18/2008","3.4481","3.4049","3.4829","3.3427","","1.26%"
"12/17/2008","3.4053","3.2406","3.4086","3.2268","","4.76%"
"12/16/2008","3.2506","3.2639","3.2970","3.2292","","-0.48%"
"12/15/2008","3.2664","3.2067","3.2755","3.1714","","1.77%"
"12/12/2008","3.2096","3.1588","3.2130","3.1300","","1.50%"
"12/11/2008","3.1621","3.1754","3.2175","3.0320","","-0.48%"
"12/10/2008","3.1772","3.2034","3.2479","3.1328","","-0.75%"
"12/09/2008","3.2012","3.2527","3.2676","3.1379","","-1.49%"
"12/08/2008","3.2496","3.0908","3.2700","3.0787","","4.95%"
"12/05/2008","3.0964","3.2001","3.3182","3.0589","","-3.20%"
"12/04/2008","3.1986","3.1792","3.2595","3.1016","","0.53%"
"12/03/2008","3.1818","3.0617","3.1835","2.9947","","3.90%"
"12/02/2008","3.0625","2.9575","3.0846","2.9033","","3.40%"
"12/01/2008","2.9619","2.9265","3.0127","2.9062","","1.30%"
"11/28/2008","2.9240","2.9599","2.9963","2.8767","","-1.25%"
"11/27/2008","2.9609","2.8446","2.9668","2.8400","","4.04%"
"11/26/2008","2.8460","3.0267","3.0742","2.8435","","-6.42%"
"11/25/2008","3.0412","2.9943","3.0562","2.9261","","1.68%"
"11/24/2008","2.9909","3.1167","3.1418","2.9727","","-4.01%"
"11/21/2008","3.1159","2.9820","3.1167","2.9644","","4.38%"
"11/20/2008","2.9851","2.9842","3.0283","2.9716","","-0.16%"
"11/19/2008","2.9899","2.9439","3.0344","2.9299","","1.44%"
"11/18/2008","2.9475","2.8805","2.9546","2.8634","","2.26%"
"11/17/2008","2.8824","2.7871","2.9483","2.7827","","2.57%"
"11/14/2008","2.8103","2.9547","2.9669","2.8090","","-5.12%"
"11/13/2008","2.9618","2.9098","2.9930","2.8608","","1.98%"
"11/12/2008","2.9042","2.7795","2.9151","2.7686","","4.45%"
"11/11/2008","2.7805","2.7734","2.8300","2.7556","","0.39%"
"11/10/2008","2.7698","2.7638","2.8069","2.7199","","1.26%"
"11/07/2008","2.7354","2.8142","2.8514","2.7290","","-2.77%"
"11/06/2008","2.8133","2.7596","2.8495","2.7106","","1.93%"
"11/05/2008","2.7600","2.7492","2.7770","2.7117","","0.05%"
"11/04/2008","2.7585","2.7294","2.7826","2.7065","","0.55%"
"11/03/2008","2.7434","2.7579","2.8329","2.7180","","-0.45%"
"10/31/2008","2.7557","2.7047","2.7725","2.6560","","1.44%"
"10/30/2008","2.7165","2.7593","2.8304","2.6994","","-1.49%"
"10/29/2008","2.7576","2.7567","2.7951","2.7057","","0.34%"
"10/28/2008","2.7483","2.8105","2.8405","2.6823","","-2.12%"
"10/27/2008","2.8077","2.8986","2.9334","2.7714","","-3.76%"
"10/24/2008","2.9174","2.9384","3.0342","2.8303","","-0.79%"
"10/23/2008","2.9405","3.0523","3.2431","2.8727","","-3.70%"
"10/22/2008","3.0534","2.9322","3.0761","2.8684","","4.09%"
"10/21/2008","2.9333","2.8142","2.9506","2.7880","","4.09%"
"10/20/2008","2.8180","2.8419","2.8695","2.7706","","-0.94%"
"10/17/2008","2.8447","2.8699","2.8963","2.7895","","-0.88%"
"10/16/2008","2.8700","3.0027","3.0598","2.8638","","-4.40%"
"10/15/2008","3.0020","2.8283","3.0114","2.8110","","6.08%"
"10/14/2008","2.8300","2.8906","2.9305","2.7926","","-2.14%"
"10/13/2008","2.8920","3.1348","3.1624","2.8819","","-6.79%"
"10/10/2008","3.1027","3.0807","3.1414","3.0316","","0.69%"
"10/09/2008","3.0814","3.1552","3.1925","2.9346","","-2.38%"
"10/08/2008","3.1566","3.1501","3.3617","3.0737","","0.48%"
"10/07/2008","3.1416","2.9611","3.1593","2.9385","","5.93%"
"10/06/2008","2.9657","2.7960","2.9708","2.7714","","5.20%"
"10/03/2008","2.8192","2.7977","2.8669","2.7392","","0.91%"
"10/02/2008","2.7939","2.6972","2.8194","2.6559","","3.60%"
"10/01/2008","2.6967","2.6914","2.7287","2.6580","","0.21%"
"09/30/2008","2.6910","2.8268","2.8312","2.6607","","-4.89%"
"09/29/2008","2.8293","2.6868","2.9078","2.6471","","4.96%"
"09/26/2008","2.6957","2.6658","2.7458","2.6503","","1.04%"
"09/25/2008","2.6680","2.7088","2.7411","2.6433","","-1.54%"
"09/24/2008","2.7097","2.6977","2.7272","2.6827","","0.30%"
"09/23/2008","2.7015","2.6714","2.7180","2.6300","","1.10%"
"09/22/2008","2.6721","2.6530","2.7053","2.6093","","0.94%"
"09/19/2008","2.6471","2.7144","2.7180","2.6117","","-2.52%"
"09/18/2008","2.7154","2.7056","2.8220","2.6648","","0.52%"
"09/17/2008","2.7013","2.5744","2.7431","2.5592","","4.92%"
"09/16/2008","2.5747","2.5843","2.6338","2.5251","","-0.34%"
"09/15/2008","2.5835","2.5497","2.6068","2.5105","","1.87%"
"09/12/2008","2.5361","2.5229","2.5618","2.5063","","0.34%"
"09/11/2008","2.5274","2.4970","2.5563","2.4358","","1.18%"
"09/10/2008","2.4980","2.4976","2.5289","2.4513","","-0.18%"
"09/09/2008","2.5025","2.4568","2.5246","2.4187","","1.75%"
"09/08/2008","2.4595","2.4658","2.4979","2.3931","","0.50%"
"09/05/2008","2.4473","2.4382","2.4984","2.4063","","0.31%"
"09/04/2008","2.4398","2.4314","2.4699","2.4241","","0.30%"
"09/03/2008","2.4325","2.4025","2.4376","2.3810","","1.22%"
"09/02/2008","2.4031","2.4045","2.4179","2.3815","","-0.08%"
"09/01/2008","2.4051","2.3948","2.4103","2.3790","","0.55%"
"08/29/2008","2.3919","2.4025","2.4149","2.3886","","-0.49%"
"08/28/2008","2.4037","2.3827","2.4059","2.3826","","0.60%"
"08/27/2008","2.3893","2.3852","2.4055","2.3767","","0.15%"
"08/26/2008","2.3857","2.4047","2.4070","2.3754","","-0.85%"
"08/25/2008","2.4061","2.4048","2.4143","2.3901","","-0.02%"
"08/22/2008","2.4065","2.3961","2.4085","2.3835","","0.29%"
"08/21/2008","2.3995","2.3885","2.4116","2.3845","","0.42%"
"08/20/2008","2.3895","2.4027","2.4066","2.3763","","-0.47%"
"08/19/2008","2.4007","2.4033","2.4213","2.3943","","-0.55%"
"08/18/2008","2.4139","2.4058","2.4210","2.3878","","0.22%"
"08/15/2008","2.4085","2.4023","2.4123","2.3859","","0.12%"
"08/14/2008","2.4057","2.4012","2.4169","2.3918","","0.13%"
"08/13/2008","2.4026","2.4135","2.4270","2.3988","","-0.52%"
"08/12/2008","2.4152","2.4228","2.4283","2.4034","","-0.38%"
"08/11/2008","2.4243","2.4000","2.4280","2.3972","","0.50%"
"08/08/2008","2.4123","2.4458","2.4489","2.4102","","-1.47%"
"08/07/2008","2.4482","2.4308","2.4522","2.4241","","0.73%"
"08/06/2008","2.4304","2.4298","2.4445","2.4278","","-0.07%"
"08/05/2008","2.4322","2.4277","2.4432","2.4125","","0.12%"
"08/04/2008","2.4294","2.4283","2.4484","2.4263","","0.06%"
"08/01/2008","2.4280","2.4426","2.4433","2.4169","","-0.67%"
"07/31/2008","2.4444","2.4309","2.4605","2.4294","","0.52%"
"07/30/2008","2.4317","2.4437","2.4575","2.4224","","-0.58%"
"07/29/2008","2.4458","2.4770","2.4813","2.4409","","-1.34%"
"07/28/2008","2.4791","2.4690","2.4874","2.4663","","0.31%"
"07/25/2008","2.4715","2.4730","2.4944","2.4602","","-0.06%"
"07/24/2008","2.4731","2.4817","2.4859","2.4628","","-0.41%"
"07/23/2008","2.4834","2.4931","2.4960","2.4735","","-0.38%"
"07/22/2008","2.4928","2.5187","2.5241","2.4860","","-1.08%"
"07/21/2008","2.5200","2.5163","2.5289","2.5059","","0.04%"
"07/18/2008","2.5191","2.5336","2.5398","2.5127","","-0.74%"
"07/17/2008","2.5378","2.5242","2.5396","2.5104","","0.49%"
"07/16/2008","2.5255","2.5351","2.5417","2.5168","","-0.44%"
"07/15/2008","2.5366","2.5394","2.5619","2.5162","","-0.17%"
"07/14/2008","2.5408","2.5554","2.5570","2.5268","","-0.45%"
"07/11/2008","2.5523","2.5338","2.5614","2.5301","","0.72%"
"07/10/2008","2.5341","2.5322","2.5585","2.5211","","-0.02%"
"07/09/2008","2.5347","2.5214","2.5368","2.5185","","0.44%"
"07/08/2008","2.5237","2.5141","2.5293","2.4970","","0.36%"
"07/07/2008","2.5147","2.5214","2.5274","2.4962","","-0.37%"
"07/04/2008","2.5240","2.5247","2.5328","2.5183","","-0.10%"
"07/03/2008","2.5264","2.5551","2.5610","2.5165","","-1.12%"
"07/02/2008","2.5551","2.5226","2.5591","2.5160","","1.27%"
"07/01/2008","2.5231","2.5265","2.5507","2.5209","","-0.16%"
"06/30/2008","2.5271","2.5145","2.5324","2.5021","","0.31%"
"06/27/2008","2.5192","2.5227","2.5412","2.5120","","-0.22%"
"06/26/2008","2.5247","2.4911","2.5259","2.4844","","1.30%"
