"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2008","1.7025","1.7120","1.7239","1.6898","","-0.82%"
"12/30/2008","1.7166","1.7012","1.7497","1.6979","","0.83%"
"12/29/2008","1.7025","1.7183","1.7512","1.6951","","-0.94%"
"12/26/2008","1.7187","1.6677","1.7221","1.6665","","0.79%"
"12/25/2008","1.7052","1.6994","1.7096","1.6977","","0.32%"
"12/24/2008","1.6998","1.6968","1.7091","1.6866","","0.05%"
"12/23/2008","1.6989","1.6986","1.7131","1.6848","","-0.02%"
"12/22/2008","1.6993","1.6929","1.7127","1.6748","","0.14%"
"12/19/2008","1.6970","1.7162","1.7469","1.6869","","-1.04%"
"12/18/2008","1.7149","1.7168","1.7498","1.7012","","-0.42%"
"12/17/2008","1.7221","1.6932","1.7375","1.6806","","1.47%"
"12/16/2008","1.6971","1.6899","1.7006","1.6783","","0.41%"
"12/15/2008","1.6901","1.6658","1.6985","1.6528","","1.11%"
"12/12/2008","1.6715","1.6491","1.6740","1.6386","","1.30%"
"12/11/2008","1.6500","1.6381","1.6521","1.6152","","0.68%"
"12/10/2008","1.6388","1.6345","1.6460","1.6214","","0.36%"
"12/09/2008","1.6330","1.6213","1.6374","1.6080","","0.62%"
"12/08/2008","1.6230","1.6152","1.6329","1.6039","","0.35%"
"12/05/2008","1.6174","1.6316","1.6486","1.6119","","-0.87%"
"12/04/2008","1.6316","1.5927","1.6360","1.5848","","2.43%"
"12/03/2008","1.5929","1.5896","1.5992","1.5799","","0.05%"
"12/02/2008","1.5921","1.5723","1.5971","1.5672","","1.36%"
"12/01/2008","1.5708","1.5718","1.5794","1.5555","","0.10%"
"11/28/2008","1.5693","1.5887","1.6001","1.5648","","-1.20%"
"11/27/2008","1.5884","1.5866","1.5997","1.5788","","0.33%"
"11/26/2008","1.5832","1.5998","1.6075","1.5801","","-1.10%"
"11/25/2008","1.6008","1.5900","1.6075","1.5816","","0.80%"
"11/24/2008","1.5881","1.5954","1.6200","1.5721","","-1.16%"
"11/21/2008","1.6067","1.6134","1.6220","1.5964","","-0.35%"
"11/20/2008","1.6123","1.5684","1.6210","1.5630","","2.66%"
"11/19/2008","1.5705","1.5527","1.5776","1.5518","","1.06%"
"11/18/2008","1.5541","1.5510","1.5606","1.5414","","0.44%"
"11/17/2008","1.5473","1.5520","1.5661","1.5417","","-0.43%"
"11/14/2008","1.5540","1.5506","1.5669","1.5383","","0.10%"
"11/13/2008","1.5524","1.5450","1.5635","1.5330","","0.81%"
"11/12/2008","1.5399","1.5106","1.5496","1.5070","","2.05%"
"11/11/2008","1.5089","1.5235","1.5264","1.5046","","-1.09%"
"11/10/2008","1.5256","1.5092","1.5299","1.5000","","0.69%"
"11/07/2008","1.5152","1.5220","1.5357","1.4958","","-0.03%"
"11/06/2008","1.5157","1.5141","1.5187","1.4855","","0.22%"
"11/05/2008","1.5124","1.4913","1.5208","1.4816","","0.95%"
"11/04/2008","1.4981","1.4901","1.5086","1.4844","","0.19%"
"11/03/2008","1.4952","1.5418","1.5481","1.4914","","-3.15%"
"10/31/2008","1.5438","1.5440","1.5718","1.5225","","-0.41%"
"10/30/2008","1.5501","1.5827","1.6037","1.5483","","-2.16%"
