"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2008","1.4934","1.4894","1.4971","1.4749","","0.31%"
"12/30/2008","1.4888","1.4779","1.5013","1.4762","","0.55%"
"12/29/2008","1.4806","1.5009","1.5049","1.4745","","-1.42%"
"12/26/2008","1.5019","1.5129","1.5170","1.4996","","-0.73%"
"12/25/2008","1.5129","1.5039","1.5168","1.5001","","0.61%"
"12/24/2008","1.5037","1.5164","1.5195","1.5000","","-0.94%"
"12/23/2008","1.5180","1.5243","1.5322","1.5117","","-0.45%"
"12/22/2008","1.5249","1.5380","1.5430","1.5191","","-0.60%"
"12/19/2008","1.5341","1.5426","1.5490","1.5326","","-0.53%"
"12/18/2008","1.5423","1.5446","1.5520","1.5278","","-0.23%"
"12/17/2008","1.5458","1.5772","1.5791","1.5429","","-2.05%"
"12/16/2008","1.5781","1.5868","1.5881","1.5716","","-0.62%"
"12/15/2008","1.5880","1.5729","1.5888","1.5711","","0.79%"
"12/12/2008","1.5755","1.5808","1.5822","1.5679","","-0.38%"
"12/11/2008","1.5815","1.5609","1.5822","1.5554","","1.38%"
"12/10/2008","1.5599","1.5566","1.5634","1.5536","","0.20%"
"12/09/2008","1.5568","1.5590","1.5651","1.5549","","-0.10%"
"12/08/2008","1.5583","1.5506","1.5622","1.5497","","0.31%"
"12/05/2008","1.5535","1.5268","1.5549","1.5225","","1.75%"
"12/04/2008","1.5268","1.5372","1.5406","1.5213","","-0.71%"
"12/03/2008","1.5377","1.5331","1.5404","1.5260","","0.25%"
"12/02/2008","1.5339","1.5201","1.5366","1.5156","","0.89%"
"12/01/2008","1.5204","1.5415","1.5431","1.5164","","-1.36%"
"11/28/2008","1.5413","1.5485","1.5522","1.5387","","-0.50%"
"11/27/2008","1.5491","1.5508","1.5524","1.5431","","-0.21%"
"11/26/2008","1.5524","1.5467","1.5536","1.5404","","0.41%"
"11/25/2008","1.5461","1.5454","1.5529","1.5389","","0.10%"
"11/24/2008","1.5446","1.5391","1.5471","1.5336","","0.44%"
"11/21/2008","1.5379","1.5252","1.5421","1.5214","","0.83%"
"11/20/2008","1.5253","1.5161","1.5370","1.5118","","0.51%"
"11/19/2008","1.5175","1.5175","1.5338","1.5153","","-0.07%"
"11/18/2008","1.5185","1.5147","1.5206","1.5080","","0.23%"
"11/17/2008","1.5150","1.5051","1.5241","1.4991","","0.34%"
"11/14/2008","1.5099","1.5166","1.5207","1.5037","","-0.49%"
"11/13/2008","1.5173","1.4832","1.5221","1.4758","","2.44%"
"11/12/2008","1.4812","1.4873","1.4944","1.4705","","-0.36%"
"11/11/2008","1.4866","1.5034","1.5051","1.4829","","-1.05%"
"11/10/2008","1.5023","1.5029","1.5174","1.5002","","0.06%"
"11/07/2008","1.5014","1.4962","1.5052","1.4918","","0.29%"
"11/06/2008","1.4971","1.5001","1.5091","1.4939","","-0.29%"
"11/05/2008","1.5014","1.5084","1.5181","1.4954","","-0.66%"
"11/04/2008","1.5114","1.4831","1.5151","1.4772","","1.78%"
"11/03/2008","1.4850","1.4750","1.4894","1.4734","","0.73%"
"10/31/2008","1.4742","1.4716","1.4833","1.4532","","0.06%"
"10/30/2008","1.4733","1.4618","1.4912","1.4608","","0.77%"
"10/29/2008","1.4620","1.4724","1.4789","1.4539","","-0.71%"
"10/28/2008","1.4724","1.4420","1.4727","1.4312","","2.09%"
"10/27/2008","1.4423","1.4636","1.4761","1.4295","","-2.10%"
"10/24/2008","1.4733","1.5019","1.5030","1.4411","","-1.96%"
"10/23/2008","1.5028","1.4935","1.5044","1.4844","","0.60%"
"10/22/2008","1.4939","1.5052","1.5065","1.4839","","-0.76%"
"10/21/2008","1.5053","1.5325","1.5356","1.5024","","-1.79%"
"10/20/2008","1.5328","1.5229","1.5357","1.5224","","0.52%"
