"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2008","892.470","902.330","911.190","881.430","","-1.25%"
"12/30/2008","903.805","887.740","911.255","885.900","","1.50%"
"12/29/2008","890.460","882.270","906.340","882.200","","0.79%"
"12/26/2008","883.475","876.850","886.925","875.150","","0.65%"
"12/25/2008","877.790","877.030","879.980","874.840","","0.08%"
"12/24/2008","877.105","872.460","880.015","870.900","","0.22%"
"12/23/2008","875.170","880.210","886.910","870.060","","-0.77%"
"12/22/2008","881.920","885.250","898.660","877.300","","-0.34%"
"12/19/2008","884.935","901.910","906.405","878.390","","-1.80%"
"12/18/2008","901.110","914.350","935.310","895.840","","-1.51%"
"12/17/2008","914.885","896.300","916.285","891.140","","1.60%"
"12/16/2008","900.485","880.930","903.285","869.760","","2.03%"
"12/15/2008","882.535","870.190","883.825","864.840","","1.37%"
"12/12/2008","870.615","876.690","886.605","864.900","","-0.83%"
"12/11/2008","877.890","862.180","881.370","861.180","","1.69%"
"12/10/2008","863.320","860.220","867.030","857.110","","0.32%"
"12/09/2008","860.555","873.360","875.435","849.630","","-1.46%"
"12/08/2008","873.285","857.780","875.045","852.810","","1.65%"
"12/05/2008","859.115","855.380","860.135","845.150","","0.40%"
"12/04/2008","855.670","856.000","860.800","843.720","","-0.23%"
"12/03/2008","857.655","851.830","859.285","841.380","","0.61%"
"12/02/2008","852.480","839.200","856.210","834.770","","1.43%"
"12/01/2008","840.490","839.180","852.540","833.110","","0.16%"
"11/28/2008","839.135","855.470","857.705","834.770","","-1.86%"
"11/27/2008","855.030","849.830","856.290","843.590","","0.43%"
"11/26/2008","851.395","876.460","878.095","847.920","","-2.98%"
"11/25/2008","877.505","871.340","878.355","863.530","","0.74%"
"11/24/2008","871.035","859.200","873.345","852.430","","1.29%"
"11/21/2008","859.975","826.370","859.975","824.450","","3.81%"
"11/20/2008","828.400","819.380","836.900","817.220","","0.83%"
"11/19/2008","821.600","813.730","838.110","810.170","","0.80%"
"11/18/2008","815.040","811.180","820.070","806.370","","0.30%"
"11/17/2008","812.605","799.790","821.565","798.520","","0.40%"
"11/14/2008","809.390","813.060","817.940","801.380","","-0.93%"
"11/13/2008","816.950","802.880","818.800","792.630","","1.82%"
"11/12/2008","802.370","804.670","812.660","799.990","","-0.44%"
"11/11/2008","805.900","799.040","823.480","793.960","","0.84%"
"11/10/2008","799.215","818.430","824.195","796.660","","-1.78%"
"11/07/2008","813.700","803.650","820.350","798.280","","1.32%"
"11/06/2008","803.085","815.380","817.475","798.470","","-1.34%"
"11/05/2008","813.975","827.150","830.815","811.860","","-1.88%"
"11/04/2008","829.610","834.400","841.790","818.240","","-0.72%"
"11/03/2008","835.645","851.430","867.315","829.310","","-2.08%"
"10/31/2008","853.430","865.780","870.810","849.530","","-1.85%"
"10/30/2008","869.540","866.390","886.240","856.540","","0.37%"
"10/29/2008","866.345","863.840","870.155","838.230","","0.54%"
"10/28/2008","861.690","844.420","863.240","826.980","","2.11%"
"10/27/2008","843.855","840.780","852.445","823.160","","-0.27%"
"10/24/2008","846.155","845.450","855.995","814.360","","-0.12%"
"10/23/2008","847.145","824.260","847.865","815.420","","2.54%"
"10/22/2008","826.130","828.140","855.340","806.490","","-0.28%"
"10/21/2008","828.465","816.520","836.525","806.830","","1.29%"
"10/20/2008","817.900","821.190","829.310","810.520","","-0.62%"
"10/17/2008","822.975","835.090","838.985","820.630","","-1.53%"
"10/16/2008","835.795","842.510","863.495","830.760","","-0.83%"
"10/15/2008","842.780","832.800","867.730","827.540","","1.12%"
"10/14/2008","833.450","838.770","849.540","814.330","","-0.72%"
"10/13/2008","839.485","863.030","870.625","831.900","","-1.72%"
"10/10/2008","854.135","831.860","873.025","822.080","","2.65%"
"10/09/2008","832.075","832.670","841.525","824.540","","-0.14%"
"10/08/2008","833.235","810.110","850.465","713.470","","3.15%"
"10/07/2008","807.795","789.490","812.075","789.200","","2.16%"
"10/06/2008","790.705","775.940","805.295","769.150","","1.04%"
"10/03/2008","782.540","787.930","793.290","775.580","","-0.70%"
"10/02/2008","788.040","786.050","794.800","776.460","","0.29%"
"10/01/2008","785.780","779.840","790.200","767.170","","0.79%"
"09/30/2008","779.585","805.370","806.385","770.610","","-3.29%"
"09/29/2008","806.090","782.480","810.330","770.900","","2.27%"
"09/26/2008","788.160","784.900","795.670","781.620","","0.32%"
"09/25/2008","785.655","790.660","799.755","782.260","","-0.74%"
"09/24/2008","791.490","785.210","799.260","784.840","","0.75%"
"09/23/2008","785.575","784.420","789.765","778.430","","0.14%"
"09/22/2008","784.475","792.600","800.465","774.750","","-0.90%"
"09/19/2008","791.580","784.960","793.440","775.370","","0.65%"
"09/18/2008","786.465","784.570","797.315","782.430","","0.32%"
"09/17/2008","783.995","764.070","788.655","763.260","","2.35%"
"09/16/2008","765.990","759.450","776.600","754.070","","0.83%"
"09/15/2008","759.650","757.870","767.120","745.750","","0.78%"
"09/12/2008","753.755","743.020","753.965","740.690","","1.30%"
"09/11/2008","744.090","739.100","745.490","734.970","","0.65%"
"09/10/2008","739.285","746.470","752.625","738.990","","-1.14%"
"09/09/2008","747.830","744.420","753.100","740.520","","0.41%"
