"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2008","9.5423","9.6064","9.6593","9.4478","","-0.72%"
"12/30/2008","9.6115","9.5442","9.7153","9.5244","","0.46%"
"12/29/2008","9.5676","9.6183","9.8311","9.5600","","-0.53%"
"12/26/2008","9.6187","9.5672","9.6632","9.5447","","0.46%"
"12/25/2008","9.5744","9.5759","9.5983","9.5367","","0.01%"
"12/24/2008","9.5735","9.5434","9.5851","9.5263","","0.12%"
"12/23/2008","9.5622","9.5462","9.6096","9.5297","","0.07%"
"12/22/2008","9.5551","9.5337","9.6785","9.5193","","0.31%"
"12/19/2008","9.5255","9.7359","9.7858","9.4598","","-1.95%"
"12/18/2008","9.7149","9.8465","10.0586","9.6942","","-1.34%"
"12/17/2008","9.8465","9.6190","9.8670","9.5777","","2.02%"
"12/16/2008","9.6514","9.3797","9.6829","9.3304","","2.77%"
"12/15/2008","9.3910","9.1457","9.3917","9.1436","","2.62%"
"12/12/2008","9.1508","9.1472","9.1802","9.0685","","-0.02%"
"12/11/2008","9.1525","8.9328","9.1854","8.9201","","2.45%"
"12/10/2008","8.9338","8.8813","8.9756","8.8539","","0.67%"
"12/09/2008","8.8740","8.9085","8.9379","8.7940","","-0.29%"
"12/08/2008","8.8998","8.7464","8.9177","8.7416","","1.66%"
"12/05/2008","8.7542","8.7983","8.8108","8.6791","","-0.42%"
"12/04/2008","8.7910","8.7335","8.8412","8.6375","","0.58%"
"12/03/2008","8.7399","8.7441","8.7751","8.6627","","-0.07%"
"12/02/2008","8.7460","8.6824","8.7859","8.6446","","0.61%"
"12/01/2008","8.6926","8.6744","8.7375","8.6169","","0.27%"
"11/28/2008","8.6689","8.8091","8.8543","8.6300","","-1.51%"
"11/27/2008","8.8019","8.8002","8.8583","8.7770","","-0.03%"
"11/26/2008","8.8049","8.9116","8.9184","8.7524","","-1.20%"
"11/25/2008","8.9118","8.8225","8.9262","8.7342","","1.11%"
"11/24/2008","8.8143","8.5985","8.8252","8.5799","","2.58%"
"11/21/2008","8.5930","8.5090","8.6367","8.4870","","0.92%"
"11/20/2008","8.5144","8.5382","8.6081","8.5117","","-0.45%"
"11/19/2008","8.5526","8.6063","8.7533","8.5478","","-0.73%"
