"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2008","3,144.00","3,159.00","3,251.00","3,110.00","","-0.65%"
"12/30/2008","3,164.50","3,133.00","3,292.50","3,127.00","","0.60%"
"12/29/2008","3,145.50","3,113.00","3,204.50","3,099.00","","1.04%"
"12/26/2008","3,113.00","3,065.00","3,122.00","3,061.00","","1.35%"
"12/25/2008","3,071.50","3,086.00","3,092.50","3,058.00","","-0.68%"
"12/24/2008","3,092.50","3,048.00","3,094.50","3,035.00","","1.13%"
"12/23/2008","3,058.00","3,025.00","3,074.00","3,023.00","","0.89%"
"12/22/2008","3,031.00","3,029.00","3,073.00","3,015.00","","0.13%"
"12/19/2008","3,027.00","3,087.00","3,104.00","3,000.00","","-1.82%"
"12/18/2008","3,083.00","3,126.00","3,197.00","3,078.00","","-1.45%"
"12/17/2008","3,128.50","3,109.00","3,272.50","3,061.00","","0.35%"
"12/16/2008","3,117.50","3,082.00","3,191.50","3,041.00","","1.04%"
"12/15/2008","3,085.50","3,024.00","3,108.50","3,023.00","","1.93%"
"12/12/2008","3,027.00","3,026.00","3,093.00","3,002.00","","-0.08%"
"12/11/2008","3,029.50","2,999.00","3,066.50","2,996.00","","0.92%"
"12/10/2008","3,002.00","2,986.00","3,013.00","2,969.00","","0.60%"
"12/09/2008","2,984.00","3,023.00","3,029.00","2,953.00","","-1.29%"
"12/08/2008","3,023.00","2,975.00","3,053.00","2,959.00","","1.60%"
"12/05/2008","2,975.50","2,969.00","2,999.50","2,922.00","","0.27%"
"12/04/2008","2,967.50","2,948.00","2,997.50","2,901.00","","0.54%"
"12/03/2008","2,951.50","2,946.00","3,007.50","2,913.00","","0.08%"
"12/02/2008","2,949.00","2,921.00","2,997.00","2,914.00","","0.82%"
"12/01/2008","2,925.00","2,946.00","2,948.00","2,913.00","","-0.68%"
"11/28/2008","2,945.00","2,982.00","3,022.00","2,928.00","","-1.26%"
"11/27/2008","2,982.50","2,979.00","3,000.50","2,971.00","","0.03%"
"11/26/2008","2,981.50","3,026.00","3,082.50","2,959.00","","-1.52%"
"11/25/2008","3,027.50","2,991.00","3,030.50","2,958.00","","1.31%"
"11/24/2008","2,988.50","2,972.00","3,018.50","2,917.00","","0.59%"
"11/21/2008","2,971.00","2,932.00","2,981.00","2,896.00","","1.14%"
"11/20/2008","2,937.50","2,928.00","2,981.50","2,920.00","","0.07%"
