"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2008","26.8540","26.5330","27.0800","26.4360","","1.04%"
"12/30/2008","26.5770","26.5660","26.7630","26.3980","","-0.11%"
"12/29/2008","26.6065","26.2630","26.6885","26.2220","","0.86%"
"12/26/2008","26.3785","26.2980","26.5975","26.1350","","0.03%"
"12/25/2008","26.3710","26.4780","26.5500","26.2080","","-0.65%"
"12/24/2008","26.5445","26.2610","26.6305","26.2150","","0.61%"
"12/23/2008","26.3825","26.1510","26.4565","26.1040","","0.70%"
"12/22/2008","26.1985","26.4340","26.6725","26.0820","","-0.95%"
"12/19/2008","26.4495","26.1760","26.6755","26.0890","","0.64%"
"12/18/2008","26.2800","26.3670","26.7010","26.1450","","-0.41%"
"12/17/2008","26.3890","25.8450","26.6130","25.7330","","2.57%"
"12/16/2008","25.7270","26.1160","26.4970","25.6460","","-1.69%"
"12/15/2008","26.1700","25.9830","26.2640","25.8210","","0.39%"
"12/12/2008","26.0675","25.7050","26.1255","25.6470","","1.15%"
"12/11/2008","25.7715","25.7350","26.0775","25.6300","","-0.08%"
"12/10/2008","25.7915","25.6530","25.9995","25.6120","","0.05%"
"12/09/2008","25.7790","25.6040","25.8460","25.5600","","0.20%"
"12/08/2008","25.7285","25.7970","25.9445","25.4780","","-0.64%"
"12/05/2008","25.8935","25.7180","25.9695","25.5580","","0.09%"
"12/04/2008","25.8715","25.6280","25.9525","25.5270","","0.59%"
"12/03/2008","25.7195","25.8040","25.8475","25.4260","","-0.41%"
"12/02/2008","25.8250","25.6090","25.8530","25.5270","","0.25%"
"12/01/2008","25.7610","25.2670","25.7670","25.2070","","1.56%"
"11/28/2008","25.3650","25.1540","25.5080","24.9970","","0.59%"
"11/27/2008","25.2160","25.0370","25.2790","24.9340","","0.68%"
"11/26/2008","25.0460","25.1700","25.3730","24.7800","","-0.67%"
"11/25/2008","25.2155","25.3740","25.5895","24.9320","","-0.84%"
"11/24/2008","25.4280","25.5780","25.8870","25.2270","","-0.99%"
"11/21/2008","25.6825","25.6840","25.9675","25.4660","","0.01%"
"11/20/2008","25.6805","25.6950","25.7965","25.4660","","0.20%"
"11/19/2008","25.6280","25.7700","25.8570","25.4710","","-0.72%"
"11/18/2008","25.8140","25.3290","25.8810","25.2800","","1.66%"
"11/17/2008","25.3920","25.1730","25.4850","25.1330","","0.61%"
"11/14/2008","25.2375","25.2010","25.4715","25.0610","","-0.40%"
"11/13/2008","25.3390","25.4060","25.5850","25.0360","","-0.61%"
"11/12/2008","25.4935","25.3010","25.5785","25.1310","","0.54%"
"11/11/2008","25.3560","25.2580","25.5550","25.1440","","0.29%"
"11/10/2008","25.2825","24.9620","25.3445","24.8430","","0.87%"
"11/07/2008","25.0655","24.7970","25.3295","24.7330","","0.62%"
