"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2008","7.4437","7.4519","7.4650","7.4327","","-0.13%"
"12/30/2008","7.4537","7.4458","7.4611","7.4388","","0.05%"
"12/29/2008","7.4499","7.4441","7.4633","7.4345","","-0.01%"
"12/26/2008","7.4509","7.4527","7.4620","7.4178","","0.02%"
"12/25/2008","7.4496","7.4465","7.4706","7.4174","","-0.02%"
"12/24/2008","7.4513","7.4490","7.4587","7.4380","","-0.04%"
"12/23/2008","7.4543","7.4513","7.4641","7.4428","","0.02%"
"12/22/2008","7.4531","7.4470","7.4660","7.4398","","0.03%"
"12/19/2008","7.4505","7.4454","7.4650","7.4338","","0.02%"
"12/18/2008","7.4489","7.4466","7.4793","7.4336","","-0.01%"
"12/17/2008","7.4500","7.4468","7.4644","7.4362","","-0.01%"
"12/16/2008","7.4505","7.4484","7.4608","7.4365","","0.00%"
"12/15/2008","7.4506","7.4466","7.4621","7.4397","","0.00%"
"12/12/2008","7.4507","7.4473","7.4604","7.4321","","0.02%"
"12/11/2008","7.4493","7.4455","7.4642","7.4374","","-0.01%"
"12/10/2008","7.4501","7.4486","7.4587","7.4392","","0.01%"
"12/09/2008","7.4497","7.4453","7.4602","7.4389","","0.01%"
"12/08/2008","7.4489","7.4445","7.4566","7.4403","","-0.01%"
"12/05/2008","7.4497","7.4443","7.4601","7.4318","","0.01%"
"12/04/2008","7.4491","7.4473","7.4591","7.4375","","0.01%"
"12/03/2008","7.4486","7.4445","7.4585","7.4341","","0.01%"
"12/02/2008","7.4480","7.4439","7.4592","7.4374","","0.00%"
"12/01/2008","7.4479","7.4458","7.4561","7.4367","","-0.01%"
"11/28/2008","7.4489","7.4479","7.4620","7.4374","","-0.03%"
"11/27/2008","7.4509","7.4480","7.4633","7.4406","","-0.01%"
"11/26/2008","7.4520","7.4514","7.4646","7.4390","","-0.03%"
"11/25/2008","7.4540","7.4502","7.4666","7.4398","","0.00%"
"11/24/2008","7.4543","7.4505","7.4665","7.4415","","-0.02%"
"11/21/2008","7.4557","7.4488","7.4694","7.4388","","0.05%"
"11/20/2008","7.4522","7.4508","7.4622","7.4391","","-0.01%"
"11/19/2008","7.4532","7.4436","7.4628","7.4376","","0.06%"
