"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2008","7.6900","7.7433","7.8115","7.6164","","-1.05%"
"12/30/2008","7.7713","7.6748","7.8574","7.6588","","0.69%"
"12/29/2008","7.7181","7.7435","7.9314","7.6874","","-0.64%"
"12/26/2008","7.7679","7.7208","7.8126","7.7103","","0.27%"
"12/25/2008","7.7471","7.7070","7.7664","7.6894","","0.20%"
"12/24/2008","7.7319","7.6509","7.7611","7.6371","","0.55%"
"12/23/2008","7.6893","7.6672","7.7564","7.6448","","-0.08%"
"12/22/2008","7.6953","7.6685","7.7985","7.6306","","0.34%"
"12/19/2008","7.6696","7.8495","7.9140","7.6080","","-2.32%"
"12/18/2008","7.8521","7.9247","8.1295","7.8159","","-1.16%"
"12/17/2008","7.9445","7.7362","7.9665","7.7031","","2.06%"
"12/16/2008","7.7838","7.5436","7.8085","7.5095","","2.83%"
"12/15/2008","7.5694","7.3652","7.5729","7.3636","","2.52%"
"12/12/2008","7.3833","7.3497","7.4126","7.2936","","0.09%"
"12/11/2008","7.3764","7.1642","7.4039","7.1559","","2.59%"
"12/10/2008","7.1900","7.0968","7.2209","7.0896","","1.03%"
"12/09/2008","7.1168","7.1376","7.1820","7.0373","","-0.39%"
"12/08/2008","7.1450","7.0040","7.1555","7.0002","","1.57%"
"12/05/2008","7.0343","7.0381","7.0684","6.9465","","-0.29%"
"12/04/2008","7.0547","6.9777","7.0960","6.9165","","0.67%"
"12/03/2008","7.0075","6.9916","7.0529","6.9370","","-0.10%"
"12/02/2008","7.0144","6.9429","7.0612","6.9109","","0.62%"
"12/01/2008","6.9711","7.0027","7.0248","6.9286","","-0.37%"
"11/28/2008","6.9971","7.1031","7.1483","6.9732","","-1.71%"
"11/27/2008","7.1186","7.0820","7.1687","7.0715","","0.01%"
"11/26/2008","7.1179","7.2101","7.2477","7.0563","","-1.56%"
"11/25/2008","7.2306","7.1357","7.2467","7.0576","","1.17%"
"11/24/2008","7.1473","6.9491","7.1567","6.9390","","2.69%"
"11/21/2008","6.9603","6.8698","6.9954","6.8538","","1.00%"
"11/20/2008","6.8916","6.8917","6.9764","6.8720","","-0.47%"
"11/19/2008","6.9244","6.9618","7.0987","6.8994","","-0.91%"
"11/18/2008","6.9882","6.9674","7.0296","6.9305","","0.01%"
"11/17/2008","6.9878","6.9020","7.0459","6.8910","","-0.32%"
"11/14/2008","7.0101","7.0482","7.1011","6.9566","","-1.26%"
"11/13/2008","7.0993","6.8948","7.1120","6.8447","","2.84%"
"11/12/2008","6.9032","6.9018","6.9988","6.8748","","-0.20%"
"11/11/2008","6.9170","7.0472","7.0848","6.8897","","-2.06%"
"11/10/2008","7.0622","7.0691","7.1682","7.0192","","-0.03%"
"11/07/2008","7.0641","7.0133","7.1165","6.9802","","0.52%"
"11/06/2008","7.0279","7.1534","7.1768","7.0067","","-1.95%"
"11/05/2008","7.1678","7.2007","7.2611","7.0737","","-1.06%"
"11/04/2008","7.2445","7.0165","7.2462","6.9576","","2.82%"
"11/03/2008","7.0456","7.0868","7.1943","6.9960","","-0.86%"
"10/31/2008","7.1069","7.1538","7.1976","7.0456","","-1.32%"
"10/30/2008","7.2021","7.2264","7.4286","7.1174","","-0.57%"
"10/29/2008","7.2431","7.1050","7.2630","7.0309","","1.94%"
"10/28/2008","7.1056","6.9412","7.1212","6.8605","","2.11%"
"10/27/2008","6.9589","7.0018","7.1043","6.8936","","-1.35%"
"10/24/2008","7.0543","7.2389","7.2618","6.9728","","-2.86%"
"10/23/2008","7.2618","7.1349","7.2757","7.0776","","1.34%"
"10/22/2008","7.1655","7.2733","7.3124","7.1135","","-1.76%"
"10/21/2008","7.2940","7.4254","7.4613","7.2683","","-2.17%"
"10/20/2008","7.4557","7.4666","7.5638","7.3992","","-0.17%"
"10/17/2008","7.4681","7.5151","7.5631","7.4358","","-0.89%"
"10/16/2008","7.5350","7.5000","7.5849","7.4293","","0.37%"
"10/15/2008","7.5073","7.5422","7.6327","7.4928","","-0.76%"
"10/14/2008","7.5646","7.5153","7.6536","7.5119","","0.37%"
"10/13/2008","7.5368","7.4778","7.6008","7.4210","","2.11%"
"10/10/2008","7.3811","7.4517","7.5136","7.2682","","-1.15%"
"10/09/2008","7.4668","7.4818","7.5941","7.4473","","-0.54%"
"10/08/2008","7.5074","7.4731","7.5733","7.3791","","0.39%"
"10/07/2008","7.4779","7.3312","7.5506","7.3285","","1.67%"
"10/06/2008","7.3548","7.4630","7.4914","7.3079","","-2.23%"
"10/03/2008","7.5224","7.5118","7.5819","7.4498","","-0.13%"
"10/02/2008","7.5319","7.6249","7.6472","7.4659","","-1.43%"
"10/01/2008","7.6410","7.6798","7.7285","7.5977","","-0.76%"
"09/30/2008","7.6993","7.8374","7.8651","7.6162","","-2.08%"
"09/29/2008","7.8626","7.8967","7.9442","7.7796","","-1.44%"
"09/26/2008","7.9773","7.9462","8.0085","7.9130","","0.06%"
"09/25/2008","7.9725","7.9548","8.0779","7.9157","","-0.17%"
"09/24/2008","7.9864","7.9737","8.0506","7.9320","","-0.13%"
"09/23/2008","7.9970","8.0653","8.1061","7.9611","","-1.16%"
"09/22/2008","8.0911","7.9152","8.1470","7.8857","","2.25%"
"09/19/2008","7.9129","7.8245","7.9314","7.7289","","0.90%"
"09/18/2008","7.8427","7.8429","7.9765","7.7842","","0.09%"
"09/17/2008","7.8353","7.6999","7.8851","7.6675","","1.47%"
"09/16/2008","7.7216","7.7443","7.8146","7.6846","","-0.40%"
"09/15/2008","7.7525","7.7576","7.8312","7.6587","","0.66%"
"09/12/2008","7.7019","7.5718","7.7040","7.5480","","1.44%"
"09/11/2008","7.5923","7.5433","7.6036","7.5167","","0.32%"
"09/10/2008","7.5680","7.6129","7.6884","7.5443","","-1.00%"
"09/09/2008","7.6443","7.6031","7.6967","7.5520","","0.21%"
"09/08/2008","7.6283","7.7555","7.7893","7.5675","","-0.82%"
"09/05/2008","7.6912","7.6486","7.7440","7.6398","","0.23%"
"09/04/2008","7.6732","7.7991","7.8715","7.6406","","-1.69%"
"09/03/2008","7.8048","7.7686","7.8250","7.7269","","0.14%"
"09/02/2008","7.7935","7.8058","7.8348","7.7668","","-0.43%"
"09/01/2008","7.8270","7.8797","7.9106","7.7930","","-0.59%"
"08/29/2008","7.8733","7.8764","7.9248","7.8421","","-0.15%"
"08/28/2008","7.8854","7.8961","7.9648","7.8587","","-0.46%"
"08/27/2008","7.9222","7.8301","7.9560","7.8232","","0.89%"
"08/26/2008","7.8526","7.8863","7.9125","7.7765","","-0.70%"
"08/25/2008","7.9083","7.9100","7.9474","7.8435","","-0.03%"
"08/22/2008","7.9104","7.9709","7.9911","7.8753","","-1.03%"
"08/21/2008","7.9926","7.8975","7.9931","7.8854","","1.10%"
"08/20/2008","7.9054","7.9031","7.9217","7.8402","","-0.13%"
"08/19/2008","7.9155","7.8266","7.9224","7.7717","","0.77%"
"08/18/2008","7.8550","7.7956","7.8982","7.7903","","0.52%"
"08/15/2008","7.8143","7.8646","7.8849","7.7829","","-0.95%"
"08/14/2008","7.8890","7.9290","7.9682","7.8534","","-0.77%"
"08/13/2008","7.9501","7.9103","7.9856","7.8854","","0.32%"
"08/12/2008","7.9246","7.8693","7.9634","7.8287","","0.28%"
"08/11/2008","7.9023","7.8963","8.0204","7.8630","","-0.75%"
"08/08/2008","7.9623","8.0966","8.1362","7.9146","","-2.07%"
"08/07/2008","8.1308","8.1619","8.2381","8.0903","","-0.73%"
"08/06/2008","8.1905","8.1815","8.2484","8.1498","","-0.27%"
"08/05/2008","8.2128","8.2448","8.2763","8.1781","","-0.76%"
"08/04/2008","8.2755","8.2477","8.3198","8.2295","","0.48%"
"08/01/2008","8.2361","8.2586","8.2705","8.1968","","-0.54%"
"07/31/2008","8.2809","8.2488","8.3521","8.2373","","0.06%"
"07/30/2008","8.2763","8.2512","8.3107","8.2223","","-0.06%"
"07/29/2008","8.2811","8.3293","8.3890","8.2369","","-0.99%"
"07/28/2008","8.3640","8.3165","8.3990","8.3068","","0.23%"
"07/25/2008","8.3444","8.2944","8.3590","8.2870","","0.22%"
"07/24/2008","8.3263","8.3041","8.3665","8.2690","","0.21%"
"07/23/2008","8.3089","8.3574","8.3757","8.2842","","-0.65%"
"07/22/2008","8.3630","8.4517","8.4708","8.3389","","-1.19%"
"07/21/2008","8.4639","8.3852","8.4639","8.3772","","0.83%"
"07/18/2008","8.3943","8.3902","8.4160","8.3622","","-0.09%"
"07/17/2008","8.4017","8.3817","8.4422","8.3511","","-0.06%"
"07/16/2008","8.4070","8.4262","8.4751","8.3695","","-0.68%"
"07/15/2008","8.4645","8.4281","8.5364","8.3992","","0.12%"
"07/14/2008","8.4546","8.4620","8.4885","8.3767","","-0.55%"
"07/11/2008","8.5016","8.4061","8.5016","8.3938","","0.99%"
"07/10/2008","8.4184","8.3805","8.4367","8.3392","","0.00%"
"07/09/2008","8.4186","8.3500","8.4346","8.3267","","0.53%"
"07/08/2008","8.3745","8.3725","8.4323","8.3324","","-0.11%"
"07/07/2008","8.3838","8.3537","8.4003","8.3123","","0.10%"
"07/04/2008","8.3752","8.3581","8.3875","8.3342","","0.05%"
"07/03/2008","8.3710","8.4548","8.4811","8.3496","","-1.11%"
