"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2008","0.9557","0.9758","0.9787","0.9473","","-1.95%"
"12/30/2008","0.9747","0.9655","0.9805","0.9652","","1.07%"
"12/29/2008","0.9644","0.9587","0.9802","0.9586","","0.44%"
"12/26/2008","0.9602","0.9500","0.9602","0.9472","","0.18%"
"12/25/2008","0.9585","0.9509","0.9589","0.9474","","0.96%"
"12/24/2008","0.9494","0.9460","0.9543","0.9431","","0.44%"
"12/23/2008","0.9452","0.9396","0.9499","0.9382","","0.56%"
"12/22/2008","0.9399","0.9316","0.9526","0.9301","","0.76%"
"12/19/2008","0.9328","0.9477","0.9510","0.9273","","-1.56%"
"12/18/2008","0.9476","0.9281","0.9567","0.9248","","2.07%"
"12/17/2008","0.9284","0.9014","0.9328","0.8980","","2.74%"
"12/16/2008","0.9036","0.8940","0.9055","0.8920","","0.89%"
"12/15/2008","0.8956","0.8936","0.9022","0.8882","","0.09%"
"12/12/2008","0.8948","0.8886","0.9000","0.8848","","0.68%"
"12/11/2008","0.8888","0.8806","0.8911","0.8757","","1.01%"
"12/10/2008","0.8799","0.8762","0.8824","0.8721","","0.46%"
"12/09/2008","0.8759","0.8691","0.8766","0.8662","","0.95%"
"12/08/2008","0.8677","0.8624","0.8742","0.8575","","0.50%"
"12/05/2008","0.8634","0.8708","0.8723","0.8608","","-0.85%"
"12/04/2008","0.8708","0.8599","0.8725","0.8584","","1.20%"
"12/03/2008","0.8605","0.8528","0.8610","0.8504","","0.89%"
"12/02/2008","0.8529","0.8469","0.8552","0.8433","","0.48%"
"12/01/2008","0.8488","0.8268","0.8532","0.8237","","2.88%"
"11/28/2008","0.8250","0.8373","0.8404","0.8229","","-1.46%"
"11/27/2008","0.8372","0.8407","0.8419","0.8333","","-0.30%"
"11/26/2008","0.8397","0.8444","0.8488","0.8356","","-0.57%"
"11/25/2008","0.8445","0.8520","0.8575","0.8394","","-0.86%"
"11/24/2008","0.8518","0.8434","0.8541","0.8421","","0.84%"
"11/21/2008","0.8447","0.8455","0.8509","0.8366","","-0.15%"
