"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2008","10.8438","10.9004","10.9651","10.7315","","-0.57%"
"12/30/2008","10.9055","10.8066","11.0223","10.7841","","0.65%"
"12/29/2008","10.8348","10.8965","11.1320","10.8243","","-0.59%"
"12/26/2008","10.8993","10.8590","10.9440","10.8401","","0.34%"
"12/25/2008","10.8623","10.8571","10.8917","10.8294","","0.07%"
"12/24/2008","10.8544","10.7998","10.8673","10.7809","","0.31%"
"12/23/2008","10.8211","10.7993","10.8679","10.7845","","0.12%"
"12/22/2008","10.8077","10.7962","10.9474","10.7720","","0.18%"
"12/19/2008","10.7879","11.0405","11.0922","10.7118","","-2.09%"
"12/18/2008","11.0178","11.1639","11.4074","10.9929","","-1.30%"
"12/17/2008","11.1634","10.8904","11.1911","10.8439","","2.25%"
"12/16/2008","10.9175","10.6154","10.9633","10.5622","","2.72%"
"12/15/2008","10.6279","10.3588","10.6287","10.3564","","2.55%"
"12/12/2008","10.3635","10.3469","10.3981","10.2676","","0.12%"
"12/11/2008","10.3514","10.0852","10.3900","10.0738","","2.62%"
"12/10/2008","10.0875","10.0139","10.1315","9.9965","","0.80%"
"12/09/2008","10.0070","10.0392","10.0774","9.9160","","-0.22%"
"12/08/2008","10.0291","9.8610","10.0498","9.8553","","1.59%"
"12/05/2008","9.8725","9.9097","9.9224","9.7849","","-0.30%"
"12/04/2008","9.9022","9.8470","9.9609","9.7263","","0.49%"
"12/03/2008","9.8541","9.8523","9.8785","9.7679","","0.00%"
"12/02/2008","9.8545","9.7742","9.8986","9.7359","","0.68%"
"12/01/2008","9.7881","9.8493","9.8531","9.7513","","-0.54%"
"11/28/2008","9.8412","10.0012","10.0464","9.7988","","-1.50%"
"11/27/2008","9.9912","9.9925","10.0543","9.9648","","-0.04%"
"11/26/2008","9.9950","10.1291","10.1366","9.9416","","-1.33%"
"11/25/2008","10.1301","10.0197","10.1419","9.9264","","1.20%"
"11/24/2008","10.0103","9.7569","10.0215","9.7395","","2.69%"
"11/21/2008","9.7482","9.6493","9.7992","9.6275","","0.97%"
"11/20/2008","9.6547","9.6889","9.7604","9.6526","","-0.52%"
"11/19/2008","9.7050","9.7742","9.9327","9.6996","","-0.83%"
"11/18/2008","9.7867","9.8003","9.8437","9.7380","","-0.16%"
"11/17/2008","9.8025","9.7122","9.8752","9.6965","","0.31%"
"11/14/2008","9.7721","9.9048","9.9435","9.7695","","-1.53%"
"11/13/2008","9.9242","9.6897","9.9630","9.5999","","2.67%"
"11/12/2008","9.6659","9.7078","9.7939","9.6620","","-0.37%"
"11/11/2008","9.7021","9.8842","9.9208","9.6905","","-1.67%"
"11/10/2008","9.8666","9.9338","10.0198","9.8548","","-0.06%"
"11/07/2008","9.8726","9.8504","9.9600","9.8044","","0.28%"
"11/06/2008","9.8450","10.0434","10.0502","9.8411","","-1.96%"
"11/05/2008","10.0419","10.0591","10.1663","9.9125","","-0.47%"
"11/04/2008","10.0890","9.7885","10.0985","9.7061","","2.91%"
"11/03/2008","9.8038","9.8793","9.9990","9.7602","","-0.65%"
"10/31/2008","9.8681","9.9638","9.9965","9.8169","","-1.37%"
"10/30/2008","10.0050","10.0521","10.3069","9.9219","","-0.43%"
"10/29/2008","10.0480","9.8908","10.0736","9.7871","","1.95%"
"10/28/2008","9.8557","9.6688","9.8775","9.5565","","1.99%"
"10/27/2008","9.6632","9.7287","9.8348","9.5590","","-1.27%"
"10/24/2008","9.7877","10.0591","10.0651","9.6850","","-2.70%"
"10/23/2008","10.0598","9.9467","10.0833","9.8656","","1.09%"
"10/22/2008","9.9512","10.1231","10.1396","9.9023","","-1.71%"
"10/21/2008","10.1243","10.3387","10.3580","10.1162","","-2.21%"
"10/20/2008","10.3534","10.3979","10.5008","10.3020","","-0.44%"
"10/17/2008","10.3989","10.4545","10.4872","10.3811","","-0.53%"
"10/16/2008","10.4543","10.4461","10.5006","10.3483","","0.16%"
