"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2008","265.665","268.875","270.945","263.455","","-0.58%"
"12/30/2008","267.225","267.205","269.135","263.295","","-0.03%"
"12/29/2008","267.295","267.035","269.255","263.685","","0.54%"
"12/26/2008","265.850","264.450","269.780","264.430","","0.70%"
"12/25/2008","264.000","264.020","265.700","263.400","","-0.52%"
"12/24/2008","265.370","265.940","269.840","264.970","","0.64%"
"12/23/2008","263.685","264.415","265.905","262.615","","-0.11%"
"12/22/2008","263.975","264.015","267.415","261.025","","-0.58%"
"12/19/2008","265.510","266.530","267.280","263.250","","-0.32%"
"12/18/2008","266.375","266.295","270.205","264.405","","-0.04%"
"12/17/2008","266.490","267.510","269.110","262.800","","-0.41%"
"12/16/2008","267.575","268.605","271.645","263.515","","-0.06%"
"12/15/2008","267.740","265.900","268.300","264.760","","0.43%"
"12/12/2008","266.605","262.735","268.945","261.725","","1.52%"
"12/11/2008","262.610","263.840","265.550","262.010","","-0.48%"
"12/10/2008","263.875","263.725","265.685","262.015","","0.14%"
"12/09/2008","263.510","261.560","266.600","260.100","","0.72%"
"12/08/2008","261.635","265.805","266.145","260.415","","-1.74%"
"12/05/2008","266.265","260.705","267.385","259.535","","1.72%"
"12/04/2008","261.760","262.240","264.020","260.260","","0.17%"
"12/03/2008","261.320","262.520","264.150","259.390","","-0.54%"
"12/02/2008","262.745","262.045","264.455","260.265","","0.21%"
"12/01/2008","262.185","259.075","263.815","258.245","","1.50%"
"11/28/2008","258.305","260.475","261.775","257.475","","-0.88%"
"11/27/2008","260.595","260.695","262.725","258.615","","-0.14%"
"11/26/2008","260.950","261.240","263.760","259.310","","0.13%"
"11/25/2008","260.600","259.390","263.250","257.880","","0.37%"
"11/24/2008","259.650","265.580","267.430","258.550","","-2.18%"
"11/21/2008","265.445","270.615","271.745","264.035","","-2.04%"
"11/20/2008","270.980","271.730","273.910","267.490","","-0.26%"
"11/19/2008","271.675","270.935","273.105","268.105","","0.38%"
"11/18/2008","270.650","268.380","272.400","267.200","","0.70%"
"11/17/2008","268.780","264.080","269.390","263.790","","0.35%"
"11/14/2008","267.855","268.625","272.605","264.455","","-0.43%"
"11/13/2008","269.005","271.985","273.175","267.885","","-0.71%"
"11/12/2008","270.925","269.765","273.525","266.785","","0.74%"
"11/11/2008","268.925","267.535","271.395","266.085","","0.41%"
