"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2008","15,250.8","15,331.9","15,491.8","15,025.1","","-1.02%"
"12/30/2008","15,408.3","15,338.4","15,601.8","15,306.5","","-0.71%"
"12/29/2008","15,517.8","15,466.0","15,939.1","15,363.7","","-0.58%"
"12/26/2008","15,607.7","15,266.5","15,672.6","15,245.8","","1.70%"
"12/25/2008","15,347.0","15,269.8","15,385.1","15,231.7","","0.08%"
"12/24/2008","15,334.9","15,190.2","15,651.5","15,163.0","","0.30%"
"12/23/2008","15,289.5","15,188.1","15,664.8","15,168.4","","0.14%"
"12/22/2008","15,268.7","15,183.7","15,583.0","15,149.9","","0.20%"
"12/19/2008","15,238.0","15,556.6","15,829.1","15,066.0","","-2.18%"
"12/18/2008","15,577.5","15,774.6","16,131.1","15,490.0","","-1.59%"
"12/17/2008","15,829.1","15,458.3","15,864.2","15,215.6","","1.60%"
"12/16/2008","15,580.5","15,100.9","15,631.1","14,916.6","","2.61%"
"12/15/2008","15,184.9","14,703.7","15,186.0","14,700.4","","2.76%"
"12/12/2008","14,777.7","14,652.7","14,890.4","14,584.9","","0.58%"
"12/11/2008","14,692.7","14,152.7","14,747.6","14,136.4","","3.40%"
"12/10/2008","14,209.7","14,046.2","14,423.9","13,903.0","","0.81%"
"12/09/2008","14,095.5","15,026.6","15,108.5","13,908.2","","-6.48%"
"12/08/2008","15,071.6","14,758.7","15,102.9","14,750.6","","1.56%"
"12/05/2008","14,839.8","15,054.3","15,217.4","14,645.0","","-1.75%"
"12/04/2008","15,104.1","15,117.8","15,386.6","14,775.3","","-0.55%"
"12/03/2008","15,187.3","15,254.4","15,481.4","14,995.2","","-0.87%"
"12/02/2008","15,321.0","15,071.3","15,608.9","15,033.1","","0.90%"
"12/01/2008","15,184.6","15,187.3","15,721.2","15,033.1","","-0.56%"
"11/28/2008","15,270.6","15,451.3","15,779.2","15,109.6","","-1.38%"
"11/27/2008","15,484.7","15,465.6","15,833.3","15,395.1","","-0.52%"
"11/26/2008","15,565.9","15,806.2","16,243.9","15,381.6","","-1.93%"
"11/25/2008","15,872.2","15,577.0","15,998.6","15,387.6","","1.58%"
"11/24/2008","15,626.0","15,106.8","15,659.7","15,090.0","","3.06%"
"11/21/2008","15,161.9","14,879.0","15,768.1","14,844.3","","1.00%"
"11/20/2008","15,011.9","14,814.9","15,495.3","14,778.1","","0.74%"
"11/19/2008","14,901.2","14,819.1","15,287.1","14,817.9","","-0.42%"
"11/18/2008","14,963.6","14,794.6","15,335.1","14,740.8","","0.69%"
"11/17/2008","14,860.8","14,443.1","15,009.0","14,420.1","","1.82%"
"11/14/2008","14,594.9","14,697.0","15,139.8","14,528.4","","-2.16%"
"11/13/2008","14,917.2","14,377.3","15,058.4","14,273.6","","3.50%"
"11/12/2008","14,412.1","13,903.9","14,719.2","13,849.5","","3.24%"
"11/11/2008","13,959.2","13,838.1","14,498.7","13,795.8","","0.36%"
"11/10/2008","13,908.6","13,907.5","14,333.4","13,796.9","","0.17%"
"11/07/2008","13,884.4","13,785.1","14,348.1","13,724.4","","0.30%"
"11/06/2008","13,843.1","14,060.5","14,345.7","13,772.1","","-1.98%"
"11/05/2008","14,123.1","14,083.3","14,297.8","13,858.9","","-0.60%"
"11/04/2008","14,208.2","13,767.8","14,211.4","13,532.1","","2.62%"
"11/03/2008","13,845.2","13,765.7","14,103.5","13,654.4","","-0.24%"
"10/31/2008","13,879.0","13,690.6","14,625.1","13,572.4","","0.75%"
"10/30/2008","13,776.1","13,875.8","14,250.4","13,580.3","","-1.61%"
"10/29/2008","14,001.7","13,650.0","14,129.9","13,159.0","","1.97%"
"10/28/2008","13,731.1","13,407.2","14,867.2","13,228.8","","1.90%"
"10/27/2008","13,475.6","12,554.3","13,733.8","12,538.3","","6.67%"
"10/24/2008","12,633.5","12,895.2","12,905.3","12,502.2","","-2.26%"
"10/23/2008","12,925.5","12,694.3","12,932.5","12,592.4","","1.75%"
"10/22/2008","12,702.7","12,829.5","12,874.3","12,617.8","","-1.06%"
"10/21/2008","12,838.5","13,077.7","13,106.3","12,820.6","","-1.97%"
"10/20/2008","13,097.1","13,130.2","13,281.6","13,031.6","","-0.36%"
"10/17/2008","13,144.2","13,291.3","13,338.8","13,110.6","","-1.20%"
"10/16/2008","13,303.4","13,162.0","13,355.7","13,114.6","","1.07%"
"10/15/2008","13,162.9","13,264.9","13,385.8","13,150.3","","-0.85%"
"10/14/2008","13,275.6","13,331.8","13,434.7","13,228.8","","-0.54%"
"10/13/2008","13,348.3","13,355.6","13,508.8","13,226.8","","0.92%"
"10/10/2008","13,226.2","13,030.9","13,474.3","12,999.2","","1.44%"
"10/09/2008","13,038.2","13,076.1","13,227.1","13,023.2","","-0.37%"
"10/08/2008","13,086.2","13,037.0","13,249.5","12,946.1","","0.48%"
"10/07/2008","13,023.2","12,924.4","13,142.7","12,899.1","","0.63%"
"10/06/2008","12,941.7","12,875.5","13,087.4","12,826.5","","-0.34%"
"10/03/2008","12,986.1","13,021.6","13,114.2","12,914.1","","-0.31%"
"10/02/2008","13,026.6","13,217.6","13,227.4","12,952.8","","-1.43%"
"10/01/2008","13,216.1","13,312.8","13,367.9","13,170.5","","-0.70%"
"09/30/2008","13,309.5","13,586.1","13,604.5","13,202.5","","-2.12%"
"09/29/2008","13,597.6","13,616.0","13,737.0","13,478.7","","-0.86%"
"09/26/2008","13,715.7","13,694.3","13,776.4","13,651.6","","0.08%"
"09/25/2008","13,705.4","13,629.3","13,857.0","13,623.7","","0.45%"
"09/24/2008","13,644.0","13,648.2","13,767.2","13,630.2","","-0.11%"
"09/23/2008","13,659.3","13,734.4","13,821.3","13,626.8","","-0.55%"
"09/22/2008","13,735.3","13,577.1","13,811.4","13,451.5","","1.28%"
"09/19/2008","13,561.9","13,457.4","13,593.7","13,250.5","","0.60%"
"09/18/2008","13,480.5","13,450.8","13,670.3","13,420.8","","0.25%"
"09/17/2008","13,446.7","13,329.2","13,521.9","13,243.2","","0.65%"
"09/16/2008","13,359.9","13,470.5","13,510.6","13,302.8","","-0.90%"
"09/15/2008","13,481.4","13,490.0","13,698.9","13,302.3","","0.48%"
"09/12/2008","13,417.5","13,201.2","13,421.2","13,159.7","","1.50%"
"09/11/2008","13,219.5","13,026.1","13,228.0","12,992.5","","1.31%"
"09/10/2008","13,048.0","13,144.4","13,236.6","13,028.0","","-0.92%"
"09/09/2008","13,169.2","13,122.2","13,259.5","13,093.2","","0.29%"
"09/08/2008","13,131.1","13,475.9","13,491.4","13,060.9","","-1.85%"
"09/05/2008","13,378.1","13,100.1","13,452.1","13,091.9","","2.02%"
"09/04/2008","13,112.8","13,334.6","13,404.0","13,086.3","","-1.72%"
"09/03/2008","13,341.9","13,360.1","13,389.4","13,240.8","","-0.20%"
"09/02/2008","13,368.8","13,370.0","13,424.7","13,315.6","","-0.06%"
"09/01/2008","13,377.3","13,444.1","13,467.8","13,348.0","","-0.37%"
"08/29/2008","13,426.7","13,438.5","13,521.9","13,387.4","","-0.12%"
"08/28/2008","13,442.2","13,467.9","13,557.6","13,408.4","","-0.28%"
"08/27/2008","13,480.3","13,428.5","13,535.2","13,416.6","","0.28%"
"08/26/2008","13,442.3","13,502.7","13,521.0","13,357.9","","-0.54%"
"08/25/2008","13,514.7","13,506.1","13,565.0","13,441.2","","-0.05%"
"08/22/2008","13,520.8","13,621.7","13,638.3","13,479.6","","-0.87%"
"08/21/2008","13,639.6","13,495.4","13,640.5","13,481.8","","1.03%"
"08/20/2008","13,500.9","13,578.0","13,603.7","13,431.3","","-0.59%"
"08/19/2008","13,581.2","13,487.2","13,593.2","13,429.4","","0.56%"
"08/18/2008","13,505.6","13,484.5","13,572.7","13,475.3","","0.05%"
"08/15/2008","13,498.7","13,577.7","13,597.3","13,462.5","","-0.74%"
"08/14/2008","13,600.0","13,690.0","13,724.8","13,558.5","","-0.71%"
"08/13/2008","13,697.5","13,665.9","13,736.6","13,614.8","","0.13%"
"08/12/2008","13,679.8","13,660.5","13,722.9","13,598.3","","0.07%"
"08/11/2008","13,670.3","13,687.0","13,844.6","13,643.1","","-0.65%"
"08/08/2008","13,760.0","13,933.5","13,971.2","13,743.8","","-1.33%"
"08/07/2008","13,945.3","13,979.6","14,111.0","13,922.6","","-0.23%"
"08/06/2008","13,977.5","14,017.8","14,080.2","13,965.1","","-0.39%"
"08/05/2008","14,032.8","14,141.6","14,154.8","14,013.2","","-0.86%"
"08/04/2008","14,154.4","14,158.5","14,205.2","14,125.2","","-0.03%"
"08/01/2008","14,158.8","14,177.7","14,183.5","14,105.7","","-0.21%"
"07/31/2008","14,188.2","14,203.1","14,280.0","14,155.9","","-0.16%"
"07/30/2008","14,211.4","14,208.6","14,247.8","14,149.3","","-0.08%"
"07/29/2008","14,222.3","14,346.8","14,394.0","14,180.3","","-0.93%"
"07/28/2008","14,356.2","14,312.8","14,379.0","14,291.2","","0.18%"
"07/25/2008","14,330.7","14,306.6","14,379.9","14,281.8","","0.10%"
"07/24/2008","14,315.8","14,329.6","14,350.5","14,262.8","","-0.20%"
"07/23/2008","14,343.8","14,437.7","14,453.3","14,316.8","","-0.67%"
"07/22/2008","14,440.6","14,565.7","14,619.6","14,405.7","","-0.93%"
