"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2008","5.2902","5.2790","5.3664","5.2346","","0.08%"
"12/30/2008","5.2859","5.3825","5.4619","5.2657","","-2.07%"
"12/29/2008","5.3978","5.3906","5.5725","5.3773","","-0.02%"
"12/26/2008","5.3990","5.4091","5.4750","5.3837","","-0.36%"
"12/25/2008","5.4184","5.4355","5.4600","5.3742","","-0.34%"
"12/24/2008","5.4369","5.3445","5.4453","5.3360","","1.41%"
"12/23/2008","5.3613","5.3534","5.3947","5.3151","","-0.03%"
"12/22/2008","5.3627","5.2084","5.4173","5.2006","","2.87%"
"12/19/2008","5.2129","5.2952","5.3591","5.1600","","-1.39%"
"12/18/2008","5.2866","5.3403","5.4070","5.2652","","-1.09%"
"12/17/2008","5.3446","5.3458","5.4083","5.2229","","-0.47%"
"12/16/2008","5.3697","5.2716","5.3860","5.1957","","1.65%"
"12/15/2008","5.2827","5.1864","5.2949","5.1767","","1.69%"
"12/12/2008","5.1951","5.1829","5.2576","5.1374","","0.06%"
"12/11/2008","5.1919","5.0885","5.2117","5.0772","","1.91%"
"12/10/2008","5.0946","5.0667","5.1166","5.0277","","0.56%"
"12/09/2008","5.0663","5.0987","5.1084","5.0322","","-0.58%"
"12/08/2008","5.0961","5.0518","5.1199","5.0315","","0.22%"
"12/05/2008","5.0850","5.0501","5.1022","5.0170","","0.69%"
"12/04/2008","5.0504","5.0651","5.1070","4.9509","","-0.49%"
"12/03/2008","5.0754","5.0454","5.0838","5.0146","","0.47%"
"12/02/2008","5.0515","5.0410","5.0737","4.9674","","0.03%"
"12/01/2008","5.0501","5.0506","5.0836","4.9232","","1.13%"
"11/28/2008","4.9939","5.0222","5.1019","4.9399","","-0.56%"
"11/27/2008","5.0221","4.9825","5.0773","4.9614","","0.64%"
"11/26/2008","4.9901","5.1298","5.1463","4.9478","","-2.79%"
"11/25/2008","5.1335","5.1605","5.1783","5.0675","","-0.52%"
"11/24/2008","5.1601","5.0608","5.1669","5.0034","","2.93%"
"11/21/2008","5.0133","5.0103","5.0667","4.9491","","-0.12%"
"11/20/2008","5.0195","4.9695","5.1277","4.9531","","0.75%"
"11/19/2008","4.9823","4.9742","5.1071","4.9570","","-0.07%"
