"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2008","67.9705","67.6010","68.6085","67.0240","","0.44%"
"12/30/2008","67.6745","67.2940","68.9165","67.1540","","0.27%"
"12/29/2008","67.4920","68.0790","69.8140","67.4050","","-0.92%"
"12/26/2008","68.1165","66.5000","68.3925","66.3540","","2.31%"
"12/25/2008","66.5805","66.8790","66.9545","66.3490","","-0.49%"
"12/24/2008","66.9065","67.8130","68.7155","66.6200","","-1.60%"
"12/23/2008","67.9930","66.4790","68.4890","66.4410","","2.19%"
"12/22/2008","66.5360","65.6240","67.6680","65.1700","","1.43%"
"12/19/2008","65.6000","66.5860","67.6330","65.1150","","-1.36%"
"12/18/2008","66.5025","68.3560","69.1955","66.3010","","-2.71%"
"12/17/2008","68.3545","66.7520","68.5925","66.0910","","2.03%"
"12/16/2008","66.9935","65.2250","67.2075","64.9550","","2.56%"
"12/15/2008","65.3210","64.7360","65.6250","64.2220","","0.73%"
"12/12/2008","64.8445","64.3380","65.5495","63.8580","","0.69%"
"12/11/2008","64.4030","63.3780","64.6490","62.8660","","1.54%"
"12/10/2008","63.4255","63.5760","63.8965","62.7430","","-0.26%"
"12/09/2008","63.5940","64.0580","64.2040","62.8870","","-0.69%"
"12/08/2008","64.0385","62.8520","64.1715","62.7150","","1.59%"
"12/05/2008","63.0380","63.6570","63.7270","62.3930","","-0.91%"
"12/04/2008","63.6145","63.4180","64.0215","62.3480","","0.20%"
"12/03/2008","63.4900","63.6620","63.7890","62.7660","","-0.38%"
"12/02/2008","63.7305","62.8710","64.0105","62.4840","","1.21%"
"12/01/2008","62.9675","62.9730","63.7895","62.2510","","0.02%"
"11/28/2008","62.9555","62.9410","64.8495","62.6130","","0.04%"
"11/27/2008","62.9315","63.5770","63.7885","62.7120","","-1.08%"
"11/26/2008","63.6170","64.9750","65.0410","63.0390","","-2.13%"
"11/25/2008","65.0005","64.5570","65.2355","63.5670","","0.75%"
"11/24/2008","64.5150","62.3530","64.5430","62.0880","","3.47%"
"11/21/2008","62.3525","62.4420","63.2995","61.8530","","-0.32%"
"11/20/2008","62.5520","62.3100","63.3530","61.8930","","0.20%"
"11/19/2008","62.4275","62.4420","63.9025","61.9780","","-0.20%"
"11/18/2008","62.5525","62.0110","62.9145","61.5460","","0.79%"
"11/17/2008","62.0600","61.1310","62.9000","60.7810","","0.43%"
"11/14/2008","61.7925","62.6220","63.1175","61.4050","","-1.54%"
"11/13/2008","62.7575","61.4970","63.0025","60.4360","","2.17%"
"11/12/2008","61.4225","60.0370","62.2305","59.4220","","2.33%"
"11/11/2008","60.0260","60.3260","61.5010","59.6620","","-0.37%"
"11/10/2008","60.2495","60.8600","61.2655","60.1890","","-0.45%"
"11/07/2008","60.5215","60.5170","61.3135","59.7630","","0.02%"
"11/06/2008","60.5105","61.2960","61.7065","60.1060","","-1.32%"
"11/05/2008","61.3190","61.3950","62.0540","60.1510","","-0.43%"
"11/04/2008","61.5835","61.2600","61.9595","60.6170","","0.36%"
"11/03/2008","61.3615","62.9140","63.1915","61.0810","","-2.30%"
"10/31/2008","62.8055","63.2470","63.6535","62.2470","","-1.10%"
"10/30/2008","63.5055","64.0230","65.5635","62.9810","","-0.78%"
"10/29/2008","64.0040","63.2360","64.1670","62.1860","","1.48%"
"10/28/2008","63.0705","62.0780","63.1895","61.0140","","1.67%"
"10/27/2008","62.0320","62.4390","63.2370","61.7020","","-1.27%"
"10/24/2008","62.8295","64.4370","64.4845","62.4180","","-2.56%"
"10/23/2008","64.4800","63.2340","64.6040","62.4350","","1.80%"
"10/22/2008","63.3375","63.7750","63.8835","62.9340","","-0.72%"
"10/21/2008","63.7980","64.9490","65.3690","63.7310","","-1.93%"
"10/20/2008","65.0545","65.2820","66.0855","64.7440","","-0.41%"
"10/17/2008","65.3220","65.6210","65.9450","64.6320","","-0.57%"
"10/16/2008","65.6950","65.1300","66.1300","64.5190","","0.86%"
"10/15/2008","65.1340","65.2760","66.3070","64.4040","","-0.22%"
"10/14/2008","65.2800","65.3680","66.2110","64.9780","","-0.23%"
"10/13/2008","65.4320","65.5580","65.9180","64.6960","","0.86%"
"10/10/2008","64.8770","65.1680","66.9150","64.0980","","-0.45%"
"10/09/2008","65.1710","65.2100","65.5940","64.4320","","-0.20%"
"10/08/2008","65.3025","65.3080","66.8325","64.4280","","0.07%"
"10/07/2008","65.2580","64.4130","66.0390","63.7790","","1.28%"
"10/06/2008","64.4305","63.9060","65.1225","63.3360","","-0.03%"
"10/03/2008","64.4480","63.8440","65.7370","63.4890","","0.93%"
"10/02/2008","63.8530","65.1700","65.1970","63.5060","","-2.08%"
"10/01/2008","65.2115","66.1050","66.7405","64.9370","","-1.36%"
"09/30/2008","66.1125","67.0150","67.5555","65.0670","","-1.40%"
"09/29/2008","67.0505","67.4990","68.0875","66.6990","","-1.38%"
"09/26/2008","67.9865","67.2000","68.5765","66.8340","","1.12%"
"09/25/2008","67.2355","66.9480","68.8675","66.6590","","0.29%"
"09/24/2008","67.0440","66.7770","67.7990","66.2500","","0.35%"
"09/23/2008","66.8100","67.0230","67.9380","66.5770","","-0.34%"
"09/22/2008","67.0410","66.3500","67.3350","65.6400","","1.16%"
"09/19/2008","66.2690","66.4060","66.6340","64.8910","","-0.35%"
"09/18/2008","66.4995","66.0870","67.9455","65.7910","","0.77%"
"09/17/2008","65.9905","66.0260","66.4705","65.0670","","-0.21%"
"09/16/2008","66.1310","65.0630","67.0240","64.8030","","1.63%"
"09/15/2008","65.0705","65.4100","66.4215","64.6480","","0.05%"
"09/12/2008","65.0385","63.7080","65.0565","63.2460","","2.01%"
"09/11/2008","63.7580","62.9300","63.8170","62.2690","","1.17%"
"09/10/2008","63.0235","63.1190","63.9865","62.6660","","-0.28%"
"09/09/2008","63.1995","62.8300","63.7125","62.1070","","0.54%"
"09/08/2008","62.8570","64.0720","64.1290","62.6200","","-1.37%"
"09/05/2008","63.7280","63.0670","64.0610","62.6900","","0.95%"
"09/04/2008","63.1295","63.6880","64.6785","63.0010","","-0.87%"
"09/03/2008","63.6830","64.3700","64.4620","63.2180","","-1.09%"
"09/02/2008","64.3870","64.4910","64.6650","63.8050","","-0.22%"
"09/01/2008","64.5265","64.4640","64.7895","63.5110","","0.24%"
"08/29/2008","64.3750","64.2520","64.7780","63.9280","","0.19%"
"08/28/2008","64.2510","64.2870","64.8050","64.0310","","0.02%"
"08/27/2008","64.2375","64.0680","64.6775","63.8560","","0.19%"
"08/26/2008","64.1155","64.4240","64.9165","63.7180","","-0.51%"
"08/25/2008","64.4470","64.0490","64.8130","63.4320","","0.54%"
"08/22/2008","64.0985","64.6160","64.8095","63.9230","","-0.93%"
"08/21/2008","64.7005","64.3000","64.7165","63.9620","","0.57%"
"08/20/2008","64.3335","64.3340","64.8055","63.7960","","-0.03%"
"08/19/2008","64.3510","63.8310","64.3900","63.3800","","0.66%"
"08/18/2008","63.9310","62.8350","64.2540","62.6050","","1.67%"
"08/15/2008","62.8815","63.4940","63.5965","62.7080","","-1.07%"
"08/14/2008","63.5625","63.4890","64.2865","62.9000","","0.09%"
"08/13/2008","63.5080","63.0290","63.9590","62.6380","","0.68%"
"08/12/2008","63.0820","62.6720","63.3640","62.2440","","0.57%"
"08/11/2008","62.7245","62.6780","63.4625","62.4660","","-0.43%"
"08/08/2008","62.9930","64.3130","64.3890","62.9380","","-2.10%"
"08/07/2008","64.3415","64.7190","65.1295","64.2630","","-0.63%"
"08/06/2008","64.7470","65.1220","65.2170","64.6600","","-0.69%"
"08/05/2008","65.1940","65.9900","66.0540","65.1010","","-1.27%"
"08/04/2008","66.0350","65.7950","66.3540","65.7050","","0.36%"
"08/01/2008","65.7975","66.3500","66.3785","65.6120","","-0.72%"
"07/31/2008","66.2720","65.8440","66.6920","65.5260","","0.61%"
"07/30/2008","65.8680","66.3210","66.4140","65.7190","","-0.75%"
"07/29/2008","66.3645","66.9180","67.3705","66.2080","","-0.91%"
"07/28/2008","66.9755","66.1710","67.0935","65.7990","","1.12%"
"07/25/2008","66.2330","65.9600","66.7170","65.5880","","0.36%"
"07/24/2008","65.9960","65.9470","66.2220","65.5120","","-0.01%"
"07/23/2008","66.0000","67.1120","67.1480","65.8880","","-1.67%"
"07/22/2008","67.1215","67.9320","68.2955","66.9630","","-1.30%"
"07/21/2008","68.0040","67.6360","68.0280","67.3880","","0.41%"
"07/18/2008","67.7265","67.7210","68.0885","67.3150","","-0.06%"
"07/17/2008","67.7690","68.0660","68.3310","67.4050","","-0.47%"
"07/16/2008","68.0900","68.5140","68.8710","67.8570","","-0.64%"
"07/15/2008","68.5310","68.2040","69.3040","67.7480","","0.40%"
"07/14/2008","68.2610","68.3190","68.3800","67.6210","","0.09%"
"07/11/2008","68.1995","67.6430","68.2735","67.1900","","0.80%"
"07/10/2008","67.6590","67.6730","68.0450","67.3440","","-0.08%"
"07/09/2008","67.7105","67.6930","67.9635","67.3220","","-0.04%"
"07/08/2008","67.7385","67.9080","68.2625","67.4420","","-0.26%"
"07/07/2008","67.9150","67.7080","68.1320","67.1270","","0.21%"
"07/04/2008","67.7715","67.7440","68.0545","67.4040","","0.00%"
"07/03/2008","67.7720","68.4010","68.9270","67.6910","","-0.92%"
"07/02/2008","68.4015","68.2730","68.7475","67.9390","","0.18%"
