"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2008","126.69","126.89","127.78","125.29","","-0.28%"
"12/30/2008","127.05","126.37","128.17","126.15","","0.36%"
"12/29/2008","126.59","127.51","129.82","126.34","","-0.73%"
"12/26/2008","127.52","126.61","127.78","126.44","","0.64%"
"12/25/2008","126.71","126.68","126.96","126.27","","0.00%"
"12/24/2008","126.71","126.70","126.92","125.93","","-0.18%"
"12/23/2008","126.94","125.71","127.03","125.57","","0.96%"
"12/22/2008","125.73","124.14","126.69","123.94","","1.17%"
"12/19/2008","124.28","127.33","128.29","123.64","","-2.31%"
"12/18/2008","127.22","125.68","131.07","125.59","","1.11%"
"12/17/2008","125.82","125.02","126.81","124.17","","0.29%"
"12/16/2008","125.46","124.02","125.54","122.51","","0.88%"
"12/15/2008","124.37","122.05","124.64","121.59","","2.06%"
"12/12/2008","121.86","122.04","122.56","117.70","","-0.50%"
"12/11/2008","122.47","120.67","122.81","120.21","","1.55%"
"12/10/2008","120.60","119.14","121.50","118.96","","1.40%"
"12/09/2008","118.93","120.23","120.39","118.34","","-1.03%"
"12/08/2008","120.17","118.14","121.04","117.85","","1.58%"
"12/05/2008","118.30","117.93","118.78","115.83","","0.40%"
"12/04/2008","117.83","118.49","119.30","116.31","","-0.75%"
"12/03/2008","118.72","118.59","119.32","116.76","","0.07%"
"12/02/2008","118.64","117.45","119.50","116.49","","0.80%"
"12/01/2008","117.70","121.32","121.47","117.26","","-2.93%"
"11/28/2008","121.25","123.05","123.52","120.43","","-1.45%"
"11/27/2008","123.03","123.08","123.72","122.41","","-0.13%"
"11/26/2008","123.19","124.40","124.63","121.89","","-0.98%"
"11/25/2008","124.41","125.53","126.24","122.58","","-0.75%"
"11/24/2008","125.35","120.63","125.51","119.48","","3.93%"
"11/21/2008","120.61","116.60","120.77","116.43","","2.93%"
"11/20/2008","117.18","119.83","121.19","116.75","","-2.46%"
"11/19/2008","120.13","122.27","124.32","119.77","","-1.91%"
"11/18/2008","122.47","122.02","123.61","120.93","","0.46%"
"11/17/2008","121.91","120.19","123.89","120.11","","-0.85%"
"11/14/2008","122.96","124.79","125.76","121.31","","-1.55%"
"11/13/2008","124.89","118.71","126.07","117.61","","5.55%"
"11/12/2008","118.32","122.35","123.87","118.01","","-3.27%"
"11/11/2008","122.32","124.99","125.52","121.79","","-1.96%"
"11/10/2008","124.76","127.22","128.47","124.16","","-0.44%"
"11/07/2008","125.31","124.14","126.38","122.40","","0.90%"
"11/06/2008","124.19","127.28","127.49","123.95","","-2.72%"
"11/05/2008","127.66","129.40","130.20","126.00","","-1.72%"
"11/04/2008","129.89","125.25","131.03","123.37","","3.63%"
"11/03/2008","125.34","125.69","128.50","124.68","","-0.03%"
"10/31/2008","125.38","126.70","127.59","122.16","","-1.50%"
"10/30/2008","127.29","126.27","131.12","124.71","","0.86%"
"10/29/2008","126.20","126.00","127.33","121.36","","0.41%"
"10/28/2008","125.68","115.62","125.93","114.35","","8.43%"
"10/27/2008","115.91","116.26","119.39","113.58","","-2.63%"
"10/24/2008","119.04","127.10","127.22","113.76","","-6.25%"
"10/23/2008","126.97","125.48","127.39","123.08","","1.20%"
"10/22/2008","125.47","131.17","131.52","124.60","","-4.08%"
"10/21/2008","130.81","136.07","136.43","130.59","","-3.82%"
"10/20/2008","136.01","136.29","138.59","134.77","","-0.23%"
"10/17/2008","136.33","137.02","137.45","134.77","","-0.51%"
"10/16/2008","137.03","134.25","137.25","133.34","","2.15%"
"10/15/2008","134.14","139.20","139.38","134.07","","-3.62%"
"10/14/2008","139.18","138.62","141.76","138.43","","0.33%"
"10/13/2008","138.72","136.88","138.90","134.15","","2.73%"
"10/10/2008","135.04","135.19","136.41","132.17","","-0.11%"
"10/09/2008","135.19","135.08","139.75","134.99","","-0.01%"
"10/08/2008","135.20","138.55","138.83","134.15","","-1.85%"
"10/07/2008","137.75","136.67","141.12","136.59","","0.67%"
"10/06/2008","136.83","143.45","143.75","134.96","","-5.66%"
"10/03/2008","145.04","145.50","146.87","143.93","","-0.31%"
"10/02/2008","145.49","148.36","148.73","144.80","","-1.86%"
"10/01/2008","148.24","149.70","150.67","147.46","","-1.01%"
"09/30/2008","149.75","149.94","151.38","148.48","","-0.21%"
"09/29/2008","150.07","154.26","155.12","149.94","","-3.12%"
"09/26/2008","154.91","155.56","155.83","153.41","","-0.44%"
"09/25/2008","155.59","155.18","156.36","155.03","","0.18%"
"09/24/2008","155.31","154.81","156.25","154.47","","0.48%"
"09/23/2008","154.57","155.94","156.32","154.39","","-0.87%"
"09/22/2008","155.92","154.78","156.88","153.77","","0.31%"
"09/19/2008","155.44","151.26","155.60","150.71","","2.73%"
"09/18/2008","151.31","149.40","152.03","149.09","","1.54%"
"09/17/2008","149.01","148.55","151.60","147.40","","0.09%"
"09/16/2008","148.88","149.14","150.56","146.97","","-0.10%"
"09/15/2008","149.03","151.56","152.96","148.49","","-2.97%"
"09/12/2008","153.59","150.17","153.61","149.52","","2.26%"
"09/11/2008","150.19","150.52","150.77","147.45","","-0.15%"
"09/10/2008","150.41","150.75","152.52","150.11","","-0.57%"
"09/09/2008","151.27","152.69","153.54","150.59","","-1.15%"
"09/08/2008","153.03","156.73","157.03","151.60","","-0.49%"
