"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2008","1,765.67","1,768.66","1,780.37","1,737.09","","-0.36%"
"12/30/2008","1,772.12","1,759.73","1,791.23","1,746.86","","0.42%"
"12/29/2008","1,764.79","1,826.25","1,834.79","1,762.64","","-3.42%"
"12/26/2008","1,827.30","1,826.80","1,834.97","1,786.13","","-0.23%"
"12/25/2008","1,831.55","1,827.19","1,836.11","1,822.63","","0.08%"
"12/24/2008","1,830.11","1,854.88","1,874.12","1,816.79","","-1.96%"
"12/23/2008","1,866.79","1,822.57","1,893.94","1,813.75","","2.27%"
"12/22/2008","1,825.27","1,785.83","1,845.42","1,783.13","","1.91%"
"12/19/2008","1,791.06","1,830.61","1,882.12","1,776.60","","-2.00%"
"12/18/2008","1,827.60","1,907.35","1,910.96","1,822.77","","-4.23%"
"12/17/2008","1,908.33","1,893.50","1,912.97","1,834.43","","0.33%"
"12/16/2008","1,902.12","1,864.02","1,908.86","1,820.77","","1.75%"
"12/15/2008","1,869.43","1,829.94","1,875.46","1,780.93","","1.94%"
"12/12/2008","1,833.84","1,808.39","1,845.23","1,766.63","","1.20%"
"12/11/2008","1,812.09","1,812.85","1,818.59","1,740.84","","-0.13%"
"12/10/2008","1,814.43","1,847.85","1,871.58","1,786.61","","-1.95%"
"12/09/2008","1,850.43","1,874.44","1,881.20","1,838.83","","-1.32%"
"12/08/2008","1,875.22","1,877.91","1,886.31","1,837.46","","-0.22%"
"12/05/2008","1,879.32","1,893.46","1,907.44","1,862.29","","-0.90%"
"12/04/2008","1,896.37","1,864.69","1,909.35","1,847.14","","1.52%"
"12/03/2008","1,868.03","1,859.77","1,870.82","1,816.97","","0.33%"
"12/02/2008","1,861.82","1,815.37","1,870.65","1,810.77","","2.35%"
"12/01/2008","1,818.99","1,865.68","1,871.90","1,810.77","","-2.48%"
"11/28/2008","1,865.34","1,903.71","1,909.70","1,856.14","","-1.98%"
"11/27/2008","1,903.08","1,903.94","1,931.26","1,883.56","","-0.13%"
"11/26/2008","1,905.61","1,961.28","1,970.12","1,893.60","","-2.89%"
"11/25/2008","1,962.38","1,949.26","1,965.23","1,897.22","","0.54%"
"11/24/2008","1,951.80","1,879.92","1,954.36","1,857.22","","3.78%"
"11/21/2008","1,880.70","1,862.67","1,900.34","1,852.69","","0.79%"
"11/20/2008","1,866.03","1,807.66","1,896.90","1,803.18","","3.00%"
"11/19/2008","1,811.67","1,825.46","1,854.04","1,793.62","","-0.96%"
"11/18/2008","1,829.16","1,779.03","1,839.72","1,769.19","","2.68%"
"11/17/2008","1,781.41","1,753.60","1,798.57","1,750.75","","0.65%"
"11/14/2008","1,769.89","1,776.42","1,792.13","1,752.74","","-0.53%"
"11/13/2008","1,779.33","1,693.40","1,788.51","1,684.32","","5.10%"
"11/12/2008","1,693.00","1,661.57","1,720.64","1,655.07","","1.68%"
"11/11/2008","1,665.10","1,693.09","1,736.87","1,658.66","","-1.68%"
"11/10/2008","1,693.56","1,695.18","1,723.67","1,674.04","","0.26%"
"11/07/2008","1,689.19","1,691.58","1,741.41","1,648.15","","-0.10%"
"11/06/2008","1,690.86","1,641.00","1,717.48","1,634.03","","2.97%"
"11/05/2008","1,642.12","1,645.22","1,655.04","1,606.78","","-0.77%"
"11/04/2008","1,654.79","1,594.03","1,655.17","1,552.26","","3.58%"
"11/03/2008","1,597.57","1,624.48","1,684.87","1,561.03","","-2.17%"
"10/31/2008","1,633.01","1,590.16","1,674.35","1,551.67","","1.68%"
"10/30/2008","1,606.10","1,799.31","1,873.18","1,583.48","","-10.77%"
"10/29/2008","1,799.91","1,856.27","1,869.20","1,728.28","","-3.24%"
"10/28/2008","1,860.19","1,818.25","1,864.24","1,789.11","","2.23%"
"10/27/2008","1,819.60","1,787.46","1,838.54","1,703.85","","0.80%"
"10/24/2008","1,805.23","1,818.17","1,894.02","1,754.14","","-1.29%"
"10/23/2008","1,828.81","1,746.67","1,843.58","1,724.09","","4.58%"
"10/22/2008","1,748.70","1,723.00","1,836.95","1,586.72","","1.45%"
"10/21/2008","1,723.65","1,743.69","1,782.19","1,640.70","","-1.50%"
"10/20/2008","1,749.91","1,787.29","1,797.16","1,701.16","","-2.21%"
"10/17/2008","1,789.43","1,846.09","1,852.35","1,761.27","","-3.34%"
"10/16/2008","1,851.24","1,666.29","1,861.33","1,661.22","","11.03%"
"10/15/2008","1,667.30","1,641.91","1,707.20","1,628.81","","1.43%"
"10/14/2008","1,643.82","1,682.99","1,693.08","1,603.50","","-2.50%"
"10/13/2008","1,685.89","1,771.35","1,782.62","1,665.73","","-3.88%"
"10/10/2008","1,754.02","1,877.05","1,975.39","1,656.31","","-6.63%"
"10/09/2008","1,878.61","1,899.74","1,996.45","1,871.82","","-1.20%"
"10/08/2008","1,901.38","1,811.54","1,919.23","1,791.24","","5.21%"
"10/07/2008","1,807.29","1,708.96","1,825.49","1,703.71","","5.59%"
"10/06/2008","1,711.63","1,667.87","1,756.45","1,661.52","","1.57%"
"10/03/2008","1,685.23","1,689.56","1,705.78","1,679.18","","-0.31%"
"10/02/2008","1,690.42","1,664.93","1,709.59","1,657.86","","1.50%"
"10/01/2008","1,665.45","1,703.90","1,704.78","1,658.99","","-2.28%"
"09/30/2008","1,704.27","1,708.18","1,770.43","1,689.79","","-0.32%"
"09/29/2008","1,709.67","1,684.00","1,738.21","1,683.42","","0.75%"
"09/26/2008","1,696.89","1,691.54","1,706.96","1,684.26","","0.20%"
"09/25/2008","1,693.55","1,685.03","1,714.59","1,683.68","","0.39%"
