"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2008","0.3864","0.3881","0.3906","0.3819","","-0.57%"
"12/30/2008","0.3886","0.3850","0.3921","0.3834","","0.65%"
"12/29/2008","0.3861","0.3878","0.3963","0.3855","","-0.54%"
"12/26/2008","0.3882","0.3855","0.3896","0.3855","","0.60%"
"12/25/2008","0.3859","0.3867","0.3870","0.3846","","-0.26%"
"12/24/2008","0.3869","0.3846","0.3871","0.3836","","0.36%"
"12/23/2008","0.3855","0.3826","0.3865","0.3824","","0.39%"
"12/22/2008","0.3840","0.3831","0.3891","0.3819","","0.23%"
"12/19/2008","0.3831","0.3909","0.3927","0.3800","","-1.90%"
"12/18/2008","0.3905","0.3927","0.4031","0.3892","","-0.59%"
"12/17/2008","0.3928","0.3838","0.3938","0.3823","","1.92%"
"12/16/2008","0.3854","0.3751","0.3863","0.3740","","2.55%"
"12/15/2008","0.3758","0.3679","0.3770","0.3674","","2.57%"
"12/12/2008","0.3664","0.3655","0.3689","0.3612","","0.11%"
"12/11/2008","0.3660","0.3576","0.3671","0.3572","","2.29%"
"12/10/2008","0.3578","0.3552","0.3595","0.3547","","0.70%"
"12/09/2008","0.3553","0.3560","0.3574","0.3519","","-0.20%"
"12/08/2008","0.3560","0.3504","0.3570","0.3502","","1.37%"
"12/05/2008","0.3512","0.3520","0.3527","0.3473","","-0.20%"
"12/04/2008","0.3519","0.3496","0.3540","0.3461","","0.46%"
"12/03/2008","0.3503","0.3496","0.3508","0.3465","","0.11%"
"12/02/2008","0.3499","0.3465","0.3513","0.3454","","0.66%"
"12/01/2008","0.3476","0.3464","0.3507","0.3423","","0.23%"
"11/28/2008","0.3468","0.3512","0.3532","0.3437","","-1.34%"
"11/27/2008","0.3515","0.3509","0.3541","0.3500","","-0.06%"
"11/26/2008","0.3517","0.3545","0.3555","0.3490","","-0.99%"
"11/25/2008","0.3552","0.3514","0.3563","0.3481","","1.00%"
"11/24/2008","0.3517","0.3422","0.3521","0.3420","","2.24%"
"11/21/2008","0.3440","0.3392","0.3451","0.3382","","0.97%"
"11/20/2008","0.3407","0.3397","0.3444","0.3385","","0.06%"
"11/19/2008","0.3405","0.3422","0.3476","0.3395","","-0.70%"
"11/18/2008","0.3429","0.3428","0.3447","0.3408","","-0.06%"
"11/17/2008","0.3431","0.3396","0.3456","0.3391","","0.00%"
"11/14/2008","0.3431","0.3458","0.3473","0.3416","","-1.04%"
"11/13/2008","0.3467","0.3372","0.3483","0.3350","","2.91%"
"11/12/2008","0.3369","0.3385","0.3415","0.3363","","-0.53%"
"11/11/2008","0.3387","0.3441","0.3456","0.3376","","-1.51%"
"11/10/2008","0.3439","0.3459","0.3493","0.3431","","-0.06%"
"11/07/2008","0.3441","0.3426","0.3476","0.3409","","0.32%"
"11/06/2008","0.3430","0.3492","0.3501","0.3421","","-1.92%"
"11/05/2008","0.3497","0.3498","0.3542","0.3446","","-0.65%"
"11/04/2008","0.3520","0.3422","0.3520","0.3393","","2.36%"
"11/03/2008","0.3439","0.3439","0.3488","0.3413","","-0.26%"
"10/31/2008","0.3448","0.3437","0.3483","0.3394","","-0.09%"
"10/30/2008","0.3451","0.3472","0.3558","0.3424","","-0.86%"
"10/29/2008","0.3481","0.3432","0.3501","0.3388","","1.72%"
"10/28/2008","0.3422","0.3350","0.3429","0.3311","","2.03%"
"10/27/2008","0.3354","0.3369","0.3406","0.3313","","-1.44%"
"10/24/2008","0.3403","0.3491","0.3495","0.3363","","-2.58%"
"10/23/2008","0.3493","0.3454","0.3500","0.3429","","1.04%"
"10/22/2008","0.3457","0.3522","0.3530","0.3446","","-1.96%"
"10/21/2008","0.3526","0.3585","0.3593","0.3520","","-1.81%"
"10/20/2008","0.3591","0.3581","0.3634","0.3573","","-0.44%"
"10/17/2008","0.3607","0.3621","0.3632","0.3596","","-0.50%"
"10/16/2008","0.3625","0.3607","0.3637","0.3564","","0.53%"
"10/15/2008","0.3606","0.3643","0.3667","0.3604","","-1.07%"
"10/14/2008","0.3645","0.3626","0.3684","0.3625","","0.47%"
"10/13/2008","0.3628","0.3633","0.3657","0.3598","","0.92%"
"10/10/2008","0.3595","0.3643","0.3659","0.3552","","-1.40%"
"10/09/2008","0.3646","0.3649","0.3695","0.3632","","-0.22%"
"10/08/2008","0.3654","0.3645","0.3682","0.3620","","0.47%"
"10/07/2008","0.3637","0.3609","0.3674","0.3608","","0.64%"
"10/06/2008","0.3614","0.3652","0.3659","0.3598","","-1.74%"
"10/03/2008","0.3678","0.3687","0.3716","0.3660","","-0.30%"
"10/02/2008","0.3689","0.3742","0.3746","0.3667","","-1.34%"
"10/01/2008","0.3739","0.3769","0.3784","0.3729","","-0.82%"
"09/30/2008","0.3770","0.3843","0.3849","0.3738","","-1.98%"
"09/29/2008","0.3846","0.3882","0.3899","0.3816","","-1.64%"
"09/26/2008","0.3910","0.3908","0.3930","0.3889","","-0.08%"
"09/25/2008","0.3913","0.3887","0.3943","0.3886","","0.57%"
"09/24/2008","0.3891","0.3899","0.3929","0.3888","","-0.31%"
"09/23/2008","0.3903","0.3951","0.3963","0.3893","","-1.26%"
"09/22/2008","0.3953","0.3865","0.3972","0.3853","","2.30%"
"09/19/2008","0.3864","0.3825","0.3871","0.3785","","0.99%"
"09/18/2008","0.3826","0.3820","0.3891","0.3814","","0.21%"
"09/17/2008","0.3818","0.3777","0.3850","0.3772","","0.85%"
"09/16/2008","0.3786","0.3811","0.3823","0.3769","","-0.68%"
"09/15/2008","0.3812","0.3824","0.3872","0.3773","","0.18%"
"09/12/2008","0.3805","0.3753","0.3807","0.3743","","1.28%"
"09/11/2008","0.3757","0.3744","0.3762","0.3719","","0.24%"
"09/10/2008","0.3748","0.3775","0.3795","0.3743","","-0.90%"
"09/09/2008","0.3782","0.3788","0.3806","0.3756","","-0.26%"
"09/08/2008","0.3792","0.3849","0.3861","0.3771","","-0.84%"
"09/05/2008","0.3824","0.3811","0.3840","0.3801","","0.21%"
"09/04/2008","0.3816","0.3869","0.3891","0.3806","","-1.42%"
"09/03/2008","0.3871","0.3883","0.3891","0.3845","","-0.41%"
"09/02/2008","0.3887","0.3901","0.3904","0.3868","","-0.46%"
"09/01/2008","0.3905","0.3931","0.3938","0.3895","","-0.59%"
"08/29/2008","0.3928","0.3935","0.3953","0.3916","","-0.15%"
"08/28/2008","0.3934","0.3933","0.3962","0.3925","","-0.10%"
"08/27/2008","0.3938","0.3913","0.3957","0.3910","","0.51%"
"08/26/2008","0.3918","0.3945","0.3953","0.3899","","-0.79%"
"08/25/2008","0.3949","0.3959","0.3965","0.3931","","-0.40%"
"08/22/2008","0.3965","0.3977","0.3990","0.3952","","-0.45%"
"08/21/2008","0.3983","0.3940","0.3988","0.3937","","1.01%"
"08/20/2008","0.3943","0.3949","0.3957","0.3924","","-0.25%"
"08/19/2008","0.3953","0.3935","0.3955","0.3912","","0.28%"
"08/18/2008","0.3942","0.3948","0.3958","0.3932","","-0.23%"
"08/15/2008","0.3951","0.3974","0.3979","0.3943","","-0.70%"
"08/14/2008","0.3979","0.4003","0.4011","0.3970","","-0.65%"
"08/13/2008","0.4005","0.3986","0.4011","0.3978","","0.38%"
"08/12/2008","0.3990","0.3978","0.4001","0.3959","","0.25%"
"08/11/2008","0.3980","0.3988","0.4030","0.3977","","-0.90%"
"08/08/2008","0.4016","0.4084","0.4090","0.4011","","-1.74%"
"08/07/2008","0.4087","0.4099","0.4130","0.4082","","-0.27%"
"08/06/2008","0.4098","0.4107","0.4128","0.4095","","-0.39%"
"08/05/2008","0.4114","0.4143","0.4146","0.4105","","-0.77%"
