"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2008","19.1097","19.2803","19.5977","18.8919","","-1.24%"
"12/30/2008","19.3497","19.1137","19.5944","18.9556","","1.00%"
"12/29/2008","19.1590","18.7603","19.3377","18.7589","","1.48%"
"12/26/2008","18.8802","18.6142","18.9678","18.4368","","1.28%"
"12/25/2008","18.6407","18.5605","18.7867","18.4694","","0.12%"
"12/24/2008","18.6183","18.5636","18.7747","18.3927","","0.19%"
"12/23/2008","18.5833","18.3476","18.6611","18.2725","","1.08%"
"12/22/2008","18.3852","18.2866","18.6028","18.0638","","0.64%"
"12/19/2008","18.2674","18.7442","18.8618","18.0669","","-2.27%"
"12/18/2008","18.6908","18.8529","19.5372","18.5523","","-0.71%"
"12/17/2008","18.8248","18.3075","18.9727","18.2075","","2.63%"
"12/16/2008","18.3432","18.2109","18.6178","18.0285","","0.54%"
"12/15/2008","18.2449","18.0225","18.5091","17.9035","","1.06%"
"12/12/2008","18.0529","17.6974","18.2497","17.5440","","1.81%"
"12/11/2008","17.7317","17.4114","17.7826","17.3818","","1.84%"
"12/10/2008","17.4106","17.5196","17.6290","17.2753","","-0.59%"
"12/09/2008","17.5145","17.3920","17.6061","17.1677","","0.68%"
"12/08/2008","17.3957","17.5514","17.7119","17.1626","","0.34%"
"12/05/2008","17.3366","17.3588","17.5750","17.1046","","-0.20%"
"12/04/2008","17.3706","17.2753","17.4415","16.9402","","0.42%"
"12/03/2008","17.2974","17.2489","17.4096","17.0542","","0.05%"
"12/02/2008","17.2886","17.1681","17.4130","16.9593","","0.24%"
"12/01/2008","17.2471","17.0491","17.5086","16.9434","","0.98%"
"11/28/2008","17.0801","17.0307","17.1648","16.7042","","0.31%"
"11/27/2008","17.0277","16.9464","17.3997","16.8123","","0.34%"
"11/26/2008","16.9703","17.2647","17.8233","16.9014","","-1.71%"
"11/25/2008","17.2660","17.3480","17.4418","17.0606","","-0.28%"
"11/24/2008","17.3150","17.3288","17.5926","16.9489","","0.30%"
"11/21/2008","17.2634","17.3056","17.7073","17.0018","","-0.73%"
"11/20/2008","17.3912","16.9215","17.4807","16.5488","","4.09%"
"11/19/2008","16.7081","16.5703","17.0271","16.4065","","0.64%"
"11/18/2008","16.6023","16.6345","16.7881","16.4777","","-0.29%"
"11/17/2008","16.6507","16.3417","16.7014","16.1776","","1.24%"
"11/14/2008","16.4468","16.5102","16.6240","16.2953","","-0.91%"
"11/13/2008","16.5982","16.2932","16.6762","16.0763","","1.75%"
"11/12/2008","16.3122","16.2462","16.5127","16.1499","","0.40%"
"11/11/2008","16.2467","16.3328","16.5160","16.1270","","-0.38%"
"11/10/2008","16.3085","16.2007","16.4391","16.1153","","-0.15%"
"11/07/2008","16.3323","16.5593","16.7383","16.1875","","-1.55%"
"11/06/2008","16.5894","16.5085","16.8798","16.1999","","0.39%"
"11/05/2008","16.5257","16.2140","16.6671","16.0145","","1.54%"
"11/04/2008","16.2752","16.1329","16.3949","15.9776","","0.67%"
"11/03/2008","16.1667","16.4073","16.5846","16.0857","","-0.96%"
"10/31/2008","16.3237","16.2140","16.5799","15.9448","","0.27%"
"10/30/2008","16.2800","16.6859","17.0579","16.0975","","-2.68%"
"10/29/2008","16.7275","16.6568","17.0065","16.3396","","0.95%"
"10/28/2008","16.5709","16.9009","17.0257","16.0977","","-2.06%"
"10/27/2008","16.9197","17.0364","17.1585","16.1017","","-0.31%"
"10/24/2008","16.9730","17.3112","17.8473","16.6637","","-1.91%"
"10/23/2008","17.3030","17.7861","18.3965","16.8455","","-3.01%"
"10/22/2008","17.8394","17.2790","17.9050","16.7959","","3.14%"
"10/21/2008","17.2966","17.3070","17.5442","16.9170","","-0.42%"
"10/20/2008","17.3698","17.1162","17.4214","16.8916","","0.59%"
"10/17/2008","17.2675","17.4499","17.7586","16.8951","","-1.12%"
"10/16/2008","17.4631","17.8330","18.3629","17.1113","","-1.88%"
"10/15/2008","17.7976","16.8127","17.9875","16.7065","","5.83%"
"10/14/2008","16.8176","16.5322","17.3642","16.2027","","1.51%"
"10/13/2008","16.5679","17.5575","17.5917","16.4618","","-6.25%"
"10/10/2008","17.6730","18.3533","19.0544","17.0594","","-4.15%"
"10/09/2008","18.4388","16.8201","18.4743","16.3360","","9.43%"
