"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2008","4.8275","4.8907","4.9233","4.7776","","-1.38%"
"12/30/2008","4.8952","4.8497","4.9497","4.8396","","0.64%"
"12/29/2008","4.8643","4.8901","4.9982","4.8577","","-0.60%"
"12/26/2008","4.8938","4.8699","4.9142","4.8542","","0.35%"
"12/25/2008","4.8767","4.8709","4.8888","4.8588","","0.08%"
"12/24/2008","4.8728","4.8330","4.8788","4.8243","","0.56%"
"12/23/2008","4.8457","4.8490","4.8900","4.8261","","-0.20%"
"12/22/2008","4.8556","4.8309","4.9186","4.8236","","0.51%"
"12/19/2008","4.8308","4.9291","4.9711","4.7935","","-1.84%"
"12/18/2008","4.9213","5.0824","5.0934","4.9080","","-3.26%"
"12/17/2008","5.0871","4.9958","5.0973","4.9455","","1.42%"
"12/16/2008","5.0160","4.8761","5.0324","4.8451","","2.70%"
"12/15/2008","4.8843","4.7854","4.8848","4.7756","","1.95%"
"12/12/2008","4.7907","4.7596","4.8065","4.7032","","0.54%"
"12/11/2008","4.7652","4.7026","4.7823","4.6502","","1.26%"
"12/10/2008","4.7060","4.6713","4.7258","4.6611","","0.76%"
"12/09/2008","4.6706","4.7088","4.7174","4.6254","","-0.78%"
"12/08/2008","4.7075","4.6248","4.7166","4.6223","","1.60%"
"12/05/2008","4.6333","4.6512","4.6585","4.5892","","-0.35%"
"12/04/2008","4.6498","4.6217","4.6764","4.5650","","0.49%"
"12/03/2008","4.6273","4.6234","4.6392","4.5842","","0.00%"
"12/02/2008","4.6274","4.5744","4.6474","4.5631","","0.96%"
"12/01/2008","4.5832","4.6019","4.6096","4.5628","","-0.40%"
"11/28/2008","4.6014","4.6644","4.6983","4.5784","","-1.32%"
"11/27/2008","4.6631","4.6655","4.6913","4.6474","","-0.14%"
"11/26/2008","4.6696","4.7275","4.7338","4.6401","","-1.28%"
"11/25/2008","4.7300","4.6886","4.7369","4.6334","","0.93%"
"11/24/2008","4.6864","4.5572","4.6922","4.5466","","2.82%"
"11/21/2008","4.5580","4.5085","4.5794","4.4980","","0.95%"
"11/20/2008","4.5151","4.5107","4.5635","4.4995","","-0.12%"
"11/19/2008","4.5205","4.5416","4.6265","4.5158","","-0.63%"
"11/18/2008","4.5491","4.5497","4.5757","4.5247","","-0.10%"
"11/17/2008","4.5537","4.5027","4.5876","4.4963","","0.00%"
"11/14/2008","4.5537","4.5970","4.6181","4.5322","","-1.38%"
"11/13/2008","4.6176","4.4882","4.6258","4.4544","","3.07%"
"11/12/2008","4.4802","4.4881","4.5349","4.4705","","-0.18%"
"11/11/2008","4.4885","4.5213","4.5896","4.4802","","-0.64%"
"11/10/2008","4.5172","4.5504","4.5870","4.5078","","-0.21%"
"11/07/2008","4.5267","4.5010","4.5650","4.4875","","0.62%"
"11/06/2008","4.4988","4.5655","4.5874","4.4942","","-1.50%"
"11/05/2008","4.5673","4.5755","4.6241","4.5079","","-0.67%"
"11/04/2008","4.5981","4.4448","4.5992","4.4248","","3.27%"
"11/03/2008","4.4526","4.5236","4.5402","4.4318","","-1.52%"
"10/31/2008","4.5215","4.5378","4.5874","4.4911","","-0.84%"
"10/30/2008","4.5597","4.6412","4.7141","4.5188","","-1.66%"
"10/29/2008","4.6369","4.5670","4.6527","4.5112","","1.80%"
"10/28/2008","4.5548","4.4635","4.5655","4.4295","","2.08%"
"10/27/2008","4.4619","4.4903","4.5431","4.4130","","-1.30%"
"10/24/2008","4.5206","4.6327","4.6383","4.4717","","-2.49%"
"10/23/2008","4.6359","4.5466","4.6474","4.5101","","1.87%"
"10/22/2008","4.5506","4.6036","4.6132","4.5234","","-1.18%"
"10/21/2008","4.6048","4.6925","4.7065","4.6004","","-2.09%"
"10/20/2008","4.7033","4.7293","4.7660","4.6760","","-0.65%"
"10/17/2008","4.7340","4.7517","4.7670","4.7182","","-0.47%"
"10/16/2008","4.7562","4.7262","4.7745","4.6998","","0.64%"
"10/15/2008","4.7261","4.7558","4.8074","4.7220","","-0.72%"
"10/14/2008","4.7606","4.7538","4.8122","4.7375","","0.11%"
"10/13/2008","4.7552","4.7592","4.7890","4.7177","","0.92%"
"10/10/2008","4.7117","4.7633","4.7927","4.6532","","-1.13%"
"10/09/2008","4.7654","4.7654","4.8210","4.7504","","-0.04%"
"10/08/2008","4.7671","4.7593","4.8120","4.7262","","0.33%"
"10/07/2008","4.7512","4.6992","4.7990","4.6974","","0.92%"
"10/06/2008","4.7078","4.7335","4.7598","4.6842","","-1.41%"
"10/03/2008","4.7751","4.7582","4.8337","4.7427","","0.27%"
"10/02/2008","4.7621","4.8243","4.8305","4.7331","","-1.38%"
"10/01/2008","4.8288","4.8590","4.8801","4.8071","","-0.54%"
"09/30/2008","4.8551","4.9660","4.9786","4.8188","","-2.34%"
"09/29/2008","4.9713","4.9848","5.0216","4.9267","","-1.00%"
