"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2008","2.3967","2.4315","2.4546","2.3664","","-1.61%"
"12/30/2008","2.4358","2.4133","2.4634","2.4085","","0.77%"
"12/29/2008","2.4173","2.4241","2.4691","2.4141","","-0.62%"
"12/26/2008","2.4325","2.4424","2.4529","2.4231","","-0.84%"
"12/25/2008","2.4532","2.4321","2.4588","2.4266","","0.69%"
"12/24/2008","2.4364","2.4535","2.4661","2.4174","","-0.84%"
"12/23/2008","2.4570","2.4284","2.4689","2.4084","","1.12%"
"12/22/2008","2.4297","2.4223","2.4463","2.4118","","0.44%"
"12/19/2008","2.4190","2.4461","2.4675","2.4024","","-1.28%"
"12/18/2008","2.4504","2.4293","2.4638","2.3836","","0.62%"
"12/17/2008","2.4352","2.4288","2.4524","2.3982","","-0.03%"
"12/16/2008","2.4360","2.4660","2.4819","2.4107","","-1.55%"
"12/15/2008","2.4743","2.4401","2.4815","2.4275","","0.81%"
"12/12/2008","2.4545","2.4179","2.4619","2.4024","","1.23%"
"12/11/2008","2.4247","2.3932","2.4303","2.3785","","1.26%"
"12/10/2008","2.3945","2.3899","2.4106","2.3553","","-0.07%"
"12/09/2008","2.3962","2.3634","2.4038","2.3593","","1.60%"
"12/08/2008","2.3584","2.3696","2.4036","2.3522","","-0.95%"
"12/05/2008","2.3811","2.3982","2.4357","2.3689","","-0.94%"
"12/04/2008","2.4036","2.3829","2.4184","2.3472","","0.71%"
"12/03/2008","2.3866","2.3850","2.4079","2.3676","","0.25%"
"12/02/2008","2.3807","2.3796","2.4057","2.3603","","-0.13%"
"12/01/2008","2.3837","2.3260","2.3951","2.3177","","3.25%"
"11/28/2008","2.3087","2.3335","2.3456","2.3019","","-0.99%"
"11/27/2008","2.3317","2.3344","2.3605","2.3150","","0.01%"
"11/26/2008","2.3315","2.3827","2.3918","2.3152","","-2.18%"
"11/25/2008","2.3835","2.3585","2.4100","2.3335","","1.03%"
"11/24/2008","2.3591","2.3369","2.3845","2.3331","","0.40%"
"11/21/2008","2.3498","2.3825","2.4018","2.3388","","-1.63%"
"11/20/2008","2.3887","2.3041","2.4059","2.2953","","3.71%"
"11/19/2008","2.3033","2.2790","2.3179","2.2758","","0.87%"
"11/18/2008","2.2835","2.2909","2.3056","2.2781","","-0.48%"
"11/17/2008","2.2946","2.2806","2.3009","2.2518","","0.20%"
"11/14/2008","2.2900","2.2362","2.2923","2.2145","","2.76%"
"11/13/2008","2.2285","2.2283","2.2723","2.2102","","-0.11%"
"11/12/2008","2.2310","2.1859","2.2513","2.1690","","2.13%"
"11/11/2008","2.1845","2.1986","2.2085","2.1595","","-0.69%"
"11/10/2008","2.1996","2.1392","2.2081","2.1325","","1.94%"
"11/07/2008","2.1577","2.1639","2.1872","2.1425","","-0.42%"
"11/06/2008","2.1668","2.1627","2.1803","2.1221","","0.04%"
"11/05/2008","2.1659","2.1455","2.1673","2.1195","","0.73%"
"11/04/2008","2.1503","2.1354","2.1570","2.1029","","0.86%"
"11/03/2008","2.1320","2.1807","2.1952","2.1187","","-2.48%"
"10/31/2008","2.1863","2.1835","2.2073","2.1638","","0.18%"
"10/30/2008","2.1823","2.2133","2.2455","2.1730","","-1.30%"
"10/29/2008","2.2111","2.2236","2.2410","2.1764","","-0.72%"
"10/28/2008","2.2271","2.2996","2.3070","2.2230","","-3.35%"
"10/27/2008","2.3044","2.2585","2.3265","2.2393","","1.75%"
"10/24/2008","2.2648","2.1679","2.3015","2.1634","","4.20%"
"10/23/2008","2.1735","2.1607","2.2181","2.1324","","0.69%"
"10/22/2008","2.1587","2.1466","2.2085","2.1281","","0.39%"
"10/21/2008","2.1503","2.1457","2.1707","2.1259","","0.16%"
"10/20/2008","2.1469","2.1997","2.2056","2.1240","","-1.98%"
"10/17/2008","2.1903","2.1819","2.2159","2.1626","","0.63%"
"10/16/2008","2.1766","2.2607","2.2680","2.1701","","-3.89%"
"10/15/2008","2.2647","2.1995","2.2708","2.1721","","3.18%"
"10/14/2008","2.1949","2.2058","2.2365","2.1600","","-0.49%"
"10/13/2008","2.2057","2.2338","2.2842","2.1890","","-2.23%"
"10/10/2008","2.2559","2.2452","2.3022","2.2196","","0.60%"
"10/09/2008","2.2425","2.2502","2.3015","2.1919","","-1.33%"
"10/08/2008","2.2727","2.1653","2.3544","2.1611","","4.62%"
"10/07/2008","2.1723","2.1488","2.1942","2.1119","","1.77%"
"10/06/2008","2.1345","2.0698","2.1867","2.0663","","2.43%"
"10/03/2008","2.0838","2.0995","2.1065","2.0698","","-0.87%"
"10/02/2008","2.1021","2.0816","2.1057","2.0664","","0.88%"
"10/01/2008","2.0838","2.1026","2.1146","2.0684","","-0.98%"
"09/30/2008","2.1044","2.1523","2.1629","2.0887","","-2.10%"
"09/29/2008","2.1496","2.1188","2.1591","2.1059","","0.91%"
"09/26/2008","2.1303","2.1474","2.1517","2.1197","","-0.68%"
"09/25/2008","2.1448","2.1397","2.1509","2.1306","","0.23%"
"09/24/2008","2.1399","2.1516","2.1636","2.1309","","-0.63%"
"09/23/2008","2.1535","2.1447","2.1603","2.1307","","0.37%"
"09/22/2008","2.1456","2.0982","2.1498","2.0965","","2.05%"
"09/19/2008","2.1026","2.1214","2.1290","2.0890","","-0.98%"
"09/18/2008","2.1234","2.1739","2.1777","2.1161","","-2.47%"
"09/17/2008","2.1771","2.1459","2.1792","2.1273","","1.52%"
"09/16/2008","2.1444","2.1671","2.1962","2.1316","","-0.78%"
"09/15/2008","2.1613","2.1431","2.1701","2.1341","","1.48%"
"09/12/2008","2.1297","2.1330","2.1565","2.1218","","-0.22%"
"09/11/2008","2.1343","2.1376","2.1616","2.1307","","-0.13%"
"09/10/2008","2.1371","2.1194","2.1414","2.0974","","0.80%"
"09/09/2008","2.1202","2.1065","2.1284","2.0900","","0.65%"
"09/08/2008","2.1066","2.1014","2.1244","2.0935","","-1.27%"
"09/05/2008","2.1337","2.1349","2.1588","2.1232","","-0.01%"
"09/04/2008","2.1340","2.1147","2.1374","2.1014","","0.92%"
"09/03/2008","2.1145","2.1114","2.1482","2.0973","","0.09%"
"09/02/2008","2.1127","2.0971","2.1300","2.0956","","0.60%"
"09/01/2008","2.1000","2.0998","2.1092","2.0923","","0.39%"
"08/29/2008","2.0918","2.0927","2.1016","2.0836","","-0.13%"
"08/28/2008","2.0945","2.0965","2.1025","2.0833","","-0.16%"
"08/27/2008","2.0978","2.1018","2.1087","2.0879","","-0.18%"
"08/26/2008","2.1015","2.0918","2.1291","2.0907","","0.31%"
"08/25/2008","2.0951","2.0830","2.0978","2.0798","","0.39%"
"08/22/2008","2.0869","2.0660","2.0883","2.0643","","0.99%"
"08/21/2008","2.0664","2.0682","2.0812","2.0631","","-0.09%"
"08/20/2008","2.0682","2.0717","2.0764","2.0613","","-0.23%"
"08/19/2008","2.0729","2.0679","2.0813","2.0584","","0.25%"
"08/18/2008","2.0678","2.0806","2.0907","2.0533","","-0.58%"
"08/15/2008","2.0798","2.1175","2.1240","2.0717","","-1.78%"
"08/14/2008","2.1175","2.1237","2.1370","2.1119","","-0.39%"
"08/13/2008","2.1258","2.1521","2.1867","2.1148","","-1.11%"
