"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2008","4.3847","4.4181","4.4465","4.3253","","-0.83%"
"12/30/2008","4.4216","4.2948","4.4695","4.2858","","2.68%"
"12/29/2008","4.3063","4.4233","4.4917","4.3018","","-2.67%"
"12/26/2008","4.4245","4.3650","4.4440","4.3590","","1.06%"
"12/25/2008","4.3780","4.3659","4.3890","4.3550","","0.08%"
"12/24/2008","4.3746","4.3745","4.4184","4.3344","","-0.25%"
"12/23/2008","4.3856","4.3446","4.4056","4.3088","","0.83%"
"12/22/2008","4.3495","4.3267","4.3833","4.3073","","0.59%"
"12/19/2008","4.3241","4.4177","4.4723","4.2832","","-1.95%"
"12/18/2008","4.4103","4.4370","4.5537","4.3854","","-0.91%"
"12/17/2008","4.4510","4.3354","4.4917","4.2984","","2.29%"
"12/16/2008","4.3513","4.2636","4.3766","4.2228","","1.94%"
"12/15/2008","4.2684","4.1571","4.2756","4.1562","","2.60%"
"12/12/2008","4.1602","4.1451","4.1941","4.0991","","0.32%"
"12/11/2008","4.1471","4.0526","4.1871","4.0454","","2.24%"
"12/10/2008","4.0562","4.0252","4.0937","4.0018","","0.82%"
"12/09/2008","4.0231","4.0416","4.0818","3.9711","","-0.37%"
"12/08/2008","4.0381","3.9670","4.0739","3.9564","","1.59%"
"12/05/2008","3.9749","3.9800","4.0138","3.9099","","-0.06%"
"12/04/2008","3.9773","3.9548","4.0257","3.9010","","0.45%"
"12/03/2008","3.9595","3.9560","3.9828","3.8899","","0.05%"
"12/02/2008","3.9576","3.9135","3.9937","3.8675","","1.00%"
"12/01/2008","3.9184","3.9195","3.9653","3.8722","","-0.18%"
"11/28/2008","3.9253","3.9922","4.0061","3.9127","","-1.60%"
"11/27/2008","3.9890","3.9811","3.9949","3.9621","","0.16%"
"11/26/2008","3.9825","4.0401","4.0515","3.9627","","-1.44%"
"11/25/2008","4.0406","4.0009","4.0584","3.9560","","0.38%"
"11/24/2008","4.0253","3.9038","4.0478","3.8989","","3.14%"
"11/21/2008","3.9028","3.8598","3.9364","3.8508","","0.22%"
"11/20/2008","3.8944","3.8769","3.9665","3.8623","","0.29%"
"11/19/2008","3.8832","3.9122","3.9763","3.8809","","-0.90%"
"11/18/2008","3.9184","3.9225","3.9413","3.8904","","-0.14%"
"11/17/2008","3.9239","3.8548","3.9742","3.8487","","0.25%"
"11/14/2008","3.9141","3.9644","3.9987","3.8996","","-1.48%"
"11/13/2008","3.9728","3.8794","3.9898","3.8202","","2.65%"
"11/12/2008","3.8704","3.9025","3.9261","3.8500","","-1.55%"
"11/11/2008","3.9314","3.9608","3.9952","3.8663","","-1.36%"
"11/10/2008","3.9855","3.9479","4.0339","3.9251","","0.72%"
"11/07/2008","3.9570","3.9252","3.9812","3.9016","","0.92%"
"11/06/2008","3.9211","3.9817","3.9898","3.9131","","-1.53%"
"11/05/2008","3.9821","3.9888","4.0558","3.9253","","-0.51%"
"11/04/2008","4.0024","3.8903","4.0249","3.8564","","2.65%"
"11/03/2008","3.8990","3.9334","3.9840","3.8792","","-0.42%"
"10/31/2008","3.9154","3.9722","4.0025","3.8917","","-1.77%"
"10/30/2008","3.9860","4.0032","4.1005","3.9473","","-0.52%"
"10/29/2008","4.0067","3.9534","4.0496","3.8932","","1.55%"
"10/28/2008","3.9454","3.8766","3.9833","3.8143","","0.86%"
"10/27/2008","3.9116","3.8974","3.9718","3.8032","","-0.29%"
"10/24/2008","3.9230","4.0151","4.0179","3.8632","","-3.08%"
"10/23/2008","4.0475","3.9706","4.0737","3.9326","","1.67%"
"10/22/2008","3.9809","4.0075","4.0615","3.8961","","-0.74%"
"10/21/2008","4.0104","4.0673","4.1053","3.9759","","-1.70%"
"10/20/2008","4.0799","4.0952","4.1413","4.0375","","-0.47%"
"10/17/2008","4.0991","4.1303","4.1446","4.0864","","-1.54%"
"10/16/2008","4.1633","4.1122","4.1917","4.0286","","1.30%"
"10/15/2008","4.1098","4.1402","4.1945","4.0856","","-0.79%"
"10/14/2008","4.1425","4.1273","4.2188","4.0811","","0.27%"
"10/13/2008","4.1313","4.1477","4.2109","4.0572","","-0.13%"
"10/10/2008","4.1368","4.1647","4.2994","4.0739","","-0.94%"
"10/09/2008","4.1761","4.0816","4.4201","4.0669","","1.98%"
"10/08/2008","4.0952","4.2411","4.2447","4.0732","","-3.72%"
"10/07/2008","4.2536","4.0385","4.2728","4.0370","","5.16%"
"10/06/2008","4.0449","4.1090","4.1623","4.0224","","-2.39%"
"10/03/2008","4.1441","4.1172","4.1805","4.0846","","0.61%"
"10/02/2008","4.1189","4.1792","4.1822","4.0667","","-1.43%"
"10/01/2008","4.1786","4.2078","4.2223","4.1587","","-0.67%"
"09/30/2008","4.2067","4.3000","4.3039","4.1604","","-2.22%"
"09/29/2008","4.3021","4.2953","4.3397","4.2317","","-0.63%"
"09/26/2008","4.3295","4.2983","4.3512","4.2842","","0.66%"
"09/25/2008","4.3013","4.3269","4.3650","4.2959","","-0.74%"
"09/24/2008","4.3334","4.3068","4.3568","4.2989","","0.57%"
"09/23/2008","4.3087","4.3444","4.3554","4.3056","","-0.86%"
"09/22/2008","4.3460","4.2789","4.3687","4.2630","","1.72%"
"09/19/2008","4.2725","4.2600","4.3039","4.1824","","0.17%"
"09/18/2008","4.2651","4.2564","4.3219","4.2206","","0.36%"
"09/17/2008","4.2500","4.1936","4.2860","4.1891","","1.10%"
"09/16/2008","4.2039","4.2401","4.2526","4.1851","","-0.83%"
"09/15/2008","4.2392","4.2557","4.2851","4.1872","","0.16%"
"09/12/2008","4.2325","4.1636","4.2336","4.1489","","1.52%"
"09/11/2008","4.1691","4.1474","4.1715","4.1262","","0.45%"
"09/10/2008","4.1504","4.1952","4.2192","4.1459","","-1.27%"
"09/09/2008","4.2039","4.1948","4.2308","4.1517","","0.19%"
"09/08/2008","4.1958","4.2715","4.2745","4.1751","","-1.05%"
"09/05/2008","4.2403","4.2220","4.2580","4.2102","","0.35%"
"09/04/2008","4.2254","4.2951","4.3151","4.2176","","-1.60%"
"09/03/2008","4.2942","4.3019","4.3079","4.2447","","-0.23%"
"09/02/2008","4.3039","4.3038","4.3079","4.2448","","-0.01%"
"09/01/2008","4.3045","4.3368","4.3434","4.2817","","-0.61%"
"08/29/2008","4.3310","4.3447","4.3667","4.2974","","-0.35%"
"08/28/2008","4.3462","4.3443","4.3657","4.3221","","-0.04%"
"08/27/2008","4.3481","4.3026","4.3554","4.2842","","0.97%"
"08/26/2008","4.3062","4.3290","4.3405","4.2361","","-0.60%"
"08/25/2008","4.3323","4.3113","4.3430","4.2674","","0.40%"
"08/22/2008","4.3152","4.3306","4.3350","4.2958","","-0.60%"
"08/21/2008","4.3413","4.2986","4.3575","4.2750","","0.93%"
"08/20/2008","4.3011","4.3160","4.3323","4.2564","","-0.41%"
"08/19/2008","4.3188","4.3221","4.3285","4.2848","","-0.20%"
"08/18/2008","4.3275","4.3221","4.3405","4.2930","","0.33%"
"08/15/2008","4.3133","4.3237","4.3460","4.2945","","-0.45%"
"08/14/2008","4.3327","4.3630","4.3858","4.3228","","-0.77%"
"08/13/2008","4.3662","4.3510","4.4032","4.3282","","0.22%"
"08/12/2008","4.3567","4.3440","4.3737","4.3195","","0.12%"
"08/11/2008","4.3515","4.2652","4.3623","4.2583","","1.47%"
"08/08/2008","4.2885","4.3081","4.3152","4.1991","","-0.51%"
"08/07/2008","4.3105","4.3019","4.3542","4.2801","","0.13%"
"08/06/2008","4.3050","4.3473","4.3628","4.2921","","-1.06%"
"08/05/2008","4.3512","4.3105","4.3745","4.2807","","0.85%"
"08/04/2008","4.3147","4.3842","4.3951","4.3003","","-1.62%"
"08/01/2008","4.3857","4.3828","4.3919","4.3453","","0.01%"
"07/31/2008","4.3851","4.4036","4.4420","4.3684","","-0.47%"
"07/30/2008","4.4060","4.4115","4.4227","4.3662","","-0.22%"
"07/29/2008","4.4157","4.4540","4.4625","4.3983","","-0.95%"
"07/28/2008","4.4580","4.4177","4.4665","4.4129","","0.79%"
"07/25/2008","4.4231","4.4315","4.4570","4.3980","","-0.25%"
"07/24/2008","4.4341","4.4541","4.4641","4.4193","","-0.54%"
"07/23/2008","4.4583","4.4864","4.4898","4.4130","","-0.64%"
"07/22/2008","4.4872","4.5224","4.5306","4.4791","","-0.84%"
"07/21/2008","4.5252","4.5055","4.5258","4.4780","","0.31%"
"07/18/2008","4.5112","4.4763","4.5355","4.4608","","0.68%"
"07/17/2008","4.4809","4.4683","4.5046","4.4465","","0.20%"
"07/16/2008","4.4720","4.5121","4.5290","4.4597","","-0.96%"
"07/15/2008","4.5152","4.4845","4.5455","4.4783","","0.60%"
"07/14/2008","4.4882","4.5058","4.5122","4.4586","","-0.29%"
"07/11/2008","4.5013","4.4359","4.5118","4.4266","","1.38%"
"07/10/2008","4.4399","4.4114","4.4566","4.4027","","0.57%"
"07/09/2008","4.4149","4.4148","4.4508","4.3999","","-0.06%"
"07/08/2008","4.4177","4.4763","4.4824","4.3890","","-1.36%"
"07/07/2008","4.4784","4.5311","4.5447","4.4553","","-1.34%"
"07/04/2008","4.5390","4.5496","4.5639","4.5166","","-0.29%"
"07/03/2008","4.5523","4.6831","4.6930","4.5378","","-2.82%"
"07/02/2008","4.6844","4.6717","4.7066","4.6658","","0.20%"
"07/01/2008","4.6749","4.6603","4.6927","4.6503","","0.19%"
"06/30/2008","4.6662","4.6773","4.6913","4.6566","","-0.38%"
"06/27/2008","4.6838","4.6594","4.6903","4.6488","","0.33%"
