"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2008","66.417","66.701","67.256","65.667","","-0.55%"
"12/30/2008","66.787","66.095","67.495","65.804","","0.63%"
"12/29/2008","66.370","66.785","68.219","66.204","","-0.85%"
"12/26/2008","66.938","66.529","67.219","66.438","","0.34%"
"12/25/2008","66.714","66.417","66.880","66.251","","0.37%"
"12/24/2008","66.465","65.945","66.798","65.827","","0.49%"
"12/23/2008","66.140","65.768","66.653","65.731","","0.34%"
"12/22/2008","65.916","64.914","66.798","64.816","","1.40%"
"12/19/2008","65.005","66.529","67.227","64.411","","-2.20%"
"12/18/2008","66.469","67.708","68.730","66.244","","-1.92%"
"12/17/2008","67.768","66.471","67.826","65.660","","1.47%"
"12/16/2008","66.784","65.211","67.058","64.465","","2.08%"
"12/15/2008","65.420","64.128","65.424","63.944","","1.73%"
"12/12/2008","64.305","63.751","64.550","63.284","","0.60%"
"12/11/2008","63.922","62.545","64.198","62.142","","1.97%"
"12/10/2008","62.685","62.672","62.959","62.225","","-0.01%"
"12/09/2008","62.691","62.827","63.101","61.966","","-0.29%"
"12/08/2008","62.874","62.343","63.264","61.989","","0.62%"
"12/05/2008","62.485","62.902","63.330","61.799","","-0.83%"
"12/04/2008","63.010","62.313","63.482","61.849","","0.81%"
"12/03/2008","62.502","62.734","63.094","61.808","","-0.63%"
"12/02/2008","62.898","61.370","63.174","61.214","","2.21%"
"12/01/2008","61.540","62.083","62.206","61.243","","-1.00%"
"11/28/2008","62.162","62.876","63.486","61.718","","-1.14%"
"11/27/2008","62.880","63.306","63.501","62.699","","-0.78%"
"11/26/2008","63.377","64.557","64.657","62.945","","-1.94%"
"11/25/2008","64.631","64.441","64.686","63.183","","0.31%"
"11/24/2008","64.433","62.706","64.433","62.533","","2.76%"
"11/21/2008","62.705","62.155","63.024","61.939","","0.75%"
"11/20/2008","62.239","62.347","62.897","62.175","","-0.47%"
"11/19/2008","62.532","62.984","63.840","62.374","","-0.93%"
"11/18/2008","63.118","62.732","63.483","62.365","","0.50%"
"11/17/2008","62.806","61.532","63.289","61.434","","0.86%"
"11/14/2008","62.268","62.967","63.306","61.947","","-1.53%"
"11/13/2008","63.237","61.085","63.484","60.757","","3.61%"
"11/12/2008","61.034","61.039","61.921","60.800","","-0.07%"
"11/11/2008","61.076","61.704","62.587","60.928","","-0.96%"
"11/10/2008","61.669","61.847","62.842","61.520","","0.13%"
"11/07/2008","61.591","61.521","62.904","61.207","","0.07%"
"11/06/2008","61.546","62.125","62.737","61.463","","-1.03%"
"11/05/2008","62.187","62.784","63.112","61.290","","-1.48%"
"11/04/2008","63.122","61.071","63.136","60.795","","2.97%"
"11/03/2008","61.299","62.162","62.939","60.892","","-1.49%"
"10/31/2008","62.227","62.540","63.439","61.681","","-1.02%"
"10/30/2008","62.870","63.414","64.898","61.829","","-1.00%"
"10/29/2008","63.502","62.624","63.767","61.721","","1.56%"
"10/28/2008","62.525","61.242","62.662","60.784","","1.99%"
"10/27/2008","61.303","61.046","62.345","60.857","","-0.39%"
"10/24/2008","61.542","63.516","63.676","61.093","","-3.35%"
