"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2008","4.1484","4.1552","4.1926","4.0917","","-0.41%"
"12/30/2008","4.1654","4.1202","4.1979","4.1007","","0.94%"
"12/29/2008","4.1267","4.1086","4.2128","4.0619","","1.07%"
"12/26/2008","4.0831","4.1110","4.1439","4.0491","","-0.85%"
"12/25/2008","4.1180","4.1237","4.1415","4.0539","","-0.18%"
"12/24/2008","4.1255","4.0888","4.1459","4.0638","","0.50%"
"12/23/2008","4.1048","4.1259","4.1486","4.0775","","-0.52%"
"12/22/2008","4.1262","4.0872","4.1385","4.0562","","-0.15%"
"12/19/2008","4.1322","4.1321","4.1763","4.0497","","0.12%"
"12/18/2008","4.1271","4.0999","4.1921","4.0704","","0.42%"
"12/17/2008","4.1099","4.0438","4.1493","4.0276","","1.20%"
"12/16/2008","4.0613","3.9754","4.0989","3.9591","","1.96%"
"12/15/2008","3.9834","3.9447","4.0105","3.9011","","1.23%"
"12/12/2008","3.9350","3.8544","3.9799","3.8494","","1.41%"
"12/11/2008","3.8801","3.9416","4.0070","3.8466","","-1.72%"
"12/10/2008","3.9482","3.9205","3.9776","3.9082","","0.44%"
"12/09/2008","3.9309","3.8797","3.9486","3.8715","","0.97%"
"12/08/2008","3.8933","3.8795","3.9306","3.8360","","0.40%"
"12/05/2008","3.8777","3.8814","3.9032","3.8505","","-0.15%"
"12/04/2008","3.8835","3.8428","3.9092","3.8350","","0.36%"
"12/03/2008","3.8695","3.8426","3.8794","3.8156","","0.57%"
"12/02/2008","3.8475","3.8088","3.8670","3.8042","","0.73%"
"12/01/2008","3.8198","3.7689","3.8826","3.7645","","0.95%"
"11/28/2008","3.7839","3.7522","3.8240","3.7443","","0.58%"
"11/27/2008","3.7620","3.7569","3.8079","3.7380","","-0.07%"
"11/26/2008","3.7647","3.7800","3.8109","3.7463","","-0.59%"
"11/25/2008","3.7870","3.8543","3.8734","3.7644","","-1.63%"
"11/24/2008","3.8496","3.8610","3.8980","3.8320","","-0.59%"
"11/21/2008","3.8725","3.8337","3.9037","3.7730","","0.97%"
"11/20/2008","3.8352","3.8325","3.8715","3.8033","","-0.09%"
"11/19/2008","3.8385","3.8149","3.8777","3.7719","","0.48%"
"11/18/2008","3.8203","3.7570","3.8778","3.7484","","1.64%"
"11/17/2008","3.7586","3.6938","3.8171","3.6730","","1.43%"
"11/14/2008","3.7056","3.6743","3.7568","3.6611","","0.46%"
"11/13/2008","3.6886","3.7646","3.8030","3.6767","","-2.06%"
"11/12/2008","3.7662","3.7932","3.7952","3.7133","","-0.62%"
"11/11/2008","3.7898","3.7492","3.8472","3.7421","","1.20%"
"11/10/2008","3.7448","3.6567","3.7840","3.5995","","2.96%"
"11/07/2008","3.6370","3.6403","3.7008","3.5773","","-0.12%"
"11/06/2008","3.6412","3.5318","3.6458","3.4998","","3.05%"
"11/05/2008","3.5336","3.5173","3.5455","3.4715","","0.46%"
"11/04/2008","3.5175","3.5425","3.5758","3.4920","","-0.26%"
"11/03/2008","3.5266","3.5161","3.5986","3.4746","","-0.25%"
"10/31/2008","3.5353","3.6004","3.6591","3.4885","","-1.87%"
"10/30/2008","3.6026","3.5468","3.6337","3.4467","","1.53%"
"10/29/2008","3.5482","3.6741","3.6940","3.5164","","-3.47%"
"10/28/2008","3.6757","3.8308","3.8555","3.6462","","-4.07%"
"10/27/2008","3.8316","3.8278","3.8794","3.7790","","0.24%"
"10/24/2008","3.8226","3.8813","3.9529","3.7342","","-1.17%"
"10/23/2008","3.8677","3.8111","3.9905","3.7827","","1.44%"
"10/22/2008","3.8127","3.6667","3.8326","3.6651","","3.64%"
"10/21/2008","3.6789","3.5730","3.6890","3.5575","","2.93%"
"10/20/2008","3.5743","3.5596","3.6040","3.5119","","0.56%"
"10/17/2008","3.5545","3.5575","3.6177","3.5171","","-0.34%"
"10/16/2008","3.5665","3.6092","3.6275","3.5246","","-1.27%"
"10/15/2008","3.6124","3.4757","3.6171","3.4584","","3.98%"
"10/14/2008","3.4740","3.5387","3.5592","3.4195","","-1.66%"
"10/13/2008","3.5326","3.5742","3.6027","3.4778","","-1.31%"
"10/10/2008","3.5796","3.5805","3.6489","3.5289","","-0.23%"
"10/09/2008","3.5878","3.4584","3.5975","3.4080","","3.68%"
"10/08/2008","3.4603","3.4346","3.5123","3.4228","","0.71%"
"10/07/2008","3.4359","3.4578","3.4757","3.3988","","-0.50%"
"10/06/2008","3.4531","3.3993","3.4775","3.3771","","1.50%"
"10/03/2008","3.4021","3.4240","3.4631","3.3800","","-0.71%"
"10/02/2008","3.4264","3.3968","3.4336","3.3784","","0.82%"
"10/01/2008","3.3984","3.3942","3.4063","3.3652","","0.06%"
"09/30/2008","3.3964","3.3950","3.4261","3.3760","","-0.09%"
"09/29/2008","3.3994","3.3612","3.4143","3.3460","","1.09%"
"09/26/2008","3.3628","3.3340","3.3825","3.3247","","0.75%"
"09/25/2008","3.3379","3.3284","3.3481","3.3182","","0.03%"
"09/24/2008","3.3368","3.3013","3.3407","3.2878","","0.95%"
"09/23/2008","3.3055","3.3031","3.3224","3.2813","","0.01%"
"09/22/2008","3.3052","3.2830","3.3106","3.2645","","0.20%"
"09/19/2008","3.2986","3.3184","3.3468","3.2704","","-0.64%"
"09/18/2008","3.3197","3.3688","3.3889","3.3081","","-1.57%"
"09/17/2008","3.3725","3.3308","3.3893","3.3106","","1.25%"
"09/16/2008","3.3310","3.3623","3.4287","3.3087","","-0.88%"
"09/15/2008","3.3605","3.3453","3.3813","3.3211","","0.89%"
"09/12/2008","3.3310","3.3823","3.4116","3.3198","","-1.78%"
"09/11/2008","3.3913","3.3873","3.4288","3.3771","","0.16%"
"09/10/2008","3.3858","3.4664","3.4807","3.3768","","-2.41%"
"09/09/2008","3.4695","3.4731","3.4891","3.4428","","-0.18%"
"09/08/2008","3.4759","3.4353","3.4912","3.4009","","0.74%"
"09/05/2008","3.4503","3.4031","3.4636","3.3946","","1.08%"
"09/04/2008","3.4133","3.3748","3.4171","3.3595","","1.05%"
"09/03/2008","3.3777","3.3479","3.3807","3.3440","","0.83%"
"09/02/2008","3.3498","3.3439","3.3651","3.3351","","0.13%"
"09/01/2008","3.3456","3.3274","3.3504","3.3162","","0.38%"
"08/29/2008","3.3330","3.3523","3.3681","3.3192","","-0.64%"
"08/28/2008","3.3543","3.3348","3.3598","3.3273","","0.49%"
"08/27/2008","3.3380","3.3257","3.3446","3.3147","","0.33%"
"08/26/2008","3.3270","3.3019","3.3323","3.2960","","0.78%"
"08/25/2008","3.3011","3.3008","3.3154","3.2928","","0.07%"
"08/22/2008","3.2987","3.2949","3.3179","3.2852","","0.08%"
"08/21/2008","3.2961","3.3139","3.3228","3.2873","","-0.56%"
"08/20/2008","3.3148","3.3088","3.3281","3.2987","","-0.15%"
"08/19/2008","3.3198","3.3086","3.3394","3.3064","","0.13%"
"08/18/2008","3.3155","3.3203","3.3516","3.3052","","-0.64%"
"08/15/2008","3.3370","3.3165","3.3416","3.3061","","0.50%"
"08/14/2008","3.3205","3.2975","3.3276","3.2918","","0.56%"
"08/13/2008","3.3019","3.2576","3.3177","3.2525","","1.18%"
"08/12/2008","3.2633","3.2623","3.2955","3.2529","","-0.44%"
"08/11/2008","3.2777","3.2701","3.2923","3.2482","","0.09%"
"08/08/2008","3.2749","3.2409","3.2865","3.2369","","0.84%"
"08/07/2008","3.2475","3.2334","3.2585","3.2271","","0.18%"
"08/06/2008","3.2418","3.2150","3.2540","3.2090","","0.82%"
"08/05/2008","3.2155","3.2069","3.2279","3.1928","","0.25%"
"08/04/2008","3.2075","3.1949","3.2214","3.1897","","-0.08%"
"08/01/2008","3.2101","3.2113","3.2249","3.1944","","-0.23%"
"07/31/2008","3.2175","3.2065","3.2254","3.1926","","0.31%"
"07/30/2008","3.2074","3.2020","3.2250","3.1964","","-0.01%"
"07/29/2008","3.2077","3.2025","3.2367","3.1962","","0.00%"
"07/28/2008","3.2077","3.1925","3.2147","3.1898","","0.00%"
"07/25/2008","3.2077","3.2173","3.2287","3.1956","","-0.42%"
"07/24/2008","3.2213","3.2487","3.2591","3.2107","","-1.08%"
"07/23/2008","3.2564","3.2302","3.2759","3.2253","","0.47%"
"07/22/2008","3.2412","3.2278","3.2519","3.2115","","0.58%"
"07/21/2008","3.2226","3.2009","3.2267","3.1986","","0.26%"
"07/18/2008","3.2143","3.2180","3.2354","3.2059","","-0.29%"
"07/17/2008","3.2238","3.2081","3.2359","3.2018","","0.33%"
"07/16/2008","3.2132","3.2424","3.2522","3.2065","","-0.88%"
"07/15/2008","3.2417","3.2481","3.2739","3.2297","","-0.41%"
"07/14/2008","3.2551","3.2509","3.2713","3.2383","","-0.17%"
"07/11/2008","3.2607","3.2628","3.2792","3.2459","","-0.26%"
"07/10/2008","3.2693","3.2672","3.2889","3.2555","","-0.21%"
"07/09/2008","3.2763","3.2856","3.2992","3.2565","","-0.39%"
"07/08/2008","3.2892","3.2990","3.3114","3.2793","","-0.52%"
"07/07/2008","3.3063","3.3102","3.3358","3.2937","","-0.25%"
"07/04/2008","3.3146","3.3263","3.3410","3.3005","","-0.54%"
"07/03/2008","3.3326","3.3468","3.3665","3.3241","","-0.56%"
"07/02/2008","3.3512","3.3461","3.3668","3.3407","","-0.06%"
"07/01/2008","3.3533","3.3443","3.3703","3.3396","","0.00%"
"06/30/2008","3.3533","3.3523","3.3627","3.3422","","-0.14%"
"06/27/2008","3.3579","3.3728","3.3860","3.3418","","-0.58%"
"06/26/2008","3.3776","3.3480","3.3880","3.3444","","0.70%"
"06/25/2008","3.3541","3.3658","3.3748","3.3407","","-0.40%"
"06/24/2008","3.3676","3.3602","3.3737","3.3528","","0.18%"
"06/23/2008","3.3616","3.3633","3.3735","3.3520","","-0.23%"
"06/20/2008","3.3695","3.3626","3.3818","3.3555","","-0.01%"
"06/19/2008","3.3697","3.3717","3.3852","3.3589","","-0.16%"
"06/18/2008","3.3752","3.3770","3.3903","3.3621","","-0.29%"
"06/17/2008","3.3850","3.3828","3.3925","3.3687","","-0.01%"
"06/16/2008","3.3853","3.3847","3.3917","3.3768","","-0.14%"
"06/13/2008","3.3902","3.3866","3.4051","3.3726","","-0.21%"
"06/12/2008","3.3972","3.3768","3.4069","3.3715","","0.35%"
"06/11/2008","3.3852","3.3739","3.4033","3.3628","","0.06%"
"06/10/2008","3.3833","3.3798","3.3961","3.3630","","0.00%"
"06/09/2008","3.3834","3.4014","3.4078","3.3661","","-0.50%"
"06/06/2008","3.4005","3.3804","3.4148","3.3682","","0.47%"
"06/05/2008","3.3847","3.3713","3.3915","3.3637","","0.14%"
"06/04/2008","3.3799","3.3661","3.3887","3.3613","","0.13%"
"06/03/2008","3.3754","3.3741","3.3955","3.3555","","-0.18%"
"06/02/2008","3.3815","3.3702","3.3958","3.3608","","0.24%"
"05/30/2008","3.3735","3.3761","3.3912","3.3598","","-0.16%"
"05/29/2008","3.3790","3.3874","3.3992","3.3618","","-0.50%"
"05/28/2008","3.3961","3.3935","3.4065","3.3830","","-0.13%"
"05/27/2008","3.4005","3.3902","3.4082","3.3814","","0.26%"
"05/26/2008","3.3918","3.4068","3.4161","3.3794","","-0.57%"
"05/23/2008","3.4111","3.4049","3.4267","3.3880","","-0.02%"
"05/22/2008","3.4118","3.4073","3.4225","3.3954","","0.12%"
"05/21/2008","3.4076","3.3834","3.4229","3.3725","","0.66%"
"05/20/2008","3.3852","3.3830","3.4021","3.3765","","-0.04%"
"05/19/2008","3.3864","3.3821","3.3937","3.3728","","0.13%"
"05/16/2008","3.3819","3.3942","3.4007","3.3682","","-0.38%"
"05/15/2008","3.3947","3.3861","3.4062","3.3786","","0.10%"
"05/14/2008","3.3914","3.3803","3.4142","3.3705","","0.23%"
"05/13/2008","3.3836","3.3821","3.3898","3.3649","","0.06%"
"05/12/2008","3.3815","3.3911","3.4022","3.3631","","-0.32%"
"05/09/2008","3.3922","3.4089","3.4234","3.3773","","-0.55%"
"05/08/2008","3.4109","3.4094","3.4269","3.3979","","-0.09%"
"05/07/2008","3.4139","3.4363","3.4451","3.4031","","-0.70%"
"05/06/2008","3.4380","3.4423","3.4477","3.4231","","-0.24%"
"05/05/2008","3.4463","3.4358","3.4474","3.4268","","0.34%"
"05/02/2008","3.4346","3.4548","3.4660","3.4284","","-0.80%"
"05/01/2008","3.4624","3.4463","3.4692","3.4433","","0.34%"
"04/30/2008","3.4506","3.4604","3.4637","3.4366","","-0.33%"
"04/29/2008","3.4620","3.4308","3.4678","3.4279","","0.72%"
"04/28/2008","3.4372","3.4368","3.4478","3.4256","","-0.07%"
"04/25/2008","3.4395","3.4298","3.4486","3.4165","","0.22%"
"04/24/2008","3.4318","3.4087","3.4400","3.3988","","0.57%"
"04/23/2008","3.4123","3.4089","3.4255","3.3956","","0.01%"
"04/22/2008","3.4119","3.4126","3.4279","3.3971","","-0.12%"
"04/21/2008","3.4159","3.4285","3.4344","3.4039","","-0.58%"
"04/18/2008","3.4358","3.4274","3.4445","3.4060","","0.15%"
"04/17/2008","3.4306","3.4113","3.4392","3.4033","","0.48%"
"04/16/2008","3.4141","3.4016","3.4295","3.3930","","0.27%"
"04/15/2008","3.4049","3.4045","3.4187","3.3935","","-0.04%"
"04/14/2008","3.4064","3.4005","3.4437","3.3914","","-0.74%"
"04/11/2008","3.4318","3.4292","3.4476","3.4073","","0.17%"
"04/10/2008","3.4259","3.4520","3.4565","3.4175","","-0.82%"
"04/09/2008","3.4541","3.4532","3.4655","3.4402","","-0.10%"
"04/08/2008","3.4576","3.4602","3.4753","3.4464","","-0.11%"
"04/07/2008","3.4615","3.4705","3.4790","3.4459","","-0.38%"
"04/04/2008","3.4746","3.4743","3.4892","3.4603","","-0.09%"
"04/03/2008","3.4776","3.4835","3.4958","3.4713","","-0.29%"
"04/02/2008","3.4876","3.5001","3.5172","3.4748","","-0.47%"
"04/01/2008","3.5039","3.5131","3.5283","3.4959","","-0.31%"
"03/31/2008","3.5148","3.5186","3.5315","3.5063","","-0.20%"
"03/28/2008","3.5219","3.5192","3.5372","3.5095","","-0.15%"
"03/27/2008","3.5272","3.5225","3.5355","3.5116","","0.01%"
"03/26/2008","3.5268","3.5258","3.5458","3.5189","","0.03%"
"03/25/2008","3.5256","3.5304","3.5380","3.5163","","-0.22%"
"03/24/2008","3.5335","3.5276","3.5353","3.5172","","-0.02%"
"03/21/2008","3.5342","3.5360","3.5522","3.5180","","-0.15%"
"03/20/2008","3.5396","3.5427","3.5541","3.5165","","-0.13%"
"03/19/2008","3.5443","3.5304","3.5518","3.5164","","0.35%"
"03/18/2008","3.5320","3.5427","3.5483","3.5200","","-0.18%"
"03/17/2008","3.5384","3.5460","3.5673","3.5225","","-0.16%"
"03/14/2008","3.5439","3.5365","3.5544","3.5175","","0.15%"
"03/13/2008","3.5385","3.5322","3.5571","3.5213","","0.21%"
"03/12/2008","3.5311","3.5356","3.5454","3.5161","","-0.39%"
"03/11/2008","3.5448","3.5651","3.5788","3.5229","","-0.68%"
"03/10/2008","3.5690","3.5649","3.5771","3.5524","","0.04%"
"03/07/2008","3.5675","3.5706","3.5913","3.5440","","-0.13%"
"03/06/2008","3.5722","3.5305","3.5786","3.5164","","1.05%"
"03/05/2008","3.5350","3.5208","3.5387","3.5146","","0.24%"
"03/04/2008","3.5267","3.5146","3.5436","3.5080","","0.27%"
"03/03/2008","3.5172","3.5211","3.5473","3.5066","","-0.28%"
"02/29/2008","3.5270","3.5129","3.5374","3.5009","","0.39%"
"02/28/2008","3.5134","3.5159","3.5267","3.5038","","-0.10%"
"02/27/2008","3.5170","3.5277","3.5477","3.5061","","-0.40%"
"02/26/2008","3.5313","3.5308","3.5422","3.5205","","-0.10%"
"02/25/2008","3.5349","3.5653","3.5738","3.5215","","-0.99%"
"02/22/2008","3.5703","3.5697","3.5804","3.5584","","0.03%"
"02/21/2008","3.5692","3.5736","3.5808","3.5544","","-0.13%"
"02/20/2008","3.5739","3.5733","3.5938","3.5670","","-0.09%"
"02/19/2008","3.5770","3.5742","3.5840","3.5624","","0.04%"
"02/18/2008","3.5757","3.5711","3.5834","3.5622","","0.01%"
"02/15/2008","3.5752","3.5861","3.6043","3.5651","","-0.43%"
"02/14/2008","3.5906","3.5904","3.5981","3.5722","","-0.03%"
"02/13/2008","3.5918","3.6057","3.6101","3.5868","","-0.38%"
"02/12/2008","3.6055","3.6100","3.6183","3.5932","","-0.26%"
"02/11/2008","3.6148","3.6168","3.6309","3.6042","","-0.16%"
"02/08/2008","3.6205","3.6038","3.6329","3.5973","","0.32%"
"02/07/2008","3.6089","3.6026","3.6244","3.5903","","0.10%"
"02/06/2008","3.6054","3.5931","3.6090","3.5789","","0.25%"
