"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2008","5.0951","5.1216","5.1528","5.0421","","-0.59%"
"12/30/2008","5.1253","5.0771","5.1795","5.0666","","0.66%"
"12/29/2008","5.0915","5.1194","5.2313","5.0854","","-0.58%"
"12/26/2008","5.1211","5.0990","5.1425","5.0899","","0.33%"
"12/25/2008","5.1044","5.1000","5.1171","5.0851","","0.09%"
"12/24/2008","5.0997","5.0741","5.1068","5.0648","","0.27%"
"12/23/2008","5.0860","5.0734","5.1059","5.0668","","0.16%"
"12/22/2008","5.0777","5.0730","5.1437","5.0608","","0.19%"
"12/19/2008","5.0682","5.1871","5.2125","5.0327","","-2.09%"
"12/18/2008","5.1764","5.2454","5.3611","5.1649","","-1.33%"
"12/17/2008","5.2464","5.1167","5.2584","5.0949","","2.15%"
"12/16/2008","5.1359","4.9872","5.1519","4.9590","","2.86%"
"12/15/2008","4.9933","4.8669","4.9939","4.8658","","2.52%"
"12/12/2008","4.8706","4.8612","4.8864","4.8213","","0.12%"
"12/11/2008","4.8648","4.7384","4.8835","4.7329","","2.62%"
"12/10/2008","4.7404","4.7049","4.7612","4.6965","","0.83%"
"12/09/2008","4.7012","4.7154","4.7349","4.6587","","-0.20%"
"12/08/2008","4.7106","4.6319","4.7210","4.6286","","1.58%"
"12/05/2008","4.6375","4.6512","4.6605","4.5956","","-0.24%"
"12/04/2008","4.6486","4.6243","4.6779","4.5676","","0.38%"
"12/03/2008","4.6309","4.6272","4.6405","4.5869","","0.06%"
"12/02/2008","4.6283","4.5909","4.6503","4.5722","","0.66%"
"12/01/2008","4.5978","4.6262","4.6291","4.5792","","-0.54%"
"11/28/2008","4.6226","4.6971","4.7198","4.6012","","-1.52%"
"11/27/2008","4.6938","4.6912","4.7224","4.6796","","-0.01%"
"11/26/2008","4.6942","4.7551","4.7600","4.6658","","-1.32%"
"11/25/2008","4.7571","4.7056","4.7641","4.6596","","1.16%"
"11/24/2008","4.7027","4.5824","4.7082","4.5738","","2.64%"
"11/21/2008","4.5819","4.5322","4.6035","4.5216","","0.98%"
"11/20/2008","4.5375","4.5507","4.5864","4.5333","","-0.49%"
"11/19/2008","4.5597","4.5909","4.6665","4.5558","","-0.82%"
"11/18/2008","4.5976","4.6028","4.6250","4.5738","","-0.16%"
"11/17/2008","4.6051","4.5618","4.6402","4.5544","","0.51%"
"11/14/2008","4.5819","4.6520","4.6719","4.5792","","-1.74%"
"11/13/2008","4.6630","4.5507","4.6813","4.5089","","2.62%"
"11/12/2008","4.5439","4.5596","4.6004","4.5377","","-0.32%"
"11/11/2008","4.5586","4.6348","4.6614","4.5515","","-1.58%"
"11/10/2008","4.6317","4.6645","4.7083","4.6210","","-0.10%"
"11/07/2008","4.6362","4.6255","4.6773","4.6024","","0.20%"
"11/06/2008","4.6268","4.7164","4.7231","4.6212","","-1.85%"
"11/05/2008","4.7138","4.7219","4.7733","4.6517","","-0.47%"
"11/04/2008","4.7360","4.5952","4.7410","4.5541","","2.90%"
"11/03/2008","4.6027","4.6397","4.6964","4.5810","","-0.75%"
"10/31/2008","4.6373","4.6779","4.6970","4.6102","","-1.26%"
"10/30/2008","4.6967","4.7191","4.8405","4.6577","","-0.52%"
"10/29/2008","4.7211","4.6384","4.7337","4.5901","","2.01%"
"10/28/2008","4.6279","4.5314","4.6406","4.4837","","1.95%"
"10/27/2008","4.5396","4.5675","4.6192","4.4888","","-1.22%"
"10/24/2008","4.5958","4.7209","4.7241","4.5485","","-2.69%"
"10/23/2008","4.7230","4.6659","4.7310","4.6284","","1.12%"
"10/22/2008","4.6705","4.7440","4.7584","4.6448","","-1.64%"
