"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2008","42.723","41.316","43.122","41.251","","3.30%"
"12/30/2008","41.360","41.170","41.653","41.123","","0.26%"
"12/29/2008","41.252","40.789","41.879","40.783","","1.16%"
"12/26/2008","40.777","40.200","40.922","40.113","","1.37%"
"12/25/2008","40.224","40.177","40.276","40.070","","0.03%"
"12/24/2008","40.210","39.596","40.253","39.519","","1.45%"
"12/23/2008","39.634","39.560","39.759","39.533","","0.06%"
"12/22/2008","39.609","39.235","39.875","39.167","","1.04%"
"12/19/2008","39.200","39.024","39.688","38.899","","0.65%"
"12/18/2008","38.948","39.267","40.422","38.857","","-0.85%"
"12/17/2008","39.282","38.292","39.684","38.140","","2.38%"
"12/16/2008","38.367","37.815","38.474","37.700","","1.39%"
"12/15/2008","37.842","37.033","37.871","36.998","","2.23%"
"12/12/2008","37.018","36.968","37.126","36.818","","0.11%"
"12/11/2008","36.977","36.216","37.067","36.181","","2.08%"
"12/10/2008","36.224","36.088","36.312","36.027","","0.40%"
"12/09/2008","36.079","36.129","36.273","35.886","","-0.11%"
"12/08/2008","36.119","35.855","36.163","35.816","","0.65%"
"12/05/2008","35.887","35.725","35.953","35.571","","0.51%"
"12/04/2008","35.706","35.461","35.915","35.200","","0.62%"
"12/03/2008","35.486","35.462","35.525","35.292","","0.05%"
"12/02/2008","35.470","35.322","35.560","35.231","","0.34%"
"12/01/2008","35.349","35.465","35.482","35.256","","-0.28%"
"11/28/2008","35.450","35.395","35.787","35.330","","0.19%"
"11/27/2008","35.383","35.360","35.483","35.306","","0.05%"
"11/26/2008","35.364","35.573","35.596","35.241","","-0.61%"
"11/25/2008","35.581","35.322","35.623","35.145","","0.77%"
"11/24/2008","35.308","34.608","35.334","34.585","","2.00%"
"11/21/2008","34.616","34.372","34.717","34.325","","0.65%"
"11/20/2008","34.393","34.508","34.644","34.227","","-0.43%"
"11/19/2008","34.541","34.645","34.953","34.521","","-0.37%"
"11/18/2008","34.669","34.689","34.786","34.520","","-0.08%"
"11/17/2008","34.697","34.300","34.835","34.294","","0.26%"
"11/14/2008","34.606","34.867","34.967","34.589","","-0.85%"
"11/13/2008","34.903","34.484","35.015","34.307","","1.38%"
"11/12/2008","34.429","34.528","34.699","34.395","","-0.27%"
"11/11/2008","34.523","34.490","34.921","34.362","","0.16%"
"11/10/2008","34.469","34.572","34.752","34.424","","0.11%"
"11/07/2008","34.431","34.395","34.651","34.286","","0.14%"
"11/06/2008","34.383","34.746","34.771","34.342","","-1.04%"
"11/05/2008","34.743","34.793","34.995","34.339","","-0.30%"
"11/04/2008","34.848","34.310","34.881","34.147","","1.50%"
"11/03/2008","34.332","34.467","34.694","34.254","","-0.43%"
"10/31/2008","34.480","34.557","34.638","34.316","","-0.44%"
"10/30/2008","34.634","34.768","35.609","34.473","","-0.39%"
"10/29/2008","34.768","34.502","34.993","34.319","","0.88%"
"10/28/2008","34.464","34.118","34.507","33.906","","1.06%"
"10/27/2008","34.104","34.122","34.485","33.864","","-0.67%"
"10/24/2008","34.333","34.781","34.801","34.092","","-1.38%"
"10/23/2008","34.813","34.580","34.839","34.414","","0.54%"
"10/22/2008","34.627","34.874","34.916","34.319","","-0.73%"
"10/21/2008","34.881","35.154","35.223","34.858","","-0.87%"
"10/20/2008","35.188","35.335","35.464","34.911","","-0.44%"
"10/17/2008","35.343","35.414","35.483","35.264","","-0.30%"
"10/16/2008","35.450","35.398","35.535","35.226","","0.17%"
"10/15/2008","35.389","35.587","35.706","35.371","","-0.60%"
"10/14/2008","35.603","35.572","35.807","35.538","","0.06%"
"10/13/2008","35.583","35.533","35.708","35.284","","1.19%"
"10/10/2008","35.163","35.541","35.703","34.760","","-1.05%"
"10/09/2008","35.536","35.612","35.803","35.514","","-0.24%"
"10/08/2008","35.623","35.627","35.790","35.468","","0.13%"
"10/07/2008","35.575","35.439","35.785","35.406","","0.33%"
"10/06/2008","35.459","35.632","35.675","35.365","","-0.89%"
"10/03/2008","35.777","35.808","35.982","35.669","","-0.18%"
"10/02/2008","35.842","36.066","36.084","35.700","","-0.65%"
"10/01/2008","36.076","36.175","36.269","35.977","","-0.26%"
"09/30/2008","36.169","36.499","36.574","36.020","","-0.94%"
"09/29/2008","36.513","36.367","36.720","36.132","","-0.23%"
"09/26/2008","36.596","36.585","36.687","36.499","","-0.06%"
"09/25/2008","36.619","36.581","36.776","36.502","","0.07%"
"09/24/2008","36.595","36.756","36.845","36.577","","-0.45%"
"09/23/2008","36.761","36.986","37.044","36.710","","-0.62%"
"09/22/2008","36.992","36.596","37.093","36.516","","1.13%"
"09/19/2008","36.579","36.404","36.664","36.140","","0.40%"
"09/18/2008","36.433","36.428","36.718","36.311","","0.02%"
"09/17/2008","36.425","36.160","36.522","36.130","","0.57%"
"09/16/2008","36.218","36.372","36.453","36.079","","-0.46%"
"09/15/2008","36.384","36.518","36.950","36.068","","0.18%"
"09/12/2008","36.320","36.045","36.333","35.983","","0.68%"
"09/11/2008","36.073","36.003","36.104","35.862","","0.17%"
"09/10/2008","36.012","36.127","36.253","35.961","","-0.38%"
"09/09/2008","36.151","36.086","36.286","35.967","","0.16%"
"09/08/2008","36.093","36.490","36.557","35.971","","-0.74%"
"09/05/2008","36.362","36.239","36.495","36.144","","0.13%"
"09/04/2008","36.316","36.421","36.717","36.202","","-0.26%"
"09/03/2008","36.409","35.974","36.456","35.844","","1.19%"
"09/02/2008","35.981","36.065","36.074","35.879","","-0.19%"
"09/01/2008","36.050","36.190","36.218","35.996","","-0.33%"
"08/29/2008","36.168","36.230","36.322","36.104","","-0.15%"
"08/28/2008","36.222","36.227","36.369","36.181","","-0.03%"
"08/27/2008","36.234","36.127","36.352","36.056","","0.27%"
"08/26/2008","36.136","36.046","36.204","35.957","","0.22%"
"08/25/2008","36.056","36.044","36.131","35.942","","-0.04%"
"08/22/2008","36.072","36.169","36.200","36.005","","-0.37%"
"08/21/2008","36.206","35.955","36.206","35.926","","0.68%"
"08/20/2008","35.963","36.170","36.204","35.870","","-0.64%"
"08/19/2008","36.194","36.061","36.194","35.933","","0.32%"
"08/18/2008","36.080","36.114","36.229","36.051","","-0.18%"
"08/15/2008","36.145","36.114","36.243","36.043","","0.01%"
"08/14/2008","36.141","36.129","36.296","36.044","","0.00%"
"08/13/2008","36.142","36.173","36.213","35.989","","-0.13%"
"08/12/2008","36.189","36.397","36.440","35.866","","-0.60%"
"08/11/2008","36.408","36.289","36.836","36.254","","0.10%"
"08/08/2008","36.372","36.280","36.557","36.120","","0.23%"
"08/07/2008","36.290","36.437","36.507","36.263","","-0.40%"
"08/06/2008","36.437","36.387","36.517","36.377","","0.05%"
"08/05/2008","36.418","36.448","36.474","36.330","","-0.12%"
"08/04/2008","36.461","36.522","36.589","36.402","","-0.22%"
"08/01/2008","36.543","36.547","36.588","36.450","","-0.05%"
"07/31/2008","36.562","36.509","36.682","36.488","","0.09%"
"07/30/2008","36.529","36.543","36.592","36.441","","-0.07%"
"07/29/2008","36.553","36.732","36.765","36.506","","-0.53%"
"07/28/2008","36.748","36.718","36.790","36.631","","0.04%"
"07/25/2008","36.734","36.654","36.768","36.626","","0.21%"
"07/24/2008","36.658","36.645","36.707","36.565","","-0.02%"
"07/23/2008","36.667","36.777","36.817","36.624","","-0.29%"
"07/22/2008","36.774","36.906","36.968","36.715","","-0.39%"
"07/21/2008","36.919","36.774","36.927","36.764","","0.32%"
"07/18/2008","36.801","36.821","36.870","36.714","","-0.10%"
"07/17/2008","36.836","36.796","36.878","36.744","","0.09%"
"07/16/2008","36.803","36.860","36.943","36.765","","-0.18%"
"07/15/2008","36.868","36.823","36.999","36.796","","0.10%"
"07/14/2008","36.833","37.044","37.090","36.766","","-0.63%"
"07/11/2008","37.065","36.866","37.075","36.822","","0.54%"
"07/10/2008","36.865","36.859","36.928","36.761","","-0.05%"
"07/09/2008","36.882","36.834","36.925","36.697","","0.06%"
"07/08/2008","36.860","36.906","36.955","36.800","","-0.14%"
"07/07/2008","36.911","36.867","36.959","36.776","","0.07%"
"07/04/2008","36.886","36.910","36.973","36.805","","-0.09%"
"07/03/2008","36.921","37.108","37.170","36.889","","-0.51%"
"07/02/2008","37.112","36.963","37.155","36.955","","0.37%"
"07/01/2008","36.977","36.935","37.054","36.886","","0.09%"
"06/30/2008","36.943","36.950","37.021","36.899","","-0.11%"
"06/27/2008","36.983","36.923","36.983","36.862","","0.11%"
"06/26/2008","36.943","36.843","36.970","36.770","","0.25%"
"06/25/2008","36.850","36.723","36.881","36.656","","0.28%"
"06/24/2008","36.747","36.689","36.815","36.638","","0.12%"
"06/23/2008","36.702","36.794","36.811","36.608","","-0.16%"
"06/20/2008","36.761","36.666","36.829","36.640","","0.23%"
"06/19/2008","36.675","36.683","36.783","36.617","","-0.06%"
"06/18/2008","36.698","36.668","36.739","36.600","","0.05%"
"06/17/2008","36.678","36.634","36.741","36.586","","0.10%"
"06/16/2008","36.640","36.620","36.701","36.504","","0.14%"
"06/13/2008","36.589","36.666","36.720","36.473","","-0.22%"
"06/12/2008","36.668","36.778","36.796","36.544","","-0.24%"
"06/11/2008","36.758","36.642","36.825","36.605","","0.28%"
"06/10/2008","36.657","36.989","37.023","36.592","","-0.94%"
"06/09/2008","37.005","37.181","37.211","36.960","","-0.35%"
"06/06/2008","37.136","36.893","37.142","36.875","","0.62%"
"06/05/2008","36.907","36.719","36.931","36.637","","0.47%"
"06/04/2008","36.735","36.739","36.828","36.684","","0.00%"
"06/03/2008","36.736","36.837","36.958","36.685","","-0.27%"
"06/02/2008","36.836","36.842","36.908","36.752","","-0.02%"
"05/30/2008","36.844","36.799","36.870","36.713","","0.09%"
"05/29/2008","36.810","36.947","36.981","36.756","","-0.40%"
"05/28/2008","36.959","37.024","37.165","36.881","","-0.28%"
"05/27/2008","37.063","37.103","37.171","37.019","","-0.15%"
"05/26/2008","37.118","37.114","37.187","37.056","","-0.09%"
"05/23/2008","37.150","37.108","37.187","37.029","","0.04%"
"05/22/2008","37.134","37.202","37.263","37.070","","-0.19%"
"05/21/2008","37.203","37.083","37.227","37.018","","0.30%"
"05/20/2008","37.090","36.904","37.144","36.879","","0.49%"
"05/19/2008","36.909","36.945","37.055","36.855","","-0.08%"
"05/16/2008","36.938","36.896","36.982","36.763","","0.09%"
"05/15/2008","36.904","36.952","37.073","36.865","","-0.11%"
"05/14/2008","36.944","36.805","36.997","36.757","","0.38%"
"05/13/2008","36.805","36.821","36.905","36.739","","-0.08%"
