"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2008","5.2510","5.2777","5.3099","5.1958","","-0.57%"
"12/30/2008","5.2813","5.2339","5.3377","5.2230","","0.64%"
"12/29/2008","5.2478","5.2753","5.3930","5.2425","","-0.53%"
"12/26/2008","5.2755","5.2576","5.2995","5.2504","","0.27%"
"12/25/2008","5.2614","5.2562","5.2745","5.2442","","0.10%"
"12/24/2008","5.2559","5.2289","5.2622","5.2195","","0.31%"
"12/23/2008","5.2395","5.2266","5.2619","5.2214","","0.16%"
"12/22/2008","5.2311","5.2256","5.2985","5.2134","","0.19%"
"12/19/2008","5.2214","5.3431","5.3693","5.1841","","-2.08%"
"12/18/2008","5.3322","5.4031","5.5222","5.3202","","-1.34%"
"12/17/2008","5.4047","5.2706","5.4167","5.2481","","2.22%"
"12/16/2008","5.2875","5.1372","5.3067","5.1116","","2.79%"
"12/15/2008","5.1439","5.0160","5.1439","5.0148","","2.51%"
"12/12/2008","5.0178","5.0073","5.0333","4.9690","","0.13%"
"12/11/2008","5.0112","4.8810","5.0301","4.8754","","2.66%"
"12/10/2008","4.8814","4.8465","4.9039","4.8379","","0.80%"
"12/09/2008","4.8426","4.8585","4.8774","4.7989","","-0.21%"
"12/08/2008","4.8529","4.7726","4.8636","4.7691","","1.53%"
"12/05/2008","4.7798","4.7950","4.8018","4.7350","","-0.27%"
"12/04/2008","4.7929","4.7646","4.8202","4.7063","","0.46%"
"12/03/2008","4.7708","4.7676","4.7806","4.7261","","0.03%"
"12/02/2008","4.7694","4.7303","4.7904","4.7110","","0.70%"
"12/01/2008","4.7363","4.7666","4.7691","4.7183","","-0.59%"
"11/28/2008","4.7645","4.8396","4.8628","4.7421","","-1.46%"
"11/27/2008","4.8350","4.8336","4.8653","4.8216","","-0.02%"
"11/26/2008","4.8362","4.8994","4.9037","4.8074","","-1.31%"
"11/25/2008","4.9002","4.8484","4.9077","4.8018","","1.15%"
"11/24/2008","4.8445","4.7215","4.8508","4.7125","","2.62%"
"11/21/2008","4.7208","4.6699","4.7431","4.6589","","1.01%"
"11/20/2008","4.6738","4.6890","4.7248","4.6710","","-0.51%"
"11/19/2008","4.6976","4.7301","4.8079","4.6941","","-0.82%"
"11/18/2008","4.7364","4.7426","4.7647","4.7125","","-0.18%"
"11/17/2008","4.7448","4.7001","4.7812","4.6926","","0.52%"
"11/14/2008","4.7203","4.7931","4.8130","4.7181","","-1.95%"
"11/13/2008","4.8140","4.6890","4.8225","4.6457","","2.89%"
"11/12/2008","4.6786","4.6970","4.7392","4.6754","","-0.35%"
"11/11/2008","4.6951","4.7815","4.8006","4.6890","","-1.64%"
"11/10/2008","4.7732","4.8132","4.8479","4.7672","","-0.26%"
"11/07/2008","4.7857","4.7666","4.8191","4.7456","","0.53%"
"11/06/2008","4.7606","4.8616","4.8649","4.7595","","-2.07%"
"11/05/2008","4.8612","4.8740","4.9094","4.7685","","-0.71%"
"11/04/2008","4.8959","4.7404","4.8959","4.7006","","3.12%"
"11/03/2008","4.7478","4.7836","4.8403","4.7284","","-0.67%"
"10/31/2008","4.7797","4.8213","4.8399","4.6995","","-1.28%"
"10/30/2008","4.8415","4.8630","4.9863","4.8004","","-0.47%"
"10/29/2008","4.8644","4.7832","4.8756","4.7334","","2.02%"
"10/28/2008","4.7682","4.6768","4.7787","4.6212","","2.04%"
"10/27/2008","4.6731","4.7036","4.7577","4.6251","","-1.26%"
"10/24/2008","4.7325","4.8655","4.8685","4.6735","","-2.89%"
"10/23/2008","4.8734","4.8128","4.8779","4.7742","","1.20%"
"10/22/2008","4.8154","4.9007","4.9085","4.7917","","-1.75%"
"10/21/2008","4.9013","5.0071","5.0178","4.8973","","-2.33%"
"10/20/2008","5.0180","5.0403","5.1018","4.9687","","-0.41%"
"10/17/2008","5.0388","5.0799","5.0946","5.0217","","-0.86%"
"10/16/2008","5.0823","5.0628","5.0993","4.9714","","0.31%"
"10/15/2008","5.0665","5.1141","5.1564","5.0583","","-1.10%"
"10/14/2008","5.1227","5.0439","5.1806","5.0417","","1.55%"
"10/13/2008","5.0443","5.0846","5.1510","5.0042","","0.27%"
"10/10/2008","5.0306","5.1017","5.1295","4.9714","","-1.61%"
"10/09/2008","5.1131","5.1292","5.1969","5.0945","","-0.50%"
"10/08/2008","5.1387","5.1345","5.1831","5.0726","","0.11%"
"10/07/2008","5.1330","5.0646","5.1800","5.0627","","1.19%"
"10/06/2008","5.0728","5.1331","5.1451","5.0458","","-1.96%"
"10/03/2008","5.1741","5.1879","5.2255","5.1478","","-0.32%"
"10/02/2008","5.1906","5.2674","5.2707","5.1605","","-1.51%"
"10/01/2008","5.2702","5.3047","5.3281","5.2334","","-0.64%"
"09/30/2008","5.3041","5.4159","5.4231","5.2614","","-2.17%"
"09/29/2008","5.4219","5.4494","5.4760","5.3672","","-1.27%"
"09/26/2008","5.4914","5.4850","5.5155","5.4623","","-0.03%"
"09/25/2008","5.4931","5.4818","5.5455","5.4647","","0.14%"
"09/24/2008","5.4854","5.4968","5.5366","5.4820","","-0.27%"
"09/23/2008","5.5004","5.5522","5.5676","5.4881","","-0.93%"
"09/22/2008","5.5523","5.4390","5.5827","5.4144","","2.34%"
"09/19/2008","5.4251","5.3781","5.4379","5.3083","","0.82%"
"09/18/2008","5.3812","5.3709","5.4609","5.3516","","0.35%"
"09/17/2008","5.3626","5.2904","5.3967","5.2852","","1.17%"
"09/16/2008","5.3007","5.3484","5.3620","5.2803","","-0.93%"
"09/15/2008","5.3504","5.3678","5.4309","5.2816","","0.27%"
