"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2008","10.9328","10.9083","11.0114","10.7974","","-0.04%"
"12/30/2008","10.9373","10.9809","11.0287","10.8866","","-0.55%"
"12/29/2008","10.9982","11.0807","11.1503","10.9514","","-1.83%"
"12/26/2008","11.2035","10.9980","11.3606","10.9980","","1.99%"
"12/25/2008","10.9850","11.1675","11.2486","10.8524","","-1.86%"
"12/24/2008","11.1931","11.1624","11.4130","11.0773","","-0.02%"
"12/23/2008","11.1951","11.0329","11.2747","10.9088","","1.62%"
"12/22/2008","11.0164","10.8148","11.0202","10.8027","","1.57%"
"12/19/2008","10.8459","10.9934","11.0440","10.7680","","-1.59%"
"12/18/2008","11.0216","10.9726","11.2186","10.8524","","0.56%"
"12/17/2008","10.9599","11.1187","11.1896","10.9023","","-1.79%"
"12/16/2008","11.1594","10.9790","11.2717","10.8830","","1.64%"
"12/15/2008","10.9792","10.7131","11.0246","10.6656","","2.23%"
"12/12/2008","10.7392","10.6005","10.8111","10.5489","","1.24%"
"12/11/2008","10.6075","10.6109","10.6452","10.5287","","-0.26%"
"12/10/2008","10.6352","10.5754","10.6553","10.4995","","0.49%"
"12/09/2008","10.5830","10.4159","10.7020","10.3805","","1.43%"
"12/08/2008","10.4343","10.5990","10.6420","10.3469","","-1.79%"
"12/05/2008","10.6250","10.5438","10.8214","10.5052","","0.67%"
"12/04/2008","10.5542","10.3984","10.6439","10.3709","","1.24%"
"12/03/2008","10.4248","10.4198","10.5231","10.3451","","0.01%"
"12/02/2008","10.4233","10.4918","10.5757","10.3149","","-0.90%"
"12/01/2008","10.5175","10.2562","10.5355","10.2438","","2.34%"
"11/28/2008","10.2771","10.2749","10.3644","10.2359","","-0.12%"
"11/27/2008","10.2890","10.3287","10.3628","10.2176","","-0.45%"
"11/26/2008","10.3360","10.3132","10.4347","10.2421","","0.62%"
"11/25/2008","10.2721","10.2679","10.4023","10.1880","","-0.17%"
"11/24/2008","10.2896","10.4904","10.5732","10.1801","","-2.65%"
"11/21/2008","10.5695","10.3734","10.6861","10.2406","","1.90%"
"11/20/2008","10.3729","10.2386","10.3996","10.1993","","1.26%"
"11/19/2008","10.2440","10.1283","10.2676","10.1016","","1.00%"
"11/18/2008","10.1429","10.1286","10.2062","10.0977","","0.20%"
"11/17/2008","10.1230","10.0592","10.1264","9.9748","","0.90%"
"11/14/2008","10.0329","9.9982","10.0527","9.9399","","0.17%"
"11/13/2008","10.0159","10.1111","10.1766","9.9956","","-1.13%"
"11/12/2008","10.1305","10.1107","10.1728","10.0324","","0.17%"
"11/11/2008","10.1137","10.0044","10.1245","9.9474","","1.06%"
"11/10/2008","10.0073","10.0711","10.0820","9.9443","","-0.65%"
"11/07/2008","10.0729","10.0620","10.1035","9.9722","","0.03%"
"11/06/2008","10.0697","10.0540","10.1131","9.9074","","0.54%"
"11/05/2008","10.0156","9.8780","10.0681","9.8570","","1.27%"
"11/04/2008","9.8899","9.8457","9.9325","9.8142","","0.55%"
"11/03/2008","9.8362","9.9128","9.9240","9.8050","","-0.64%"
"10/31/2008","9.8992","9.8081","9.9568","9.7884","","0.82%"
"10/30/2008","9.8187","9.8523","9.9388","9.7523","","-0.35%"
"10/29/2008","9.8528","9.9007","9.9477","9.7976","","-0.74%"
"10/28/2008","9.9262","9.9951","10.0811","9.8931","","-0.93%"
"10/27/2008","10.0197","9.9882","10.1225","9.8937","","0.04%"
"10/24/2008","10.0156","9.9055","10.0960","9.8882","","0.88%"
"10/23/2008","9.9287","10.0682","10.1340","9.8808","","-1.31%"
"10/22/2008","10.0604","10.1210","10.1667","10.0101","","-0.80%"
"10/21/2008","10.1416","9.9259","10.1761","9.8964","","1.96%"
"10/20/2008","9.9464","9.9588","10.0163","9.8162","","0.03%"
"10/17/2008","9.9430","9.9861","10.1075","9.9140","","-0.50%"
"10/16/2008","9.9928","10.1378","10.1931","9.9004","","-1.08%"
"10/15/2008","10.1014","9.7914","10.1014","9.7666","","3.03%"
"10/14/2008","9.8048","9.6799","9.8128","9.6496","","1.13%"
"10/13/2008","9.6953","9.6296","9.7316","9.5953","","0.13%"
"10/10/2008","9.6827","9.6783","9.7592","9.5928","","-0.09%"
