"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2008","2.0027","2.0206","2.0389","1.9941","","-1.00%"
"12/30/2008","2.0229","2.0183","2.0526","2.0099","","0.15%"
"12/29/2008","2.0198","2.0322","2.0651","2.0140","","-0.86%"
"12/26/2008","2.0373","2.0205","2.0446","2.0189","","0.59%"
"12/25/2008","2.0254","2.0249","2.0304","2.0128","","-0.03%"
"12/24/2008","2.0261","2.0218","2.0309","2.0143","","-0.01%"
"12/23/2008","2.0264","2.0114","2.0328","2.0072","","0.57%"
"12/22/2008","2.0149","2.0320","2.0427","2.0079","","-0.84%"
"12/19/2008","2.0319","2.0514","2.0757","2.0155","","-0.64%"
"12/18/2008","2.0450","2.0650","2.1094","2.0350","","-1.05%"
"12/17/2008","2.0667","2.0502","2.0823","2.0415","","0.50%"
"12/16/2008","2.0564","2.0203","2.0655","2.0106","","1.64%"
"12/15/2008","2.0232","1.9895","2.0247","1.9845","","1.49%"
"12/12/2008","1.9935","1.9866","1.9971","1.9725","","0.36%"
"12/11/2008","1.9863","1.9520","1.9900","1.9435","","1.74%"
"12/10/2008","1.9523","1.9459","1.9601","1.9371","","0.40%"
"12/09/2008","1.9446","1.9453","1.9537","1.9268","","0.02%"
"12/08/2008","1.9443","1.9398","1.9544","1.9346","","0.27%"
"12/05/2008","1.9391","1.9516","1.9548","1.9238","","-0.57%"
"12/04/2008","1.9503","1.9335","1.9584","1.9184","","0.63%"
"12/03/2008","1.9381","1.9412","1.9468","1.9266","","-0.31%"
"12/02/2008","1.9441","1.9296","1.9539","1.9207","","0.58%"
"12/01/2008","1.9329","1.9212","1.9417","1.9138","","0.60%"
"11/28/2008","1.9213","1.9467","1.9541","1.9055","","-1.25%"
"11/27/2008","1.9456","1.9461","1.9572","1.9381","","0.05%"
"11/26/2008","1.9446","1.9687","1.9724","1.9346","","-1.23%"
"11/25/2008","1.9688","1.9482","1.9708","1.9412","","1.01%"
"11/24/2008","1.9492","1.9210","1.9499","1.9199","","1.47%"
"11/21/2008","1.9210","1.9038","1.9358","1.9008","","0.72%"
"11/20/2008","1.9073","1.9111","1.9261","1.9060","","-0.40%"
"11/19/2008","1.9150","1.9237","1.9529","1.9124","","-0.72%"
"11/18/2008","1.9289","1.9242","1.9398","1.9185","","0.12%"
"11/17/2008","1.9266","1.9017","1.9396","1.9014","","0.24%"
"11/14/2008","1.9219","1.9297","1.9418","1.9140","","-0.76%"
"11/13/2008","1.9367","1.8874","1.9447","1.8772","","2.80%"
"11/12/2008","1.8840","1.8837","1.8992","1.8790","","0.11%"
"11/11/2008","1.8819","1.8991","1.9203","1.8802","","-0.75%"
"11/10/2008","1.8962","1.9126","1.9236","1.8942","","-0.48%"
"11/07/2008","1.9053","1.9078","1.9199","1.8970","","-0.18%"
"11/06/2008","1.9087","1.9156","1.9216","1.8893","","-0.29%"
"11/05/2008","1.9143","1.9133","1.9345","1.8863","","-0.18%"
"11/04/2008","1.9178","1.8661","1.9204","1.8602","","2.54%"
"11/03/2008","1.8703","1.8890","1.8955","1.8621","","-0.92%"
"10/31/2008","1.8877","1.8876","1.9098","1.8778","","-0.39%"
"10/30/2008","1.8951","1.9294","1.9474","1.8848","","-1.68%"
"10/29/2008","1.9274","1.8963","1.9390","1.8932","","1.97%"
"10/28/2008","1.8902","1.8853","1.8959","1.8650","","0.33%"
"10/27/2008","1.8840","1.8919","1.9070","1.8640","","-1.03%"
"10/24/2008","1.9037","1.9461","1.9489","1.8868","","-2.25%"
"10/23/2008","1.9476","1.9232","1.9505","1.9078","","1.10%"
"10/22/2008","1.9265","1.9347","1.9407","1.9121","","-0.56%"
"10/21/2008","1.9373","1.9682","1.9736","1.9347","","-1.70%"
"10/20/2008","1.9708","1.9827","1.9997","1.9640","","-0.73%"
"10/17/2008","1.9853","1.9913","1.9996","1.9760","","-0.33%"
"10/16/2008","1.9918","1.9905","2.0034","1.9763","","-0.02%"
"10/15/2008","1.9922","1.9945","2.0111","1.9874","","-0.22%"
"10/14/2008","1.9966","1.9799","2.0109","1.9791","","0.50%"
"10/13/2008","1.9866","2.0101","2.0200","1.9787","","-0.14%"
"10/10/2008","1.9893","2.0026","2.0180","1.9671","","-0.69%"
"10/09/2008","2.0031","1.9998","2.0220","1.9964","","0.04%"
"10/08/2008","2.0023","2.0001","2.0151","1.9849","","0.37%"
"10/07/2008","1.9949","1.9772","2.0033","1.9753","","0.83%"
"10/06/2008","1.9784","1.9825","1.9968","1.9736","","-0.94%"
"10/03/2008","1.9972","1.9997","2.0141","1.9891","","-0.33%"
"10/02/2008","2.0038","2.0147","2.0168","1.9874","","-0.72%"
"10/01/2008","2.0183","2.0261","2.0308","2.0071","","-0.34%"
"09/30/2008","2.0252","2.0612","2.0654","2.0041","","-1.86%"
"09/29/2008","2.0636","2.0719","2.0791","2.0495","","-1.12%"
"09/26/2008","2.0869","2.0796","2.0909","2.0758","","0.29%"
"09/25/2008","2.0809","2.0787","2.0975","2.0716","","0.03%"
"09/24/2008","2.0803","2.0764","2.0973","2.0710","","0.22%"
"09/23/2008","2.0757","2.0811","2.0902","2.0709","","-0.31%"
"09/22/2008","2.0821","2.0667","2.0920","2.0543","","0.88%"
"09/19/2008","2.0640","2.0489","2.0683","2.0294","","0.67%"
"09/18/2008","2.0503","2.0452","2.0793","2.0428","","0.29%"
"09/17/2008","2.0444","2.0266","2.0553","2.0201","","0.77%"
"09/16/2008","2.0288","2.0343","2.0494","2.0215","","-0.12%"
"09/15/2008","2.0312","2.0509","2.0686","2.0213","","-0.43%"
"09/12/2008","2.0400","2.0124","2.0400","2.0047","","1.19%"
"09/11/2008","2.0161","2.0100","2.0207","2.0047","","0.24%"
"09/10/2008","2.0113","2.0248","2.0321","2.0085","","-0.85%"
"09/09/2008","2.0285","2.0234","2.0373","2.0167","","0.22%"
"09/08/2008","2.0241","2.0641","2.0659","2.0128","","-1.19%"
"09/05/2008","2.0484","2.0476","2.0578","2.0399","","0.02%"
"09/04/2008","2.0479","2.0799","2.0824","2.0427","","-1.51%"
"09/03/2008","2.0794","2.0806","2.0836","2.0683","","0.00%"
"09/02/2008","2.0793","2.0795","2.0865","2.0714","","0.00%"
"09/01/2008","2.0794","2.0840","2.0896","2.0753","","0.08%"
"08/29/2008","2.0777","2.0836","2.0913","2.0751","","-0.32%"
"08/28/2008","2.0843","2.0844","2.0948","2.0801","","-0.10%"
"08/27/2008","2.0864","2.0882","2.0931","2.0802","","-0.16%"
"08/26/2008","2.0897","2.0919","2.0962","2.0750","","-0.15%"
"08/25/2008","2.0928","2.0876","2.0975","2.0811","","0.16%"
"08/22/2008","2.0895","2.0910","2.0961","2.0815","","-0.21%"
"08/21/2008","2.0938","2.0819","2.0981","2.0791","","0.50%"
"08/20/2008","2.0834","2.0865","2.0875","2.0751","","-0.18%"
"08/19/2008","2.0871","2.0750","2.0930","2.0719","","0.49%"
"08/18/2008","2.0770","2.0825","2.0861","2.0744","","-0.30%"
