"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2008","48.659","48.851","49.286","47.997","","-0.52%"
"12/30/2008","48.913","48.748","49.559","48.608","","-0.02%"
"12/29/2008","48.921","49.140","50.249","48.829","","-0.53%"
"12/26/2008","49.180","48.671","49.379","48.664","","0.92%"
"12/25/2008","48.732","48.289","48.853","48.286","","0.80%"
"12/24/2008","48.344","48.205","48.570","48.040","","0.01%"
"12/23/2008","48.338","48.086","48.581","48.059","","0.41%"
"12/22/2008","48.142","47.989","48.823","47.916","","0.26%"
"12/19/2008","48.017","48.964","49.591","47.617","","-1.84%"
"12/18/2008","48.918","49.744","50.715","48.775","","-1.72%"
"12/17/2008","49.776","48.820","49.887","48.363","","1.53%"
"12/16/2008","49.026","47.720","49.200","47.347","","2.42%"
"12/15/2008","47.867","46.785","47.874","46.774","","2.20%"
"12/12/2008","46.837","46.795","46.978","46.358","","-0.07%"
"12/11/2008","46.871","46.031","47.050","45.874","","1.64%"
"12/10/2008","46.116","45.796","46.330","45.559","","0.71%"
"12/09/2008","45.789","45.870","46.075","45.319","","-0.28%"
"12/08/2008","45.916","45.332","46.017","45.307","","1.10%"
"12/05/2008","45.416","45.527","45.600","44.920","","-0.27%"
"12/04/2008","45.541","45.226","45.812","44.759","","0.59%"
"12/03/2008","45.274","45.153","45.350","44.784","","0.19%"
"12/02/2008","45.190","45.025","45.365","44.721","","0.12%"
"12/01/2008","45.138","45.066","45.444","44.857","","0.21%"
"11/28/2008","45.043","45.651","46.014","44.810","","-1.36%"
"11/27/2008","45.662","45.404","45.975","45.344","","0.46%"
"11/26/2008","45.452","45.943","46.045","45.119","","-1.20%"
"11/25/2008","46.006","45.593","46.061","44.993","","0.96%"
"11/24/2008","45.570","44.351","45.626","44.263","","2.70%"
"11/21/2008","44.372","43.715","44.551","43.576","","1.37%"
"11/20/2008","43.771","43.782","44.265","43.673","","-0.24%"
"11/19/2008","43.878","44.142","44.847","43.831","","-0.76%"
"11/18/2008","44.215","44.245","44.477","43.920","","-0.05%"
"11/17/2008","44.235","43.799","44.498","43.736","","-0.15%"
"11/14/2008","44.302","44.641","44.853","44.035","","-1.26%"
"11/13/2008","44.867","43.682","44.960","43.379","","2.83%"
