"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2008","2.1549","2.1387","2.1560","2.1187","","0.68%"
"12/30/2008","2.1403","2.1096","2.1714","2.1069","","0.85%"
"12/29/2008","2.1223","2.1253","2.1745","2.1181","","-0.06%"
"12/26/2008","2.1236","2.1136","2.1358","2.1015","","0.23%"
"12/25/2008","2.1187","2.1302","2.1362","2.1042","","-0.46%"
"12/24/2008","2.1285","2.1149","2.1364","2.1076","","0.40%"
"12/23/2008","2.1200","2.1291","2.1468","2.1097","","-0.62%"
"12/22/2008","2.1333","2.1224","2.1509","2.1098","","0.34%"
"12/19/2008","2.1260","2.1533","2.1678","2.1009","","-1.05%"
"12/18/2008","2.1486","2.2007","2.2458","2.1278","","-2.29%"
"12/17/2008","2.1989","2.1646","2.2190","2.1495","","1.21%"
"12/16/2008","2.1726","2.1374","2.1867","2.1259","","1.55%"
"12/15/2008","2.1395","2.0815","2.1475","2.0805","","2.71%"
"12/12/2008","2.0830","2.0429","2.0998","2.0323","","1.49%"
"12/11/2008","2.0525","2.0181","2.0619","2.0171","","1.50%"
"12/10/2008","2.0222","2.0324","2.0442","2.0135","","-0.46%"
"12/09/2008","2.0316","2.0325","2.0479","2.0083","","-0.06%"
"12/08/2008","2.0329","2.0319","2.0569","1.9995","","-0.11%"
"12/05/2008","2.0351","1.9904","2.0482","1.9764","","2.02%"
"12/04/2008","1.9949","1.9953","2.0052","1.9680","","-0.31%"
"12/03/2008","2.0011","2.0104","2.0191","1.9747","","-0.67%"
"12/02/2008","2.0146","2.0159","2.0515","2.0004","","-0.34%"
"12/01/2008","2.0215","1.9844","2.0312","1.9703","","1.71%"
"11/28/2008","1.9876","2.0241","2.0354","1.9758","","-1.94%"
"11/27/2008","2.0269","2.0247","2.0476","2.0147","","-0.17%"
"11/26/2008","2.0304","2.0599","2.0786","2.0150","","-1.46%"
"11/25/2008","2.0605","2.0475","2.0624","2.0066","","0.67%"
"11/24/2008","2.0467","2.0977","2.1246","2.0066","","-2.88%"
"11/21/2008","2.1075","2.1508","2.1716","2.0920","","-2.34%"
"11/20/2008","2.1580","2.1627","2.1935","2.1089","","-0.65%"
"11/19/2008","2.1722","2.0836","2.1879","2.0798","","4.00%"
"11/18/2008","2.0886","2.0649","2.1155","2.0565","","0.93%"
"11/17/2008","2.0694","2.0180","2.0846","2.0148","","1.36%"
"11/14/2008","2.0417","2.0797","2.0981","2.0320","","-2.37%"
"11/13/2008","2.0913","2.0562","2.1138","2.0218","","1.63%"
"11/12/2008","2.0578","2.0099","2.0849","1.9933","","2.28%"
"11/11/2008","2.0120","1.9667","2.0609","1.9591","","2.19%"
"11/10/2008","1.9688","1.9800","1.9941","1.9447","","-0.14%"
"11/07/2008","1.9716","1.9889","2.0024","1.9511","","-0.93%"
"11/06/2008","1.9901","1.9794","1.9981","1.9342","","0.30%"
"11/05/2008","1.9842","1.9200","1.9912","1.8992","","2.73%"
"11/04/2008","1.9315","1.9535","1.9648","1.9152","","-1.32%"
"11/03/2008","1.9573","1.9578","1.9864","1.9285","","-0.33%"
"10/31/2008","1.9637","1.9554","2.0179","1.9363","","-0.16%"
"10/30/2008","1.9668","1.9570","2.0099","1.9294","","0.31%"
"10/29/2008","1.9608","1.9847","2.0090","1.9183","","-1.19%"
"10/28/2008","1.9844","2.0321","2.0635","1.9252","","-2.29%"
"10/27/2008","2.0310","2.1237","2.1478","2.0285","","-5.08%"
"10/24/2008","2.1398","2.1924","2.1968","2.1165","","-2.72%"
"10/23/2008","2.1996","2.1716","2.2378","2.1231","","1.17%"
"10/22/2008","2.1742","2.0625","2.1810","2.0191","","5.20%"
"10/21/2008","2.0667","2.0064","2.0978","2.0020","","2.64%"
"10/20/2008","2.0136","2.0106","2.0446","1.9957","","-0.05%"
"10/17/2008","2.0147","2.0414","2.0590","1.9825","","-1.53%"
"10/16/2008","2.0460","1.9345","2.0681","1.9174","","5.65%"
"10/15/2008","1.9365","1.8809","1.9562","1.8648","","2.77%"
"10/14/2008","1.8843","1.8785","1.8991","1.8621","","0.10%"
"10/13/2008","1.8825","1.9395","1.9519","1.8695","","-2.07%"
"10/10/2008","1.9222","1.9131","1.9598","1.9018","","0.29%"
"10/09/2008","1.9166","1.9417","1.9555","1.8702","","-1.36%"
"10/08/2008","1.9430","1.8878","1.9567","1.8744","","3.13%"
"10/07/2008","1.8840","1.8531","1.8916","1.8256","","1.56%"
"10/06/2008","1.8550","1.7914","1.8823","1.7777","","3.04%"
"10/03/2008","1.8003","1.8163","1.8289","1.7815","","-0.89%"
"10/02/2008","1.8165","1.7796","1.8218","1.7674","","1.90%"
"10/01/2008","1.7826","1.8004","1.8041","1.7767","","-0.98%"
"09/30/2008","1.8003","1.8160","1.8491","1.7829","","-1.05%"
"09/29/2008","1.8194","1.7908","1.8372","1.7767","","0.79%"
"09/26/2008","1.8052","1.7955","1.8201","1.7949","","0.46%"
"09/25/2008","1.7970","1.8114","1.8317","1.7938","","-0.97%"
"09/24/2008","1.8146","1.8200","1.8325","1.8098","","-0.44%"
"09/23/2008","1.8226","1.8280","1.8403","1.8160","","-0.42%"
"09/22/2008","1.8302","1.8120","1.8395","1.7933","","1.05%"
"09/19/2008","1.8112","1.8323","1.8362","1.7733","","-1.22%"
"09/18/2008","1.8335","1.8412","1.8579","1.8254","","-0.33%"
"09/17/2008","1.8395","1.7956","1.8519","1.7812","","2.12%"
"09/16/2008","1.8013","1.7970","1.8306","1.7867","","0.22%"
"09/15/2008","1.7974","1.7698","1.8233","1.7670","","2.13%"
"09/12/2008","1.7600","1.7686","1.7745","1.7443","","-0.68%"
"09/11/2008","1.7720","1.7377","1.7726","1.7333","","1.78%"
"09/10/2008","1.7410","1.7334","1.7513","1.7302","","0.18%"
"09/09/2008","1.7378","1.7402","1.7489","1.7228","","-0.25%"
"09/08/2008","1.7421","1.7786","1.7979","1.7275","","-1.39%"
"09/05/2008","1.7666","1.7704","1.7847","1.7570","","-0.48%"
"09/04/2008","1.7751","1.7605","1.7814","1.7523","","0.77%"
"09/03/2008","1.7616","1.7356","1.7679","1.7207","","1.42%"
"09/02/2008","1.7369","1.7301","1.7402","1.7135","","0.23%"
"09/01/2008","1.7330","1.7405","1.7450","1.7221","","-0.29%"
"08/29/2008","1.7380","1.7433","1.7500","1.7268","","-0.41%"
"08/28/2008","1.7452","1.7483","1.7598","1.7391","","-0.28%"
"08/27/2008","1.7501","1.7423","1.7608","1.7355","","0.32%"
"08/26/2008","1.7445","1.7500","1.7531","1.7302","","-0.43%"
"08/25/2008","1.7520","1.7511","1.7579","1.7385","","-0.17%"
"08/22/2008","1.7550","1.7672","1.7774","1.7451","","-0.93%"
"08/21/2008","1.7714","1.7554","1.7757","1.7515","","0.78%"
"08/20/2008","1.7577","1.7589","1.7647","1.7406","","-0.09%"
"08/19/2008","1.7592","1.7415","1.7661","1.7297","","0.78%"
"08/18/2008","1.7456","1.7423","1.7515","1.7298","","0.04%"
"08/15/2008","1.7449","1.7508","1.7537","1.7299","","-0.52%"
"08/14/2008","1.7541","1.7646","1.7731","1.7419","","-0.78%"
"08/13/2008","1.7679","1.7604","1.7752","1.7456","","0.36%"
"08/12/2008","1.7616","1.7695","1.7761","1.7482","","-0.54%"
"08/11/2008","1.7711","1.7768","1.7868","1.7638","","-0.65%"
"08/08/2008","1.7826","1.8009","1.8046","1.7695","","-1.22%"
"08/07/2008","1.8046","1.7904","1.8140","1.7834","","0.60%"
"08/06/2008","1.7939","1.7832","1.8079","1.7777","","0.37%"
"08/05/2008","1.7873","1.7928","1.7978","1.7762","","-0.48%"
"08/04/2008","1.7959","1.7976","1.8114","1.7806","","-0.26%"
"08/01/2008","1.8005","1.8060","1.8167","1.7899","","-0.65%"
"07/31/2008","1.8123","1.8102","1.8275","1.7930","","-0.15%"
"07/30/2008","1.8150","1.8572","1.8671","1.8040","","-2.17%"
"07/29/2008","1.8552","1.8966","1.9017","1.8489","","-2.36%"
"07/28/2008","1.9001","1.8972","1.9042","1.8817","","0.11%"
"07/25/2008","1.8981","1.8917","1.9038","1.8805","","0.15%"
"07/24/2008","1.8952","1.8873","1.9019","1.8704","","0.28%"
"07/23/2008","1.8899","1.8862","1.8994","1.8704","","0.15%"
"07/22/2008","1.8870","1.8978","1.9118","1.8838","","-0.74%"
"07/21/2008","1.9010","1.8823","1.9025","1.8747","","0.83%"
"07/18/2008","1.8854","1.8976","1.9087","1.8709","","-0.93%"
"07/17/2008","1.9031","1.9116","1.9227","1.8860","","-0.47%"
"07/16/2008","1.9120","1.9356","1.9488","1.9084","","-1.34%"
"07/15/2008","1.9379","1.9365","1.9614","1.9279","","0.01%"
"07/14/2008","1.9378","1.9526","1.9540","1.9163","","-0.54%"
"07/11/2008","1.9484","1.9272","1.9596","1.9139","","1.00%"
"07/10/2008","1.9291","1.9266","1.9400","1.9037","","0.06%"
"07/09/2008","1.9279","1.9175","1.9308","1.9074","","0.50%"
"07/08/2008","1.9183","1.9336","1.9471","1.9141","","-0.84%"
"07/07/2008","1.9345","1.9364","1.9445","1.9060","","-0.15%"
"07/04/2008","1.9375","1.9444","1.9535","1.9284","","-0.45%"
"07/03/2008","1.9463","1.9729","1.9990","1.9417","","-1.44%"
"07/02/2008","1.9748","1.9602","1.9768","1.9462","","0.68%"
"07/01/2008","1.9615","1.9267","1.9799","1.9209","","1.70%"
"06/30/2008","1.9287","1.9359","1.9451","1.9191","","-0.58%"
"06/27/2008","1.9400","1.9293","1.9479","1.9118","","0.43%"
"06/26/2008","1.9317","1.9021","1.9336","1.8915","","1.47%"
"06/25/2008","1.9037","1.9099","1.9152","1.8844","","-0.39%"
"06/24/2008","1.9112","1.9120","1.9244","1.9030","","-0.13%"
"06/23/2008","1.9136","1.9140","1.9155","1.8953","","0.12%"
"06/20/2008","1.9114","1.8960","1.9265","1.8860","","0.83%"
"06/19/2008","1.8957","1.9070","1.9240","1.8880","","-0.49%"
"06/18/2008","1.9051","1.9032","1.9158","1.8849","","0.03%"
"06/17/2008","1.9045","1.9257","1.9365","1.8890","","-1.14%"
"06/16/2008","1.9264","1.9322","1.9354","1.9015","","-0.07%"
"06/13/2008","1.9278","1.9387","1.9432","1.9121","","-0.59%"
"06/12/2008","1.9393","1.9633","1.9661","1.9208","","-1.28%"
"06/11/2008","1.9645","1.9447","1.9699","1.9229","","0.91%"
"06/10/2008","1.9468","1.9419","1.9576","1.9166","","0.25%"
"06/09/2008","1.9420","1.9727","1.9828","1.9273","","-1.22%"
"06/06/2008","1.9659","1.9331","1.9720","1.9206","","1.59%"
"06/05/2008","1.9351","1.9089","1.9387","1.8809","","1.32%"
"06/04/2008","1.9098","1.9044","1.9254","1.8919","","0.09%"
"06/03/2008","1.9081","1.9115","1.9306","1.8818","","-0.16%"
"06/02/2008","1.9111","1.8992","1.9179","1.8828","","0.81%"
"05/30/2008","1.8958","1.8734","1.8989","1.8619","","1.18%"
"05/29/2008","1.8736","1.9198","1.9208","1.8621","","-2.41%"
"05/28/2008","1.9198","1.9391","1.9592","1.9015","","-1.34%"
"05/27/2008","1.9459","1.9645","1.9760","1.9438","","-1.00%"
"05/26/2008","1.9655","1.9646","1.9756","1.9547","","-0.11%"
"05/23/2008","1.9676","1.9606","1.9727","1.9446","","0.29%"
"05/22/2008","1.9620","1.9754","1.9833","1.9468","","-0.77%"
"05/21/2008","1.9772","1.9393","1.9788","1.9351","","1.87%"
"05/20/2008","1.9409","1.9096","1.9489","1.9036","","1.53%"
"05/19/2008","1.9117","1.9217","1.9312","1.8987","","-0.22%"
"05/16/2008","1.9160","1.9096","1.9327","1.8864","","0.25%"
"05/15/2008","1.9113","1.9399","1.9540","1.9074","","-1.50%"
"05/14/2008","1.9404","1.9267","1.9459","1.9178","","0.64%"
"05/13/2008","1.9281","1.9492","1.9526","1.9204","","-1.20%"
"05/12/2008","1.9516","1.9608","1.9632","1.9250","","-0.44%"
"05/09/2008","1.9602","1.9442","1.9733","1.9384","","0.66%"
"05/08/2008","1.9474","1.9385","1.9563","1.9174","","0.41%"
"05/07/2008","1.9394","1.9472","1.9484","1.9095","","-0.37%"
"05/06/2008","1.9467","1.9577","1.9667","1.9345","","-0.61%"
"05/05/2008","1.9587","1.9500","1.9614","1.9360","","0.54%"
"05/02/2008","1.9481","1.9739","1.9766","1.9200","","-1.35%"
"05/01/2008","1.9748","1.9854","1.9998","1.9661","","-0.76%"
"04/30/2008","1.9899","2.0103","2.0217","1.9761","","-1.03%"
"04/29/2008","2.0107","1.9967","2.0186","1.9858","","0.56%"
"04/28/2008","1.9996","1.9996","2.0130","1.9856","","-0.28%"
"04/25/2008","2.0052","2.0186","2.0282","1.9940","","-0.75%"
"04/24/2008","2.0203","2.0542","2.0591","2.0072","","-1.74%"
"04/23/2008","2.0560","2.0886","2.0907","2.0428","","-1.62%"
"04/22/2008","2.0899","2.0885","2.0989","2.0742","","0.00%"
"04/21/2008","2.0899","2.0757","2.1012","2.0583","","0.25%"
"04/18/2008","2.0846","2.1086","2.1292","2.0524","","-1.20%"
"04/17/2008","2.1100","2.0974","2.1299","2.0901","","0.25%"
"04/16/2008","2.1048","2.0805","2.1250","2.0736","","1.12%"
"04/15/2008","2.0814","2.0780","2.0910","2.0631","","0.00%"
"04/14/2008","2.0814","2.0513","2.0939","2.0425","","0.78%"
"04/11/2008","2.0652","2.0518","2.0805","2.0334","","0.60%"
"04/10/2008","2.0528","2.0630","2.0952","2.0384","","-0.58%"
"04/09/2008","2.0648","2.0283","2.0686","2.0184","","1.76%"
"04/08/2008","2.0290","2.0185","2.0374","2.0093","","0.53%"
"04/07/2008","2.0183","2.0248","2.0276","1.9879","","-0.78%"
"04/04/2008","2.0341","2.0417","2.0484","2.0079","","-0.23%"
"04/03/2008","2.0388","2.0241","2.0459","1.9805","","0.58%"
"04/02/2008","2.0271","2.0374","2.0408","1.9940","","-0.47%"
"04/01/2008","2.0366","2.0958","2.1088","2.0299","","-2.92%"
"03/31/2008","2.0979","2.0504","2.1244","2.0377","","2.25%"
"03/28/2008","2.0518","2.0151","2.0614","1.9951","","1.62%"
"03/27/2008","2.0190","2.0225","2.0292","1.9709","","-0.23%"
"03/26/2008","2.0236","1.9643","2.0301","1.9515","","2.97%"
"03/25/2008","1.9653","1.9179","1.9670","1.9066","","2.48%"
"03/24/2008","1.9178","1.9258","1.9270","1.8914","","-0.72%"
"03/21/2008","1.9318","1.9196","1.9394","1.9074","","0.41%"
"03/20/2008","1.9239","1.9196","1.9242","1.9193","","-1.08%"
"03/19/2008","1.9450","1.9023","1.9511","1.9003","","2.18%"
"03/18/2008","1.9035","1.9858","1.9951","1.9008","","-4.07%"
"03/17/2008","1.9843","1.9557","2.0168","1.9514","","2.09%"
"03/14/2008","1.9437","1.9105","1.9534","1.8829","","1.57%"
"03/13/2008","1.9136","1.9064","1.9480","1.8925","","0.35%"
"03/12/2008","1.9069","1.8683","1.9139","1.8613","","1.88%"
"03/11/2008","1.8717","1.9316","1.9463","1.8614","","-3.17%"
"03/10/2008","1.9329","1.9130","1.9408","1.8922","","0.64%"
"03/07/2008","1.9206","1.9299","1.9536","1.8881","","-0.14%"
"03/06/2008","1.9232","1.8422","1.9232","1.8334","","4.13%"
"03/05/2008","1.8470","1.8576","1.8664","1.8270","","-0.53%"
"03/04/2008","1.8568","1.8496","1.8708","1.8218","","0.36%"
"03/03/2008","1.8502","1.8555","1.8828","1.8278","","-0.16%"
"02/29/2008","1.8532","1.7976","1.8568","1.7852","","2.98%"
"02/28/2008","1.7995","1.7824","1.8083","1.7727","","0.99%"
"02/27/2008","1.7819","1.7759","1.7950","1.7640","","0.35%"
"02/26/2008","1.7757","1.7691","1.7823","1.7588","","0.07%"
"02/25/2008","1.7745","1.7831","1.7895","1.7566","","-0.54%"
"02/22/2008","1.7842","1.7843","1.7992","1.7730","","-0.29%"
"02/21/2008","1.7893","1.7733","1.7951","1.7587","","0.77%"
"02/20/2008","1.7756","1.7574","1.7945","1.7526","","0.74%"
"02/19/2008","1.7625","1.7402","1.7660","1.7385","","0.92%"
"02/18/2008","1.7465","1.7583","1.7611","1.7360","","-0.73%"
"02/15/2008","1.7593","1.7512","1.7702","1.7358","","0.01%"
"02/14/2008","1.7591","1.7432","1.7641","1.7323","","0.61%"
"02/13/2008","1.7485","1.7632","1.7707","1.7376","","-1.11%"
"02/12/2008","1.7681","1.7748","1.7819","1.7547","","-0.51%"
"02/11/2008","1.7772","1.7721","1.8056","1.7639","","0.32%"
"02/08/2008","1.7715","1.7405","1.7794","1.7219","","1.64%"
"02/07/2008","1.7430","1.7327","1.7706","1.7250","","0.27%"
"02/06/2008","1.7383","1.7326","1.7524","1.7237","","-0.03%"
"02/05/2008","1.7388","1.7302","1.7395","1.7075","","0.52%"
"02/04/2008","1.7298","1.7249","1.7380","1.7160","","-0.16%"
"02/01/2008","1.7325","1.7349","1.7455","1.7198","","-0.56%"
"01/31/2008","1.7422","1.7317","1.7591","1.7229","","0.16%"
"01/30/2008","1.7395","1.7318","1.7509","1.7251","","0.02%"
"01/29/2008","1.7392","1.7456","1.7555","1.7269","","-0.75%"
"01/28/2008","1.7523","1.7402","1.7642","1.7323","","0.33%"
"01/25/2008","1.7465","1.7394","1.7566","1.7272","","0.27%"
"01/24/2008","1.7418","1.7676","1.7698","1.7312","","-1.65%"
"01/23/2008","1.7710","1.7525","1.7765","1.7308","","1.17%"
"01/22/2008","1.7506","1.7603","1.8005","1.7375","","-0.84%"
"01/21/2008","1.7655","1.7344","1.7724","1.7193","","1.71%"
"01/18/2008","1.7359","1.7311","1.7447","1.7235","","-0.24%"
"01/17/2008","1.7401","1.7300","1.7485","1.7071","","0.55%"
"01/16/2008","1.7306","1.7068","1.7425","1.7021","","1.04%"
"01/15/2008","1.7128","1.7111","1.7187","1.6956","","0.06%"
"01/14/2008","1.7117","1.6983","1.7208","1.6973","","0.51%"
