"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2008","45.915","46.070","46.435","45.390","","-0.54%"
"12/30/2008","46.165","45.990","46.655","45.890","","0.12%"
"12/29/2008","46.110","46.380","47.380","46.060","","-0.67%"
"12/26/2008","46.420","46.190","46.600","46.100","","0.36%"
"12/25/2008","46.255","46.260","46.375","46.080","","-0.01%"
"12/24/2008","46.260","45.930","46.320","45.840","","0.34%"
"12/23/2008","46.105","45.880","46.415","45.860","","0.34%"
"12/22/2008","45.950","45.310","46.550","45.240","","1.51%"
"12/19/2008","45.265","46.240","46.565","44.950","","-1.93%"
"12/18/2008","46.155","47.050","47.795","46.040","","-2.02%"
"12/17/2008","47.105","46.370","47.195","45.820","","1.28%"
"12/16/2008","46.510","45.460","46.710","44.980","","2.20%"
"12/15/2008","45.510","44.510","45.510","44.500","","2.18%"
"12/12/2008","44.540","44.450","44.690","44.130","","0.13%"
"12/11/2008","44.480","43.510","44.650","43.410","","2.19%"
"12/10/2008","43.525","43.320","43.705","43.120","","0.54%"
"12/09/2008","43.290","43.410","43.600","42.900","","-0.20%"
"12/08/2008","43.375","42.680","43.455","42.660","","1.53%"
"12/05/2008","42.720","42.890","42.940","42.350","","-0.33%"
"12/04/2008","42.860","42.580","43.120","42.100","","0.61%"
"12/03/2008","42.600","42.560","42.680","42.240","","0.07%"
"12/02/2008","42.570","42.050","42.750","41.950","","1.10%"
"12/01/2008","42.105","42.300","42.345","41.950","","-0.35%"
"11/28/2008","42.255","42.960","43.165","42.080","","-1.60%"
"11/27/2008","42.940","42.910","43.180","42.780","","0.03%"
"11/26/2008","42.925","43.560","43.605","42.680","","-1.46%"
"11/25/2008","43.560","43.200","43.630","42.700","","0.94%"
"11/24/2008","43.155","42.020","43.205","41.980","","2.73%"
"11/21/2008","42.010","41.580","42.200","41.450","","0.96%"
"11/20/2008","41.610","41.580","42.070","41.470","","-0.08%"
"11/19/2008","41.645","41.900","42.625","41.620","","-0.74%"
"11/18/2008","41.955","41.930","42.205","41.740","","0.01%"
"11/17/2008","41.950","41.430","42.260","41.360","","0.82%"
"11/14/2008","41.610","42.390","42.570","41.590","","-2.26%"
"11/13/2008","42.570","41.230","42.640","41.010","","3.41%"
"11/12/2008","41.165","41.160","41.655","41.000","","0.05%"
"11/11/2008","41.145","41.850","42.075","41.090","","-1.54%"
"11/10/2008","41.790","42.060","42.430","41.730","","-0.04%"
"11/07/2008","41.805","41.680","42.185","41.480","","0.31%"
"11/06/2008","41.675","42.510","42.555","41.650","","-1.99%"
"11/05/2008","42.520","42.590","43.050","41.900","","-0.78%"
"11/04/2008","42.855","41.480","42.855","41.160","","3.12%"
"11/03/2008","41.560","42.020","42.430","41.360","","-1.04%"
"10/31/2008","41.995","42.050","42.265","41.730","","-0.67%"
"10/30/2008","42.280","43.160","43.890","41.880","","-2.03%"
"10/29/2008","43.155","42.660","43.255","42.020","","1.42%"
"10/28/2008","42.550","41.780","42.650","41.450","","1.72%"
"10/27/2008","41.830","41.930","42.400","41.310","","-0.90%"
"10/24/2008","42.210","43.190","43.250","41.750","","-2.54%"
"10/23/2008","43.310","42.310","43.330","41.970","","2.21%"
